geoid,name,universe,universe_moe,total_with_internet_subscription,total_with_internet_subscription_moe,dialup_internet_with_no_other_internet,dialup_internet_with_no_other_internet_moe,broadband_internet,broadband_internet_moe,cellular_data,cellular_data_moe,cellular_data_with_no_other_internet,cellular_data_with_no_other_internet_moe,total_with_internet_subscription_broadband,total_with_internet_subscription_broadband_moe,with_internet_subscription_broadband_with_no_other_internet,with_internet_subscription_broadband_with_no_other_internet_moe,with_internet_satellite,with_internet_satellite_moe,with_internet_satellite_with_no_other_internet,with_internet_satellite_with_no_other_internet_moe,with_internet_other_service_no_other_internet,with_internet_other_service_no_other_internet_moe,internet_access_without_a_subscription,internet_access_without_a_subscription_moe,no_internet_access,no_internet_access_moe,state,state legislative district (lower chamber)
40050,"State House District 50 (2016), Oklahoma",14374.0,257.0,9530.0,365.0,166.0,70.0,9364.0,361.0,5843.0,302.0,1894.0,188.0,6507.0,340.0,2859.0,234.0,1072.0,141.0,474.0,103.0,68.0,38.0,805.0,145.0,4039.0,260.0,40,050
40051,"State House District 51 (2016), Oklahoma",13852.0,294.0,9509.0,313.0,140.0,57.0,9369.0,327.0,6947.0,281.0,2237.0,210.0,4910.0,278.0,1513.0,182.0,2222.0,204.0,789.0,132.0,51.0,34.0,1320.0,186.0,3023.0,263.0,40,051
40052,"State House District 52 (2016), Oklahoma",14204.0,341.0,10461.0,416.0,71.0,43.0,10390.0,418.0,7760.0,408.0,1900.0,234.0,7140.0,313.0,2125.0,241.0,1498.0,158.0,369.0,89.0,32.0,19.0,676.0,167.0,3067.0,265.0,40,052
40053,"State House District 53 (2016), Oklahoma",15423.0,373.0,13756.0,379.0,62.0,42.0,13694.0,374.0,9438.0,427.0,1116.0,239.0,12346.0,389.0,4011.0,409.0,528.0,111.0,58.0,53.0,35.0,34.0,332.0,129.0,1335.0,205.0,40,053
40054,"State House District 54 (2016), Oklahoma",15743.0,374.0,12892.0,498.0,75.0,49.0,12817.0,505.0,8310.0,534.0,1362.0,268.0,11061.0,552.0,4215.0,373.0,821.0,234.0,118.0,62.0,23.0,25.0,492.0,208.0,2359.0,340.0,40,054
40055,"State House District 55 (2016), Oklahoma",13545.0,393.0,9350.0,372.0,102.0,41.0,9248.0,381.0,5423.0,357.0,1498.0,207.0,6401.0,383.0,3068.0,318.0,1397.0,208.0,532.0,111.0,53.0,28.0,455.0,119.0,3740.0,347.0,40,055
40056,"State House District 56 (2016), Oklahoma",13654.0,268.0,8105.0,290.0,65.0,30.0,8040.0,290.0,5305.0,274.0,1885.0,211.0,4790.0,271.0,1966.0,211.0,1435.0,122.0,636.0,90.0,39.0,26.0,1159.0,156.0,4390.0,251.0,40,056
40057,"State House District 57 (2016), Oklahoma",14073.0,516.0,10279.0,447.0,78.0,45.0,10201.0,456.0,5914.0,420.0,1320.0,259.0,7654.0,406.0,3318.0,348.0,1244.0,227.0,573.0,172.0,155.0,106.0,557.0,193.0,3237.0,386.0,40,057
40058,"State House District 58 (2016), Oklahoma",13893.0,340.0,10288.0,348.0,135.0,44.0,10153.0,345.0,5838.0,305.0,1518.0,171.0,7641.0,358.0,3553.0,303.0,1320.0,207.0,411.0,105.0,101.0,77.0,538.0,123.0,3067.0,250.0,40,058
40059,"State House District 59 (2016), Oklahoma",12666.0,444.0,8300.0,380.0,173.0,73.0,8127.0,384.0,4820.0,377.0,1269.0,177.0,5757.0,333.0,2517.0,279.0,1278.0,192.0,439.0,106.0,53.0,31.0,745.0,198.0,3621.0,284.0,40,059
