B28002_001E,B28002_001M,B28002_002E,B28002_002M,B28002_003E,B28002_003M,B28002_004E,B28002_004M,B28002_005E,B28002_005M,B28002_006E,B28002_006M,B28002_007E,B28002_007M,B28002_008E,B28002_008M,B28002_009E,B28002_009M,B28002_010E,B28002_010M,B28002_011E,B28002_011M,B28002_012E,B28002_012M,B28002_013E,B28002_013M,name,state,state legislative district (upper chamber)
79016.0,1056.0,58169.0,1089.0,839.0,185.0,57330.0,1084.0,36452.0,1001.0,6369.0,597.0,48696.0,1172.0,18837.0,825.0,3379.0,368.0,945.0,204.0,182.0,86.0,2835.0,356.0,18012.0,774.0,"State Senate District 3 (2016), Tennessee",47,003
78403.0,830.0,55951.0,1057.0,684.0,194.0,55267.0,1022.0,29929.0,954.0,4205.0,430.0,49328.0,1027.0,23493.0,987.0,2342.0,341.0,739.0,196.0,148.0,82.0,2755.0,368.0,19697.0,845.0,"State Senate District 4 (2016), Tennessee",47,004
76243.0,748.0,57238.0,964.0,469.0,128.0,56769.0,965.0,34459.0,967.0,6942.0,528.0,47378.0,985.0,20628.0,778.0,3418.0,368.0,868.0,213.0,135.0,72.0,2407.0,325.0,16598.0,846.0,"State Senate District 5 (2016), Tennessee",47,005
77244.0,762.0,60105.0,881.0,263.0,80.0,59842.0,882.0,35735.0,929.0,5884.0,561.0,52266.0,877.0,22445.0,864.0,3066.0,330.0,724.0,206.0,71.0,59.0,2999.0,381.0,14140.0,646.0,"State Senate District 6 (2016), Tennessee",47,006
79436.0,985.0,63959.0,1128.0,221.0,92.0,63738.0,1125.0,34586.0,995.0,5062.0,519.0,57201.0,1153.0,27613.0,1041.0,2372.0,314.0,483.0,162.0,152.0,58.0,2684.0,364.0,12793.0,732.0,"State Senate District 7 (2016), Tennessee",47,007
75543.0,778.0,47420.0,1031.0,659.0,165.0,46761.0,1061.0,26168.0,890.0,8130.0,573.0,32804.0,932.0,16772.0,814.0,6275.0,456.0,2688.0,344.0,251.0,99.0,3982.0,475.0,24141.0,865.0,"State Senate District 8 (2016), Tennessee",47,008
73849.0,920.0,50028.0,1063.0,766.0,202.0,49262.0,1050.0,32628.0,1022.0,10521.0,596.0,33784.0,937.0,14311.0,685.0,5579.0,531.0,1534.0,213.0,125.0,63.0,2897.0,392.0,20924.0,833.0,"State Senate District 9 (2016), Tennessee",47,009
77572.0,1047.0,55421.0,1083.0,279.0,86.0,55142.0,1096.0,33429.0,975.0,7501.0,589.0,45578.0,1126.0,20359.0,824.0,2898.0,416.0,593.0,159.0,86.0,64.0,2382.0,365.0,19769.0,830.0,"State Senate District 10 (2016), Tennessee",47,010
76840.0,820.0,60965.0,1102.0,192.0,86.0,60773.0,1112.0,35584.0,1031.0,4522.0,597.0,54752.0,1108.0,24038.0,907.0,2375.0,353.0,317.0,142.0,36.0,31.0,2282.0,336.0,13593.0,875.0,"State Senate District 11 (2016), Tennessee",47,011
75537.0,988.0,48060.0,1049.0,495.0,140.0,47565.0,1072.0,29175.0,982.0,7345.0,628.0,36648.0,1025.0,15875.0,737.0,4228.0,487.0,1337.0,208.0,125.0,107.0,3019.0,493.0,24458.0,828.0,"State Senate District 12 (2016), Tennessee",47,012
76551.0,705.0,62595.0,1049.0,236.0,88.0,62359.0,1059.0,39994.0,951.0,5621.0,563.0,54377.0,1140.0,20758.0,949.0,4036.0,484.0,897.0,247.0,83.0,55.0,4661.0,557.0,9295.0,733.0,"State Senate District 13 (2016), Tennessee",47,013
75454.0,850.0,53624.0,1045.0,467.0,118.0,53157.0,1031.0,34180.0,1141.0,7696.0,565.0,41088.0,1060.0,16385.0,859.0,5448.0,516.0,1507.0,216.0,163.0,86.0,4773.0,520.0,17057.0,810.0,"State Senate District 14 (2016), Tennessee",47,014
83698.0,817.0,56474.0,1139.0,727.0,168.0,55747.0,1147.0,30804.0,987.0,5348.0,391.0,47946.0,1099.0,22305.0,900.0,3891.0,373.0,1034.0,200.0,141.0,72.0,3284.0,343.0,23940.0,924.0,"State Senate District 15 (2016), Tennessee",47,015
77604.0,751.0,51841.0,897.0,548.0,143.0,51293.0,877.0,31140.0,803.0,6929.0,535.0,40723.0,907.0,17515.0,738.0,4424.0,392.0,1391.0,201.0,330.0,125.0,3658.0,493.0,22105.0,869.0,"State Senate District 16 (2016), Tennessee",47,016
79895.0,808.0,59628.0,990.0,613.0,150.0,59015.0,970.0,35637.0,1058.0,7118.0,666.0,48976.0,976.0,21306.0,893.0,5342.0,489.0,1006.0,198.0,44.0,41.0,2806.0,409.0,17461.0,731.0,"State Senate District 17 (2016), Tennessee",47,017
80307.0,602.0,65009.0,869.0,420.0,111.0,64589.0,862.0,41401.0,1009.0,8015.0,633.0,53726.0,979.0,21032.0,934.0,4785.0,437.0,973.0,204.0,187.0,92.0,2765.0,387.0,12533.0,695.0,"State Senate District 18 (2016), Tennessee",47,018
80844.0,1139.0,56974.0,1288.0,210.0,81.0,56764.0,1292.0,40077.0,1242.0,9197.0,724.0,45804.0,1218.0,15122.0,864.0,2859.0,370.0,604.0,161.0,182.0,93.0,5105.0,548.0,18765.0,910.0,"State Senate District 19 (2016), Tennessee",47,019
91123.0,973.0,77234.0,1138.0,406.0,121.0,76828.0,1156.0,54161.0,1023.0,5515.0,590.0,69542.0,1140.0,21260.0,832.0,3254.0,363.0,451.0,135.0,67.0,44.0,2887.0,408.0,11002.0,728.0,"State Senate District 20 (2016), Tennessee",47,020
88767.0,924.0,72343.0,1244.0,282.0,111.0,72061.0,1245.0,51525.0,1174.0,8085.0,762.0,62002.0,1217.0,18846.0,960.0,3293.0,388.0,605.0,162.0,122.0,73.0,3746.0,501.0,12678.0,696.0,"State Senate District 21 (2016), Tennessee",47,021
77218.0,779.0,61157.0,966.0,435.0,157.0,60722.0,949.0,39257.0,971.0,5720.0,529.0,51497.0,1040.0,19401.0,820.0,5163.0,483.0,1318.0,201.0,84.0,52.0,2946.0,376.0,13115.0,690.0,"State Senate District 22 (2016), Tennessee",47,022
73160.0,567.0,66259.0,766.0,223.0,98.0,66036.0,767.0,49264.0,995.0,3603.0,379.0,60936.0,837.0,15875.0,792.0,3353.0,372.0,368.0,115.0,28.0,32.0,1606.0,309.0,5295.0,427.0,"State Senate District 23 (2016), Tennessee",47,023
77179.0,784.0,51581.0,958.0,514.0,113.0,51067.0,955.0,34564.0,913.0,8247.0,573.0,37349.0,928.0,13590.0,597.0,6143.0,434.0,1901.0,217.0,197.0,81.0,3409.0,442.0,22189.0,703.0,"State Senate District 24 (2016), Tennessee",47,024
74762.0,581.0,53120.0,887.0,664.0,146.0,52456.0,890.0,35892.0,943.0,11202.0,519.0,35548.0,964.0,13081.0,736.0,6942.0,504.0,2346.0,281.0,162.0,74.0,2595.0,323.0,19047.0,862.0,"State Senate District 25 (2016), Tennessee",47,025
72627.0,821.0,46270.0,1095.0,773.0,148.0,45497.0,1090.0,31479.0,911.0,7743.0,576.0,31852.0,987.0,11146.0,590.0,6820.0,427.0,2132.0,278.0,98.0,42.0,2533.0,296.0,23824.0,853.0,"State Senate District 26 (2016), Tennessee",47,026
69726.0,653.0,47772.0,892.0,338.0,103.0,47434.0,883.0,32828.0,853.0,6854.0,501.0,37505.0,786.0,12884.0,553.0,3944.0,367.0,940.0,165.0,114.0,58.0,4388.0,447.0,17566.0,687.0,"State Senate District 27 (2016), Tennessee",47,027
74850.0,754.0,51405.0,902.0,717.0,159.0,50688.0,902.0,34890.0,1013.0,8370.0,611.0,36415.0,868.0,12643.0,642.0,6699.0,499.0,2125.0,266.0,120.0,69.0,2594.0,328.0,20851.0,828.0,"State Senate District 28 (2016), Tennessee",47,028
75767.0,860.0,41752.0,991.0,325.0,95.0,41427.0,998.0,24909.0,849.0,5894.0,517.0,33664.0,873.0,14775.0,696.0,3173.0,309.0,587.0,148.0,165.0,81.0,5046.0,539.0,28969.0,940.0,"State Senate District 29 (2016), Tennessee",47,029
70122.0,885.0,39484.0,1013.0,277.0,83.0,39207.0,1000.0,24119.0,956.0,6486.0,576.0,31043.0,877.0,13311.0,616.0,4325.0,496.0,470.0,152.0,93.0,58.0,4797.0,524.0,25841.0,1008.0,"State Senate District 30 (2016), Tennessee",47,030
81624.0,1013.0,70858.0,1059.0,389.0,124.0,70469.0,1070.0,50240.0,1219.0,6882.0,737.0,60908.0,1077.0,18832.0,1100.0,3805.0,407.0,529.0,136.0,87.0,72.0,2342.0,395.0,8424.0,602.0,"State Senate District 31 (2016), Tennessee",47,031
69843.0,884.0,59322.0,1007.0,470.0,154.0,58852.0,1031.0,40744.0,1103.0,5009.0,397.0,51146.0,999.0,16392.0,847.0,4845.0,436.0,800.0,180.0,139.0,86.0,1627.0,331.0,8894.0,577.0,"State Senate District 32 (2016), Tennessee",47,032
73296.0,1014.0,51783.0,1103.0,337.0,148.0,51446.0,1146.0,34187.0,1263.0,9355.0,659.0,40377.0,1136.0,15941.0,820.0,3045.0,321.0,515.0,138.0,131.0,72.0,5105.0,571.0,16408.0,793.0,"State Senate District 33 (2016), Tennessee",47,033
75179.0,915.0,48097.0,1119.0,655.0,192.0,47442.0,1159.0,27260.0,1020.0,7440.0,604.0,35556.0,1026.0,17156.0,941.0,5240.0,475.0,2109.0,327.0,103.0,55.0,3662.0,477.0,23420.0,921.0,"State Senate District 1 (2016), Tennessee",47,001
77915.0,905.0,58447.0,1053.0,428.0,121.0,58019.0,1071.0,35311.0,1121.0,6665.0,525.0,47980.0,1134.0,20595.0,952.0,4200.0,465.0,1382.0,231.0,69.0,47.0,2957.0,354.0,16511.0,763.0,"State Senate District 2 (2016), Tennessee",47,002
