B28002_001E,B28002_001M,B28002_002E,B28002_002M,B28002_003E,B28002_003M,B28002_004E,B28002_004M,B28002_005E,B28002_005M,B28002_006E,B28002_006M,B28002_007E,B28002_007M,B28002_008E,B28002_008M,B28002_009E,B28002_009M,B28002_010E,B28002_010M,B28002_011E,B28002_011M,B28002_012E,B28002_012M,B28002_013E,B28002_013M,name,county,state,tract
1859.0,76.0,1786.0,76.0,11.0,17.0,1775.0,77.0,1312.0,115.0,159.0,85.0,1551.0,125.0,403.0,93.0,114.0,63.0,45.0,47.0,0.0,17.0,11.0,17.0,62.0,35.0,"Census Tract 215.30, Shelby County, Tennessee",157,47,021530
1558.0,107.0,1159.0,111.0,0.0,12.0,1159.0,111.0,863.0,117.0,153.0,66.0,936.0,120.0,237.0,80.0,133.0,61.0,42.0,45.0,0.0,12.0,54.0,37.0,345.0,107.0,"Census Tract 206.22, Shelby County, Tennessee",157,47,020622
1401.0,105.0,1265.0,115.0,0.0,12.0,1265.0,115.0,846.0,129.0,289.0,110.0,964.0,150.0,354.0,87.0,64.0,42.0,12.0,19.0,0.0,12.0,21.0,24.0,115.0,87.0,"Census Tract 211.13, Shelby County, Tennessee",157,47,021113
4396.0,227.0,4073.0,262.0,0.0,17.0,4073.0,262.0,2875.0,354.0,348.0,208.0,3612.0,347.0,1148.0,347.0,314.0,139.0,27.0,41.0,0.0,17.0,88.0,87.0,235.0,167.0,"Census Tract 213.42, Shelby County, Tennessee",157,47,021342
2223.0,69.0,2087.0,105.0,16.0,25.0,2071.0,107.0,1487.0,158.0,261.0,134.0,1792.0,186.0,584.0,146.0,56.0,55.0,0.0,17.0,0.0,17.0,30.0,34.0,106.0,76.0,"Census Tract 216.11, Shelby County, Tennessee",157,47,021611
828.0,74.0,559.0,83.0,0.0,12.0,559.0,83.0,337.0,72.0,154.0,63.0,397.0,83.0,206.0,65.0,8.0,13.0,8.0,13.0,0.0,12.0,55.0,35.0,214.0,66.0,"Census Tract 217.31, Shelby County, Tennessee",157,47,021731
1689.0,86.0,1460.0,141.0,0.0,12.0,1460.0,141.0,1016.0,165.0,136.0,74.0,1204.0,149.0,403.0,131.0,184.0,72.0,17.0,21.0,15.0,17.0,100.0,69.0,129.0,90.0,"Census Tract 217.52, Shelby County, Tennessee",157,47,021752
1599.0,89.0,1363.0,121.0,0.0,12.0,1363.0,121.0,917.0,148.0,222.0,83.0,1103.0,112.0,404.0,130.0,60.0,41.0,7.0,14.0,0.0,12.0,40.0,46.0,196.0,100.0,"Census Tract 217.54, Shelby County, Tennessee",157,47,021754
1824.0,79.0,1053.0,157.0,0.0,17.0,1053.0,157.0,373.0,102.0,139.0,82.0,900.0,165.0,643.0,151.0,53.0,35.0,0.0,17.0,0.0,17.0,82.0,59.0,689.0,161.0,"Census Tract 223.30, Shelby County, Tennessee",157,47,022330
1660.0,160.0,1190.0,171.0,26.0,24.0,1164.0,164.0,781.0,139.0,309.0,103.0,820.0,146.0,349.0,110.0,61.0,38.0,28.0,29.0,0.0,12.0,65.0,51.0,405.0,120.0,"Census Tract 606, Loudon County, Tennessee",105,47,060600
1895.0,109.0,1389.0,138.0,10.0,17.0,1379.0,139.0,961.0,130.0,339.0,116.0,841.0,136.0,322.0,92.0,215.0,86.0,60.0,46.0,0.0,17.0,118.0,52.0,388.0,106.0,"Census Tract 604, Loudon County, Tennessee",105,47,060400
996.0,106.0,631.0,80.0,3.0,6.0,628.0,80.0,428.0,74.0,173.0,58.0,352.0,75.0,149.0,56.0,82.0,51.0,43.0,38.0,8.0,14.0,66.0,37.0,299.0,75.0,"Census Tract 607, Loudon County, Tennessee",105,47,060700
1946.0,99.0,1330.0,141.0,24.0,27.0,1306.0,140.0,887.0,135.0,255.0,77.0,942.0,122.0,347.0,103.0,142.0,61.0,63.0,54.0,0.0,17.0,141.0,81.0,475.0,118.0,"Census Tract 601, Loudon County, Tennessee",105,47,060100
