geoid,name,total,male_total,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_to_61,male_62_to_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_total,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,congressional district,state,total_under_5,total_5_to_9,total_10_to_14,total_15_to_17,total_18_to_19,total_20,total_21,total_22_to_24,total_25_to_29,total_30_to_34,total_35_to_39,total_40_to_44,total_45_to_49,total_50_to_54,total_55_to_59,total_60_to_61,total_62_to_64,total_65_to_66,total_67_to_69,total_70_to_74,total_75_to_79,total_80_to_84,total_85_and_over,total_0_to_17,male_0_to_17,female_0_to_17,total_5_to_17,male_5_to_17,female_5_to_17,total_0_9,male_0_9,female_0_9,total_10_to_17,male_10_to_17,female_10_to_17,total_18_to_34,male_18_to_34,female_18_to_34,total_35_to_49,male_35_to_49,female_35_to_49,total_50_to_64,male_50_to_64,female_50_to_64,total_65_and_over,male_65_and_over,female_65_and_over
0200,"Congressional District (at Large), Alaska (111th Congress)",683142.0,355726.0,26965.0,24762.0,25675.0,16901.0,11648.0,7727.0,7002.0,19588.0,28543.0,22969.0,23026.0,26281.0,27784.0,26707.0,22606.0,7062.0,7912.0,3877.0,4867.0,6309.0,4032.0,2154.0,1329.0,327416.0,25065.0,23620.0,24203.0,15974.0,9700.0,5435.0,5272.0,14547.0,24663.0,20909.0,21931.0,24958.0,27011.0,25424.0,20629.0,6241.0,6766.0,3911.0,4595.0,6126.0,4285.0,3236.0,2915.0,00,02,52030.0,48382.0,49878.0,32875.0,21348.0,13162.0,12274.0,34135.0,53206.0,43878.0,44957.0,51239.0,54795.0,52131.0,43235.0,13303.0,14678.0,7788.0,9462.0,12435.0,8317.0,5390.0,4244.0,183165.0,94303.0,88862.0,131135.0,67338.0,63797.0,100412.0,51727.0,48685.0,82753.0,42576.0,40177.0,178003.0,97477.0,80526.0,150991.0,77091.0,73900.0,123347.0,64287.0,59060.0,47636.0,22568.0,25068.0
0101,"Congressional District 1, Alabama (111th Congress)",668448.0,323161.0,23698.0,23079.0,24618.0,15137.0,8795.0,5338.0,4239.0,12114.0,21855.0,19809.0,20181.0,22134.0,24057.0,22421.0,19390.0,7386.0,9827.0,5918.0,6810.0,10237.0,7695.0,5075.0,3348.0,345287.0,22252.0,22195.0,23461.0,14400.0,8687.0,4057.0,3831.0,13421.0,22819.0,21001.0,21335.0,23850.0,25942.0,24175.0,22302.0,7990.0,10322.0,6126.0,8013.0,12968.0,10412.0,8029.0,7699.0,01,01,45950.0,45274.0,48079.0,29537.0,17482.0,9395.0,8070.0,25535.0,44674.0,40810.0,41516.0,45984.0,49999.0,46596.0,41692.0,15376.0,20149.0,12044.0,14823.0,23205.0,18107.0,13104.0,11047.0,168840.0,86532.0,82308.0,122890.0,62834.0,60056.0,91224.0,46777.0,44447.0,77616.0,39755.0,37861.0,145966.0,72150.0,73816.0,137499.0,66372.0,71127.0,123813.0,59024.0,64789.0,92330.0,39083.0,53247.0
0102,"Congressional District 2, Alabama (111th Congress)",655471.0,319827.0,23260.0,21812.0,23598.0,14537.0,10610.0,4913.0,5027.0,13627.0,22362.0,20040.0,21359.0,23434.0,22630.0,21263.0,18691.0,6902.0,9258.0,5461.0,6592.0,9279.0,7273.0,4827.0,3072.0,335644.0,21372.0,21656.0,21493.0,13729.0,8719.0,4600.0,4667.0,12956.0,21711.0,20345.0,22203.0,23295.0,24204.0,23327.0,20487.0,7344.0,10372.0,6016.0,8042.0,11970.0,9595.0,8293.0,9248.0,02,01,44632.0,43468.0,45091.0,28266.0,19329.0,9513.0,9694.0,26583.0,44073.0,40385.0,43562.0,46729.0,46834.0,44590.0,39178.0,14246.0,19630.0,11477.0,14634.0,21249.0,16868.0,13120.0,12320.0,161457.0,83207.0,78250.0,116825.0,59947.0,56878.0,88100.0,45072.0,43028.0,73357.0,38135.0,35222.0,149577.0,76579.0,72998.0,137125.0,67423.0,69702.0,117644.0,56114.0,61530.0,89668.0,36504.0,53164.0
0103,"Congressional District 3, Alabama (111th Congress)",651344.0,314091.0,21197.0,21244.0,21102.0,13960.0,12065.0,6925.0,6609.0,16331.0,20695.0,18788.0,20338.0,20982.0,22050.0,21487.0,19539.0,7035.0,8504.0,5750.0,6641.0,9051.0,6852.0,4057.0,2889.0,337253.0,19968.0,20450.0,20662.0,12961.0,11881.0,7350.0,6918.0,15526.0,21890.0,19523.0,21181.0,21853.0,23747.0,22726.0,21283.0,7656.0,9793.0,6040.0,8086.0,11969.0,9669.0,8523.0,7598.0,03,01,41165.0,41694.0,41764.0,26921.0,23946.0,14275.0,13527.0,31857.0,42585.0,38311.0,41519.0,42835.0,45797.0,44213.0,40822.0,14691.0,18297.0,11790.0,14727.0,21020.0,16521.0,12580.0,10487.0,151544.0,77503.0,74041.0,110379.0,56306.0,54073.0,82859.0,42441.0,40418.0,68685.0,35062.0,33623.0,164501.0,81413.0,83088.0,130151.0,63370.0,66781.0,118023.0,56565.0,61458.0,87125.0,35240.0,51885.0
0104,"Congressional District 4, Alabama (111th Congress)",648061.0,317684.0,22056.0,21658.0,22060.0,14223.0,7695.0,4285.0,3629.0,11083.0,21002.0,20181.0,21338.0,22983.0,23593.0,22523.0,20387.0,7549.0,10628.0,6382.0,7482.0,10792.0,7963.0,5001.0,3191.0,330377.0,20914.0,20265.0,21453.0,12693.0,6890.0,3588.0,3965.0,9810.0,20601.0,19465.0,21477.0,23009.0,24115.0,22974.0,21409.0,8305.0,11524.0,6580.0,9755.0,13272.0,11537.0,8721.0,8055.0,04,01,42970.0,41923.0,43513.0,26916.0,14585.0,7873.0,7594.0,20893.0,41603.0,39646.0,42815.0,45992.0,47708.0,45497.0,41796.0,15854.0,22152.0,12962.0,17237.0,24064.0,19500.0,13722.0,11246.0,155322.0,79997.0,75325.0,112352.0,57941.0,54411.0,84893.0,43714.0,41179.0,70429.0,36283.0,34146.0,132194.0,67875.0,64319.0,136515.0,67914.0,68601.0,125299.0,61087.0,64212.0,98731.0,40811.0,57920.0
0105,"Congressional District 5, Alabama (111th Congress)",682092.0,332430.0,21427.0,23470.0,22929.0,14742.0,9344.0,5617.0,3958.0,12627.0,22880.0,21270.0,23403.0,25009.0,26663.0,23569.0,19563.0,7619.0,9383.0,5560.0,7121.0,10867.0,8047.0,4577.0,2785.0,349662.0,20841.0,22616.0,21750.0,14166.0,9126.0,4938.0,3927.0,12870.0,22958.0,21377.0,23768.0,26227.0,27458.0,24334.0,21596.0,7993.0,10754.0,6207.0,8792.0,12646.0,10704.0,7553.0,7061.0,05,01,42268.0,46086.0,44679.0,28908.0,18470.0,10555.0,7885.0,25497.0,45838.0,42647.0,47171.0,51236.0,54121.0,47903.0,41159.0,15612.0,20137.0,11767.0,15913.0,23513.0,18751.0,12130.0,9846.0,161941.0,82568.0,79373.0,119673.0,61141.0,58532.0,88354.0,44897.0,43457.0,73587.0,37671.0,35916.0,150892.0,75696.0,75196.0,152528.0,75075.0,77453.0,124811.0,60134.0,64677.0,91920.0,38957.0,52963.0
0106,"Congressional District 6, Alabama (111th Congress)",716273.0,349437.0,24631.0,24290.0,24699.0,14981.0,8635.0,4387.0,4141.0,12847.0,24691.0,24753.0,26213.0,27082.0,27050.0,24435.0,22249.0,8276.0,8667.0,5793.0,6579.0,9088.0,7338.0,5207.0,3405.0,366836.0,24296.0,23354.0,23271.0,14472.0,7874.0,3683.0,4441.0,13057.0,24850.0,25562.0,25868.0,26899.0,27941.0,26776.0,23878.0,8160.0,10486.0,6218.0,8467.0,11050.0,10076.0,8322.0,7835.0,06,01,48927.0,47644.0,47970.0,29453.0,16509.0,8070.0,8582.0,25904.0,49541.0,50315.0,52081.0,53981.0,54991.0,51211.0,46127.0,16436.0,19153.0,12011.0,15046.0,20138.0,17414.0,13529.0,11240.0,173994.0,88601.0,85393.0,125067.0,63970.0,61097.0,96571.0,48921.0,47650.0,77423.0,39680.0,37743.0,158921.0,79454.0,79467.0,161053.0,80345.0,80708.0,132927.0,63627.0,69300.0,89378.0,37410.0,51968.0
0107,"Congressional District 7, Alabama (111th Congress)",611671.0,287643.0,21006.0,19707.0,22464.0,13817.0,10661.0,6866.0,5333.0,14690.0,21689.0,17613.0,17347.0,17879.0,19530.0,20533.0,15966.0,6217.0,6794.0,3819.0,5493.0,7239.0,6007.0,4036.0,2937.0,324028.0,20877.0,20039.0,20275.0,12500.0,11415.0,6702.0,5709.0,16915.0,22647.0,19493.0,18760.0,21468.0,23242.0,22895.0,19096.0,6321.0,8226.0,5181.0,6912.0,10150.0,10353.0,7583.0,7269.0,07,01,41883.0,39746.0,42739.0,26317.0,22076.0,13568.0,11042.0,31605.0,44336.0,37106.0,36107.0,39347.0,42772.0,43428.0,35062.0,12538.0,15020.0,9000.0,12405.0,17389.0,16360.0,11619.0,10206.0,150685.0,76994.0,73691.0,108802.0,55988.0,52814.0,81629.0,40713.0,40916.0,69056.0,36281.0,32775.0,159733.0,76852.0,82881.0,118226.0,54756.0,63470.0,106048.0,49510.0,56538.0,76979.0,29531.0,47448.0
0501,"Congressional District 1, Arkansas (111th Congress)",673394.0,327327.0,23286.0,22768.0,23553.0,15202.0,8922.0,4024.0,3930.0,12635.0,22558.0,20306.0,19832.0,22476.0,23318.0,21920.0,20765.0,7026.0,10858.0,6413.0,8065.0,10970.0,8357.0,6237.0,3906.0,346067.0,22240.0,22067.0,22275.0,14029.0,8136.0,4509.0,3736.0,11769.0,22411.0,20247.0,21016.0,23374.0,24584.0,23824.0,21609.0,8731.0,11691.0,6581.0,9751.0,13414.0,11895.0,8730.0,9448.0,01,05,45526.0,44835.0,45828.0,29231.0,17058.0,8533.0,7666.0,24404.0,44969.0,40553.0,40848.0,45850.0,47902.0,45744.0,42374.0,15757.0,22549.0,12994.0,17816.0,24384.0,20252.0,14967.0,13354.0,165420.0,84809.0,80611.0,119894.0,61523.0,58371.0,90361.0,46054.0,44307.0,75059.0,38755.0,36304.0,143183.0,72375.0,70808.0,134600.0,65626.0,68974.0,126424.0,60569.0,65855.0,103767.0,43948.0,59819.0
0502,"Congressional District 2, Arkansas (111th Congress)",718060.0,348113.0,25879.0,25264.0,23914.0,15072.0,11240.0,5901.0,5715.0,14726.0,25140.0,23355.0,24060.0,23681.0,25569.0,23496.0,20778.0,7191.0,9493.0,4856.0,7033.0,9853.0,7261.0,5144.0,3492.0,369947.0,25245.0,24590.0,22409.0,14372.0,10760.0,5508.0,5840.0,15911.0,26407.0,24462.0,24729.0,24611.0,26400.0,25429.0,21744.0,8008.0,11095.0,5884.0,8021.0,11543.0,10374.0,8651.0,7954.0,02,05,51124.0,49854.0,46323.0,29444.0,22000.0,11409.0,11555.0,30637.0,51547.0,47817.0,48789.0,48292.0,51969.0,48925.0,42522.0,15199.0,20588.0,10740.0,15054.0,21396.0,17635.0,13795.0,11446.0,176745.0,90129.0,86616.0,125621.0,64250.0,61371.0,100978.0,51143.0,49835.0,75767.0,38986.0,36781.0,174965.0,86077.0,88888.0,149050.0,73310.0,75740.0,127234.0,60958.0,66276.0,90066.0,37639.0,52427.0
