geoid,name,total,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,county,state,tract,total_no_schooling,total_nursery_to_4th_grade,total_5th_and_6th_grade,total_7th_and_8th_grade,total_9th_grade,total_10th_grade,total_11th_grade,total_12th_grade_no_diploma,total_high_school_graduate,total_less_than_1_year_college,total_1_or_more_years_college,total_associates_degree,total_bachelors_degree,total_masters_degree,total_professional_school_degree,total_doctorate_degree,total_less_than_high_scool,male_less_than_high_scool,female_less_than_high_scool,total_some_college,male_some_college,female_some_college,total_masters_or_higher,male_masters_or_higher,female_masters_or_higher,total_bachelors_or_higher,male_bachelors_or_higher,female_bachelors_or_higher
40001976600,"Census Tract 9766, Adair County, Oklahoma",1648.0,820.0,0.0,11.0,4.0,56.0,26.0,35.0,61.0,19.0,399.0,29.0,86.0,21.0,69.0,4.0,0.0,0.0,828.0,0.0,9.0,17.0,45.0,19.0,11.0,26.0,11.0,384.0,42.0,141.0,50.0,62.0,8.0,3.0,0.0,001,40,976600,0.0,20.0,21.0,101.0,45.0,46.0,87.0,30.0,783.0,71.0,227.0,71.0,131.0,12.0,3.0,0.0,350.0,212.0,138.0,298.0,115.0,183.0,15.0,4.0,11.0,146.0,73.0,73.0
40001976700,"Census Tract 9767, Adair County, Oklahoma",3211.0,1514.0,30.0,5.0,9.0,53.0,5.0,66.0,103.0,37.0,713.0,67.0,198.0,66.0,118.0,44.0,0.0,0.0,1697.0,21.0,9.0,37.0,17.0,75.0,100.0,66.0,63.0,695.0,83.0,234.0,92.0,148.0,57.0,0.0,0.0,001,40,976700,51.0,14.0,46.0,70.0,80.0,166.0,169.0,100.0,1408.0,150.0,432.0,158.0,266.0,101.0,0.0,0.0,696.0,308.0,388.0,582.0,265.0,317.0,101.0,44.0,57.0,367.0,162.0,205.0
40001976800,"Census Tract 9768, Adair County, Oklahoma",3200.0,1578.0,17.0,25.0,47.0,39.0,54.0,89.0,28.0,36.0,868.0,45.0,167.0,24.0,103.0,28.0,8.0,0.0,1622.0,2.0,25.0,21.0,168.0,27.0,47.0,49.0,30.0,675.0,87.0,237.0,23.0,118.0,106.0,7.0,0.0,001,40,976800,19.0,50.0,68.0,207.0,81.0,136.0,77.0,66.0,1543.0,132.0,404.0,47.0,221.0,134.0,15.0,0.0,704.0,335.0,369.0,536.0,212.0,324.0,149.0,36.0,113.0,370.0,139.0,231.0
40001976900,"Census Tract 9769, Adair County, Oklahoma",2447.0,1175.0,10.0,27.0,25.0,50.0,30.0,81.0,74.0,65.0,488.0,65.0,147.0,7.0,66.0,40.0,0.0,0.0,1272.0,12.0,0.0,23.0,97.0,20.0,43.0,59.0,103.0,492.0,41.0,201.0,31.0,106.0,32.0,12.0,0.0,001,40,976900,22.0,27.0,48.0,147.0,50.0,124.0,133.0,168.0,980.0,106.0,348.0,38.0,172.0,72.0,12.0,0.0,719.0,362.0,357.0,454.0,212.0,242.0,84.0,40.0,44.0,256.0,106.0,150.0
40001977000,"Census Tract 9770, Adair County, Oklahoma",2873.0,1372.0,5.0,30.0,36.0,85.0,64.0,82.0,96.0,63.0,484.0,93.0,145.0,54.0,113.0,13.0,9.0,0.0,1501.0,11.0,8.0,36.0,110.0,20.0,71.0,63.0,45.0,589.0,91.0,274.0,56.0,86.0,41.0,0.0,0.0,001,40,977000,16.0,38.0,72.0,195.0,84.0,153.0,159.0,108.0,1073.0,184.0,419.0,110.0,199.0,54.0,9.0,0.0,825.0,461.0,364.0,603.0,238.0,365.0,63.0,22.0,41.0,262.0,135.0,127.0
40003955600,"Census Tract 9556, Alfalfa County, Oklahoma",983.0,481.0,25.0,0.0,0.0,10.0,7.0,45.0,1.0,4.0,193.0,0.0,101.0,17.0,50.0,21.0,7.0,0.0,502.0,3.0,0.0,0.0,0.0,4.0,13.0,13.0,8.0,208.0,44.0,103.0,20.0,64.0,22.0,0.0,0.0,003,40,955600,28.0,0.0,0.0,10.0,11.0,58.0,14.0,12.0,401.0,44.0,204.0,37.0,114.0,43.0,7.0,0.0,133.0,92.0,41.0,248.0,101.0,147.0,50.0,28.0,22.0,164.0,78.0,86.0
40003955700,"Census Tract 9557, Alfalfa County, Oklahoma",878.0,452.0,0.0,0.0,3.0,5.0,10.0,15.0,8.0,9.0,94.0,34.0,81.0,25.0,96.0,66.0,6.0,0.0,426.0,0.0,0.0,0.0,6.0,4.0,1.0,2.0,4.0,147.0,47.0,79.0,19.0,75.0,42.0,0.0,0.0,003,40,955700,0.0,0.0,3.0,11.0,14.0,16.0,10.0,13.0,241.0,81.0,160.0,44.0,171.0,108.0,6.0,0.0,67.0,50.0,17.0,241.0,115.0,126.0,114.0,72.0,42.0,285.0,168.0,117.0
40003956000,"Census Tract 9560, Alfalfa County, Oklahoma",2396.0,1588.0,13.0,9.0,12.0,121.0,23.0,49.0,102.0,69.0,567.0,155.0,290.0,45.0,103.0,13.0,17.0,0.0,808.0,6.0,0.0,0.0,9.0,13.0,29.0,44.0,19.0,432.0,45.0,54.0,14.0,106.0,34.0,3.0,0.0,003,40,956000,19.0,9.0,12.0,130.0,36.0,78.0,146.0,88.0,999.0,200.0,344.0,59.0,209.0,47.0,20.0,0.0,518.0,398.0,120.0,544.0,445.0,99.0,67.0,30.0,37.0,276.0,133.0,143.0
40005987600,"Census Tract 9876, Atoka County, Oklahoma",1544.0,1082.0,0.0,0.0,2.0,95.0,47.0,64.0,99.0,27.0,398.0,75.0,128.0,59.0,68.0,20.0,0.0,0.0,462.0,2.0,0.0,0.0,9.0,6.0,11.0,18.0,14.0,219.0,10.0,30.0,33.0,87.0,23.0,0.0,0.0,005,40,987600,2.0,0.0,2.0,104.0,53.0,75.0,117.0,41.0,617.0,85.0,158.0,92.0,155.0,43.0,0.0,0.0,394.0,334.0,60.0,243.0,203.0,40.0,43.0,20.0,23.0,198.0,88.0,110.0
40005987700,"Census Tract 9877, Atoka County, Oklahoma",2502.0,1109.0,27.0,0.0,20.0,0.0,19.0,46.0,131.0,74.0,356.0,30.0,187.0,72.0,102.0,45.0,0.0,0.0,1393.0,16.0,0.0,3.0,7.0,56.0,14.0,102.0,27.0,574.0,176.0,87.0,17.0,271.0,43.0,0.0,0.0,005,40,987700,43.0,0.0,23.0,7.0,75.0,60.0,233.0,101.0,930.0,206.0,274.0,89.0,373.0,88.0,0.0,0.0,542.0,317.0,225.0,480.0,217.0,263.0,88.0,45.0,43.0,461.0,147.0,314.0
40005987800,"Census Tract 9878, Atoka County, Oklahoma",2712.0,1324.0,0.0,8.0,5.0,50.0,31.0,43.0,32.0,39.0,603.0,69.0,182.0,89.0,77.0,78.0,3.0,15.0,1388.0,7.0,0.0,31.0,68.0,38.0,81.0,43.0,23.0,611.0,63.0,186.0,60.0,113.0,58.0,0.0,6.0,005,40,987800,7.0,8.0,36.0,118.0,69.0,124.0,75.0,62.0,1214.0,132.0,368.0,149.0,190.0,136.0,3.0,21.0,499.0,208.0,291.0,500.0,251.0,249.0,160.0,96.0,64.0,350.0,173.0,177.0
40005987900,"Census Tract 9879, Atoka County, Oklahoma",3118.0,1958.0,12.0,9.0,38.0,108.0,91.0,97.0,146.0,54.0,924.0,68.0,189.0,66.0,128.0,19.0,2.0,7.0,1160.0,0.0,0.0,15.0,104.0,6.0,79.0,44.0,49.0,434.0,87.0,100.0,77.0,103.0,48.0,6.0,8.0,005,40,987900,12.0,9.0,53.0,212.0,97.0,176.0,190.0,103.0,1358.0,155.0,289.0,143.0,231.0,67.0,8.0,15.0,852.0,555.0,297.0,444.0,257.0,187.0,90.0,28.0,62.0,321.0,156.0,165.0
40007951600,"Census Tract 9516, Beaver County, Oklahoma",1634.0,873.0,4.0,14.0,44.0,41.0,9.0,34.0,15.0,21.0,317.0,92.0,115.0,24.0,103.0,40.0,0.0,0.0,761.0,3.0,0.0,17.0,11.0,3.0,16.0,32.0,2.0,305.0,32.0,126.0,58.0,134.0,22.0,0.0,0.0,007,40,951600,7.0,14.0,61.0,52.0,12.0,50.0,47.0,23.0,622.0,124.0,241.0,82.0,237.0,62.0,0.0,0.0,266.0,182.0,84.0,365.0,207.0,158.0,62.0,40.0,22.0,299.0,143.0,156.0
40007951700,"Census Tract 9517, Beaver County, Oklahoma",759.0,389.0,0.0,0.0,6.0,11.0,0.0,4.0,8.0,4.0,163.0,16.0,53.0,15.0,82.0,14.0,3.0,10.0,370.0,0.0,0.0,0.0,8.0,0.0,11.0,18.0,0.0,150.0,19.0,53.0,34.0,69.0,8.0,0.0,0.0,007,40,951700,0.0,0.0,6.0,19.0,0.0,15.0,26.0,4.0,313.0,35.0,106.0,49.0,151.0,22.0,3.0,10.0,70.0,33.0,37.0,141.0,69.0,72.0,35.0,27.0,8.0,186.0,109.0,77.0
40007951800,"Census Tract 9518, Beaver County, Oklahoma",1225.0,588.0,0.0,1.0,28.0,4.0,13.0,1.0,13.0,25.0,187.0,46.0,119.0,23.0,49.0,70.0,6.0,3.0,637.0,0.0,0.0,9.0,34.0,6.0,25.0,37.0,5.0,254.0,34.0,113.0,40.0,68.0,11.0,1.0,0.0,007,40,951800,0.0,1.0,37.0,38.0,19.0,26.0,50.0,30.0,441.0,80.0,232.0,63.0,117.0,81.0,7.0,3.0,201.0,85.0,116.0,312.0,165.0,147.0,91.0,79.0,12.0,208.0,128.0,80.0
40009966100,"Census Tract 9661, Beckham County, Oklahoma",4316.0,2126.0,25.0,0.0,24.0,20.0,11.0,68.0,86.0,169.0,984.0,112.0,158.0,96.0,265.0,69.0,39.0,0.0,2190.0,9.0,0.0,0.0,111.0,54.0,59.0,194.0,57.0,725.0,220.0,208.0,270.0,130.0,121.0,32.0,0.0,009,40,966100,34.0,0.0,24.0,131.0,65.0,127.0,280.0,226.0,1709.0,332.0,366.0,366.0,395.0,190.0,71.0,0.0,887.0,403.0,484.0,698.0,270.0,428.0,261.0,108.0,153.0,656.0,373.0,283.0
40009966200,"Census Tract 9662, Beckham County, Oklahoma",4014.0,1852.0,21.0,0.0,14.0,33.0,12.0,86.0,37.0,39.0,797.0,37.0,331.0,139.0,155.0,54.0,70.0,27.0,2162.0,11.0,0.0,41.0,149.0,7.0,15.0,283.0,66.0,724.0,202.0,161.0,109.0,313.0,76.0,5.0,0.0,009,40,966200,32.0,0.0,55.0,182.0,19.0,101.0,320.0,105.0,1521.0,239.0,492.0,248.0,468.0,130.0,75.0,27.0,814.0,242.0,572.0,731.0,368.0,363.0,232.0,151.0,81.0,700.0,306.0,394.0
40009966500,"Census Tract 9665, Beckham County, Oklahoma",1091.0,515.0,0.0,0.0,0.0,35.0,10.0,19.0,11.0,4.0,213.0,15.0,113.0,0.0,71.0,24.0,0.0,0.0,576.0,0.0,0.0,11.0,30.0,15.0,18.0,55.0,2.0,189.0,41.0,74.0,56.0,68.0,17.0,0.0,0.0,009,40,966500,0.0,0.0,11.0,65.0,25.0,37.0,66.0,6.0,402.0,56.0,187.0,56.0,139.0,41.0,0.0,0.0,210.0,79.0,131.0,243.0,128.0,115.0,41.0,24.0,17.0,180.0,95.0,85.0
40009966800,"Census Tract 9668, Beckham County, Oklahoma",3509.0,1825.0,0.0,0.0,13.0,61.0,34.0,68.0,114.0,30.0,605.0,104.0,403.0,201.0,117.0,51.0,14.0,10.0,1684.0,0.0,0.0,7.0,21.0,19.0,32.0,97.0,0.0,561.0,134.0,348.0,108.0,289.0,60.0,8.0,0.0,009,40,966800,0.0,0.0,20.0,82.0,53.0,100.0,211.0,30.0,1166.0,238.0,751.0,309.0,406.0,111.0,22.0,10.0,496.0,320.0,176.0,989.0,507.0,482.0,143.0,75.0,68.0,549.0,192.0,357.0
40011958600,"Census Tract 9586, Blaine County, Oklahoma",1200.0,585.0,0.0,0.0,0.0,4.0,1.0,34.0,4.0,22.0,220.0,26.0,85.0,61.0,97.0,21.0,6.0,4.0,615.0,0.0,0.0,0.0,18.0,13.0,3.0,23.0,9.0,288.0,46.0,80.0,24.0,73.0,38.0,0.0,0.0,011,40,958600,0.0,0.0,0.0,22.0,14.0,37.0,27.0,31.0,508.0,72.0,165.0,85.0,170.0,59.0,6.0,4.0,131.0,65.0,66.0,237.0,111.0,126.0,69.0,31.0,38.0,239.0,128.0,111.0
