geoid,name,total,below_poverty_level,male_below_poverty_level,female_below_poverty_level,above_poverty_level,male_above_poverty_level,female_above_poverty_level,county,state
02013,"Aleutians East Borough, Alaska",2949.0,307.0,210.0,97.0,2642.0,1748.0,894.0,013,02
02016,"Aleutians West Census Area, Alaska",4485.0,543.0,466.0,77.0,3942.0,2796.0,1146.0,016,02
02020,"Anchorage Municipality, Alaska",274948.0,21466.0,10165.0,11301.0,253482.0,129452.0,124030.0,020,02
02050,"Bethel Census Area, Alaska",16884.0,3081.0,1520.0,1561.0,13803.0,7251.0,6552.0,050,02
02060,"Bristol Bay Borough, Alaska",677.0,38.0,7.0,31.0,639.0,321.0,318.0,060,02
02068,"Denali Borough, Alaska",1114.0,68.0,28.0,40.0,1046.0,502.0,544.0,068,02
02070,"Dillingham Census Area, Alaska",4936.0,905.0,521.0,384.0,4031.0,2038.0,1993.0,070,02
02090,"Fairbanks North Star Borough, Alaska",92259.0,7359.0,3489.0,3870.0,84900.0,44481.0,40419.0,090,02
02100,"Haines Borough, Alaska",2424.0,111.0,71.0,40.0,2313.0,1165.0,1148.0,100,02
02105,"Hoonah-Angoon Census Area, Alaska",2021.0,237.0,119.0,118.0,1784.0,933.0,851.0,105,02
02110,"Juneau City and Borough, Alaska",30175.0,2014.0,987.0,1027.0,28161.0,14247.0,13914.0,110,02
02122,"Kenai Peninsula Borough, Alaska",51692.0,5003.0,2564.0,2439.0,46689.0,23834.0,22855.0,122,02
02130,"Ketchikan Gateway Borough, Alaska",13018.0,1217.0,549.0,668.0,11801.0,5917.0,5884.0,130,02
02150,"Kodiak Island Borough, Alaska",12805.0,1352.0,765.0,587.0,11453.0,5992.0,5461.0,150,02
02164,"Lake and Peninsula Borough, Alaska",1388.0,307.0,139.0,168.0,1081.0,501.0,580.0,164,02
02170,"Matanuska-Susitna Borough, Alaska",80644.0,8300.0,4347.0,3953.0,72344.0,37274.0,35070.0,170,02
02180,"Nome Census Area, Alaska",8694.0,2013.0,1105.0,908.0,6681.0,3351.0,3330.0,180,02
02185,"North Slope Borough, Alaska",6646.0,984.0,465.0,519.0,5662.0,3080.0,2582.0,185,02
02188,"Northwest Arctic Borough, Alaska",7392.0,1421.0,755.0,666.0,5971.0,3178.0,2793.0,188,02
02195,"Petersburg Census Area, Alaska",3862.0,382.0,261.0,121.0,3480.0,1790.0,1690.0,195,02
02198,"Prince of Wales-Hyder Census Area, Alaska",5545.0,729.0,376.0,353.0,4816.0,2675.0,2141.0,198,02
02220,"Sitka City and Borough, Alaska",8589.0,577.0,276.0,301.0,8012.0,4041.0,3971.0,220,02
02230,"Skagway Municipality, Alaska",1051.0,98.0,82.0,16.0,953.0,530.0,423.0,230,02
02240,"Southeast Fairbanks Census Area, Alaska",6512.0,756.0,275.0,481.0,5756.0,3075.0,2681.0,240,02
02261,"Valdez-Cordova Census Area, Alaska",9523.0,772.0,397.0,375.0,8751.0,4692.0,4059.0,261,02
02270,"Wade Hampton Census Area, Alaska",7524.0,2388.0,1192.0,1196.0,5136.0,2723.0,2413.0,270,02
02275,"Wrangell City and Borough, Alaska",2137.0,210.0,95.0,115.0,1927.0,915.0,1012.0,275,02
02282,"Yakutat City and Borough, Alaska",416.0,14.0,9.0,5.0,402.0,196.0,206.0,282,02
02290,"Yukon-Koyukuk Census Area, Alaska",5749.0,1386.0,729.0,657.0,4363.0,2378.0,1985.0,290,02
01001,"Autauga County, Alabama",49514.0,5103.0,2208.0,2895.0,44411.0,21805.0,22606.0,001,01
01003,"Baldwin County, Alabama",169938.0,20265.0,8905.0,11360.0,149673.0,73875.0,75798.0,003,01
01005,"Barbour County, Alabama",26962.0,6673.0,2445.0,4228.0,20289.0,10719.0,9570.0,005,01
01007,"Bibb County, Alabama",20527.0,2442.0,961.0,1481.0,18085.0,9326.0,8759.0,007,01
01009,"Blount County, Alabama",56199.0,6156.0,2774.0,3382.0,50043.0,25222.0,24821.0,009,01
01011,"Bullock County, Alabama",10606.0,3423.0,1546.0,1877.0,7183.0,4308.0,2875.0,011,01
01013,"Butler County, Alabama",19826.0,4360.0,1885.0,2475.0,15466.0,7525.0,7941.0,013,01
01015,"Calhoun County, Alabama",109760.0,19256.0,7570.0,11686.0,90504.0,44498.0,46006.0,015,01
01017,"Chambers County, Alabama",34418.0,5507.0,2366.0,3141.0,28911.0,13991.0,14920.0,017,01
01019,"Cherokee County, Alabama",24013.0,3517.0,1519.0,1998.0,20496.0,10400.0,10096.0,019,01
