geoid,name,total,below_poverty_level,male_below_poverty_level,female_below_poverty_level,above_poverty_level,male_above_poverty_level,female_above_poverty_level,state
02,Alaska,666059.0,64038.0,31964.0,32074.0,602021.0,311076.0,290945.0,02
01,Alabama,4512909.0,757833.0,317643.0,440190.0,3755076.0,1856139.0,1898937.0,01
05,Arkansas,2755680.0,488788.0,212199.0,276589.0,2266892.0,1130260.0,1136632.0,05
04,Arizona,6204965.0,914040.0,420272.0,493768.0,5290925.0,2667303.0,2623622.0,04
06,California,35543481.0,4694423.0,2152113.0,2542310.0,30849058.0,15522755.0,15326303.0,06
08,Colorado,4737172.0,563574.0,258037.0,305537.0,4173598.0,2112138.0,2061460.0,08
09,Connecticut,3382564.0,295608.0,127799.0,167809.0,3086956.0,1518466.0,1568490.0,09
11,District of Columbia,558565.0,102142.0,43292.0,58850.0,456423.0,219922.0,236501.0,11
10,Delaware,839758.0,88505.0,37499.0,51006.0,751253.0,370337.0,380916.0,10
12,Florida,17811892.0,2346946.0,1034303.0,1312643.0,15464946.0,7657901.0,7807045.0,12
13,Georgia,9228265.0,1384518.0,603205.0,781313.0,7843747.0,3886349.0,3957398.0,13
15,Hawaii,1250787.0,117745.0,52596.0,65149.0,1133042.0,576123.0,556919.0,15
19,Iowa,2875698.0,326922.0,141517.0,185405.0,2548776.0,1277453.0,1271323.0,19
16,Idaho,1457590.0,196121.0,87734.0,108387.0,1261469.0,642797.0,618672.0,16
17,Illinois,12451259.0,1549172.0,680586.0,868586.0,10902087.0,5427717.0,5474370.0,17
18,Indiana,6144219.0,810520.0,352432.0,458088.0,5333699.0,2668177.0,2665522.0,18
20,Kansas,2692061.0,328843.0,146276.0,182567.0,2363218.0,1185072.0,1178146.0,20
21,Kentucky,4125581.0,719746.0,312969.0,406777.0,3405835.0,1697682.0,1708153.0,21
22,Louisiana,4285810.0,789634.0,327541.0,462093.0,3496176.0,1740692.0,1755484.0,22
25,Massachusetts,6283288.0,633667.0,274093.0,359574.0,5649621.0,2775984.0,2873637.0,25
24,Maryland,5496430.0,449770.0,189856.0,259914.0,5046660.0,2457834.0,2588826.0,24
23,Maine,1279612.0,161582.0,68285.0,93297.0,1118030.0,555321.0,562709.0,23
26,Michigan,9800094.0,1417380.0,632195.0,785185.0,8382714.0,4165778.0,4216936.0,26
27,Minnesota,5056956.0,506233.0,227418.0,278815.0,4550723.0,2287958.0,2262765.0,27
29,Missouri,5732785.0,784278.0,341120.0,443158.0,4948507.0,2443699.0,2504808.0,29
28,Mississippi,2821414.0,604204.0,256735.0,347469.0,2217210.0,1101517.0,1115693.0,28
30,Montana,931923.0,136969.0,62184.0,74785.0,794954.0,402300.0,392654.0,30
37,North Carolina,8768580.0,1320816.0,571297.0,749519.0,7447764.0,3686661.0,3761103.0,37
38,North Dakota,613140.0,75114.0,32340.0,42774.0,538026.0,275394.0,262632.0,38
31,Nebraska,1717135.0,201851.0,87326.0,114525.0,1515284.0,765039.0,750245.0,31
33,New Hampshire,1276098.0,98780.0,43444.0,55336.0,1177318.0,587308.0,590010.0,33
34,New Jersey,8471001.0,745925.0,316867.0,429058.0,7725076.0,3814076.0,3911000.0,34
35,New Mexico,1922439.0,347165.0,156917.0,190248.0,1575274.0,787145.0,788129.0,35
32,Nevada,2509251.0,278516.0,126986.0,151530.0,2230735.0,1144177.0,1086558.0,32
36,New York,18892662.0,2615897.0,1143408.0,1472489.0,16276765.0,7991799.0,8284966.0,36
39,Ohio,11194344.0,1526350.0,663132.0,863218.0,9667994.0,4779487.0,4888507.0,39
40,Oklahoma,3490387.0,572111.0,250844.0,321267.0,2918276.0,1456345.0,1461931.0,40
41,Oregon,3649549.0,496433.0,226809.0,269624.0,3153116.0,1574029.0,1579087.0,41
42,Pennsylvania,12081192.0,1462191.0,622816.0,839375.0,10619001.0,5234178.0,5384823.0,42
72,Puerto Rico,3883414.0,1752629.0,807267.0,945362.0,2130785.0,1048905.0,1081880.0,72
44,Rhode Island,1019380.0,118618.0,51690.0,66928.0,900762.0,442473.0,458289.0,44
45,South Carolina,4277311.0,676555.0,286217.0,390338.0,3600756.0,1779311.0,1821445.0,45
46,South Dakota,767143.0,103752.0,46531.0,57221.0,663391.0,335233.0,328158.0,46
47,Tennessee,6001130.0,967189.0,416390.0,550799.0,5033941.0,2499983.0,2533958.0,47
48,Texas,23208156.0,3892532.0,1734113.0,2158419.0,19315624.0,9752455.0,9563169.0,48
49,Utah,2610053.0,271944.0,122157.0,149787.0,2338109.0,1186657.0,1151452.0,49
51,Virginia,7467511.0,752446.0,319483.0,432963.0,6715065.0,3319093.0,3395972.0,51
50,Vermont,599059.0,65749.0,28611.0,37138.0,533310.0,265276.0,268034.0,50
53,Washington,6332211.0,749120.0,340390.0,408730.0,5583091.0,2802980.0,2780111.0,53
55,Wisconsin,5440780.0,605566.0,266237.0,339329.0,4835214.0,2425696.0,2409518.0,55
54,West Virginia,1763346.0,310368.0,136380.0,173988.0,1452978.0,723275.0,729703.0,54
56,Wyoming,509248.0,49051.0,21769.0,27282.0,460197.0,236646.0,223551.0,56
