geoid,name,housing_units,owner_occupied,renter_occupied,state
02,Alaska,171107.0,116073.0,55034.0,02
01,Alabama,1290491.0,1000640.0,289851.0,01
05,Arkansas,874468.0,635068.0,239400.0,05
04,Arizona,1555825.0,1151816.0,404009.0,04
06,California,6519359.0,4293144.0,2226215.0,06
08,Colorado,1450784.0,1058660.0,392124.0,08
09,Connecticut,1037383.0,801636.0,235747.0,09
11,District of Columbia,93110.0,52675.0,40435.0,11
10,Delaware,238144.0,192986.0,45158.0,10
12,Florida,4775042.0,3663632.0,1111410.0,12
13,Georgia,2151751.0,1652616.0,499135.0,13
15,Hawaii,139189.0,74694.0,64495.0,15
19,Iowa,1131531.0,845779.0,285752.0,19
16,Idaho,494220.0,360887.0,133333.0,16
17,Illinois,3406842.0,2611727.0,795115.0,17
18,Indiana,2117172.0,1597519.0,519653.0,18
20,Kansas,926519.0,674382.0,252137.0,20
21,Kentucky,1496488.0,1097362.0,399126.0,21
22,Louisiana,1084409.0,830946.0,253463.0,22
25,Massachusetts,2047145.0,1446567.0,600578.0,25
24,Maryland,1301369.0,1013770.0,287599.0,24
23,Maine,521610.0,385965.0,135645.0,23
26,Michigan,3122134.0,2488709.0,633425.0,26
27,Minnesota,1844768.0,1444786.0,399982.0,27
29,Missouri,1966165.0,1460734.0,505431.0,29
28,Mississippi,675859.0,531482.0,144377.0,28
30,Montana,340472.0,241591.0,98881.0,30
37,North Carolina,2534548.0,1911188.0,623360.0,37
38,North Dakota,252701.0,171714.0,80987.0,38
31,Nebraska,619834.0,439385.0,180449.0,31
33,New Hampshire,475672.0,353104.0,122568.0,33
34,New Jersey,2113590.0,1646578.0,467012.0,34
35,New Mexico,370134.0,270656.0,99478.0,35
32,Nevada,622000.0,413155.0,208845.0,32
36,New York,4744697.0,3195466.0,1549231.0,36
39,Ohio,3811512.0,2834069.0,977443.0,39
40,Oklahoma,1068890.0,775369.0,293521.0,40
41,Oregon,1261487.0,845658.0,415829.0,41
42,Pennsylvania,4153564.0,3138168.0,1015396.0,42
72,Puerto Rico,13589.0,9732.0,3857.0,72
44,Rhode Island,338043.0,232919.0,105124.0,44
45,South Carolina,1165252.0,905651.0,259601.0,45
46,South Dakota,285841.0,204148.0,81693.0,46
47,Tennessee,1929883.0,1442853.0,487030.0,47
48,Texas,4577496.0,3314277.0,1263219.0,48
49,Utah,719527.0,539132.0,180395.0,49
51,Virginia,2097696.0,1573787.0,523909.0,51
50,Vermont,241021.0,174780.0,66241.0,50
53,Washington,2044328.0,1409044.0,635284.0,53
55,Wisconsin,2000122.0,1467186.0,532936.0,55
54,West Virginia,705956.0,532932.0,173024.0,54
56,Wyoming,187505.0,133866.0,53639.0,56
