geoid,name,total,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,county,state,tract,total_no_schooling,total_nursery_to_4th_grade,total_5th_and_6th_grade,total_7th_and_8th_grade,total_9th_grade,total_10th_grade,total_11th_grade,total_12th_grade_no_diploma,total_high_school_graduate,total_less_than_1_year_college,total_1_or_more_years_college,total_associates_degree,total_bachelors_degree,total_masters_degree,total_professional_school_degree,total_doctorate_degree,total_less_than_high_scool,male_less_than_high_scool,female_less_than_high_scool,total_some_college,male_some_college,female_some_college,total_masters_or_higher,male_masters_or_higher,female_masters_or_higher,total_bachelors_or_higher,male_bachelors_or_higher,female_bachelors_or_higher
20155000400,"Census Tract 4, Reno County, Kansas",2297.0,1108.0,0.0,10.0,9.0,0.0,10.0,21.0,125.0,13.0,489.0,84.0,123.0,111.0,92.0,11.0,10.0,0.0,1189.0,0.0,0.0,0.0,0.0,18.0,70.0,0.0,0.0,428.0,174.0,292.0,115.0,74.0,18.0,0.0,0.0,155,20,000400,0.0,10.0,9.0,0.0,28.0,91.0,125.0,13.0,917.0,258.0,415.0,226.0,166.0,29.0,10.0,0.0,276.0,188.0,88.0,673.0,207.0,466.0,39.0,21.0,18.0,205.0,113.0,92.0
20155000500,"Census Tract 5, Reno County, Kansas",3744.0,1909.0,23.0,0.0,19.0,26.0,29.0,70.0,156.0,17.0,549.0,117.0,294.0,149.0,395.0,39.0,26.0,0.0,1835.0,27.0,0.0,0.0,24.0,95.0,22.0,66.0,9.0,404.0,196.0,427.0,159.0,303.0,84.0,10.0,9.0,155,20,000500,50.0,0.0,19.0,50.0,124.0,92.0,222.0,26.0,953.0,313.0,721.0,308.0,698.0,123.0,36.0,9.0,583.0,340.0,243.0,1034.0,411.0,623.0,168.0,65.0,103.0,866.0,460.0,406.0
20155000600,"Census Tract 6, Reno County, Kansas",1851.0,1084.0,0.0,30.0,0.0,69.0,18.0,15.0,87.0,8.0,441.0,134.0,228.0,12.0,32.0,10.0,0.0,0.0,767.0,12.0,0.0,0.0,0.0,8.0,10.0,6.0,0.0,222.0,115.0,308.0,37.0,41.0,8.0,0.0,0.0,155,20,000600,12.0,30.0,0.0,69.0,26.0,25.0,93.0,8.0,663.0,249.0,536.0,49.0,73.0,18.0,0.0,0.0,263.0,227.0,36.0,785.0,362.0,423.0,18.0,10.0,8.0,91.0,42.0,49.0
20155000700,"Census Tract 7, Reno County, Kansas",3455.0,1533.0,0.0,0.0,0.0,72.0,41.0,61.0,28.0,14.0,608.0,255.0,251.0,150.0,53.0,0.0,0.0,0.0,1922.0,0.0,0.0,10.0,11.0,68.0,46.0,60.0,36.0,716.0,325.0,183.0,316.0,101.0,50.0,0.0,0.0,155,20,000700,0.0,0.0,10.0,83.0,109.0,107.0,88.0,50.0,1324.0,580.0,434.0,466.0,154.0,50.0,0.0,0.0,447.0,216.0,231.0,1014.0,506.0,508.0,50.0,0.0,50.0,204.0,53.0,151.0
20155000800,"Census Tract 8, Reno County, Kansas",2208.0,1517.0,14.0,7.0,28.0,72.0,71.0,57.0,145.0,22.0,736.0,55.0,239.0,27.0,23.0,21.0,0.0,0.0,691.0,23.0,0.0,18.0,56.0,28.0,0.0,49.0,0.0,196.0,76.0,126.0,60.0,18.0,41.0,0.0,0.0,155,20,000800,37.0,7.0,46.0,128.0,99.0,57.0,194.0,22.0,932.0,131.0,365.0,87.0,41.0,62.0,0.0,0.0,590.0,416.0,174.0,496.0,294.0,202.0,62.0,21.0,41.0,103.0,44.0,59.0
20155001000,"Census Tract 10, Reno County, Kansas",1527.0,701.0,10.0,0.0,0.0,35.0,0.0,29.0,33.0,11.0,198.0,69.0,213.0,39.0,53.0,11.0,0.0,0.0,826.0,0.0,0.0,0.0,31.0,33.0,53.0,20.0,75.0,247.0,76.0,184.0,97.0,10.0,0.0,0.0,0.0,155,20,001000,10.0,0.0,0.0,66.0,33.0,82.0,53.0,86.0,445.0,145.0,397.0,136.0,63.0,11.0,0.0,0.0,330.0,118.0,212.0,542.0,282.0,260.0,11.0,11.0,0.0,74.0,64.0,10.0
20155001100,"Census Tract 11, Reno County, Kansas",3897.0,2197.0,9.0,9.0,0.0,20.0,39.0,57.0,54.0,46.0,731.0,196.0,334.0,225.0,369.0,67.0,34.0,7.0,1700.0,9.0,0.0,0.0,45.0,0.0,14.0,0.0,50.0,473.0,122.0,289.0,233.0,381.0,66.0,18.0,0.0,155,20,001100,18.0,9.0,0.0,65.0,39.0,71.0,54.0,96.0,1204.0,318.0,623.0,458.0,750.0,133.0,52.0,7.0,352.0,234.0,118.0,941.0,530.0,411.0,192.0,108.0,84.0,942.0,477.0,465.0
20155001200,"Census Tract 12, Reno County, Kansas",2804.0,1342.0,0.0,0.0,0.0,13.0,23.0,0.0,23.0,22.0,397.0,85.0,272.0,105.0,257.0,81.0,36.0,28.0,1462.0,12.0,10.0,0.0,35.0,16.0,10.0,38.0,13.0,402.0,166.0,279.0,145.0,170.0,158.0,8.0,0.0,155,20,001200,12.0,10.0,0.0,48.0,39.0,10.0,61.0,35.0,799.0,251.0,551.0,250.0,427.0,239.0,44.0,28.0,215.0,81.0,134.0,802.0,357.0,445.0,311.0,145.0,166.0,738.0,402.0,336.0
20155001300,"Census Tract 13, Reno County, Kansas",1777.0,758.0,0.0,0.0,0.0,34.0,30.0,21.0,28.0,39.0,297.0,81.0,122.0,33.0,59.0,0.0,6.0,8.0,1019.0,13.0,0.0,0.0,67.0,30.0,41.0,54.0,0.0,350.0,84.0,213.0,76.0,84.0,7.0,0.0,0.0,155,20,001300,13.0,0.0,0.0,101.0,60.0,62.0,82.0,39.0,647.0,165.0,335.0,109.0,143.0,7.0,6.0,8.0,357.0,152.0,205.0,500.0,203.0,297.0,21.0,14.0,7.0,164.0,73.0,91.0
20155001400,"Census Tract 14, Reno County, Kansas",2996.0,1437.0,0.0,0.0,0.0,109.0,27.0,22.0,27.0,20.0,531.0,105.0,267.0,148.0,126.0,53.0,2.0,0.0,1559.0,2.0,0.0,0.0,100.0,31.0,35.0,30.0,18.0,571.0,179.0,265.0,154.0,142.0,32.0,0.0,0.0,155,20,001400,2.0,0.0,0.0,209.0,58.0,57.0,57.0,38.0,1102.0,284.0,532.0,302.0,268.0,85.0,2.0,0.0,421.0,205.0,216.0,816.0,372.0,444.0,87.0,55.0,32.0,355.0,181.0,174.0
20155001500,"Census Tract 15, Reno County, Kansas",2320.0,1127.0,0.0,0.0,0.0,55.0,8.0,33.0,34.0,26.0,284.0,153.0,146.0,78.0,211.0,60.0,39.0,0.0,1193.0,3.0,0.0,0.0,13.0,6.0,21.0,17.0,12.0,385.0,121.0,160.0,128.0,223.0,90.0,3.0,11.0,155,20,001500,3.0,0.0,0.0,68.0,14.0,54.0,51.0,38.0,669.0,274.0,306.0,206.0,434.0,150.0,42.0,11.0,228.0,156.0,72.0,580.0,299.0,281.0,203.0,99.0,104.0,637.0,310.0,327.0
20155001600,"Census Tract 16, Reno County, Kansas",1275.0,635.0,0.0,0.0,0.0,22.0,26.0,17.0,8.0,19.0,262.0,29.0,113.0,38.0,77.0,24.0,0.0,0.0,640.0,10.0,0.0,0.0,1.0,0.0,0.0,6.0,14.0,261.0,62.0,79.0,70.0,121.0,13.0,3.0,0.0,155,20,001600,10.0,0.0,0.0,23.0,26.0,17.0,14.0,33.0,523.0,91.0,192.0,108.0,198.0,37.0,3.0,0.0,123.0,92.0,31.0,283.0,142.0,141.0,40.0,24.0,16.0,238.0,101.0,137.0
20155001700,"Census Tract 17, Reno County, Kansas",1670.0,826.0,0.0,0.0,7.0,18.0,8.0,19.0,16.0,13.0,364.0,52.0,157.0,67.0,78.0,26.0,1.0,0.0,844.0,5.0,0.0,2.0,22.0,7.0,23.0,30.0,34.0,289.0,107.0,146.0,36.0,131.0,12.0,0.0,0.0,155,20,001700,5.0,0.0,9.0,40.0,15.0,42.0,46.0,47.0,653.0,159.0,303.0,103.0,209.0,38.0,1.0,0.0,204.0,81.0,123.0,462.0,209.0,253.0,39.0,27.0,12.0,248.0,105.0,143.0
20155001800,"Census Tract 18, Reno County, Kansas",1463.0,744.0,3.0,0.0,0.0,4.0,13.0,10.0,1.0,3.0,234.0,87.0,139.0,70.0,128.0,36.0,13.0,3.0,719.0,0.0,0.0,0.0,29.0,0.0,31.0,15.0,3.0,200.0,52.0,158.0,65.0,140.0,20.0,6.0,0.0,155,20,001800,3.0,0.0,0.0,33.0,13.0,41.0,16.0,6.0,434.0,139.0,297.0,135.0,268.0,56.0,19.0,3.0,112.0,34.0,78.0,436.0,226.0,210.0,78.0,52.0,26.0,346.0,180.0,166.0
20157978100,"Census Tract 9781, Republic County, Kansas",812.0,424.0,0.0,0.0,0.0,26.0,1.0,9.0,2.0,2.0,161.0,34.0,113.0,33.0,35.0,8.0,0.0,0.0,388.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,174.0,31.0,61.0,75.0,30.0,8.0,0.0,0.0,157,20,978100,6.0,0.0,0.0,26.0,1.0,11.0,3.0,2.0,335.0,65.0,174.0,108.0,65.0,16.0,0.0,0.0,49.0,40.0,9.0,239.0,147.0,92.0,16.0,8.0,8.0,81.0,43.0,38.0
20157978200,"Census Tract 9782, Republic County, Kansas",1225.0,605.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,236.0,41.0,100.0,55.0,101.0,30.0,31.0,0.0,620.0,3.0,0.0,2.0,0.0,2.0,3.0,5.0,6.0,189.0,70.0,110.0,69.0,127.0,28.0,6.0,0.0,157,20,978200,6.0,2.0,2.0,0.0,2.0,9.0,5.0,6.0,425.0,111.0,210.0,124.0,228.0,58.0,37.0,0.0,32.0,11.0,21.0,321.0,141.0,180.0,95.0,61.0,34.0,323.0,162.0,161.0
