geoid,name,total,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,county,state,tract,total_no_schooling,total_nursery_to_4th_grade,total_5th_and_6th_grade,total_7th_and_8th_grade,total_9th_grade,total_10th_grade,total_11th_grade,total_12th_grade_no_diploma,total_high_school_graduate,total_less_than_1_year_college,total_1_or_more_years_college,total_associates_degree,total_bachelors_degree,total_masters_degree,total_professional_school_degree,total_doctorate_degree,total_less_than_high_scool,male_less_than_high_scool,female_less_than_high_scool,total_some_college,male_some_college,female_some_college,total_masters_or_higher,male_masters_or_higher,female_masters_or_higher,total_bachelors_or_higher,male_bachelors_or_higher,female_bachelors_or_higher
28001000100,"Census Tract 1, Adams County, Mississippi",3655.0,1645.0,31.0,0.0,39.0,33.0,54.0,136.0,23.0,21.0,506.0,139.0,320.0,71.0,150.0,90.0,32.0,0.0,2010.0,63.0,14.0,27.0,94.0,78.0,56.0,90.0,27.0,687.0,75.0,262.0,123.0,288.0,115.0,11.0,0.0,001,28,000100,94.0,14.0,66.0,127.0,132.0,192.0,113.0,48.0,1193.0,214.0,582.0,194.0,438.0,205.0,43.0,0.0,786.0,337.0,449.0,796.0,459.0,337.0,248.0,122.0,126.0,686.0,272.0,414.0
28001000200,"Census Tract 2, Adams County, Mississippi",2948.0,1266.0,46.0,12.0,11.0,44.0,10.0,57.0,92.0,81.0,466.0,18.0,237.0,76.0,60.0,46.0,0.0,10.0,1682.0,18.0,10.0,11.0,52.0,57.0,25.0,55.0,16.0,498.0,129.0,270.0,191.0,227.0,123.0,0.0,0.0,001,28,000200,64.0,22.0,22.0,96.0,67.0,82.0,147.0,97.0,964.0,147.0,507.0,267.0,287.0,169.0,0.0,10.0,597.0,353.0,244.0,654.0,255.0,399.0,179.0,56.0,123.0,466.0,116.0,350.0
28001000300,"Census Tract 3, Adams County, Mississippi",1580.0,622.0,0.0,14.0,12.0,9.0,0.0,21.0,42.0,17.0,269.0,9.0,71.0,99.0,39.0,10.0,10.0,0.0,958.0,5.0,15.0,9.0,69.0,9.0,72.0,23.0,25.0,372.0,30.0,89.0,45.0,91.0,91.0,0.0,13.0,001,28,000300,5.0,29.0,21.0,78.0,9.0,93.0,65.0,42.0,641.0,39.0,160.0,144.0,130.0,101.0,10.0,13.0,342.0,115.0,227.0,199.0,80.0,119.0,124.0,20.0,104.0,254.0,59.0,195.0
28001000400,"Census Tract 4, Adams County, Mississippi",2207.0,1052.0,0.0,96.0,0.0,87.0,45.0,122.0,13.0,67.0,444.0,0.0,102.0,40.0,25.0,11.0,0.0,0.0,1155.0,26.0,0.0,0.0,52.0,87.0,150.0,100.0,16.0,368.0,29.0,133.0,67.0,43.0,70.0,0.0,14.0,001,28,000400,26.0,96.0,0.0,139.0,132.0,272.0,113.0,83.0,812.0,29.0,235.0,107.0,68.0,81.0,0.0,14.0,861.0,430.0,431.0,264.0,102.0,162.0,95.0,11.0,84.0,163.0,36.0,127.0
28001000500,"Census Tract 5, Adams County, Mississippi",2360.0,1107.0,12.0,9.0,0.0,0.0,36.0,149.0,21.0,21.0,403.0,114.0,215.0,87.0,0.0,31.0,9.0,0.0,1253.0,35.0,0.0,11.0,27.0,21.0,28.0,8.0,48.0,493.0,80.0,187.0,117.0,150.0,48.0,0.0,0.0,001,28,000500,47.0,9.0,11.0,27.0,57.0,177.0,29.0,69.0,896.0,194.0,402.0,204.0,150.0,79.0,9.0,0.0,426.0,248.0,178.0,596.0,329.0,267.0,88.0,40.0,48.0,238.0,40.0,198.0
28001000600,"Census Tract 6, Adams County, Mississippi",1416.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,208.0,114.0,110.0,20.0,69.0,33.0,8.0,0.0,839.0,7.0,0.0,0.0,9.0,15.0,13.0,28.0,0.0,225.0,28.0,181.0,26.0,113.0,184.0,0.0,10.0,001,28,000600,7.0,0.0,0.0,9.0,15.0,13.0,43.0,0.0,433.0,142.0,291.0,46.0,182.0,217.0,8.0,10.0,87.0,15.0,72.0,433.0,224.0,209.0,235.0,41.0,194.0,417.0,110.0,307.0
28001000700,"Census Tract 7, Adams County, Mississippi",1679.0,884.0,27.0,77.0,24.0,9.0,87.0,27.0,9.0,28.0,173.0,35.0,57.0,76.0,140.0,25.0,72.0,18.0,795.0,42.0,0.0,8.0,9.0,16.0,77.0,16.0,21.0,178.0,77.0,115.0,11.0,152.0,23.0,11.0,39.0,001,28,000700,69.0,77.0,32.0,18.0,103.0,104.0,25.0,49.0,351.0,112.0,172.0,87.0,292.0,48.0,83.0,57.0,477.0,288.0,189.0,284.0,92.0,192.0,188.0,115.0,73.0,480.0,255.0,225.0
28001000800,"Census Tract 8, Adams County, Mississippi",2349.0,1107.0,7.0,16.0,55.0,23.0,55.0,28.0,56.0,0.0,330.0,81.0,197.0,54.0,113.0,48.0,34.0,10.0,1242.0,0.0,10.0,9.0,63.0,63.0,50.0,8.0,103.0,442.0,20.0,109.0,77.0,152.0,114.0,22.0,0.0,001,28,000800,7.0,26.0,64.0,86.0,118.0,78.0,64.0,103.0,772.0,101.0,306.0,131.0,265.0,162.0,56.0,10.0,546.0,240.0,306.0,407.0,278.0,129.0,228.0,92.0,136.0,493.0,205.0,288.0
28001000900,"Census Tract 9, Adams County, Mississippi",2976.0,1389.0,0.0,0.0,0.0,5.0,11.0,9.0,38.0,9.0,456.0,46.0,351.0,53.0,321.0,56.0,26.0,8.0,1587.0,0.0,0.0,0.0,0.0,16.0,18.0,53.0,30.0,398.0,111.0,281.0,204.0,246.0,148.0,82.0,0.0,001,28,000900,0.0,0.0,0.0,5.0,27.0,27.0,91.0,39.0,854.0,157.0,632.0,257.0,567.0,204.0,108.0,8.0,189.0,72.0,117.0,789.0,397.0,392.0,320.0,90.0,230.0,887.0,411.0,476.0
28003950100,"Census Tract 9501, Alcorn County, Mississippi",4038.0,2021.0,18.0,50.0,18.0,43.0,35.0,50.0,78.0,62.0,733.0,143.0,359.0,154.0,222.0,13.0,43.0,0.0,2017.0,5.0,0.0,58.0,93.0,67.0,49.0,58.0,14.0,905.0,84.0,184.0,201.0,205.0,47.0,17.0,30.0,003,28,950100,23.0,50.0,76.0,136.0,102.0,99.0,136.0,76.0,1638.0,227.0,543.0,355.0,427.0,60.0,60.0,30.0,698.0,354.0,344.0,770.0,502.0,268.0,150.0,56.0,94.0,577.0,278.0,299.0
28003950200,"Census Tract 9502, Alcorn County, Mississippi",5295.0,2365.0,10.0,0.0,0.0,119.0,24.0,63.0,69.0,62.0,559.0,139.0,365.0,277.0,489.0,79.0,110.0,0.0,2930.0,0.0,0.0,0.0,134.0,40.0,155.0,19.0,58.0,1072.0,106.0,424.0,251.0,480.0,166.0,25.0,0.0,003,28,950200,10.0,0.0,0.0,253.0,64.0,218.0,88.0,120.0,1631.0,245.0,789.0,528.0,969.0,245.0,135.0,0.0,753.0,347.0,406.0,1034.0,504.0,530.0,380.0,189.0,191.0,1349.0,678.0,671.0
28003950300,"Census Tract 9503, Alcorn County, Mississippi",2563.0,1189.0,7.0,7.0,52.0,35.0,37.0,79.0,17.0,31.0,348.0,87.0,100.0,145.0,197.0,21.0,17.0,9.0,1374.0,9.0,0.0,41.0,84.0,55.0,61.0,42.0,13.0,521.0,66.0,181.0,71.0,140.0,90.0,0.0,0.0,003,28,950300,16.0,7.0,93.0,119.0,92.0,140.0,59.0,44.0,869.0,153.0,281.0,216.0,337.0,111.0,17.0,9.0,570.0,265.0,305.0,434.0,187.0,247.0,137.0,47.0,90.0,474.0,244.0,230.0
28003950400,"Census Tract 9504, Alcorn County, Mississippi",3376.0,1656.0,25.0,4.0,9.0,127.0,30.0,48.0,121.0,74.0,698.0,115.0,122.0,80.0,144.0,46.0,3.0,10.0,1720.0,0.0,0.0,11.0,122.0,50.0,131.0,87.0,46.0,685.0,40.0,95.0,176.0,170.0,100.0,7.0,0.0,003,28,950400,25.0,4.0,20.0,249.0,80.0,179.0,208.0,120.0,1383.0,155.0,217.0,256.0,314.0,146.0,10.0,10.0,885.0,438.0,447.0,372.0,237.0,135.0,166.0,59.0,107.0,480.0,203.0,277.0
28003950500,"Census Tract 9505, Alcorn County, Mississippi",3835.0,1649.0,55.0,9.0,7.0,49.0,170.0,144.0,63.0,14.0,549.0,130.0,149.0,67.0,216.0,27.0,0.0,0.0,2186.0,0.0,0.0,91.0,146.0,147.0,118.0,140.0,61.0,750.0,220.0,187.0,87.0,202.0,37.0,0.0,0.0,003,28,950500,55.0,9.0,98.0,195.0,317.0,262.0,203.0,75.0,1299.0,350.0,336.0,154.0,418.0,64.0,0.0,0.0,1214.0,511.0,703.0,686.0,279.0,407.0,64.0,27.0,37.0,482.0,243.0,239.0
28003950600,"Census Tract 9506, Alcorn County, Mississippi",3070.0,1589.0,11.0,38.0,114.0,106.0,35.0,51.0,148.0,9.0,567.0,103.0,218.0,65.0,117.0,7.0,0.0,0.0,1481.0,11.0,6.0,9.0,80.0,84.0,52.0,103.0,41.0,587.0,35.0,102.0,187.0,121.0,59.0,2.0,2.0,003,28,950600,22.0,44.0,123.0,186.0,119.0,103.0,251.0,50.0,1154.0,138.0,320.0,252.0,238.0,66.0,2.0,2.0,898.0,512.0,386.0,458.0,321.0,137.0,70.0,7.0,63.0,308.0,124.0,184.0
28003950700,"Census Tract 9507, Alcorn County, Mississippi",2766.0,1330.0,10.0,13.0,36.0,53.0,19.0,120.0,62.0,33.0,576.0,54.0,128.0,66.0,80.0,57.0,23.0,0.0,1436.0,19.0,6.0,76.0,82.0,24.0,60.0,56.0,34.0,496.0,25.0,198.0,197.0,90.0,57.0,16.0,0.0,003,28,950700,29.0,19.0,112.0,135.0,43.0,180.0,118.0,67.0,1072.0,79.0,326.0,263.0,170.0,114.0,39.0,0.0,703.0,346.0,357.0,405.0,182.0,223.0,153.0,80.0,73.0,323.0,160.0,163.0
28005950100,"Census Tract 9501, Amite County, Mississippi",3522.0,1682.0,192.0,16.0,56.0,72.0,11.0,66.0,97.0,55.0,660.0,68.0,191.0,79.0,85.0,34.0,0.0,0.0,1840.0,4.0,46.0,43.0,149.0,66.0,26.0,18.0,63.0,874.0,177.0,91.0,51.0,131.0,87.0,14.0,0.0,005,28,950100,196.0,62.0,99.0,221.0,77.0,92.0,115.0,118.0,1534.0,245.0,282.0,130.0,216.0,121.0,14.0,0.0,980.0,565.0,415.0,527.0,259.0,268.0,135.0,34.0,101.0,351.0,119.0,232.0
28005950200,"Census Tract 9502, Amite County, Mississippi",2706.0,1268.0,8.0,4.0,26.0,46.0,25.0,30.0,184.0,53.0,488.0,107.0,173.0,22.0,87.0,3.0,10.0,2.0,1438.0,0.0,4.0,75.0,54.0,64.0,80.0,38.0,12.0,505.0,98.0,280.0,66.0,91.0,58.0,4.0,9.0,005,28,950200,8.0,8.0,101.0,100.0,89.0,110.0,222.0,65.0,993.0,205.0,453.0,88.0,178.0,61.0,14.0,11.0,703.0,376.0,327.0,658.0,280.0,378.0,86.0,15.0,71.0,264.0,102.0,162.0
28005950300,"Census Tract 9503, Amite County, Mississippi",2851.0,1335.0,47.0,55.0,60.0,91.0,86.0,22.0,30.0,7.0,543.0,47.0,203.0,59.0,58.0,0.0,20.0,7.0,1516.0,12.0,18.0,14.0,68.0,36.0,28.0,53.0,47.0,472.0,106.0,403.0,126.0,100.0,27.0,0.0,6.0,005,28,950300,59.0,73.0,74.0,159.0,122.0,50.0,83.0,54.0,1015.0,153.0,606.0,185.0,158.0,27.0,20.0,13.0,674.0,398.0,276.0,759.0,250.0,509.0,60.0,27.0,33.0,218.0,85.0,133.0
28007060100,"Census Tract 601, Attala County, Mississippi",2231.0,1148.0,20.0,60.0,24.0,89.0,9.0,73.0,41.0,0.0,502.0,38.0,163.0,39.0,30.0,36.0,11.0,13.0,1083.0,9.0,10.0,25.0,32.0,57.0,68.0,47.0,0.0,276.0,95.0,145.0,83.0,197.0,30.0,9.0,0.0,007,28,060100,29.0,70.0,49.0,121.0,66.0,141.0,88.0,0.0,778.0,133.0,308.0,122.0,227.0,66.0,20.0,13.0,564.0,316.0,248.0,441.0,201.0,240.0,99.0,60.0,39.0,326.0,90.0,236.0
28007060200,"Census Tract 602, Attala County, Mississippi",1575.0,706.0,0.0,0.0,14.0,20.0,0.0,64.0,59.0,13.0,255.0,36.0,54.0,26.0,66.0,75.0,24.0,0.0,869.0,49.0,11.0,33.0,10.0,31.0,92.0,84.0,13.0,214.0,43.0,78.0,92.0,65.0,47.0,0.0,7.0,007,28,060200,49.0,11.0,47.0,30.0,31.0,156.0,143.0,26.0,469.0,79.0,132.0,118.0,131.0,122.0,24.0,7.0,493.0,170.0,323.0,211.0,90.0,121.0,153.0,99.0,54.0,284.0,165.0,119.0
28007060300,"Census Tract 603, Attala County, Mississippi",2412.0,1200.0,47.0,25.0,47.0,130.0,47.0,190.0,55.0,73.0,341.0,62.0,108.0,42.0,33.0,0.0,0.0,0.0,1212.0,10.0,0.0,9.0,118.0,42.0,48.0,94.0,0.0,441.0,43.0,173.0,83.0,124.0,27.0,0.0,0.0,007,28,060300,57.0,25.0,56.0,248.0,89.0,238.0,149.0,73.0,782.0,105.0,281.0,125.0,157.0,27.0,0.0,0.0,935.0,614.0,321.0,386.0,170.0,216.0,27.0,0.0,27.0,184.0,33.0,151.0
28007060400,"Census Tract 604, Attala County, Mississippi",2245.0,1072.0,11.0,15.0,25.0,26.0,97.0,52.0,91.0,8.0,319.0,46.0,169.0,41.0,107.0,42.0,23.0,0.0,1173.0,18.0,0.0,0.0,31.0,37.0,33.0,57.0,7.0,436.0,18.0,324.0,80.0,82.0,50.0,0.0,0.0,007,28,060400,29.0,15.0,25.0,57.0,134.0,85.0,148.0,15.0,755.0,64.0,493.0,121.0,189.0,92.0,23.0,0.0,508.0,325.0,183.0,557.0,215.0,342.0,115.0,65.0,50.0,304.0,172.0,132.0
28007060500,"Census Tract 605, Attala County, Mississippi",2341.0,994.0,0.0,13.0,38.0,62.0,0.0,84.0,95.0,36.0,183.0,58.0,77.0,50.0,140.0,69.0,79.0,10.0,1347.0,0.0,10.0,43.0,0.0,33.0,75.0,85.0,48.0,323.0,32.0,253.0,98.0,206.0,105.0,36.0,0.0,007,28,060500,0.0,23.0,81.0,62.0,33.0,159.0,180.0,84.0,506.0,90.0,330.0,148.0,346.0,174.0,115.0,10.0,622.0,328.0,294.0,420.0,135.0,285.0,299.0,158.0,141.0,645.0,298.0,347.0
28007060600,"Census Tract 606, Attala County, Mississippi",2022.0,805.0,63.0,0.0,16.0,44.0,0.0,33.0,15.0,43.0,160.0,72.0,127.0,72.0,101.0,50.0,9.0,0.0,1217.0,18.0,7.0,37.0,56.0,92.0,33.0,27.0,4.0,225.0,116.0,223.0,95.0,241.0,33.0,10.0,0.0,007,28,060600,81.0,7.0,53.0,100.0,92.0,66.0,42.0,47.0,385.0,188.0,350.0,167.0,342.0,83.0,19.0,0.0,488.0,214.0,274.0,538.0,199.0,339.0,102.0,59.0,43.0,444.0,160.0,284.0
28009950100,"Census Tract 9501, Benton County, Mississippi",4210.0,2067.0,74.0,40.0,49.0,124.0,182.0,84.0,186.0,29.0,686.0,52.0,237.0,138.0,137.0,12.0,0.0,37.0,2143.0,39.0,15.0,95.0,52.0,48.0,142.0,248.0,14.0,895.0,95.0,190.0,134.0,88.0,81.0,7.0,0.0,009,28,950100,113.0,55.0,144.0,176.0,230.0,226.0,434.0,43.0,1581.0,147.0,427.0,272.0,225.0,93.0,7.0,37.0,1421.0,768.0,653.0,574.0,289.0,285.0,137.0,49.0,88.0,362.0,186.0,176.0
