geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,state,tract
09003417400,"Census Tract 4174, Hartford County, Connecticut",1437.0,94.0,56.0,34.0,65.0,16.0,100.0,17.0,95.0,83.0,161.0,209.0,218.0,142.0,47.0,100.0,0.0,003,09,417400
09003417500,"Census Tract 4175, Hartford County, Connecticut",1976.0,44.0,116.0,122.0,161.0,86.0,69.0,105.0,102.0,100.0,245.0,228.0,368.0,149.0,18.0,55.0,8.0,003,09,417500
09003420400,"Census Tract 4204, Hartford County, Connecticut",1042.0,12.0,29.0,9.0,38.0,21.0,27.0,31.0,75.0,17.0,64.0,114.0,304.0,203.0,58.0,33.0,7.0,003,09,420400
09003420500,"Census Tract 4205, Hartford County, Connecticut",2413.0,145.0,78.0,111.0,167.0,155.0,90.0,126.0,63.0,23.0,204.0,387.0,384.0,243.0,98.0,82.0,57.0,003,09,420500
09003420600,"Census Tract 4206, Hartford County, Connecticut",2544.0,93.0,131.0,149.0,83.0,64.0,159.0,269.0,77.0,69.0,334.0,222.0,362.0,169.0,177.0,127.0,59.0,003,09,420600
09003420700,"Census Tract 4207, Hartford County, Connecticut",1423.0,34.0,46.0,18.0,33.0,49.0,72.0,41.0,48.0,59.0,108.0,249.0,247.0,213.0,72.0,81.0,53.0,003,09,420700
09003430100,"Census Tract 4301, Hartford County, Connecticut",1679.0,67.0,129.0,71.0,137.0,95.0,53.0,89.0,60.0,82.0,128.0,162.0,206.0,152.0,143.0,81.0,24.0,003,09,430100
09003430201,"Census Tract 4302.01, Hartford County, Connecticut",1310.0,15.0,20.0,20.0,33.0,128.0,61.0,17.0,68.0,0.0,182.0,96.0,200.0,201.0,103.0,74.0,92.0,003,09,430201
09003430202,"Census Tract 4302.02, Hartford County, Connecticut",1677.0,40.0,10.0,22.0,52.0,47.0,30.0,27.0,31.0,72.0,106.0,96.0,273.0,218.0,225.0,225.0,203.0,003,09,430202
09003430203,"Census Tract 4302.03, Hartford County, Connecticut",1834.0,66.0,110.0,34.0,114.0,160.0,64.0,47.0,32.0,95.0,111.0,125.0,310.0,261.0,107.0,129.0,69.0,003,09,430203
09003430301,"Census Tract 4303.01, Hartford County, Connecticut",1197.0,0.0,21.0,25.0,33.0,12.0,23.0,31.0,38.0,24.0,30.0,143.0,188.0,136.0,151.0,222.0,120.0,003,09,430301
09003430302,"Census Tract 4303.02, Hartford County, Connecticut",1067.0,40.0,9.0,36.0,35.0,22.0,46.0,61.0,11.0,47.0,96.0,154.0,189.0,105.0,117.0,74.0,25.0,003,09,430302
