geoid,name,total,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,county,state,tract,total_no_schooling,total_nursery_to_4th_grade,total_5th_and_6th_grade,total_7th_and_8th_grade,total_9th_grade,total_10th_grade,total_11th_grade,total_12th_grade_no_diploma,total_high_school_graduate,total_less_than_1_year_college,total_1_or_more_years_college,total_associates_degree,total_bachelors_degree,total_masters_degree,total_professional_school_degree,total_doctorate_degree,total_less_than_high_scool,male_less_than_high_scool,female_less_than_high_scool,total_some_college,male_some_college,female_some_college,total_masters_or_higher,male_masters_or_higher,female_masters_or_higher,total_bachelors_or_higher,male_bachelors_or_higher,female_bachelors_or_higher
51031020700,"Census Tract 207, Campbell County, Virginia",2367.0,937.0,14.0,0.0,19.0,95.0,24.0,33.0,48.0,5.0,315.0,76.0,78.0,84.0,124.0,0.0,10.0,12.0,1430.0,17.0,19.0,8.0,69.0,36.0,84.0,35.0,12.0,513.0,122.0,189.0,109.0,161.0,46.0,10.0,0.0,031,51,020700,31.0,19.0,27.0,164.0,60.0,117.0,83.0,17.0,828.0,198.0,267.0,193.0,285.0,46.0,20.0,12.0,518.0,238.0,280.0,465.0,154.0,311.0,78.0,22.0,56.0,363.0,146.0,217.0
51031020800,"Census Tract 208, Campbell County, Virginia",1934.0,962.0,9.0,29.0,32.0,101.0,23.0,153.0,16.0,19.0,299.0,79.0,89.0,48.0,55.0,0.0,10.0,0.0,972.0,18.0,0.0,33.0,21.0,23.0,43.0,36.0,17.0,333.0,61.0,143.0,108.0,80.0,56.0,0.0,0.0,031,51,020800,27.0,29.0,65.0,122.0,46.0,196.0,52.0,36.0,632.0,140.0,232.0,156.0,135.0,56.0,10.0,0.0,573.0,382.0,191.0,372.0,168.0,204.0,66.0,10.0,56.0,201.0,65.0,136.0
51031020900,"Census Tract 209, Campbell County, Virginia",2720.0,1295.0,17.0,40.0,20.0,100.0,18.0,53.0,46.0,13.0,518.0,61.0,177.0,75.0,120.0,18.0,19.0,0.0,1425.0,5.0,64.0,30.0,64.0,57.0,99.0,60.0,6.0,478.0,81.0,249.0,99.0,99.0,34.0,0.0,0.0,031,51,020900,22.0,104.0,50.0,164.0,75.0,152.0,106.0,19.0,996.0,142.0,426.0,174.0,219.0,52.0,19.0,0.0,692.0,307.0,385.0,568.0,238.0,330.0,71.0,37.0,34.0,290.0,157.0,133.0
51033030100,"Census Tract 301, Caroline County, Virginia",2713.0,1409.0,36.0,26.0,13.0,29.0,38.0,74.0,71.0,18.0,605.0,41.0,149.0,61.0,204.0,31.0,11.0,2.0,1304.0,14.0,0.0,8.0,65.0,47.0,97.0,57.0,34.0,528.0,64.0,138.0,70.0,160.0,22.0,0.0,0.0,033,51,030100,50.0,26.0,21.0,94.0,85.0,171.0,128.0,52.0,1133.0,105.0,287.0,131.0,364.0,53.0,11.0,2.0,627.0,305.0,322.0,392.0,190.0,202.0,66.0,44.0,22.0,430.0,248.0,182.0
51033030201,"Census Tract 302.01, Caroline County, Virginia",1497.0,806.0,0.0,0.0,0.0,13.0,13.0,89.0,68.0,15.0,227.0,21.0,144.0,10.0,139.0,52.0,0.0,15.0,691.0,0.0,0.0,0.0,31.0,11.0,67.0,33.0,0.0,217.0,35.0,186.0,26.0,76.0,9.0,0.0,0.0,033,51,030201,0.0,0.0,0.0,44.0,24.0,156.0,101.0,15.0,444.0,56.0,330.0,36.0,215.0,61.0,0.0,15.0,340.0,198.0,142.0,386.0,165.0,221.0,76.0,67.0,9.0,291.0,206.0,85.0
51033030202,"Census Tract 302.02, Caroline County, Virginia",1269.0,526.0,13.0,0.0,0.0,26.0,39.0,9.0,0.0,17.0,208.0,31.0,17.0,75.0,69.0,0.0,14.0,8.0,743.0,0.0,0.0,8.0,65.0,0.0,9.0,12.0,17.0,322.0,59.0,90.0,19.0,109.0,19.0,14.0,0.0,033,51,030202,13.0,0.0,8.0,91.0,39.0,18.0,12.0,34.0,530.0,90.0,107.0,94.0,178.0,19.0,28.0,8.0,215.0,104.0,111.0,197.0,48.0,149.0,55.0,22.0,33.0,233.0,91.0,142.0
51033030300,"Census Tract 303, Caroline County, Virginia",2140.0,1046.0,7.0,16.0,10.0,106.0,38.0,15.0,39.0,6.0,341.0,63.0,152.0,28.0,151.0,50.0,15.0,9.0,1094.0,14.0,12.0,20.0,8.0,0.0,98.0,31.0,34.0,406.0,50.0,196.0,25.0,150.0,24.0,23.0,3.0,033,51,030300,21.0,28.0,30.0,114.0,38.0,113.0,70.0,40.0,747.0,113.0,348.0,53.0,301.0,74.0,38.0,12.0,454.0,237.0,217.0,461.0,215.0,246.0,124.0,74.0,50.0,425.0,225.0,200.0
51033030400,"Census Tract 304, Caroline County, Virginia",1317.0,660.0,0.0,0.0,51.0,73.0,21.0,11.0,63.0,0.0,254.0,12.0,94.0,14.0,47.0,20.0,0.0,0.0,657.0,0.0,4.0,0.0,28.0,13.0,23.0,52.0,68.0,248.0,61.0,95.0,21.0,39.0,5.0,0.0,0.0,033,51,030400,0.0,4.0,51.0,101.0,34.0,34.0,115.0,68.0,502.0,73.0,189.0,35.0,86.0,25.0,0.0,0.0,407.0,219.0,188.0,262.0,106.0,156.0,25.0,20.0,5.0,111.0,67.0,44.0
51033030500,"Census Tract 305, Caroline County, Virginia",7832.0,3696.0,0.0,23.0,44.0,121.0,117.0,119.0,176.0,27.0,1375.0,245.0,598.0,267.0,428.0,103.0,16.0,37.0,4136.0,29.0,0.0,26.0,77.0,27.0,83.0,129.0,13.0,1215.0,319.0,935.0,222.0,691.0,288.0,49.0,33.0,033,51,030500,29.0,23.0,70.0,198.0,144.0,202.0,305.0,40.0,2590.0,564.0,1533.0,489.0,1119.0,391.0,65.0,70.0,1011.0,627.0,384.0,2097.0,843.0,1254.0,526.0,156.0,370.0,1645.0,584.0,1061.0
51033030600,"Census Tract 306, Caroline County, Virginia",2401.0,1242.0,31.0,23.0,48.0,37.0,10.0,62.0,58.0,12.0,573.0,39.0,207.0,59.0,49.0,28.0,0.0,6.0,1159.0,0.0,0.0,0.0,29.0,0.0,28.0,51.0,27.0,559.0,141.0,150.0,14.0,114.0,46.0,0.0,0.0,033,51,030600,31.0,23.0,48.0,66.0,10.0,90.0,109.0,39.0,1132.0,180.0,357.0,73.0,163.0,74.0,0.0,6.0,416.0,281.0,135.0,537.0,246.0,291.0,80.0,34.0,46.0,243.0,83.0,160.0
