geoid,name,total,native,foreign_born,county,state,tract
47019070200,"Census Tract 702, Carter County, Tennessee",4065.0,4029.0,36.0,019,47,070200
47019070300,"Census Tract 703, Carter County, Tennessee",5790.0,5730.0,60.0,019,47,070300
47019070400,"Census Tract 704, Carter County, Tennessee",2240.0,2240.0,0.0,019,47,070400
47019070500,"Census Tract 705, Carter County, Tennessee",4321.0,4288.0,33.0,019,47,070500
47019070600,"Census Tract 706, Carter County, Tennessee",2647.0,2613.0,34.0,019,47,070600
47019070700,"Census Tract 707, Carter County, Tennessee",3021.0,2999.0,22.0,019,47,070700
47019070800,"Census Tract 708, Carter County, Tennessee",3123.0,3073.0,50.0,019,47,070800
47019070900,"Census Tract 709, Carter County, Tennessee",3574.0,3450.0,124.0,019,47,070900
47019071000,"Census Tract 710, Carter County, Tennessee",2791.0,2791.0,0.0,019,47,071000
47019071100,"Census Tract 711, Carter County, Tennessee",1879.0,1844.0,35.0,019,47,071100
47019071200,"Census Tract 712, Carter County, Tennessee",3935.0,3903.0,32.0,019,47,071200
47019071300,"Census Tract 713, Carter County, Tennessee",7305.0,7286.0,19.0,019,47,071300
47019071400,"Census Tract 714, Carter County, Tennessee",3578.0,3557.0,21.0,019,47,071400
47019071500,"Census Tract 715, Carter County, Tennessee",2092.0,2092.0,0.0,019,47,071500
47019071600,"Census Tract 716, Carter County, Tennessee",1404.0,1396.0,8.0,019,47,071600
47019071700,"Census Tract 717, Carter County, Tennessee",4003.0,3955.0,48.0,019,47,071700
47021070102,"Census Tract 701.02, Cheatham County, Tennessee",4019.0,3971.0,48.0,021,47,070102
47021070103,"Census Tract 701.03, Cheatham County, Tennessee",3632.0,3446.0,186.0,021,47,070103
47021070104,"Census Tract 701.04, Cheatham County, Tennessee",5270.0,5199.0,71.0,021,47,070104
47021070201,"Census Tract 702.01, Cheatham County, Tennessee",4050.0,3996.0,54.0,021,47,070201
47021070202,"Census Tract 702.02, Cheatham County, Tennessee",5176.0,4929.0,247.0,021,47,070202
47021070203,"Census Tract 702.03, Cheatham County, Tennessee",3481.0,3481.0,0.0,021,47,070203
47021070300,"Census Tract 703, Cheatham County, Tennessee",3656.0,3553.0,103.0,021,47,070300
47021070401,"Census Tract 704.01, Cheatham County, Tennessee",2705.0,2662.0,43.0,021,47,070401
47021070402,"Census Tract 704.02, Cheatham County, Tennessee",6999.0,6860.0,139.0,021,47,070402
47023970100,"Census Tract 9701, Chester County, Tennessee",5665.0,5614.0,51.0,023,47,970100
47023970200,"Census Tract 9702, Chester County, Tennessee",5346.0,5261.0,85.0,023,47,970200
47023970300,"Census Tract 9703, Chester County, Tennessee",5914.0,5839.0,75.0,023,47,970300
47025970100,"Census Tract 9701, Claiborne County, Tennessee",2726.0,2710.0,16.0,025,47,970100
47025970200,"Census Tract 9702, Claiborne County, Tennessee",2858.0,2811.0,47.0,025,47,970200
47025970300,"Census Tract 9703, Claiborne County, Tennessee",4441.0,4334.0,107.0,025,47,970300
47025970400,"Census Tract 9704, Claiborne County, Tennessee",727.0,722.0,5.0,025,47,970400
47025970500,"Census Tract 9705, Claiborne County, Tennessee",2926.0,2900.0,26.0,025,47,970500
47025970600,"Census Tract 9706, Claiborne County, Tennessee",4694.0,4650.0,44.0,025,47,970600
47025970700,"Census Tract 9707, Claiborne County, Tennessee",6218.0,6210.0,8.0,025,47,970700
47025970800,"Census Tract 9708, Claiborne County, Tennessee",3142.0,3109.0,33.0,025,47,970800
47025970900,"Census Tract 9709, Claiborne County, Tennessee",4310.0,4293.0,17.0,025,47,970900
47027955000,"Census Tract 9550, Clay County, Tennessee",4731.0,4666.0,65.0,027,47,955000
47027955100,"Census Tract 9551, Clay County, Tennessee",3114.0,3105.0,9.0,027,47,955100
47029920100,"Census Tract 9201, Cocke County, Tennessee",3905.0,3834.0,71.0,029,47,920100
47029920200,"Census Tract 9202, Cocke County, Tennessee",5630.0,5579.0,51.0,029,47,920200
47029920300,"Census Tract 9203, Cocke County, Tennessee",3936.0,3889.0,47.0,029,47,920300
47029920400,"Census Tract 9204, Cocke County, Tennessee",1837.0,1811.0,26.0,029,47,920400
47029920501,"Census Tract 9205.01, Cocke County, Tennessee",6055.0,5985.0,70.0,029,47,920501
47029920502,"Census Tract 9205.02, Cocke County, Tennessee",5127.0,5091.0,36.0,029,47,920502
47029920600,"Census Tract 9206, Cocke County, Tennessee",5082.0,4858.0,224.0,029,47,920600
47029920700,"Census Tract 9207, Cocke County, Tennessee",3979.0,3922.0,57.0,029,47,920700
47029980100,"Census Tract 9801, Cocke County, Tennessee",32.0,32.0,0.0,029,47,980100
47031970100,"Census Tract 9701, Coffee County, Tennessee",3767.0,3663.0,104.0,031,47,970100
47031970200,"Census Tract 9702, Coffee County, Tennessee",6661.0,6514.0,147.0,031,47,970200
47031970300,"Census Tract 9703, Coffee County, Tennessee",1919.0,1919.0,0.0,031,47,970300
47031970400,"Census Tract 9704, Coffee County, Tennessee",5863.0,5687.0,176.0,031,47,970400
47031970500,"Census Tract 9705, Coffee County, Tennessee",5750.0,5429.0,321.0,031,47,970500
47031970600,"Census Tract 9706, Coffee County, Tennessee",4033.0,3882.0,151.0,031,47,970600
47031970700,"Census Tract 9707, Coffee County, Tennessee",3877.0,3788.0,89.0,031,47,970700
47031970801,"Census Tract 9708.01, Coffee County, Tennessee",4105.0,3930.0,175.0,031,47,970801
47031970802,"Census Tract 9708.02, Coffee County, Tennessee",6285.0,6039.0,246.0,031,47,970802
47031970900,"Census Tract 9709, Coffee County, Tennessee",4146.0,4080.0,66.0,031,47,970900
47031971000,"Census Tract 9710, Coffee County, Tennessee",6214.0,6016.0,198.0,031,47,971000
47031980100,"Census Tract 9801, Coffee County, Tennessee",0.0,0.0,0.0,031,47,980100
47033961000,"Census Tract 9610, Crockett County, Tennessee",2075.0,1994.0,81.0,033,47,961000
47033961100,"Census Tract 9611, Crockett County, Tennessee",3948.0,3903.0,45.0,033,47,961100
47033961200,"Census Tract 9612, Crockett County, Tennessee",2063.0,1996.0,67.0,033,47,961200
47033961300,"Census Tract 9613, Crockett County, Tennessee",2503.0,2429.0,74.0,033,47,961300
47033961400,"Census Tract 9614, Crockett County, Tennessee",3960.0,3592.0,368.0,033,47,961400
47035970101,"Census Tract 9701.01, Cumberland County, Tennessee",3098.0,2962.0,136.0,035,47,970101
47035970102,"Census Tract 9701.02, Cumberland County, Tennessee",5887.0,5789.0,98.0,035,47,970102
47035970200,"Census Tract 9702, Cumberland County, Tennessee",5940.0,5734.0,206.0,035,47,970200
47035970301,"Census Tract 9703.01, Cumberland County, Tennessee",3107.0,3062.0,45.0,035,47,970301
47035970302,"Census Tract 9703.02, Cumberland County, Tennessee",4299.0,4165.0,134.0,035,47,970302
47035970400,"Census Tract 9704, Cumberland County, Tennessee",5509.0,5452.0,57.0,035,47,970400
47035970501,"Census Tract 9705.01, Cumberland County, Tennessee",2474.0,2455.0,19.0,035,47,970501
47035970502,"Census Tract 9705.02, Cumberland County, Tennessee",4210.0,4142.0,68.0,035,47,970502
47035970601,"Census Tract 9706.01, Cumberland County, Tennessee",5181.0,5045.0,136.0,035,47,970601
47035970602,"Census Tract 9706.02, Cumberland County, Tennessee",3425.0,3254.0,171.0,035,47,970602
47035970603,"Census Tract 9706.03, Cumberland County, Tennessee",1923.0,1908.0,15.0,035,47,970603
47035970701,"Census Tract 9707.01, Cumberland County, Tennessee",2315.0,2265.0,50.0,035,47,970701
47035970702,"Census Tract 9707.02, Cumberland County, Tennessee",4356.0,4335.0,21.0,035,47,970702
47035970800,"Census Tract 9708, Cumberland County, Tennessee",3924.0,3911.0,13.0,035,47,970800
47037010103,"Census Tract 101.03, Davidson County, Tennessee",2257.0,2210.0,47.0,037,47,010103
47037010104,"Census Tract 101.04, Davidson County, Tennessee",3431.0,3399.0,32.0,037,47,010104
47037010105,"Census Tract 101.05, Davidson County, Tennessee",4664.0,4631.0,33.0,037,47,010105
47037010106,"Census Tract 101.06, Davidson County, Tennessee",2503.0,2388.0,115.0,037,47,010106
47037010201,"Census Tract 102.01, Davidson County, Tennessee",4089.0,3872.0,217.0,037,47,010201
47037010202,"Census Tract 102.02, Davidson County, Tennessee",3814.0,3718.0,96.0,037,47,010202
47037010301,"Census Tract 103.01, Davidson County, Tennessee",3602.0,3288.0,314.0,037,47,010301
47037010302,"Census Tract 103.02, Davidson County, Tennessee",1921.0,1812.0,109.0,037,47,010302
47037010303,"Census Tract 103.03, Davidson County, Tennessee",4664.0,4080.0,584.0,037,47,010303
47037010401,"Census Tract 104.01, Davidson County, Tennessee",4381.0,3789.0,592.0,037,47,010401
47037010402,"Census Tract 104.02, Davidson County, Tennessee",5734.0,4929.0,805.0,037,47,010402
47037010501,"Census Tract 105.01, Davidson County, Tennessee",4912.0,4625.0,287.0,037,47,010501
47037010502,"Census Tract 105.02, Davidson County, Tennessee",4442.0,4173.0,269.0,037,47,010502
47037010601,"Census Tract 106.01, Davidson County, Tennessee",3922.0,3547.0,375.0,037,47,010601
47037010602,"Census Tract 106.02, Davidson County, Tennessee",3133.0,2833.0,300.0,037,47,010602
47001020100,"Census Tract 201, Anderson County, Tennessee",3216.0,3025.0,191.0,001,47,020100
