geoid,name,median,county,state
13133,"Greene County, Georgia",60458.0,133,13
13135,"Gwinnett County, Georgia",38244.0,135,13
13137,"Habersham County, Georgia",23382.0,137,13
13139,"Hall County, Georgia",39038.0,139,13
13141,"Hancock County, Georgia",-666666666.0,141,13
13143,"Haralson County, Georgia",3698.0,143,13
13145,"Harris County, Georgia",91375.0,145,13
13147,"Hart County, Georgia",13702.0,147,13
13149,"Heard County, Georgia",70781.0,149,13
13151,"Henry County, Georgia",55556.0,151,13
13153,"Houston County, Georgia",48223.0,153,13
13155,"Irwin County, Georgia",-666666666.0,155,13
13157,"Jackson County, Georgia",53736.0,157,13
13159,"Jasper County, Georgia",25500.0,159,13
13161,"Jeff Davis County, Georgia",38768.0,161,13
13163,"Jefferson County, Georgia",9432.0,163,13
13165,"Jenkins County, Georgia",20061.0,165,13
13167,"Johnson County, Georgia",-666666666.0,167,13
13169,"Jones County, Georgia",45833.0,169,13
13171,"Lamar County, Georgia",20273.0,171,13
13173,"Lanier County, Georgia",58333.0,173,13
13175,"Laurens County, Georgia",49832.0,175,13
13177,"Lee County, Georgia",52813.0,177,13
13179,"Liberty County, Georgia",36715.0,179,13
13181,"Lincoln County, Georgia",9688.0,181,13
13183,"Long County, Georgia",31250.0,183,13
13185,"Lowndes County, Georgia",35986.0,185,13
13187,"Lumpkin County, Georgia",33003.0,187,13
13189,"McDuffie County, Georgia",28614.0,189,13
13191,"McIntosh County, Georgia",93173.0,191,13
13193,"Macon County, Georgia",25972.0,193,13
13195,"Madison County, Georgia",22330.0,195,13
13197,"Marion County, Georgia",60227.0,197,13
13199,"Meriwether County, Georgia",21750.0,199,13
13201,"Miller County, Georgia",-666666666.0,201,13
13205,"Mitchell County, Georgia",37656.0,205,13
13207,"Monroe County, Georgia",43365.0,207,13
13209,"Montgomery County, Georgia",50197.0,209,13
13211,"Morgan County, Georgia",46167.0,211,13
13213,"Murray County, Georgia",28118.0,213,13
13215,"Muscogee County, Georgia",39356.0,215,13
13217,"Newton County, Georgia",36241.0,217,13
13219,"Oconee County, Georgia",71667.0,219,13
13221,"Oglethorpe County, Georgia",36319.0,221,13
13223,"Paulding County, Georgia",53169.0,223,13
13225,"Peach County, Georgia",27008.0,225,13
13227,"Pickens County, Georgia",29732.0,227,13
13229,"Pierce County, Georgia",24397.0,229,13
13231,"Pike County, Georgia",60469.0,231,13
13233,"Polk County, Georgia",33301.0,233,13
13235,"Pulaski County, Georgia",2499.0,235,13
13237,"Putnam County, Georgia",24541.0,237,13
13239,"Quitman County, Georgia",-666666666.0,239,13
13241,"Rabun County, Georgia",24531.0,241,13
13243,"Randolph County, Georgia",-666666666.0,243,13
13245,"Richmond County, Georgia",40855.0,245,13
13247,"Rockdale County, Georgia",44542.0,247,13
13249,"Schley County, Georgia",51016.0,249,13
13251,"Screven County, Georgia",43424.0,251,13
13253,"Seminole County, Georgia",-666666666.0,253,13
13255,"Spalding County, Georgia",40142.0,255,13
13257,"Stephens County, Georgia",14470.0,257,13
13259,"Stewart County, Georgia",2499.0,259,13
13261,"Sumter County, Georgia",27935.0,261,13
13263,"Talbot County, Georgia",-666666666.0,263,13
13265,"Taliaferro County, Georgia",-666666666.0,265,13
13267,"Tattnall County, Georgia",23382.0,267,13
13269,"Taylor County, Georgia",20000.0,269,13
13271,"Telfair County, Georgia",19658.0,271,13
13273,"Terrell County, Georgia",180855.0,273,13
13275,"Thomas County, Georgia",23442.0,275,13
13277,"Tift County, Georgia",26556.0,277,13
13279,"Toombs County, Georgia",26757.0,279,13
13281,"Towns County, Georgia",-666666666.0,281,13
13283,"Treutlen County, Georgia",-666666666.0,283,13
13285,"Troup County, Georgia",50227.0,285,13
13287,"Turner County, Georgia",40368.0,287,13
13289,"Twiggs County, Georgia",250001.0,289,13
13291,"Union County, Georgia",19144.0,291,13
13293,"Upson County, Georgia",46250.0,293,13
13295,"Walker County, Georgia",32554.0,295,13
13297,"Walton County, Georgia",33816.0,297,13
13299,"Ware County, Georgia",17404.0,299,13
13301,"Warren County, Georgia",-666666666.0,301,13
13303,"Washington County, Georgia",63750.0,303,13
13305,"Wayne County, Georgia",22368.0,305,13
13307,"Webster County, Georgia",20511.0,307,13
13309,"Wheeler County, Georgia",-666666666.0,309,13
13311,"White County, Georgia",38382.0,311,13
13313,"Whitfield County, Georgia",35909.0,313,13
13315,"Wilcox County, Georgia",15978.0,315,13
13317,"Wilkes County, Georgia",60861.0,317,13
13319,"Wilkinson County, Georgia",20208.0,319,13
13321,"Worth County, Georgia",14375.0,321,13
15001,"Hawaii County, Hawaii",43120.0,001,15
15003,"Honolulu County, Hawaii",57393.0,003,15
15005,"Kalawao County, Hawaii",-666666666.0,005,15
15007,"Kauai County, Hawaii",49250.0,007,15
15009,"Maui County, Hawaii",55824.0,009,15
16001,"Ada County, Idaho",43308.0,001,16
16003,"Adams County, Idaho",9792.0,003,16
16005,"Bannock County, Idaho",31950.0,005,16
16007,"Bear Lake County, Idaho",72667.0,007,16
16009,"Benewah County, Idaho",40625.0,009,16
16011,"Bingham County, Idaho",40837.0,011,16
16013,"Blaine County, Idaho",50987.0,013,16
16015,"Boise County, Idaho",28462.0,015,16
16017,"Bonner County, Idaho",40650.0,017,16
16019,"Bonneville County, Idaho",35912.0,019,16
16021,"Boundary County, Idaho",39524.0,021,16
16023,"Butte County, Idaho",26667.0,023,16
16025,"Camas County, Idaho",30197.0,025,16
16027,"Canyon County, Idaho",32148.0,027,16
16029,"Caribou County, Idaho",24435.0,029,16
16031,"Cassia County, Idaho",28660.0,031,16
16033,"Clark County, Idaho",31667.0,033,16
16035,"Clearwater County, Idaho",56250.0,035,16
16037,"Custer County, Idaho",18000.0,037,16
16039,"Elmore County, Idaho",37210.0,039,16
16041,"Franklin County, Idaho",51439.0,041,16
16043,"Fremont County, Idaho",31892.0,043,16
16045,"Gem County, Idaho",26772.0,045,16
16047,"Gooding County, Idaho",32220.0,047,16
16049,"Idaho County, Idaho",37292.0,049,16
16051,"Jefferson County, Idaho",29802.0,051,16
16053,"Jerome County, Idaho",31973.0,053,16
16055,"Kootenai County, Idaho",54436.0,055,16
16057,"Latah County, Idaho",34663.0,057,16
01001,"Autauga County, Alabama",51959.0,001,01
01003,"Baldwin County, Alabama",37963.0,003,01
01005,"Barbour County, Alabama",31731.0,005,01
01007,"Bibb County, Alabama",40504.0,007,01
01009,"Blount County, Alabama",35346.0,009,01
01011,"Bullock County, Alabama",65781.0,011,01
01013,"Butler County, Alabama",35625.0,013,01
01015,"Calhoun County, Alabama",40865.0,015,01
01017,"Chambers County, Alabama",27500.0,017,01
01019,"Cherokee County, Alabama",52396.0,019,01
01021,"Chilton County, Alabama",45542.0,021,01
01023,"Choctaw County, Alabama",56250.0,023,01
01025,"Clarke County, Alabama",9948.0,025,01
01027,"Clay County, Alabama",23098.0,027,01
01029,"Cleburne County, Alabama",37821.0,029,01
01031,"Coffee County, Alabama",40492.0,031,01
01033,"Colbert County, Alabama",33750.0,033,01
01035,"Conecuh County, Alabama",-666666666.0,035,01
01037,"Coosa County, Alabama",60408.0,037,01
01039,"Covington County, Alabama",31029.0,039,01
01041,"Crenshaw County, Alabama",70417.0,041,01
01043,"Cullman County, Alabama",28173.0,043,01
01045,"Dale County, Alabama",43018.0,045,01
01047,"Dallas County, Alabama",15221.0,047,01
01049,"DeKalb County, Alabama",30052.0,049,01
01051,"Elmore County, Alabama",45943.0,051,01
01053,"Escambia County, Alabama",16760.0,053,01
01055,"Etowah County, Alabama",33409.0,055,01
01057,"Fayette County, Alabama",13438.0,057,01
01059,"Franklin County, Alabama",35586.0,059,01
01061,"Geneva County, Alabama",36746.0,061,01
01063,"Greene County, Alabama",-666666666.0,063,01
01065,"Hale County, Alabama",41731.0,065,01
01067,"Henry County, Alabama",22038.0,067,01
01069,"Houston County, Alabama",31058.0,069,01
01071,"Jackson County, Alabama",48958.0,071,01
01073,"Jefferson County, Alabama",37975.0,073,01
01075,"Lamar County, Alabama",19537.0,075,01
01077,"Lauderdale County, Alabama",33634.0,077,01
01079,"Lawrence County, Alabama",34583.0,079,01
01081,"Lee County, Alabama",34904.0,081,01
01083,"Limestone County, Alabama",23588.0,083,01
01085,"Lowndes County, Alabama",4485.0,085,01
01087,"Macon County, Alabama",79583.0,087,01
01089,"Madison County, Alabama",45833.0,089,01
01091,"Marengo County, Alabama",8523.0,091,01
01093,"Marion County, Alabama",34375.0,093,01
01095,"Marshall County, Alabama",25063.0,095,01
01097,"Mobile County, Alabama",37653.0,097,01
01099,"Monroe County, Alabama",30400.0,099,01
01101,"Montgomery County, Alabama",39080.0,101,01
01103,"Morgan County, Alabama",33708.0,103,01
01105,"Perry County, Alabama",-666666666.0,105,01
01107,"Pickens County, Alabama",30259.0,107,01
01109,"Pike County, Alabama",30833.0,109,01
01111,"Randolph County, Alabama",7143.0,111,01
01113,"Russell County, Alabama",49250.0,113,01
01115,"St. Clair County, Alabama",48646.0,115,01
01117,"Shelby County, Alabama",44575.0,117,01
01119,"Sumter County, Alabama",85962.0,119,01
01121,"Talladega County, Alabama",34271.0,121,01
01123,"Tallapoosa County, Alabama",29709.0,123,01
01125,"Tuscaloosa County, Alabama",47870.0,125,01
01127,"Walker County, Alabama",45938.0,127,01
01129,"Washington County, Alabama",-666666666.0,129,01
01131,"Wilcox County, Alabama",-666666666.0,131,01
01133,"Winston County, Alabama",12306.0,133,01
02013,"Aleutians East Borough, Alaska",68500.0,013,02
02016,"Aleutians West Census Area, Alaska",66500.0,016,02
02020,"Anchorage Municipality, Alaska",58782.0,020,02
02050,"Bethel Census Area, Alaska",119750.0,050,02
02060,"Bristol Bay Borough, Alaska",72500.0,060,02
02068,"Denali Borough, Alaska",86875.0,068,02
02070,"Dillingham Census Area, Alaska",52813.0,070,02
02090,"Fairbanks North Star Borough, Alaska",55809.0,090,02
02100,"Haines Borough, Alaska",-666666666.0,100,02
02105,"Hoonah-Angoon Census Area, Alaska",41667.0,105,02
02110,"Juneau City and Borough, Alaska",71108.0,110,02
02122,"Kenai Peninsula Borough, Alaska",69077.0,122,02
02130,"Ketchikan Gateway Borough, Alaska",50865.0,130,02
02150,"Kodiak Island Borough, Alaska",45625.0,150,02
02164,"Lake and Peninsula Borough, Alaska",-666666666.0,164,02
02170,"Matanuska-Susitna Borough, Alaska",76250.0,170,02
02180,"Nome Census Area, Alaska",93705.0,180,02
02185,"North Slope Borough, Alaska",84792.0,185,02
02188,"Northwest Arctic Borough, Alaska",145833.0,188,02
02195,"Petersburg Census Area, Alaska",73462.0,195,02
02198,"Prince of Wales-Hyder Census Area, Alaska",82727.0,198,02
02220,"Sitka City and Borough, Alaska",42128.0,220,02
02230,"Skagway Municipality, Alaska",-666666666.0,230,02
02240,"Southeast Fairbanks Census Area, Alaska",79464.0,240,02
02261,"Valdez-Cordova Census Area, Alaska",36250.0,261,02
02270,"Wade Hampton Census Area, Alaska",-666666666.0,270,02
02275,"Wrangell City and Borough, Alaska",47045.0,275,02
02282,"Yakutat City and Borough, Alaska",200000.0,282,02
02290,"Yukon-Koyukuk Census Area, Alaska",96250.0,290,02
04001,"Apache County, Arizona",32202.0,001,04
04003,"Cochise County, Arizona",33513.0,003,04
04005,"Coconino County, Arizona",40897.0,005,04
04007,"Gila County, Arizona",31155.0,007,04
04009,"Graham County, Arizona",47430.0,009,04
04011,"Greenlee County, Arizona",49043.0,011,04
04012,"La Paz County, Arizona",31567.0,012,04
04013,"Maricopa County, Arizona",40928.0,013,04
04015,"Mohave County, Arizona",39289.0,015,04
04017,"Navajo County, Arizona",32315.0,017,04
04019,"Pima County, Arizona",36118.0,019,04
04021,"Pinal County, Arizona",42925.0,021,04
04023,"Santa Cruz County, Arizona",32937.0,023,04
04025,"Yavapai County, Arizona",38321.0,025,04
04027,"Yuma County, Arizona",35637.0,027,04
05001,"Arkansas County, Arkansas",37606.0,001,05
05003,"Ashley County, Arkansas",36406.0,003,05
05005,"Baxter County, Arkansas",50591.0,005,05
05007,"Benton County, Arkansas",37836.0,007,05
05009,"Boone County, Arkansas",46625.0,009,05
05011,"Bradley County, Arkansas",35625.0,011,05
05013,"Calhoun County, Arkansas",86000.0,013,05
05015,"Carroll County, Arkansas",42381.0,015,05
05017,"Chicot County, Arkansas",22574.0,017,05
05019,"Clark County, Arkansas",23423.0,019,05
05021,"Clay County, Arkansas",21360.0,021,05
05023,"Cleburne County, Arkansas",16369.0,023,05
05025,"Cleveland County, Arkansas",18029.0,025,05
05027,"Columbia County, Arkansas",20542.0,027,05
05029,"Conway County, Arkansas",17637.0,029,05
05031,"Craighead County, Arkansas",28920.0,031,05
05033,"Crawford County, Arkansas",37660.0,033,05
05035,"Crittenden County, Arkansas",28826.0,035,05
05037,"Cross County, Arkansas",-666666666.0,037,05
05039,"Dallas County, Arkansas",2499.0,039,05
05041,"Desha County, Arkansas",29327.0,041,05
05043,"Drew County, Arkansas",28750.0,043,05
05045,"Faulkner County, Arkansas",34851.0,045,05
05047,"Franklin County, Arkansas",19531.0,047,05
05049,"Fulton County, Arkansas",27596.0,049,05
05051,"Garland County, Arkansas",23936.0,051,05
05053,"Grant County, Arkansas",42083.0,053,05
05055,"Greene County, Arkansas",56168.0,055,05
05057,"Hempstead County, Arkansas",36742.0,057,05
05059,"Hot Spring County, Arkansas",43869.0,059,05
05061,"Howard County, Arkansas",25341.0,061,05
05063,"Independence County, Arkansas",22313.0,063,05
05065,"Izard County, Arkansas",16667.0,065,05
05067,"Jackson County, Arkansas",20417.0,067,05
05069,"Jefferson County, Arkansas",33125.0,069,05
05071,"Johnson County, Arkansas",39487.0,071,05
05073,"Lafayette County, Arkansas",14375.0,073,05
05075,"Lawrence County, Arkansas",9572.0,075,05
05077,"Lee County, Arkansas",12500.0,077,05
05079,"Lincoln County, Arkansas",19438.0,079,05
05081,"Little River County, Arkansas",24740.0,081,05
05083,"Logan County, Arkansas",30208.0,083,05
05085,"Lonoke County, Arkansas",27297.0,085,05
05087,"Madison County, Arkansas",23750.0,087,05
05089,"Marion County, Arkansas",16791.0,089,05
05091,"Miller County, Arkansas",44432.0,091,05
05093,"Mississippi County, Arkansas",27257.0,093,05
05095,"Monroe County, Arkansas",25694.0,095,05
05097,"Montgomery County, Arkansas",23750.0,097,05
05099,"Nevada County, Arkansas",6927.0,099,05
05101,"Newton County, Arkansas",-666666666.0,101,05
05103,"Ouachita County, Arkansas",37813.0,103,05
05105,"Perry County, Arkansas",27222.0,105,05
05107,"Phillips County, Arkansas",73929.0,107,05
05109,"Pike County, Arkansas",18920.0,109,05
05111,"Poinsett County, Arkansas",35188.0,111,05
05113,"Polk County, Arkansas",23087.0,113,05
05115,"Pope County, Arkansas",31990.0,115,05
05117,"Prairie County, Arkansas",-666666666.0,117,05
05119,"Pulaski County, Arkansas",33935.0,119,05
05121,"Randolph County, Arkansas",55167.0,121,05
05123,"St. Francis County, Arkansas",29651.0,123,05
05125,"Saline County, Arkansas",48451.0,125,05
05127,"Scott County, Arkansas",38548.0,127,05
05129,"Searcy County, Arkansas",23214.0,129,05
05131,"Sebastian County, Arkansas",27295.0,131,05
05133,"Sevier County, Arkansas",26530.0,133,05
