geoid,name,median,male,female,state
01,Alabama,37.8,36.4,39.2,01
02,Alaska,33.8,33.6,34.0,02
04,Arizona,36.0,34.8,37.2,04
05,Arkansas,37.4,36.1,38.7,05
06,California,35.2,34.1,36.4,06
08,Colorado,36.1,35.1,37.1,08
09,Connecticut,40.0,38.5,41.2,09
10,Delaware,38.7,37.3,40.0,10
11,District of Columbia,33.9,33.7,34.1,11
12,Florida,40.8,39.4,42.2,12
13,Georgia,35.4,34.1,36.5,13
15,Hawaii,38.4,37.0,39.9,15
16,Idaho,34.7,33.8,35.5,16
17,Illinois,36.6,35.3,38.0,17
18,Indiana,37.0,35.6,38.3,18
19,Iowa,38.0,36.6,39.4,19
20,Kansas,36.0,34.7,37.5,20
21,Kentucky,38.0,36.7,39.3,21
22,Louisiana,35.9,34.6,37.3,22
23,Maine,42.8,41.6,43.8,23
24,Maryland,37.9,36.3,39.3,24
25,Massachusetts,39.1,37.7,40.3,25
26,Michigan,38.8,37.5,40.0,26
27,Minnesota,37.4,36.2,38.5,27
28,Mississippi,36.0,34.5,37.4,28
29,Missouri,37.9,36.5,39.2,29
30,Montana,39.9,38.8,41.0,30
31,Nebraska,36.3,35.0,37.5,31
32,Nevada,36.3,35.8,37.0,32
33,New Hampshire,41.1,40.3,42.0,33
34,New Jersey,38.9,37.4,40.3,34
35,New Mexico,36.6,35.2,38.0,35
36,New York,38.0,36.3,39.4,36
37,North Carolina,37.4,36.0,38.7,37
38,North Dakota,36.9,35.3,38.6,38
39,Ohio,38.8,37.4,40.1,39
40,Oklahoma,36.3,34.9,37.7,40
41,Oregon,38.4,37.3,39.5,41
42,Pennsylvania,40.1,38.6,41.5,42
44,Rhode Island,39.4,37.6,40.9,44
45,South Carolina,37.9,36.3,39.3,45
46,South Dakota,37.1,35.7,38.5,46
47,Tennessee,38.0,36.6,39.2,47
48,Texas,33.6,32.6,34.7,48
49,Utah,29.3,28.8,29.8,49
50,Vermont,41.7,40.5,42.9,50
51,Virginia,37.4,36.1,38.7,51
53,Washington,37.2,36.2,38.3,53
54,West Virginia,41.3,40.1,42.6,54
55,Wisconsin,38.5,37.4,39.6,55
56,Wyoming,36.9,36.1,37.9,56
72,Puerto Rico,37.0,35.1,38.7,72
