geoid,name,median,congressional district,state
0101,"Congressional District 1 (113th Congress), Alabama",51780.0,01,01
0102,"Congressional District 2 (113th Congress), Alabama",50731.0,02,01
0103,"Congressional District 3 (113th Congress), Alabama",46005.0,03,01
0104,"Congressional District 4 (113th Congress), Alabama",40370.0,04,01
0105,"Congressional District 5 (113th Congress), Alabama",54169.0,05,01
0106,"Congressional District 6 (113th Congress), Alabama",62251.0,06,01
0107,"Congressional District 7 (113th Congress), Alabama",45469.0,07,01
0200,"Congressional District (at Large) (113th Congress), Alaska",76745.0,00,02
0401,"Congressional District 1 (113th Congress), Arizona",54673.0,01,04
0402,"Congressional District 2 (113th Congress), Arizona",51151.0,02,04
0403,"Congressional District 3 (113th Congress), Arizona",52579.0,03,04
0404,"Congressional District 4 (113th Congress), Arizona",44791.0,04,04
0405,"Congressional District 5 (113th Congress), Arizona",66138.0,05,04
0406,"Congressional District 6 (113th Congress), Arizona",66244.0,06,04
0407,"Congressional District 7 (113th Congress), Arizona",44462.0,07,04
0408,"Congressional District 8 (113th Congress), Arizona",60773.0,08,04
0409,"Congressional District 9 (113th Congress), Arizona",56361.0,09,04
0501,"Congressional District 1 (113th Congress), Arkansas",39678.0,01,05
0502,"Congressional District 2 (113th Congress), Arkansas",52631.0,02,05
0503,"Congressional District 3 (113th Congress), Arkansas",44931.0,03,05
0504,"Congressional District 4 (113th Congress), Arkansas",40983.0,04,05
0601,"Congressional District 1 (113th Congress), California",46965.0,01,06
0602,"Congressional District 2 (113th Congress), California",65213.0,02,06
0603,"Congressional District 3 (113th Congress), California",62301.0,03,06
0604,"Congressional District 4 (113th Congress), California",67117.0,04,06
0605,"Congressional District 5 (113th Congress), California",66016.0,05,06
0606,"Congressional District 6 (113th Congress), California",55216.0,06,06
0607,"Congressional District 7 (113th Congress), California",67902.0,07,06
0608,"Congressional District 8 (113th Congress), California",51962.0,08,06
0609,"Congressional District 9 (113th Congress), California",66278.0,09,06
0610,"Congressional District 10 (113th Congress), California",60481.0,10,06
0611,"Congressional District 11 (113th Congress), California",90328.0,11,06
0612,"Congressional District 12 (113th Congress), California",95236.0,12,06
0613,"Congressional District 13 (113th Congress), California",81886.0,13,06
0614,"Congressional District 14 (113th Congress), California",92299.0,14,06
0615,"Congressional District 15 (113th Congress), California",94288.0,15,06
0616,"Congressional District 16 (113th Congress), California",49872.0,16,06
0617,"Congressional District 17 (113th Congress), California",92182.0,17,06
0618,"Congressional District 18 (113th Congress), California",107248.0,18,06
0619,"Congressional District 19 (113th Congress), California",93780.0,19,06
0620,"Congressional District 20 (113th Congress), California",72319.0,20,06
0621,"Congressional District 21 (113th Congress), California",53782.0,21,06
0622,"Congressional District 22 (113th Congress), California",63672.0,22,06
0623,"Congressional District 23 (113th Congress), California",58900.0,23,06
0624,"Congressional District 24 (113th Congress), California",67289.0,24,06
0625,"Congressional District 25 (113th Congress), California",84345.0,25,06
0626,"Congressional District 26 (113th Congress), California",85490.0,26,06
0627,"Congressional District 27 (113th Congress), California",82134.0,27,06
0628,"Congressional District 28 (113th Congress), California",58505.0,28,06
0629,"Congressional District 29 (113th Congress), California",50447.0,29,06
0630,"Congressional District 30 (113th Congress), California",74991.0,30,06
0631,"Congressional District 31 (113th Congress), California",65582.0,31,06
0632,"Congressional District 32 (113th Congress), California",65656.0,32,06
0633,"Congressional District 33 (113th Congress), California",100951.0,33,06
0634,"Congressional District 34 (113th Congress), California",55187.0,34,06
0635,"Congressional District 35 (113th Congress), California",61026.0,35,06
0636,"Congressional District 36 (113th Congress), California",51282.0,36,06
0637,"Congressional District 37 (113th Congress), California",76063.0,37,06
0638,"Congressional District 38 (113th Congress), California",67048.0,38,06
0639,"Congressional District 39 (113th Congress), California",85075.0,39,06
0640,"Congressional District 40 (113th Congress), California",52644.0,40,06
0641,"Congressional District 41 (113th Congress), California",64771.0,41,06
0642,"Congressional District 42 (113th Congress), California",77632.0,42,06
0643,"Congressional District 43 (113th Congress), California",70604.0,43,06
0644,"Congressional District 44 (113th Congress), California",56804.0,44,06
0645,"Congressional District 45 (113th Congress), California",95612.0,45,06
0646,"Congressional District 46 (113th Congress), California",61473.0,46,06
0647,"Congressional District 47 (113th Congress), California",72963.0,47,06
0648,"Congressional District 48 (113th Congress), California",86658.0,48,06
0649,"Congressional District 49 (113th Congress), California",79694.0,49,06
0650,"Congressional District 50 (113th Congress), California",66574.0,50,06
0651,"Congressional District 51 (113th Congress), California",55203.0,51,06
0652,"Congressional District 52 (113th Congress), California",84018.0,52,06
0653,"Congressional District 53 (113th Congress), California",65131.0,53,06
0801,"Congressional District 1 (113th Congress), Colorado",61268.0,01,08
0802,"Congressional District 2 (113th Congress), Colorado",70373.0,02,08
0803,"Congressional District 3 (113th Congress), Colorado",53767.0,03,08
0804,"Congressional District 4 (113th Congress), Colorado",67052.0,04,08
