geoid,name,housing_units,owner_occupied,renter_occupied,congressional district,state
0101,"Congressional District 1 (113th Congress), Alabama",67332.0,36902.0,30430.0,01,01
0102,"Congressional District 2 (113th Congress), Alabama",72368.0,36941.0,35427.0,02,01
0103,"Congressional District 3 (113th Congress), Alabama",64298.0,35857.0,28441.0,03,01
0104,"Congressional District 4 (113th Congress), Alabama",17589.0,9422.0,8167.0,04,01
0105,"Congressional District 5 (113th Congress), Alabama",43660.0,22008.0,21652.0,05,01
0106,"Congressional District 6 (113th Congress), Alabama",32667.0,18127.0,14540.0,06,01
0107,"Congressional District 7 (113th Congress), Alabama",161978.0,87828.0,74150.0,07,01
0200,"Congressional District (at Large) (113th Congress), Alaska",8302.0,2970.0,5332.0,00,02
0401,"Congressional District 1 (113th Congress), Arizona",4761.0,2695.0,2066.0,01,04
0402,"Congressional District 2 (113th Congress), Arizona",10352.0,3280.0,7072.0,02,04
0403,"Congressional District 3 (113th Congress), Arizona",10383.0,4584.0,5799.0,03,04
0404,"Congressional District 4 (113th Congress), Arizona",3018.0,1625.0,1393.0,04,04
0405,"Congressional District 5 (113th Congress), Arizona",7487.0,3960.0,3527.0,05,04
0406,"Congressional District 6 (113th Congress), Arizona",7230.0,1964.0,5266.0,06,04
0407,"Congressional District 7 (113th Congress), Arizona",22596.0,7830.0,14766.0,07,04
0408,"Congressional District 8 (113th Congress), Arizona",9971.0,4444.0,5527.0,08,04
0409,"Congressional District 9 (113th Congress), Arizona",15405.0,3059.0,12346.0,09,04
0501,"Congressional District 1 (113th Congress), Arkansas",46229.0,20052.0,26177.0,01,05
0502,"Congressional District 2 (113th Congress), Arkansas",59961.0,26272.0,33689.0,02,05
0503,"Congressional District 3 (113th Congress), Arkansas",6714.0,2287.0,4427.0,03,05
0504,"Congressional District 4 (113th Congress), Arkansas",53972.0,28429.0,25543.0,04,05
0601,"Congressional District 1 (113th Congress), California",1827.0,593.0,1234.0,01,06
0602,"Congressional District 2 (113th Congress), California",2967.0,916.0,2051.0,02,06
0603,"Congressional District 3 (113th Congress), California",14165.0,6800.0,7365.0,03,06
0604,"Congressional District 4 (113th Congress), California",2203.0,1420.0,783.0,04,06
0605,"Congressional District 5 (113th Congress), California",15719.0,7410.0,8309.0,05,06
0606,"Congressional District 6 (113th Congress), California",35542.0,11371.0,24171.0,06,06
0607,"Congressional District 7 (113th Congress), California",17993.0,7487.0,10506.0,07,06
0608,"Congressional District 8 (113th Congress), California",16690.0,6733.0,9957.0,08,06
0609,"Congressional District 9 (113th Congress), California",19864.0,9060.0,10804.0,09,06
0610,"Congressional District 10 (113th Congress), California",7189.0,3159.0,4030.0,10,06
0611,"Congressional District 11 (113th Congress), California",25105.0,9564.0,15541.0,11,06
0612,"Congressional District 12 (113th Congress), California",18541.0,3859.0,14682.0,12,06
0613,"Congressional District 13 (113th Congress), California",60934.0,19682.0,41252.0,13,06
0614,"Congressional District 14 (113th Congress), California",9775.0,4128.0,5647.0,14,06
0615,"Congressional District 15 (113th Congress), California",16490.0,5424.0,11066.0,15,06
0616,"Congressional District 16 (113th Congress), California",14112.0,4330.0,9782.0,16,06
0617,"Congressional District 17 (113th Congress), California",6449.0,2112.0,4337.0,17,06
0618,"Congressional District 18 (113th Congress), California",5337.0,1356.0,3981.0,18,06
0619,"Congressional District 19 (113th Congress), California",7055.0,2970.0,4085.0,19,06
0620,"Congressional District 20 (113th Congress), California",4732.0,1827.0,2905.0,20,06
0621,"Congressional District 21 (113th Congress), California",7545.0,2701.0,4844.0,21,06
0622,"Congressional District 22 (113th Congress), California",7153.0,2561.0,4592.0,22,06
0623,"Congressional District 23 (113th Congress), California",13360.0,4745.0,8615.0,23,06
0624,"Congressional District 24 (113th Congress), California",3784.0,1324.0,2460.0,24,06
0625,"Congressional District 25 (113th Congress), California",16059.0,7149.0,8910.0,25,06
0626,"Congressional District 26 (113th Congress), California",4341.0,1573.0,2768.0,26,06
0627,"Congressional District 27 (113th Congress), California",13063.0,6098.0,6965.0,27,06
0628,"Congressional District 28 (113th Congress), California",9055.0,1223.0,7832.0,28,06
0629,"Congressional District 29 (113th Congress), California",10977.0,3415.0,7562.0,29,06
0630,"Congressional District 30 (113th Congress), California",12491.0,3867.0,8624.0,30,06
0631,"Congressional District 31 (113th Congress), California",24910.0,9561.0,15349.0,31,06
0632,"Congressional District 32 (113th Congress), California",6622.0,3393.0,3229.0,32,06
0633,"Congressional District 33 (113th Congress), California",9082.0,2694.0,6388.0,33,06
