geoid,name,total,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,state,total_no_schooling,total_nursery_to_4th_grade,total_5th_and_6th_grade,total_7th_and_8th_grade,total_9th_grade,total_10th_grade,total_11th_grade,total_12th_grade_no_diploma,total_high_school_graduate,total_less_than_1_year_college,total_1_or_more_years_college,total_associates_degree,total_bachelors_degree,total_masters_degree,total_professional_school_degree,total_doctorate_degree,total_less_than_high_scool,male_less_than_high_scool,female_less_than_high_scool,total_some_college,male_some_college,female_some_college,total_masters_or_higher,male_masters_or_higher,female_masters_or_higher,total_bachelors_or_higher,male_bachelors_or_higher,female_bachelors_or_higher
01,Alabama,3193338.0,1512696.0,20358.0,10543.0,21270.0,41988.0,39994.0,53236.0,53861.0,29982.0,481342.0,83835.0,239008.0,94937.0,218497.0,76771.0,27959.0,19115.0,1680642.0,20353.0,7008.0,17788.0,41363.0,39810.0,55281.0,57977.0,28388.0,510388.0,107578.0,272822.0,141536.0,239896.0,111081.0,17687.0,11686.0,01,40711.0,17551.0,39058.0,83351.0,79804.0,108517.0,111838.0,58370.0,991730.0,191413.0,511830.0,236473.0,458393.0,187852.0,45646.0,30801.0,539200.0,271232.0,267968.0,703243.0,322843.0,380400.0,264299.0,123845.0,140454.0,722692.0,342342.0,380350.0
02,Alaska,454301.0,235433.0,1275.0,1017.0,1317.0,2971.0,2128.0,3710.0,4372.0,3174.0,71711.0,17164.0,50368.0,16791.0,37389.0,14850.0,4192.0,3004.0,218868.0,1521.0,1536.0,1633.0,2583.0,1867.0,2880.0,3907.0,2104.0,52348.0,17233.0,46197.0,19560.0,43058.0,17138.0,3239.0,2064.0,02,2796.0,2553.0,2950.0,5554.0,3995.0,6590.0,8279.0,5278.0,124059.0,34397.0,96565.0,36351.0,80447.0,31988.0,7431.0,5068.0,37995.0,19964.0,18031.0,130962.0,67532.0,63430.0,44487.0,22046.0,22441.0,124934.0,59435.0,65499.0
04,Arizona,4211194.0,2057222.0,25140.0,19772.0,44787.0,43204.0,36035.0,41735.0,52163.0,42060.0,498095.0,142927.0,376803.0,161183.0,358483.0,141222.0,43243.0,30370.0,2153972.0,27279.0,19127.0,44823.0,43649.0,36150.0,39931.0,46169.0,40413.0,533919.0,175347.0,399428.0,189320.0,358251.0,155757.0,26576.0,17833.0,04,52419.0,38899.0,89610.0,86853.0,72185.0,81666.0,98332.0,82473.0,1032014.0,318274.0,776231.0,350503.0,716734.0,296979.0,69819.0,48203.0,602437.0,304896.0,297541.0,1094505.0,519730.0,574775.0,415001.0,214835.0,200166.0,1131735.0,573318.0,558417.0
05,Arkansas,1936554.0,930780.0,11447.0,7614.0,14111.0,27780.0,21145.0,28530.0,32139.0,17459.0,339202.0,57580.0,142613.0,45392.0,122098.0,38589.0,14645.0,10436.0,1005774.0,11507.0,6665.0,11768.0,27119.0,20576.0,28225.0,33142.0,15834.0,340137.0,72096.0,161510.0,73646.0,135059.0,54867.0,8556.0,5067.0,05,22954.0,14279.0,25879.0,54899.0,41721.0,56755.0,65281.0,33293.0,679339.0,129676.0,304123.0,119038.0,257157.0,93456.0,23201.0,15503.0,315061.0,160225.0,154836.0,433799.0,200193.0,233606.0,132160.0,63670.0,68490.0,389317.0,185768.0,203549.0
06,California,24455010.0,11941861.0,273049.0,214686.0,478446.0,229070.0,263456.0,205064.0,285477.0,331853.0,2508195.0,663274.0,1935736.0,846386.0,2286543.0,876114.0,319790.0,224722.0,12513149.0,325092.0,239022.0,500673.0,241458.0,256794.0,197048.0,253946.0,292147.0,2557839.0,769294.0,2036438.0,1049532.0,2466903.0,945211.0,246117.0,135635.0,06,598141.0,453708.0,979119.0,470528.0,520250.0,402112.0,539423.0,624000.0,5066034.0,1432568.0,3972174.0,1895918.0,4753446.0,1821325.0,565907.0,360357.0,4587281.0,2281101.0,2306180.0,5404742.0,2599010.0,2805732.0,2747589.0,1420626.0,1326963.0,7501035.0,3707169.0,3793866.0
08,Colorado,3388783.0,1677220.0,14396.0,10591.0,24760.0,22730.0,22286.0,24367.0,29569.0,26175.0,375845.0,99635.0,277475.0,124285.0,392402.0,157559.0,43295.0,31850.0,1711563.0,14622.0,8420.0,20128.0,22593.0,20310.0,21798.0,27503.0,22789.0,374392.0,116243.0,280377.0,152670.0,407029.0,173208.0,29505.0,19976.0,08,29018.0,19011.0,44888.0,45323.0,42596.0,46165.0,57072.0,48964.0,750237.0,215878.0,557852.0,276955.0,799431.0,330767.0,72800.0,51826.0,333037.0,174874.0,158163.0,773730.0,377110.0,396620.0,455393.0,232704.0,222689.0,1254824.0,625106.0,629718.0
09,Connecticut,2443761.0,1161378.0,11252.0,8588.0,13974.0,20494.0,16139.0,21072.0,20965.0,19807.0,331154.0,60243.0,138691.0,68886.0,241117.0,123993.0,40881.0,24122.0,1282383.0,12348.0,8548.0,12773.0,21156.0,16213.0,21243.0,21573.0,18260.0,347216.0,72186.0,160349.0,109711.0,257007.0,159669.0,29863.0,14268.0,09,23600.0,17136.0,26747.0,41650.0,32352.0,42315.0,42538.0,38067.0,678370.0,132429.0,299040.0,178597.0,498124.0,283662.0,70744.0,38390.0,264405.0,132291.0,132114.0,431469.0,198934.0,232535.0,392796.0,188996.0,203800.0,890920.0,430113.0,460807.0
10,Delaware,611728.0,289606.0,3221.0,1890.0,3216.0,5385.0,5051.0,7451.0,7807.0,4401.0,92312.0,18147.0,38804.0,18050.0,48704.0,22028.0,6595.0,6544.0,322122.0,3140.0,1519.0,2503.0,4746.0,4732.0,7333.0,8018.0,4550.0,101565.0,20631.0,44325.0,26394.0,56404.0,28455.0,4606.0,3201.0,10,6361.0,3409.0,5719.0,10131.0,9783.0,14784.0,15825.0,8951.0,193877.0,38778.0,83129.0,44444.0,105108.0,50483.0,11201.0,9745.0,74963.0,38422.0,36541.0,121907.0,56951.0,64956.0,71429.0,35167.0,36262.0,176537.0,83871.0,92666.0
11,District of Columbia,430307.0,201881.0,2561.0,1488.0,2203.0,3459.0,3148.0,3665.0,4478.0,2872.0,37591.0,6044.0,20503.0,5614.0,47074.0,32479.0,19314.0,9388.0,228426.0,2257.0,1598.0,2202.0,3126.0,2915.0,4056.0,6215.0,3550.0,43372.0,8569.0,26194.0,7344.0,50567.0,42178.0,16823.0,7460.0,11,4818.0,3086.0,4405.0,6585.0,6063.0,7721.0,10693.0,6422.0,80963.0,14613.0,46697.0,12958.0,97641.0,74657.0,36137.0,16848.0,49793.0,23874.0,25919.0,61310.0,26547.0,34763.0,127642.0,61181.0,66461.0,225283.0,108255.0,117028.0
12,Florida,13317503.0,6378260.0,88093.0,54754.0,107677.0,118872.0,118882.0,149961.0,157172.0,150686.0,1875633.0,389520.0,912048.0,512062.0,1090856.0,397169.0,168207.0,86668.0,6939243.0,95630.0,53600.0,108329.0,112668.0,99249.0,135057.0,147571.0,151267.0,2088594.0,481549.0,1016698.0,676019.0,1163081.0,457827.0,96991.0,55113.0,12,183723.0,108354.0,216006.0,231540.0,218131.0,285018.0,304743.0,301953.0,3964227.0,871069.0,1928746.0,1188081.0,2253937.0,854996.0,265198.0,141781.0,1849468.0,946097.0,903371.0,2799815.0,1301568.0,1498247.0,1261975.0,652044.0,609931.0,3515912.0,1742900.0,1773012.0
