geoid,name,total,native,foreign_born,county,state,tract
29001950100,"Census Tract 9501, Adair County, Missouri",3680.0,3651.0,29.0,001,29,950100
29001950200,"Census Tract 9502, Adair County, Missouri",3175.0,3171.0,4.0,001,29,950200
29001950300,"Census Tract 9503, Adair County, Missouri",2952.0,2857.0,95.0,001,29,950300
29001950400,"Census Tract 9504, Adair County, Missouri",3846.0,3743.0,103.0,001,29,950400
29001950500,"Census Tract 9505, Adair County, Missouri",7161.0,6953.0,208.0,001,29,950500
29001950900,"Census Tract 9509, Adair County, Missouri",2068.0,2053.0,15.0,001,29,950900
29001951000,"Census Tract 9510, Adair County, Missouri",2691.0,2521.0,170.0,001,29,951000
29003010100,"Census Tract 101, Andrew County, Missouri",6066.0,6040.0,26.0,003,29,010100
29003010200,"Census Tract 102, Andrew County, Missouri",6729.0,6681.0,48.0,003,29,010200
29003010300,"Census Tract 103, Andrew County, Missouri",1731.0,1729.0,2.0,003,29,010300
29003010400,"Census Tract 104, Andrew County, Missouri",2793.0,2793.0,0.0,003,29,010400
29005950100,"Census Tract 9501, Atchison County, Missouri",3217.0,3209.0,8.0,005,29,950100
29005950200,"Census Tract 9502, Atchison County, Missouri",2388.0,2384.0,4.0,005,29,950200
29007950100,"Census Tract 9501, Audrain County, Missouri",4265.0,4231.0,34.0,007,29,950100
29007950200,"Census Tract 9502, Audrain County, Missouri",4657.0,4641.0,16.0,007,29,950200
29007950300,"Census Tract 9503, Audrain County, Missouri",3686.0,3630.0,56.0,007,29,950300
29007950400,"Census Tract 9504, Audrain County, Missouri",2884.0,2786.0,98.0,007,29,950400
29007950500,"Census Tract 9505, Audrain County, Missouri",3029.0,2943.0,86.0,007,29,950500
29007950600,"Census Tract 9506, Audrain County, Missouri",3170.0,3170.0,0.0,007,29,950600
29007950700,"Census Tract 9507, Audrain County, Missouri",3893.0,3797.0,96.0,007,29,950700
29009960100,"Census Tract 9601, Barry County, Missouri",5470.0,5468.0,2.0,009,29,960100
29009960200,"Census Tract 9602, Barry County, Missouri",6982.0,6431.0,551.0,009,29,960200
29009960300,"Census Tract 9603, Barry County, Missouri",6126.0,5383.0,743.0,009,29,960300
29009960401,"Census Tract 9604.01, Barry County, Missouri",4122.0,4120.0,2.0,009,29,960401
29009960402,"Census Tract 9604.02, Barry County, Missouri",3438.0,3330.0,108.0,009,29,960402
29009960500,"Census Tract 9605, Barry County, Missouri",6504.0,6367.0,137.0,009,29,960500
29009960600,"Census Tract 9606, Barry County, Missouri",2972.0,2957.0,15.0,009,29,960600
29011960100,"Census Tract 9601, Barton County, Missouri",3145.0,3048.0,97.0,011,29,960100
29011960200,"Census Tract 9602, Barton County, Missouri",3762.0,3723.0,39.0,011,29,960200
29011960300,"Census Tract 9603, Barton County, Missouri",5471.0,5329.0,142.0,011,29,960300
29013070100,"Census Tract 701, Bates County, Missouri",5454.0,5405.0,49.0,013,29,070100
29013070200,"Census Tract 702, Bates County, Missouri",4089.0,4050.0,39.0,013,29,070200
29013070300,"Census Tract 703, Bates County, Missouri",4566.0,4522.0,44.0,013,29,070300
29013070400,"Census Tract 704, Bates County, Missouri",2769.0,2767.0,2.0,013,29,070400
29015460100,"Census Tract 4601, Benton County, Missouri",3629.0,3605.0,24.0,015,29,460100
29047021600,"Census Tract 216, Clay County, Missouri",8281.0,8056.0,225.0,047,29,021600
29047021701,"Census Tract 217.01, Clay County, Missouri",5312.0,5058.0,254.0,047,29,021701
29047021702,"Census Tract 217.02, Clay County, Missouri",6347.0,6319.0,28.0,047,29,021702
29047021803,"Census Tract 218.03, Clay County, Missouri",7342.0,7155.0,187.0,047,29,021803
29047021804,"Census Tract 218.04, Clay County, Missouri",6652.0,6597.0,55.0,047,29,021804
29047021805,"Census Tract 218.05, Clay County, Missouri",8651.0,8536.0,115.0,047,29,021805
29047021806,"Census Tract 218.06, Clay County, Missouri",3761.0,3742.0,19.0,047,29,021806
29047021900,"Census Tract 219, Clay County, Missouri",5791.0,5709.0,82.0,047,29,021900
29047022000,"Census Tract 220, Clay County, Missouri",4810.0,4745.0,65.0,047,29,022000
29047022100,"Census Tract 221, Clay County, Missouri",4380.0,3687.0,693.0,047,29,022100
29047022200,"Census Tract 222, Clay County, Missouri",4096.0,4024.0,72.0,047,29,022200
29047022301,"Census Tract 223.01, Clay County, Missouri",2795.0,2768.0,27.0,047,29,022301
29047022302,"Census Tract 223.02, Clay County, Missouri",5819.0,5675.0,144.0,047,29,022302
29049960100,"Census Tract 9601, Clinton County, Missouri",5180.0,5155.0,25.0,049,29,960100
29049960200,"Census Tract 9602, Clinton County, Missouri",6796.0,6750.0,46.0,049,29,960200
29049960300,"Census Tract 9603, Clinton County, Missouri",4409.0,4360.0,49.0,049,29,960300
29049960400,"Census Tract 9604, Clinton County, Missouri",4274.0,4254.0,20.0,049,29,960400
29051010300,"Census Tract 103, Cole County, Missouri",5627.0,5569.0,58.0,051,29,010300
29051010400,"Census Tract 104, Cole County, Missouri",6677.0,6542.0,135.0,051,29,010400
29051010500,"Census Tract 105, Cole County, Missouri",4555.0,4208.0,347.0,051,29,010500
29051010600,"Census Tract 106, Cole County, Missouri",3892.0,3557.0,335.0,051,29,010600
29051010701,"Census Tract 107.01, Cole County, Missouri",5277.0,5070.0,207.0,051,29,010701
29051010702,"Census Tract 107.02, Cole County, Missouri",5822.0,5719.0,103.0,051,29,010702
29051010800,"Census Tract 108, Cole County, Missouri",9028.0,8581.0,447.0,051,29,010800
29051010900,"Census Tract 109, Cole County, Missouri",6140.0,6061.0,79.0,051,29,010900
29051020198,"Census Tract 201.98, Cole County, Missouri",6610.0,6598.0,12.0,051,29,020198
29051020200,"Census Tract 202, Cole County, Missouri",3930.0,3918.0,12.0,051,29,020200
29051020300,"Census Tract 203, Cole County, Missouri",3697.0,3670.0,27.0,051,29,020300
29051020400,"Census Tract 204, Cole County, Missouri",5778.0,5347.0,431.0,051,29,020400
29051020500,"Census Tract 205, Cole County, Missouri",2653.0,2618.0,35.0,051,29,020500
29051020600,"Census Tract 206, Cole County, Missouri",4268.0,4244.0,24.0,051,29,020600
29051020700,"Census Tract 207, Cole County, Missouri",2274.0,2222.0,52.0,051,29,020700
29053950100,"Census Tract 9501, Cooper County, Missouri",3188.0,3145.0,43.0,053,29,950100
29053950200,"Census Tract 9502, Cooper County, Missouri",3088.0,3059.0,29.0,053,29,950200
29053950300,"Census Tract 9503, Cooper County, Missouri",4236.0,4155.0,81.0,053,29,950300
29053950400,"Census Tract 9504, Cooper County, Missouri",2299.0,2239.0,60.0,053,29,950400
29053950500,"Census Tract 9505, Cooper County, Missouri",4763.0,4718.0,45.0,053,29,950500
29055450101,"Census Tract 4501.01, Crawford County, Missouri",1955.0,1931.0,24.0,055,29,450101
29055450102,"Census Tract 4501.02, Crawford County, Missouri",6431.0,6364.0,67.0,055,29,450102
29055450200,"Census Tract 4502, Crawford County, Missouri",4150.0,4135.0,15.0,055,29,450200
29055450301,"Census Tract 4503.01, Crawford County, Missouri",2752.0,2713.0,39.0,055,29,450301
29055450302,"Census Tract 4503.02, Crawford County, Missouri",4188.0,4177.0,11.0,055,29,450302
29055450400,"Census Tract 4504, Crawford County, Missouri",5235.0,5222.0,13.0,055,29,450400
29057480100,"Census Tract 4801, Dade County, Missouri",4433.0,4403.0,30.0,057,29,480100
29057480200,"Census Tract 4802, Dade County, Missouri",3301.0,3279.0,22.0,057,29,480200
29059480100,"Census Tract 4801, Dallas County, Missouri",4586.0,4567.0,19.0,059,29,480100
29059480200,"Census Tract 4802, Dallas County, Missouri",5451.0,5451.0,0.0,059,29,480200
29059480300,"Census Tract 4803, Dallas County, Missouri",6696.0,6631.0,65.0,059,29,480300
29061470100,"Census Tract 4701, Daviess County, Missouri",3122.0,3088.0,34.0,061,29,470100
29061470200,"Census Tract 4702, Daviess County, Missouri",5225.0,5166.0,59.0,061,29,470200
29063080100,"Census Tract 801, DeKalb County, Missouri",8954.0,8715.0,239.0,063,29,080100
29063080200,"Census Tract 802, DeKalb County, Missouri",3919.0,3910.0,9.0,063,29,080200
29065960100,"Census Tract 9601, Dent County, Missouri",4820.0,4753.0,67.0,065,29,960100
29065960200,"Census Tract 9602, Dent County, Missouri",5326.0,5281.0,45.0,065,29,960200
29065960300,"Census Tract 9603, Dent County, Missouri",2083.0,2063.0,20.0,065,29,960300
29065960400,"Census Tract 9604, Dent County, Missouri",3420.0,3413.0,7.0,065,29,960400
29067950100,"Census Tract 9501, Douglas County, Missouri",3434.0,3422.0,12.0,067,29,950100
29067950200,"Census Tract 9502, Douglas County, Missouri",5857.0,5848.0,9.0,067,29,950200
29067950500,"Census Tract 9505, Douglas County, Missouri",4356.0,4315.0,41.0,067,29,950500
29069360100,"Census Tract 3601, Dunklin County, Missouri",2698.0,2679.0,19.0,069,29,360100
29069360200,"Census Tract 3602, Dunklin County, Missouri",2801.0,2727.0,74.0,069,29,360200
29069360300,"Census Tract 3603, Dunklin County, Missouri",4191.0,4191.0,0.0,069,29,360300
