geoid,name,total,native,foreign_born,county,state,tract
32003003005,"Census Tract 30.05, Clark County, Nevada",3779.0,3149.0,630.0,003,32,003005
32003003006,"Census Tract 30.06, Clark County, Nevada",3540.0,2795.0,745.0,003,32,003006
32003003102,"Census Tract 31.02, Clark County, Nevada",5701.0,4190.0,1511.0,003,32,003102
32003003103,"Census Tract 31.03, Clark County, Nevada",3450.0,2630.0,820.0,003,32,003103
32003003104,"Census Tract 31.04, Clark County, Nevada",3736.0,2859.0,877.0,003,32,003104
32003003204,"Census Tract 32.04, Clark County, Nevada",5972.0,5318.0,654.0,003,32,003204
32003003208,"Census Tract 32.08, Clark County, Nevada",2904.0,2597.0,307.0,003,32,003208
32003003210,"Census Tract 32.10, Clark County, Nevada",2595.0,2191.0,404.0,003,32,003210
32003003211,"Census Tract 32.11, Clark County, Nevada",3093.0,2743.0,350.0,003,32,003211
32003003213,"Census Tract 32.13, Clark County, Nevada",2024.0,1750.0,274.0,003,32,003213
32003003214,"Census Tract 32.14, Clark County, Nevada",1582.0,1426.0,156.0,003,32,003214
32003003215,"Census Tract 32.15, Clark County, Nevada",4762.0,4126.0,636.0,003,32,003215
32003003218,"Census Tract 32.18, Clark County, Nevada",5753.0,4734.0,1019.0,003,32,003218
32003003219,"Census Tract 32.19, Clark County, Nevada",6757.0,5499.0,1258.0,003,32,003219
32003003220,"Census Tract 32.20, Clark County, Nevada",6336.0,4962.0,1374.0,003,32,003220
32003003222,"Census Tract 32.22, Clark County, Nevada",4996.0,4142.0,854.0,003,32,003222
32003003223,"Census Tract 32.23, Clark County, Nevada",3140.0,2461.0,679.0,003,32,003223
32003003226,"Census Tract 32.26, Clark County, Nevada",2585.0,1930.0,655.0,003,32,003226
32003003227,"Census Tract 32.27, Clark County, Nevada",3496.0,2964.0,532.0,003,32,003227
32003003228,"Census Tract 32.28, Clark County, Nevada",5228.0,4608.0,620.0,003,32,003228
32003003229,"Census Tract 32.29, Clark County, Nevada",2982.0,2800.0,182.0,003,32,003229
32003003230,"Census Tract 32.30, Clark County, Nevada",6037.0,5507.0,530.0,003,32,003230
32003003231,"Census Tract 32.31, Clark County, Nevada",5556.0,4816.0,740.0,003,32,003231
32003003232,"Census Tract 32.32, Clark County, Nevada",5902.0,5549.0,353.0,003,32,003232
32003003233,"Census Tract 32.33, Clark County, Nevada",3606.0,3093.0,513.0,003,32,003233
32003003234,"Census Tract 32.34, Clark County, Nevada",3745.0,2919.0,826.0,003,32,003234
32003003235,"Census Tract 32.35, Clark County, Nevada",3492.0,3175.0,317.0,003,32,003235
32003003236,"Census Tract 32.36, Clark County, Nevada",1942.0,1877.0,65.0,003,32,003236
32003003237,"Census Tract 32.37, Clark County, Nevada",4316.0,3575.0,741.0,003,32,003237
32003003238,"Census Tract 32.38, Clark County, Nevada",6834.0,6068.0,766.0,003,32,003238
32003003239,"Census Tract 32.39, Clark County, Nevada",3377.0,2844.0,533.0,003,32,003239
32003003240,"Census Tract 32.40, Clark County, Nevada",3715.0,3271.0,444.0,003,32,003240
32003003241,"Census Tract 32.41, Clark County, Nevada",3675.0,3228.0,447.0,003,32,003241
32003003242,"Census Tract 32.42, Clark County, Nevada",1984.0,1759.0,225.0,003,32,003242
32003003243,"Census Tract 32.43, Clark County, Nevada",4220.0,3632.0,588.0,003,32,003243
32003003244,"Census Tract 32.44, Clark County, Nevada",3131.0,2875.0,256.0,003,32,003244
32003003245,"Census Tract 32.45, Clark County, Nevada",4660.0,4235.0,425.0,003,32,003245
32003003246,"Census Tract 32.46, Clark County, Nevada",3883.0,3071.0,812.0,003,32,003246
32003003247,"Census Tract 32.47, Clark County, Nevada",3838.0,3392.0,446.0,003,32,003247
32003003248,"Census Tract 32.48, Clark County, Nevada",3464.0,3026.0,438.0,003,32,003248
32003003249,"Census Tract 32.49, Clark County, Nevada",3553.0,3000.0,553.0,003,32,003249
32003003250,"Census Tract 32.50, Clark County, Nevada",6041.0,5099.0,942.0,003,32,003250
32003003251,"Census Tract 32.51, Clark County, Nevada",2611.0,2447.0,164.0,003,32,003251
32003003252,"Census Tract 32.52, Clark County, Nevada",4930.0,4112.0,818.0,003,32,003252
32003003253,"Census Tract 32.53, Clark County, Nevada",3936.0,3254.0,682.0,003,32,003253
32003003254,"Census Tract 32.54, Clark County, Nevada",3810.0,3056.0,754.0,003,32,003254
32003003260,"Census Tract 32.60, Clark County, Nevada",3538.0,3028.0,510.0,003,32,003260
32003003261,"Census Tract 32.61, Clark County, Nevada",2981.0,2303.0,678.0,003,32,003261
