geoid,name,total,native,foreign_born,county,state,tract
39013012000,"Census Tract 120, Belmont County, Ohio",2612.0,2602.0,10.0,013,39,012000
39013012100,"Census Tract 121, Belmont County, Ohio",1209.0,1209.0,0.0,013,39,012100
39013012200,"Census Tract 122, Belmont County, Ohio",6344.0,6228.0,116.0,013,39,012200
39013012300,"Census Tract 123, Belmont County, Ohio",3981.0,3845.0,136.0,013,39,012300
39013012400,"Census Tract 124, Belmont County, Ohio",4560.0,4500.0,60.0,013,39,012400
39015951201,"Census Tract 9512.01, Brown County, Ohio",4315.0,4263.0,52.0,015,39,951201
39015951202,"Census Tract 9512.02, Brown County, Ohio",4689.0,4660.0,29.0,015,39,951202
39015951300,"Census Tract 9513, Brown County, Ohio",8183.0,8127.0,56.0,015,39,951300
39015951400,"Census Tract 9514, Brown County, Ohio",4277.0,4261.0,16.0,015,39,951400
39015951500,"Census Tract 9515, Brown County, Ohio",5356.0,5335.0,21.0,015,39,951500
39015951600,"Census Tract 9516, Brown County, Ohio",3584.0,3574.0,10.0,015,39,951600
39015951700,"Census Tract 9517, Brown County, Ohio",2795.0,2795.0,0.0,015,39,951700
39015951800,"Census Tract 9518, Brown County, Ohio",5367.0,5326.0,41.0,015,39,951800
39015951900,"Census Tract 9519, Brown County, Ohio",6038.0,6038.0,0.0,015,39,951900
39017000100,"Census Tract 1, Butler County, Ohio",4411.0,4332.0,79.0,017,39,000100
39017000200,"Census Tract 2, Butler County, Ohio",4416.0,4336.0,80.0,017,39,000200
39017000300,"Census Tract 3, Butler County, Ohio",3044.0,2866.0,178.0,017,39,000300
39017000400,"Census Tract 4, Butler County, Ohio",4588.0,3938.0,650.0,017,39,000400
39017000500,"Census Tract 5, Butler County, Ohio",4410.0,4215.0,195.0,017,39,000500
39017000600,"Census Tract 6, Butler County, Ohio",5303.0,5021.0,282.0,017,39,000600
39017001001,"Census Tract 10.01, Butler County, Ohio",5687.0,5530.0,157.0,017,39,001001
39017001002,"Census Tract 10.02, Butler County, Ohio",5294.0,5223.0,71.0,017,39,001002
39017001100,"Census Tract 11, Butler County, Ohio",4634.0,4552.0,82.0,017,39,001100
39017001300,"Census Tract 13, Butler County, Ohio",4442.0,4275.0,167.0,017,39,001300
39017010101,"Census Tract 101.01, Butler County, Ohio",6530.0,6133.0,397.0,017,39,010101
39017010102,"Census Tract 101.02, Butler County, Ohio",2797.0,2622.0,175.0,017,39,010102
39017010103,"Census Tract 101.03, Butler County, Ohio",5819.0,5190.0,629.0,017,39,010103
39017010104,"Census Tract 101.04, Butler County, Ohio",5219.0,5057.0,162.0,017,39,010104
39017010201,"Census Tract 102.01, Butler County, Ohio",2087.0,1981.0,106.0,017,39,010201
39017010202,"Census Tract 102.02, Butler County, Ohio",4102.0,4043.0,59.0,017,39,010202
39017010203,"Census Tract 102.03, Butler County, Ohio",5540.0,5530.0,10.0,017,39,010203
39017010301,"Census Tract 103.01, Butler County, Ohio",4461.0,4427.0,34.0,017,39,010301
39017010302,"Census Tract 103.02, Butler County, Ohio",3578.0,3530.0,48.0,017,39,010302
39017010500,"Census Tract 105, Butler County, Ohio",2383.0,2378.0,5.0,017,39,010500
39017010600,"Census Tract 106, Butler County, Ohio",3321.0,3282.0,39.0,017,39,010600
39017010800,"Census Tract 108, Butler County, Ohio",6565.0,6518.0,47.0,017,39,010800
39017010901,"Census Tract 109.01, Butler County, Ohio",4423.0,4199.0,224.0,017,39,010901
39017010903,"Census Tract 109.03, Butler County, Ohio",5046.0,4978.0,68.0,017,39,010903
39017010904,"Census Tract 109.04, Butler County, Ohio",3844.0,3700.0,144.0,017,39,010904
39017010906,"Census Tract 109.06, Butler County, Ohio",7792.0,6635.0,1157.0,017,39,010906
39017010907,"Census Tract 109.07, Butler County, Ohio",2400.0,2345.0,55.0,017,39,010907
39017010908,"Census Tract 109.08, Butler County, Ohio",5229.0,4744.0,485.0,017,39,010908
39017010909,"Census Tract 109.09, Butler County, Ohio",4893.0,4449.0,444.0,017,39,010909
39017010910,"Census Tract 109.10, Butler County, Ohio",4471.0,4159.0,312.0,017,39,010910
39017010911,"Census Tract 109.11, Butler County, Ohio",4067.0,3989.0,78.0,017,39,010911
39017011002,"Census Tract 110.02, Butler County, Ohio",12683.0,11948.0,735.0,017,39,011002
39017011003,"Census Tract 110.03, Butler County, Ohio",6048.0,5793.0,255.0,017,39,011003
39017011004,"Census Tract 110.04, Butler County, Ohio",5653.0,5350.0,303.0,017,39,011004
39017011109,"Census Tract 111.09, Butler County, Ohio",4333.0,4012.0,321.0,017,39,011109
39017011110,"Census Tract 111.10, Butler County, Ohio",5315.0,5111.0,204.0,017,39,011110
39017011111,"Census Tract 111.11, Butler County, Ohio",6690.0,6100.0,590.0,017,39,011111
39017011112,"Census Tract 111.12, Butler County, Ohio",5505.0,5042.0,463.0,017,39,011112
39017011116,"Census Tract 111.16, Butler County, Ohio",8334.0,8015.0,319.0,017,39,011116
39017011117,"Census Tract 111.17, Butler County, Ohio",11367.0,10566.0,801.0,017,39,011117
39017011118,"Census Tract 111.18, Butler County, Ohio",3106.0,2965.0,141.0,017,39,011118
39017011120,"Census Tract 111.20, Butler County, Ohio",7260.0,6909.0,351.0,017,39,011120
39017011121,"Census Tract 111.21, Butler County, Ohio",8120.0,7773.0,347.0,017,39,011121
39017011122,"Census Tract 111.22, Butler County, Ohio",4824.0,4284.0,540.0,017,39,011122
39017011123,"Census Tract 111.23, Butler County, Ohio",4651.0,3533.0,1118.0,017,39,011123
39017011125,"Census Tract 111.25, Butler County, Ohio",3580.0,3250.0,330.0,017,39,011125
39017011126,"Census Tract 111.26, Butler County, Ohio",6161.0,4514.0,1647.0,017,39,011126
39017011127,"Census Tract 111.27, Butler County, Ohio",4466.0,4112.0,354.0,017,39,011127
39017011128,"Census Tract 111.28, Butler County, Ohio",3290.0,2925.0,365.0,017,39,011128
39017011129,"Census Tract 111.29, Butler County, Ohio",4008.0,3672.0,336.0,017,39,011129
39017011130,"Census Tract 111.30, Butler County, Ohio",5498.0,4675.0,823.0,017,39,011130
39017011131,"Census Tract 111.31, Butler County, Ohio",2801.0,2679.0,122.0,017,39,011131
39017011200,"Census Tract 112, Butler County, Ohio",7586.0,7377.0,209.0,017,39,011200
39017011300,"Census Tract 113, Butler County, Ohio",4934.0,4788.0,146.0,017,39,011300
39017011800,"Census Tract 118, Butler County, Ohio",5606.0,5606.0,0.0,017,39,011800
39017012100,"Census Tract 121, Butler County, Ohio",3212.0,3202.0,10.0,017,39,012100
39017012200,"Census Tract 122, Butler County, Ohio",2892.0,2772.0,120.0,017,39,012200
39017012300,"Census Tract 123, Butler County, Ohio",2318.0,2308.0,10.0,017,39,012300
39017012400,"Census Tract 124, Butler County, Ohio",2301.0,2223.0,78.0,017,39,012400
39017012500,"Census Tract 125, Butler County, Ohio",4832.0,4695.0,137.0,017,39,012500
39017012600,"Census Tract 126, Butler County, Ohio",2442.0,2388.0,54.0,017,39,012600
39017012700,"Census Tract 127, Butler County, Ohio",3355.0,3317.0,38.0,017,39,012700
39017013000,"Census Tract 130, Butler County, Ohio",1611.0,1522.0,89.0,017,39,013000
39017013100,"Census Tract 131, Butler County, Ohio",2412.0,2384.0,28.0,017,39,013100
39017013200,"Census Tract 132, Butler County, Ohio",3635.0,3581.0,54.0,017,39,013200
39017013300,"Census Tract 133, Butler County, Ohio",2181.0,2097.0,84.0,017,39,013300
39017013400,"Census Tract 134, Butler County, Ohio",2108.0,2066.0,42.0,017,39,013400
39017013500,"Census Tract 135, Butler County, Ohio",2925.0,2885.0,40.0,017,39,013500
39017013600,"Census Tract 136, Butler County, Ohio",4915.0,4566.0,349.0,017,39,013600
39017013900,"Census Tract 139, Butler County, Ohio",2726.0,2689.0,37.0,017,39,013900
39017014000,"Census Tract 140, Butler County, Ohio",2425.0,2350.0,75.0,017,39,014000
39017014100,"Census Tract 141, Butler County, Ohio",2303.0,2261.0,42.0,017,39,014100
39017014300,"Census Tract 143, Butler County, Ohio",4601.0,4545.0,56.0,017,39,014300
39017014400,"Census Tract 144, Butler County, Ohio",1577.0,1518.0,59.0,017,39,014400
39017014600,"Census Tract 146, Butler County, Ohio",995.0,908.0,87.0,017,39,014600
39017014700,"Census Tract 147, Butler County, Ohio",3912.0,3886.0,26.0,017,39,014700
39017014800,"Census Tract 148, Butler County, Ohio",7498.0,7420.0,78.0,017,39,014800
39017014900,"Census Tract 149, Butler County, Ohio",5010.0,4978.0,32.0,017,39,014900
39017015000,"Census Tract 150, Butler County, Ohio",7666.0,7556.0,110.0,017,39,015000
39017015100,"Census Tract 151, Butler County, Ohio",7183.0,7169.0,14.0,017,39,015100
39019720100,"Census Tract 7201, Carroll County, Ohio",3544.0,3484.0,60.0,019,39,720100
39019720200,"Census Tract 7202, Carroll County, Ohio",3721.0,3716.0,5.0,019,39,720200
39019720300,"Census Tract 7203, Carroll County, Ohio",5121.0,5074.0,47.0,019,39,720300
39001770100,"Census Tract 7701, Adams County, Ohio",5087.0,5081.0,6.0,001,39,770100
39001770200,"Census Tract 7702, Adams County, Ohio",4719.0,4711.0,8.0,001,39,770200
39001770300,"Census Tract 7703, Adams County, Ohio",7356.0,7352.0,4.0,001,39,770300
39001770400,"Census Tract 7704, Adams County, Ohio",4971.0,4930.0,41.0,001,39,770400
39001770500,"Census Tract 7705, Adams County, Ohio",2962.0,2960.0,2.0,001,39,770500
39001770600,"Census Tract 7706, Adams County, Ohio",3311.0,3311.0,0.0,001,39,770600
39003010100,"Census Tract 101, Allen County, Ohio",4412.0,4312.0,100.0,003,39,010100
39003010200,"Census Tract 102, Allen County, Ohio",4135.0,4106.0,29.0,003,39,010200
39003010300,"Census Tract 103, Allen County, Ohio",1626.0,1626.0,0.0,003,39,010300
39003010600,"Census Tract 106, Allen County, Ohio",5032.0,4995.0,37.0,003,39,010600
39003010800,"Census Tract 108, Allen County, Ohio",7945.0,7770.0,175.0,003,39,010800
39003010900,"Census Tract 109, Allen County, Ohio",4931.0,4832.0,99.0,003,39,010900
39003011000,"Census Tract 110, Allen County, Ohio",5896.0,5717.0,179.0,003,39,011000
39003011200,"Census Tract 112, Allen County, Ohio",2701.0,2654.0,47.0,003,39,011200
39003011300,"Census Tract 113, Allen County, Ohio",7350.0,7207.0,143.0,003,39,011300
39003011400,"Census Tract 114, Allen County, Ohio",3029.0,3006.0,23.0,003,39,011400
39003011500,"Census Tract 115, Allen County, Ohio",2758.0,2731.0,27.0,003,39,011500
39003011600,"Census Tract 116, Allen County, Ohio",2604.0,2591.0,13.0,003,39,011600
39003011800,"Census Tract 118, Allen County, Ohio",2591.0,2507.0,84.0,003,39,011800
39003011900,"Census Tract 119, Allen County, Ohio",3207.0,3169.0,38.0,003,39,011900
39003012000,"Census Tract 120, Allen County, Ohio",2142.0,2106.0,36.0,003,39,012000
39003012100,"Census Tract 121, Allen County, Ohio",3329.0,3130.0,199.0,003,39,012100
39003012200,"Census Tract 122, Allen County, Ohio",3373.0,3373.0,0.0,003,39,012200
39003012300,"Census Tract 123, Allen County, Ohio",3885.0,3863.0,22.0,003,39,012300
39003012400,"Census Tract 124, Allen County, Ohio",2829.0,2829.0,0.0,003,39,012400
39003012600,"Census Tract 126, Allen County, Ohio",2371.0,2371.0,0.0,003,39,012600
39003012700,"Census Tract 127, Allen County, Ohio",1901.0,1883.0,18.0,003,39,012700
39003012900,"Census Tract 129, Allen County, Ohio",1938.0,1878.0,60.0,003,39,012900
39003013000,"Census Tract 130, Allen County, Ohio",4449.0,4385.0,64.0,003,39,013000
39003013100,"Census Tract 131, Allen County, Ohio",2417.0,2393.0,24.0,003,39,013100
39003013200,"Census Tract 132, Allen County, Ohio",1821.0,1804.0,17.0,003,39,013200
39003013300,"Census Tract 133, Allen County, Ohio",1156.0,1155.0,1.0,003,39,013300
39003013400,"Census Tract 134, Allen County, Ohio",2445.0,2435.0,10.0,003,39,013400
39003013600,"Census Tract 136, Allen County, Ohio",1325.0,1320.0,5.0,003,39,013600
39003013700,"Census Tract 137, Allen County, Ohio",1217.0,1210.0,7.0,003,39,013700
39003013800,"Census Tract 138, Allen County, Ohio",2284.0,2270.0,14.0,003,39,013800
39003013900,"Census Tract 139, Allen County, Ohio",3288.0,3282.0,6.0,003,39,013900
39003014000,"Census Tract 140, Allen County, Ohio",3448.0,3448.0,0.0,003,39,014000
39003014100,"Census Tract 141, Allen County, Ohio",2060.0,1876.0,184.0,003,39,014100
39005970100,"Census Tract 9701, Ashland County, Ohio",8550.0,8464.0,86.0,005,39,970100
39005970200,"Census Tract 9702, Ashland County, Ohio",5595.0,5506.0,89.0,005,39,970200
39005970300,"Census Tract 9703, Ashland County, Ohio",4071.0,3986.0,85.0,005,39,970300
39005970400,"Census Tract 9704, Ashland County, Ohio",3843.0,3808.0,35.0,005,39,970400
39005970500,"Census Tract 9705, Ashland County, Ohio",2722.0,2677.0,45.0,005,39,970500
39005970600,"Census Tract 9706, Ashland County, Ohio",5494.0,5323.0,171.0,005,39,970600
39005970700,"Census Tract 9707, Ashland County, Ohio",5440.0,5128.0,312.0,005,39,970700
39005970800,"Census Tract 9708, Ashland County, Ohio",3742.0,3539.0,203.0,005,39,970800
39005970900,"Census Tract 9709, Ashland County, Ohio",4900.0,4776.0,124.0,005,39,970900
39005971000,"Census Tract 9710, Ashland County, Ohio",4772.0,4768.0,4.0,005,39,971000
39005971100,"Census Tract 9711, Ashland County, Ohio",4105.0,4087.0,18.0,005,39,971100
39007000101,"Census Tract 1.01, Ashtabula County, Ohio",4785.0,4738.0,47.0,007,39,000101
39007000102,"Census Tract 1.02, Ashtabula County, Ohio",3546.0,3484.0,62.0,007,39,000102
39007000103,"Census Tract 1.03, Ashtabula County, Ohio",3736.0,3714.0,22.0,007,39,000103
39007000200,"Census Tract 2, Ashtabula County, Ohio",4462.0,4430.0,32.0,007,39,000200
39007000300,"Census Tract 3, Ashtabula County, Ohio",2212.0,2184.0,28.0,007,39,000300
39007000400,"Census Tract 4, Ashtabula County, Ohio",1642.0,1638.0,4.0,007,39,000400
39007000500,"Census Tract 5, Ashtabula County, Ohio",4247.0,4221.0,26.0,007,39,000500
39007000601,"Census Tract 6.01, Ashtabula County, Ohio",2860.0,2815.0,45.0,007,39,000601
