geoid,name,housing_units,owner_occupied,renter_occupied,county,state
01001,"Autauga County, Alabama",3352.0,2073.0,1279.0,001,01
01003,"Baldwin County, Alabama",5778.0,3357.0,2421.0,003,01
01005,"Barbour County, Alabama",3961.0,2241.0,1720.0,005,01
01007,"Bibb County, Alabama",1293.0,773.0,520.0,007,01
01009,"Blount County, Alabama",227.0,121.0,106.0,009,01
01011,"Bullock County, Alabama",2423.0,1629.0,794.0,011,01
01013,"Butler County, Alabama",3376.0,1984.0,1392.0,013,01
01015,"Calhoun County, Alabama",9279.0,4300.0,4979.0,015,01
01017,"Chambers County, Alabama",5255.0,2640.0,2615.0,017,01
01019,"Cherokee County, Alabama",580.0,423.0,157.0,019,01
01021,"Chilton County, Alabama",1412.0,925.0,487.0,021,01
01023,"Choctaw County, Alabama",2242.0,1743.0,499.0,023,01
01025,"Clarke County, Alabama",3998.0,2700.0,1298.0,025,01
01027,"Clay County, Alabama",897.0,504.0,393.0,027,01
01029,"Cleburne County, Alabama",184.0,111.0,73.0,029,01
01031,"Coffee County, Alabama",2964.0,1585.0,1379.0,031,01
01033,"Colbert County, Alabama",3671.0,2207.0,1464.0,033,01
01035,"Conecuh County, Alabama",2225.0,1519.0,706.0,035,01
01037,"Coosa County, Alabama",1405.0,1076.0,329.0,037,01
01039,"Covington County, Alabama",1728.0,901.0,827.0,039,01
01041,"Crenshaw County, Alabama",1451.0,767.0,684.0,041,01
01043,"Cullman County, Alabama",280.0,160.0,120.0,043,01
01045,"Dale County, Alabama",3625.0,1466.0,2159.0,045,01
01047,"Dallas County, Alabama",10473.0,5400.0,5073.0,047,01
01049,"DeKalb County, Alabama",419.0,203.0,216.0,049,01
01051,"Elmore County, Alabama",4807.0,2993.0,1814.0,051,01
01053,"Escambia County, Alabama",4244.0,2733.0,1511.0,053,01
01055,"Etowah County, Alabama",5902.0,2966.0,2936.0,055,01
01057,"Fayette County, Alabama",785.0,411.0,374.0,057,01
01059,"Franklin County, Alabama",610.0,244.0,366.0,059,01
01061,"Geneva County, Alabama",1192.0,632.0,560.0,061,01
01063,"Greene County, Alabama",2570.0,1761.0,809.0,063,01
01065,"Hale County, Alabama",3414.0,2555.0,859.0,065,01
01067,"Henry County, Alabama",1877.0,1290.0,587.0,067,01
01069,"Houston County, Alabama",9385.0,3936.0,5449.0,069,01
01071,"Jackson County, Alabama",697.0,431.0,266.0,071,01
01073,"Jefferson County, Alabama",107141.0,54845.0,52296.0,073,01
01075,"Lamar County, Alabama",731.0,393.0,338.0,075,01
01077,"Lauderdale County, Alabama",3618.0,1719.0,1899.0,077,01
01079,"Lawrence County, Alabama",1579.0,1069.0,510.0,079,01
01081,"Lee County, Alabama",12881.0,6504.0,6377.0,081,01
01083,"Limestone County, Alabama",3666.0,2223.0,1443.0,083,01
01085,"Lowndes County, Alabama",2945.0,2085.0,860.0,085,01
01087,"Macon County, Alabama",6531.0,4095.0,2436.0,087,01
01089,"Madison County, Alabama",31004.0,15042.0,15962.0,089,01
01091,"Marengo County, Alabama",4408.0,2663.0,1745.0,091,01
01093,"Marion County, Alabama",388.0,216.0,172.0,093,01
01095,"Marshall County, Alabama",441.0,185.0,256.0,095,01
01097,"Mobile County, Alabama",51247.0,26111.0,25136.0,097,01
01099,"Monroe County, Alabama",3294.0,2088.0,1206.0,099,01
01101,"Montgomery County, Alabama",46530.0,23433.0,23097.0,101,01
01103,"Morgan County, Alabama",5468.0,2395.0,3073.0,103,01
01105,"Perry County, Alabama",2236.0,1397.0,839.0,105,01
01107,"Pickens County, Alabama",3121.0,1847.0,1274.0,107,01
01109,"Pike County, Alabama",4724.0,1990.0,2734.0,109,01
01111,"Randolph County, Alabama",1764.0,918.0,846.0,111,01
01113,"Russell County, Alabama",8725.0,4682.0,4043.0,113,01
01115,"St. Clair County, Alabama",2245.0,1825.0,420.0,115,01
01117,"Shelby County, Alabama",8412.0,4982.0,3430.0,117,01
01119,"Sumter County, Alabama",3768.0,2286.0,1482.0,119,01
01121,"Talladega County, Alabama",9547.0,5543.0,4004.0,121,01
01123,"Tallapoosa County, Alabama",4116.0,2378.0,1738.0,123,01
01125,"Tuscaloosa County, Alabama",19214.0,9251.0,9963.0,125,01
01127,"Walker County, Alabama",1425.0,671.0,754.0,127,01
01129,"Washington County, Alabama",1520.0,1250.0,270.0,129,01
01131,"Wilcox County, Alabama",2631.0,1902.0,729.0,131,01
01133,"Winston County, Alabama",0.0,0.0,0.0,133,01
02013,"Aleutians East Borough, Alaska",4.0,0.0,4.0,013,02
13097,"Douglas County, Georgia",18633.0,10865.0,7768.0,097,13
13099,"Early County, Georgia",1966.0,981.0,985.0,099,13
13101,"Echols County, Georgia",14.0,5.0,9.0,101,13
13103,"Effingham County, Georgia",2301.0,1427.0,874.0,103,13
13105,"Elbert County, Georgia",2063.0,1147.0,916.0,105,13
13107,"Emanuel County, Georgia",2473.0,1316.0,1157.0,107,13
13109,"Evans County, Georgia",1047.0,512.0,535.0,109,13
13111,"Fannin County, Georgia",0.0,0.0,0.0,111,13
13113,"Fayette County, Georgia",6915.0,5541.0,1374.0,113,13
13115,"Floyd County, Georgia",4851.0,1908.0,2943.0,115,13
13117,"Forsyth County, Georgia",1467.0,1061.0,406.0,117,13
13119,"Franklin County, Georgia",729.0,263.0,466.0,119,13
13121,"Fulton County, Georgia",156724.0,65030.0,91694.0,121,13
13123,"Gilmer County, Georgia",66.0,0.0,66.0,123,13
13125,"Glascock County, Georgia",116.0,71.0,45.0,125,13
13127,"Glynn County, Georgia",7424.0,3056.0,4368.0,127,13
13129,"Gordon County, Georgia",879.0,309.0,570.0,129,13
13131,"Grady County, Georgia",2467.0,895.0,1572.0,131,13
13133,"Greene County, Georgia",2185.0,1238.0,947.0,133,13
13135,"Gwinnett County, Georgia",65977.0,33723.0,32254.0,135,13
13137,"Habersham County, Georgia",267.0,116.0,151.0,137,13
13139,"Hall County, Georgia",4509.0,2104.0,2405.0,139,13
13141,"Hancock County, Georgia",1837.0,1274.0,563.0,141,13
13143,"Haralson County, Georgia",467.0,335.0,132.0,143,13
13145,"Harris County, Georgia",1852.0,1525.0,327.0,145,13
13147,"Hart County, Georgia",1749.0,948.0,801.0,147,13
13149,"Heard County, Georgia",457.0,235.0,222.0,149,13
13151,"Henry County, Georgia",25344.0,16697.0,8647.0,151,13
13153,"Houston County, Georgia",14849.0,7156.0,7693.0,153,13
13155,"Irwin County, Georgia",851.0,465.0,386.0,155,13
13157,"Jackson County, Georgia",1339.0,740.0,599.0,157,13
13159,"Jasper County, Georgia",1017.0,707.0,310.0,159,13
13161,"Jeff Davis County, Georgia",880.0,511.0,369.0,161,13
13163,"Jefferson County, Georgia",3325.0,1845.0,1480.0,163,13
13165,"Jenkins County, Georgia",1049.0,649.0,400.0,165,13
13167,"Johnson County, Georgia",1005.0,679.0,326.0,167,13
13169,"Jones County, Georgia",2436.0,1711.0,725.0,169,13
13171,"Lamar County, Georgia",1825.0,990.0,835.0,171,13
13173,"Lanier County, Georgia",774.0,357.0,417.0,173,13
13175,"Laurens County, Georgia",6040.0,2649.0,3391.0,175,13
13177,"Lee County, Georgia",1741.0,1039.0,702.0,177,13
13179,"Liberty County, Georgia",9676.0,5076.0,4600.0,179,13
13181,"Lincoln County, Georgia",1064.0,603.0,461.0,181,13
13183,"Long County, Georgia",1375.0,827.0,548.0,183,13
13185,"Lowndes County, Georgia",13680.0,5201.0,8479.0,185,13
13187,"Lumpkin County, Georgia",236.0,0.0,236.0,187,13
13189,"McDuffie County, Georgia",3025.0,1500.0,1525.0,189,13
13191,"McIntosh County, Georgia",1696.0,1373.0,323.0,191,13
13193,"Macon County, Georgia",2830.0,1718.0,1112.0,193,13
13195,"Madison County, Georgia",723.0,558.0,165.0,195,13
13197,"Marion County, Georgia",1093.0,543.0,550.0,197,13
13199,"Meriwether County, Georgia",3070.0,1825.0,1245.0,199,13
13201,"Miller County, Georgia",656.0,353.0,303.0,201,13
13205,"Mitchell County, Georgia",3616.0,1924.0,1692.0,205,13
13207,"Monroe County, Georgia",2103.0,1231.0,872.0,207,13
13209,"Montgomery County, Georgia",763.0,404.0,359.0,209,13
13211,"Morgan County, Georgia",1468.0,952.0,516.0,211,13
13213,"Murray County, Georgia",128.0,48.0,80.0,213,13
13215,"Muscogee County, Georgia",32650.0,13670.0,18980.0,215,13
13217,"Newton County, Georgia",13320.0,8956.0,4364.0,217,13
13219,"Oconee County, Georgia",625.0,284.0,341.0,219,13
13221,"Oglethorpe County, Georgia",879.0,691.0,188.0,221,13
13223,"Paulding County, Georgia",7711.0,6030.0,1681.0,223,13
13225,"Peach County, Georgia",4284.0,2062.0,2222.0,225,13
13227,"Pickens County, Georgia",120.0,111.0,9.0,227,13
13229,"Pierce County, Georgia",675.0,285.0,390.0,229,13
13231,"Pike County, Georgia",709.0,471.0,238.0,231,13
13233,"Polk County, Georgia",1759.0,1022.0,737.0,233,13
13235,"Pulaski County, Georgia",1057.0,461.0,596.0,235,13
13237,"Putnam County, Georgia",2070.0,1420.0,650.0,237,13
13239,"Quitman County, Georgia",422.0,297.0,125.0,239,13
13241,"Rabun County, Georgia",39.0,39.0,0.0,241,13
13243,"Randolph County, Georgia",1702.0,999.0,703.0,243,13
13245,"Richmond County, Georgia",36944.0,17613.0,19331.0,245,13
13247,"Rockdale County, Georgia",13291.0,7809.0,5482.0,247,13
13249,"Schley County, Georgia",515.0,261.0,254.0,249,13
13251,"Screven County, Georgia",1988.0,1304.0,684.0,251,13
13253,"Seminole County, Georgia",1008.0,715.0,293.0,253,13
13255,"Spalding County, Georgia",6789.0,2870.0,3919.0,255,13
13257,"Stephens County, Georgia",1062.0,512.0,550.0,257,13
13259,"Stewart County, Georgia",1163.0,597.0,566.0,259,13
13261,"Sumter County, Georgia",5362.0,2559.0,2803.0,261,13
13263,"Talbot County, Georgia",1456.0,981.0,475.0,263,13
13265,"Taliaferro County, Georgia",401.0,275.0,126.0,265,13
13267,"Tattnall County, Georgia",1598.0,1060.0,538.0,267,13
13269,"Taylor County, Georgia",1423.0,872.0,551.0,269,13
13271,"Telfair County, Georgia",1950.0,976.0,974.0,271,13
13273,"Terrell County, Georgia",1920.0,866.0,1054.0,273,13
13275,"Thomas County, Georgia",6574.0,2707.0,3867.0,275,13
13277,"Tift County, Georgia",3595.0,1634.0,1961.0,277,13
13279,"Toombs County, Georgia",2530.0,892.0,1638.0,279,13
13281,"Towns County, Georgia",15.0,0.0,15.0,281,13
13283,"Treutlen County, Georgia",659.0,327.0,332.0,283,13
13285,"Troup County, Georgia",8222.0,3365.0,4857.0,285,13
13287,"Turner County, Georgia",1204.0,552.0,652.0,287,13
13289,"Twiggs County, Georgia",1281.0,1012.0,269.0,289,13
13291,"Union County, Georgia",40.0,21.0,19.0,291,13
13293,"Upson County, Georgia",2813.0,1418.0,1395.0,293,13
13295,"Walker County, Georgia",904.0,729.0,175.0,295,13
13297,"Walton County, Georgia",4412.0,1945.0,2467.0,297,13
13299,"Ware County, Georgia",3756.0,1598.0,2158.0,299,13
13301,"Warren County, Georgia",1161.0,650.0,511.0,301,13
