geoid,name,total,native,foreign_born,county,state,tract
01043964500,"Census Tract 9645, Cullman County, Alabama",4450.0,4435.0,15.0,043,01,964500
01043964600,"Census Tract 9646, Cullman County, Alabama",4293.0,4096.0,197.0,043,01,964600
01043964700,"Census Tract 9647, Cullman County, Alabama",4771.0,4632.0,139.0,043,01,964700
01043964800,"Census Tract 9648, Cullman County, Alabama",4472.0,4112.0,360.0,043,01,964800
01043964900,"Census Tract 9649, Cullman County, Alabama",6401.0,6166.0,235.0,043,01,964900
01043965000,"Census Tract 9650, Cullman County, Alabama",6314.0,6104.0,210.0,043,01,965000
01043965100,"Census Tract 9651, Cullman County, Alabama",3808.0,3545.0,263.0,043,01,965100
01043965200,"Census Tract 9652, Cullman County, Alabama",2515.0,2464.0,51.0,043,01,965200
01043965300,"Census Tract 9653, Cullman County, Alabama",4999.0,4958.0,41.0,043,01,965300
01043965401,"Census Tract 9654.01, Cullman County, Alabama",2727.0,2679.0,48.0,043,01,965401
01043965402,"Census Tract 9654.02, Cullman County, Alabama",4058.0,4058.0,0.0,043,01,965402
01043965500,"Census Tract 9655, Cullman County, Alabama",5649.0,5519.0,130.0,043,01,965500
01043965600,"Census Tract 9656, Cullman County, Alabama",2374.0,2345.0,29.0,043,01,965600
01043965700,"Census Tract 9657, Cullman County, Alabama",2678.0,2661.0,17.0,043,01,965700
01045020000,"Census Tract 200, Dale County, Alabama",4996.0,4818.0,178.0,045,01,020000
01045020100,"Census Tract 201, Dale County, Alabama",3625.0,3592.0,33.0,045,01,020100
01045020200,"Census Tract 202, Dale County, Alabama",2414.0,2399.0,15.0,045,01,020200
01045020300,"Census Tract 203, Dale County, Alabama",2537.0,2481.0,56.0,045,01,020300
01045020400,"Census Tract 204, Dale County, Alabama",2321.0,2285.0,36.0,045,01,020400
01045020500,"Census Tract 205, Dale County, Alabama",1845.0,1839.0,6.0,045,01,020500
01045020700,"Census Tract 207, Dale County, Alabama",3356.0,3348.0,8.0,045,01,020700
01045020801,"Census Tract 208.01, Dale County, Alabama",3689.0,3507.0,182.0,045,01,020801
01045020802,"Census Tract 208.02, Dale County, Alabama",4271.0,4161.0,110.0,045,01,020802
01045021101,"Census Tract 211.01, Dale County, Alabama",4637.0,4328.0,309.0,045,01,021101
01045021102,"Census Tract 211.02, Dale County, Alabama",4394.0,4065.0,329.0,045,01,021102
01045021200,"Census Tract 212, Dale County, Alabama",2518.0,2443.0,75.0,045,01,021200
01045021300,"Census Tract 213, Dale County, Alabama",4095.0,4077.0,18.0,045,01,021300
01045021400,"Census Tract 214, Dale County, Alabama",5315.0,5129.0,186.0,045,01,021400
01047956100,"Census Tract 9561, Dallas County, Alabama",6529.0,6529.0,0.0,047,01,956100
01047956201,"Census Tract 9562.01, Dallas County, Alabama",2390.0,2376.0,14.0,047,01,956201
01047956202,"Census Tract 9562.02, Dallas County, Alabama",2080.0,2060.0,20.0,047,01,956202
01047956300,"Census Tract 9563, Dallas County, Alabama",3263.0,3251.0,12.0,047,01,956300
01047956400,"Census Tract 9564, Dallas County, Alabama",3538.0,3534.0,4.0,047,01,956400
01047956500,"Census Tract 9565, Dallas County, Alabama",4055.0,4055.0,0.0,047,01,956500
