geoid,name,total,native,foreign_born,county,state,tract
34001002300,"Census Tract 23, Atlantic County, New Jersey",2678.0,897.0,1781.0,001,34,002300
34001002400,"Census Tract 24, Atlantic County, New Jersey",2566.0,1838.0,728.0,001,34,002400
34001002500,"Census Tract 25, Atlantic County, New Jersey",4308.0,3601.0,707.0,001,34,002500
34001010101,"Census Tract 101.01, Atlantic County, New Jersey",3463.0,3291.0,172.0,001,34,010101
34001010102,"Census Tract 101.02, Atlantic County, New Jersey",1878.0,1818.0,60.0,001,34,010102
34001010104,"Census Tract 101.04, Atlantic County, New Jersey",1570.0,1463.0,107.0,001,34,010104
34001010105,"Census Tract 101.05, Atlantic County, New Jersey",2509.0,1943.0,566.0,001,34,010105
34001010200,"Census Tract 102, Atlantic County, New Jersey",5907.0,5698.0,209.0,001,34,010200
34001010300,"Census Tract 103, Atlantic County, New Jersey",2493.0,1808.0,685.0,001,34,010300
34001010401,"Census Tract 104.01, Atlantic County, New Jersey",5325.0,4938.0,387.0,001,34,010401
34001010403,"Census Tract 104.03, Atlantic County, New Jersey",6937.0,5008.0,1929.0,001,34,010403
34001010501,"Census Tract 105.01, Atlantic County, New Jersey",7301.0,6710.0,591.0,001,34,010501
34001010503,"Census Tract 105.03, Atlantic County, New Jersey",8311.0,6980.0,1331.0,001,34,010503
34001010505,"Census Tract 105.05, Atlantic County, New Jersey",2559.0,2348.0,211.0,001,34,010505
34001010506,"Census Tract 105.06, Atlantic County, New Jersey",5034.0,4262.0,772.0,001,34,010506
34001010600,"Census Tract 106, Atlantic County, New Jersey",4253.0,3785.0,468.0,001,34,010600
34001010700,"Census Tract 107, Atlantic County, New Jersey",6154.0,6027.0,127.0,001,34,010700
34001010800,"Census Tract 108, Atlantic County, New Jersey",3275.0,2763.0,512.0,001,34,010800
34001010900,"Census Tract 109, Atlantic County, New Jersey",5805.0,5341.0,464.0,001,34,010900
34001011000,"Census Tract 110, Atlantic County, New Jersey",2667.0,2347.0,320.0,001,34,011000
34001011100,"Census Tract 111, Atlantic County, New Jersey",3049.0,2552.0,497.0,001,34,011100
34001011201,"Census Tract 112.01, Atlantic County, New Jersey",1799.0,1762.0,37.0,001,34,011201
34001011202,"Census Tract 112.02, Atlantic County, New Jersey",7587.0,6807.0,780.0,001,34,011202
34001011300,"Census Tract 113, Atlantic County, New Jersey",4623.0,4346.0,277.0,001,34,011300
34001011401,"Census Tract 114.01, Atlantic County, New Jersey",4124.0,3809.0,315.0,001,34,011401
34001011403,"Census Tract 114.03, Atlantic County, New Jersey",5499.0,3923.0,1576.0,001,34,011403
34001011404,"Census Tract 114.04, Atlantic County, New Jersey",10654.0,9084.0,1570.0,001,34,011404
34001011500,"Census Tract 115, Atlantic County, New Jersey",6407.0,5743.0,664.0,001,34,011500
34001011600,"Census Tract 116, Atlantic County, New Jersey",4995.0,4720.0,275.0,001,34,011600
34001011701,"Census Tract 117.01, Atlantic County, New Jersey",9404.0,6755.0,2649.0,001,34,011701
34001011702,"Census Tract 117.02, Atlantic County, New Jersey",3503.0,2824.0,679.0,001,34,011702
34001011802,"Census Tract 118.02, Atlantic County, New Jersey",16054.0,13760.0,2294.0,001,34,011802
34001011803,"Census Tract 118.03, Atlantic County, New Jersey",4756.0,4190.0,566.0,001,34,011803
34001011804,"Census Tract 118.04, Atlantic County, New Jersey",6799.0,6287.0,512.0,001,34,011804
34001011805,"Census Tract 118.05, Atlantic County, New Jersey",2286.0,2129.0,157.0,001,34,011805
34001011900,"Census Tract 119, Atlantic County, New Jersey",8009.0,5972.0,2037.0,001,34,011900
34001012000,"Census Tract 120, Atlantic County, New Jersey",4489.0,3581.0,908.0,001,34,012000
34001012100,"Census Tract 121, Atlantic County, New Jersey",3229.0,2159.0,1070.0,001,34,012100
34001012200,"Census Tract 122, Atlantic County, New Jersey",5357.0,4136.0,1221.0,001,34,012200
