geoid,name,total,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,county,state,tract,total_no_schooling,total_nursery_to_4th_grade,total_5th_and_6th_grade,total_7th_and_8th_grade,total_9th_grade,total_10th_grade,total_11th_grade,total_12th_grade_no_diploma,total_high_school_graduate,total_less_than_1_year_college,total_1_or_more_years_college,total_associates_degree,total_bachelors_degree,total_masters_degree,total_professional_school_degree,total_doctorate_degree,total_less_than_high_scool,male_less_than_high_scool,female_less_than_high_scool,total_some_college,male_some_college,female_some_college,total_masters_or_higher,male_masters_or_higher,female_masters_or_higher,total_bachelors_or_higher,male_bachelors_or_higher,female_bachelors_or_higher
41039002001,"Census Tract 20.01, Lane County, Oregon",2381.0,1098.0,6.0,2.0,2.0,2.0,48.0,5.0,12.0,10.0,419.0,118.0,190.0,53.0,103.0,78.0,23.0,27.0,1283.0,17.0,1.0,12.0,18.0,17.0,20.0,11.0,0.0,438.0,219.0,210.0,119.0,105.0,96.0,0.0,0.0,039,41,002001,23.0,3.0,14.0,20.0,65.0,25.0,23.0,10.0,857.0,337.0,400.0,172.0,208.0,174.0,23.0,27.0,183.0,87.0,96.0,737.0,308.0,429.0,224.0,128.0,96.0,432.0,231.0,201.0
41039002002,"Census Tract 20.02, Lane County, Oregon",3495.0,1813.0,0.0,0.0,31.0,77.0,34.0,9.0,7.0,35.0,640.0,168.0,363.0,93.0,197.0,137.0,22.0,0.0,1682.0,0.0,0.0,1.0,0.0,17.0,21.0,17.0,14.0,482.0,162.0,422.0,229.0,204.0,83.0,18.0,12.0,039,41,002002,0.0,0.0,32.0,77.0,51.0,30.0,24.0,49.0,1122.0,330.0,785.0,322.0,401.0,220.0,40.0,12.0,263.0,193.0,70.0,1115.0,531.0,584.0,272.0,159.0,113.0,673.0,356.0,317.0
41039002101,"Census Tract 21.01, Lane County, Oregon",1846.0,866.0,8.0,0.0,38.0,31.0,14.0,0.0,0.0,13.0,393.0,76.0,91.0,67.0,89.0,13.0,33.0,0.0,980.0,14.0,0.0,1.0,31.0,0.0,15.0,83.0,20.0,207.0,186.0,158.0,146.0,78.0,30.0,11.0,0.0,039,41,002101,22.0,0.0,39.0,62.0,14.0,15.0,83.0,33.0,600.0,262.0,249.0,213.0,167.0,43.0,44.0,0.0,268.0,104.0,164.0,511.0,167.0,344.0,87.0,46.0,41.0,254.0,135.0,119.0
41039002102,"Census Tract 21.02, Lane County, Oregon",4564.0,2158.0,175.0,0.0,0.0,25.0,84.0,18.0,32.0,151.0,554.0,208.0,379.0,207.0,273.0,30.0,0.0,22.0,2406.0,6.0,6.0,62.0,0.0,51.0,48.0,224.0,51.0,611.0,235.0,658.0,174.0,162.0,118.0,0.0,0.0,039,41,002102,181.0,6.0,62.0,25.0,135.0,66.0,256.0,202.0,1165.0,443.0,1037.0,381.0,435.0,148.0,0.0,22.0,933.0,485.0,448.0,1480.0,587.0,893.0,170.0,52.0,118.0,605.0,325.0,280.0
41039002201,"Census Tract 22.01, Lane County, Oregon",2850.0,1308.0,9.0,0.0,2.0,8.0,0.0,0.0,15.0,8.0,307.0,110.0,194.0,104.0,224.0,254.0,35.0,38.0,1542.0,8.0,0.0,0.0,0.0,0.0,16.0,11.0,7.0,255.0,159.0,266.0,178.0,403.0,195.0,29.0,15.0,039,41,002201,17.0,0.0,2.0,8.0,0.0,16.0,26.0,15.0,562.0,269.0,460.0,282.0,627.0,449.0,64.0,53.0,84.0,42.0,42.0,729.0,304.0,425.0,566.0,327.0,239.0,1193.0,551.0,642.0
41039002202,"Census Tract 22.02, Lane County, Oregon",4027.0,1931.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,28.0,430.0,163.0,480.0,130.0,443.0,98.0,75.0,70.0,2096.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,329.0,237.0,371.0,188.0,618.0,255.0,58.0,21.0,039,41,002202,1.0,0.0,0.0,1.0,31.0,0.0,0.0,28.0,759.0,400.0,851.0,318.0,1061.0,353.0,133.0,91.0,61.0,42.0,19.0,1251.0,643.0,608.0,577.0,243.0,334.0,1638.0,686.0,952.0
41039002301,"Census Tract 23.01, Lane County, Oregon",2582.0,1133.0,0.0,0.0,0.0,0.0,13.0,6.0,87.0,22.0,288.0,116.0,234.0,53.0,208.0,93.0,6.0,7.0,1449.0,0.0,0.0,17.0,8.0,19.0,0.0,30.0,16.0,547.0,204.0,205.0,198.0,107.0,80.0,12.0,6.0,039,41,002301,0.0,0.0,17.0,8.0,32.0,6.0,117.0,38.0,835.0,320.0,439.0,251.0,315.0,173.0,18.0,13.0,218.0,128.0,90.0,759.0,350.0,409.0,204.0,106.0,98.0,519.0,314.0,205.0
41039002302,"Census Tract 23.02, Lane County, Oregon",3362.0,1659.0,8.0,10.0,0.0,37.0,10.0,9.0,8.0,48.0,426.0,174.0,334.0,218.0,276.0,64.0,24.0,13.0,1703.0,17.0,12.0,0.0,0.0,0.0,29.0,54.0,8.0,443.0,236.0,370.0,158.0,301.0,75.0,0.0,0.0,039,41,002302,25.0,22.0,0.0,37.0,10.0,38.0,62.0,56.0,869.0,410.0,704.0,376.0,577.0,139.0,24.0,13.0,250.0,130.0,120.0,1114.0,508.0,606.0,176.0,101.0,75.0,753.0,377.0,376.0
41039002401,"Census Tract 24.01, Lane County, Oregon",2919.0,1398.0,18.0,0.0,0.0,0.0,21.0,18.0,24.0,29.0,269.0,155.0,323.0,105.0,327.0,88.0,15.0,6.0,1521.0,25.0,0.0,10.0,0.0,10.0,9.0,17.0,38.0,303.0,256.0,312.0,151.0,278.0,102.0,10.0,0.0,039,41,002401,43.0,0.0,10.0,0.0,31.0,27.0,41.0,67.0,572.0,411.0,635.0,256.0,605.0,190.0,25.0,6.0,219.0,110.0,109.0,1046.0,478.0,568.0,221.0,109.0,112.0,826.0,436.0,390.0
41039002403,"Census Tract 24.03, Lane County, Oregon",3018.0,1428.0,11.0,0.0,0.0,0.0,18.0,5.0,40.0,35.0,304.0,150.0,371.0,152.0,213.0,69.0,24.0,36.0,1590.0,8.0,7.0,5.0,0.0,0.0,0.0,44.0,31.0,381.0,209.0,339.0,203.0,238.0,96.0,29.0,0.0,039,41,002403,19.0,7.0,5.0,0.0,18.0,5.0,84.0,66.0,685.0,359.0,710.0,355.0,451.0,165.0,53.0,36.0,204.0,109.0,95.0,1069.0,521.0,548.0,254.0,129.0,125.0,705.0,342.0,363.0
