geoid,name,total,native,foreign_born,state
01,Alabama,4830620.0,4663396.0,167224.0,01
02,Alaska,733375.0,679328.0,54047.0,02
04,Arizona,6641928.0,5745924.0,896004.0,04
05,Arkansas,2958208.0,2819386.0,138822.0,05
06,California,38421464.0,28031378.0,10390086.0,06
08,Colorado,5278906.0,4763134.0,515772.0,08
09,Connecticut,3593222.0,3093061.0,500161.0,09
10,Delaware,926454.0,846291.0,80163.0,10
11,District of Columbia,647484.0,555896.0,91588.0,11
12,Florida,19645772.0,15770073.0,3875699.0,12
13,Georgia,10006693.0,9025212.0,981481.0,13
15,Hawaii,1406299.0,1156980.0,249319.0,15
16,Idaho,1616547.0,1518659.0,97888.0,16
17,Illinois,12873761.0,11070074.0,1803687.0,17
18,Indiana,6568645.0,6252277.0,316368.0,18
19,Iowa,3093526.0,2947159.0,146367.0,19
20,Kansas,2892987.0,2692705.0,200282.0,20
21,Kentucky,4397353.0,4246321.0,151032.0,21
22,Louisiana,4625253.0,4440417.0,184836.0,22
23,Maine,1329100.0,1282537.0,46563.0,23
24,Maryland,5930538.0,5072734.0,857804.0,24
25,Massachusetts,6705586.0,5667459.0,1038127.0,25
26,Michigan,9900571.0,9277696.0,622875.0,26
27,Minnesota,5419171.0,5000495.0,418676.0,27
28,Mississippi,2988081.0,2918934.0,69147.0,28
29,Missouri,6045448.0,5807968.0,237480.0,29
30,Montana,1014699.0,993714.0,20985.0,30
31,Nebraska,1869365.0,1746014.0,123351.0,31
32,Nevada,2798636.0,2261384.0,537252.0,32
33,New Hampshire,1324201.0,1248454.0,75747.0,33
34,New Jersey,8904413.0,6975288.0,1929125.0,34
35,New Mexico,2084117.0,1880413.0,203704.0,35
36,New York,19673174.0,15250433.0,4422741.0,36
37,North Carolina,9845333.0,9087312.0,758021.0,37
38,North Dakota,721640.0,698813.0,22827.0,38
39,Ohio,11575977.0,11099400.0,476577.0,39
40,Oklahoma,3849733.0,3627832.0,221901.0,40
41,Oregon,3939233.0,3550541.0,388692.0,41
42,Pennsylvania,12779559.0,11979040.0,800519.0,42
44,Rhode Island,1053661.0,913079.0,140582.0,44
45,South Carolina,4777576.0,4549168.0,228408.0,45
46,South Dakota,843190.0,817760.0,25430.0,46
47,Tennessee,6499615.0,6184623.0,314992.0,47
48,Texas,26538614.0,22139534.0,4399080.0,48
49,Utah,2903379.0,2660578.0,242801.0,49
50,Vermont,626604.0,599948.0,26656.0,50
51,Virginia,8256630.0,7290029.0,966601.0,51
53,Washington,6985464.0,6047893.0,937571.0,53
54,West Virginia,1851420.0,1823055.0,28365.0,54
55,Wisconsin,5742117.0,5468728.0,273389.0,55
56,Wyoming,579679.0,559074.0,20605.0,56
72,Puerto Rico,3583073.0,3484531.0,98542.0,72
