geoid,name,total,native,foreign_born,county,state,tract
19155031000,"Census Tract 310, Pottawattamie County, Iowa",2342.0,2309.0,33.0,155,19,031000
19155031100,"Census Tract 311, Pottawattamie County, Iowa",2822.0,2667.0,155.0,155,19,031100
19155031200,"Census Tract 312, Pottawattamie County, Iowa",3242.0,3123.0,119.0,155,19,031200
19155031300,"Census Tract 313, Pottawattamie County, Iowa",2783.0,2331.0,452.0,155,19,031300
19155031400,"Census Tract 314, Pottawattamie County, Iowa",3821.0,3799.0,22.0,155,19,031400
19155031601,"Census Tract 316.01, Pottawattamie County, Iowa",4558.0,4479.0,79.0,155,19,031601
19155031602,"Census Tract 316.02, Pottawattamie County, Iowa",2795.0,2764.0,31.0,155,19,031602
19155031700,"Census Tract 317, Pottawattamie County, Iowa",4975.0,4781.0,194.0,155,19,031700
19155031800,"Census Tract 318, Pottawattamie County, Iowa",3528.0,3481.0,47.0,155,19,031800
19155031900,"Census Tract 319, Pottawattamie County, Iowa",3757.0,3554.0,203.0,155,19,031900
19157370100,"Census Tract 3701, Poweshiek County, Iowa",3036.0,3020.0,16.0,157,19,370100
19157370200,"Census Tract 3702, Poweshiek County, Iowa",3138.0,3056.0,82.0,157,19,370200
19157370300,"Census Tract 3703, Poweshiek County, Iowa",5385.0,5165.0,220.0,157,19,370300
19157370400,"Census Tract 3704, Poweshiek County, Iowa",3935.0,3692.0,243.0,157,19,370400
19157370500,"Census Tract 3705, Poweshiek County, Iowa",3211.0,3179.0,32.0,157,19,370500
19159950100,"Census Tract 9501, Ringgold County, Iowa",2145.0,2140.0,5.0,159,19,950100
19159950200,"Census Tract 9502, Ringgold County, Iowa",2916.0,2886.0,30.0,159,19,950200
19161080100,"Census Tract 801, Sac County, Iowa",2665.0,2616.0,49.0,161,19,080100
19161080200,"Census Tract 802, Sac County, Iowa",2566.0,2559.0,7.0,161,19,080200
19161080300,"Census Tract 803, Sac County, Iowa",2226.0,2211.0,15.0,161,19,080300
19161080400,"Census Tract 804, Sac County, Iowa",2644.0,2627.0,17.0,161,19,080400
19163010101,"Census Tract 101.01, Scott County, Iowa",3861.0,3861.0,0.0,163,19,010101
19163010102,"Census Tract 101.02, Scott County, Iowa",7164.0,7037.0,127.0,163,19,010102
19163010201,"Census Tract 102.01, Scott County, Iowa",6198.0,6097.0,101.0,163,19,010201
19163010202,"Census Tract 102.02, Scott County, Iowa",6218.0,6191.0,27.0,163,19,010202
19163010300,"Census Tract 103, Scott County, Iowa",2321.0,2273.0,48.0,163,19,010300
19163010401,"Census Tract 104.01, Scott County, Iowa",5558.0,5529.0,29.0,163,19,010401
19163010402,"Census Tract 104.02, Scott County, Iowa",3783.0,3752.0,31.0,163,19,010402
19163010600,"Census Tract 106, Scott County, Iowa",2522.0,2480.0,42.0,163,19,010600
19163010700,"Census Tract 107, Scott County, Iowa",1773.0,1674.0,99.0,163,19,010700
19163010800,"Census Tract 108, Scott County, Iowa",2855.0,2752.0,103.0,163,19,010800
19163010900,"Census Tract 109, Scott County, Iowa",1909.0,1734.0,175.0,163,19,010900
