geoid,name,median,congressional district,state
0101,"Congressional District 1 (114th Congress), Alabama",793.0,01,01
0102,"Congressional District 2 (114th Congress), Alabama",704.0,02,01
0103,"Congressional District 3 (114th Congress), Alabama",697.0,03,01
0104,"Congressional District 4 (114th Congress), Alabama",594.0,04,01
0105,"Congressional District 5 (114th Congress), Alabama",750.0,05,01
0106,"Congressional District 6 (114th Congress), Alabama",952.0,06,01
0107,"Congressional District 7 (114th Congress), Alabama",701.0,07,01
0200,"Congressional District (at Large) (114th Congress), Alaska",1249.0,00,02
0401,"Congressional District 1 (114th Congress), Arizona",797.0,01,04
0402,"Congressional District 2 (114th Congress), Arizona",866.0,02,04
0403,"Congressional District 3 (114th Congress), Arizona",871.0,03,04
0404,"Congressional District 4 (114th Congress), Arizona",799.0,04,04
0405,"Congressional District 5 (114th Congress), Arizona",1176.0,05,04
0406,"Congressional District 6 (114th Congress), Arizona",1148.0,06,04
0407,"Congressional District 7 (114th Congress), Arizona",848.0,07,04
0408,"Congressional District 8 (114th Congress), Arizona",1096.0,08,04
0409,"Congressional District 9 (114th Congress), Arizona",982.0,09,04
0501,"Congressional District 1 (114th Congress), Arkansas",604.0,01,05
0502,"Congressional District 2 (114th Congress), Arkansas",794.0,02,05
0503,"Congressional District 3 (114th Congress), Arkansas",744.0,03,05
0504,"Congressional District 4 (114th Congress), Arkansas",567.0,04,05
0601,"Congressional District 1 (114th Congress), California",962.0,01,06
0602,"Congressional District 2 (114th Congress), California",1424.0,02,06
0603,"Congressional District 3 (114th Congress), California",1229.0,03,06
0604,"Congressional District 4 (114th Congress), California",1385.0,04,06
0605,"Congressional District 5 (114th Congress), California",1444.0,05,06
0606,"Congressional District 6 (114th Congress), California",1092.0,06,06
0607,"Congressional District 7 (114th Congress), California",1347.0,07,06
0608,"Congressional District 8 (114th Congress), California",1048.0,08,06
0609,"Congressional District 9 (114th Congress), California",1247.0,09,06
0610,"Congressional District 10 (114th Congress), California",1188.0,10,06
0611,"Congressional District 11 (114th Congress), California",1590.0,11,06
0612,"Congressional District 12 (114th Congress), California",1721.0,12,06
0613,"Congressional District 13 (114th Congress), California",1416.0,13,06
0614,"Congressional District 14 (114th Congress), California",1953.0,14,06
0615,"Congressional District 15 (114th Congress), California",1891.0,15,06
0616,"Congressional District 16 (114th Congress), California",912.0,16,06
0617,"Congressional District 17 (114th Congress), California",1979.0,17,06
0618,"Congressional District 18 (114th Congress), California",2049.0,18,06
0619,"Congressional District 19 (114th Congress), California",1830.0,19,06
0620,"Congressional District 20 (114th Congress), California",1436.0,20,06
0621,"Congressional District 21 (114th Congress), California",873.0,21,06
0622,"Congressional District 22 (114th Congress), California",1100.0,22,06
0623,"Congressional District 23 (114th Congress), California",1079.0,23,06
0624,"Congressional District 24 (114th Congress), California",1427.0,24,06
0625,"Congressional District 25 (114th Congress), California",1640.0,25,06
