geoid,name,housing_units,owner_occupied,renter_occupied,state
01,Alabama,19111.0,10291.0,8820.0,01
02,Alaska,10292.0,5687.0,4605.0,02
04,Arizona,64799.0,37800.0,26999.0,04
05,Arkansas,12839.0,6695.0,6144.0,05
06,California,1645396.0,946331.0,699065.0,06
08,Colorado,48663.0,29712.0,18951.0,08
09,Connecticut,46862.0,26555.0,20307.0,09
10,Delaware,10588.0,6243.0,4345.0,10
11,District of Columbia,10259.0,3904.0,6355.0,11
12,Florida,154822.0,106331.0,48491.0,12
13,Georgia,106772.0,67464.0,39308.0,13
15,Hawaii,176375.0,121618.0,54757.0,15
16,Idaho,6502.0,4193.0,2309.0,16
17,Illinois,208201.0,124489.0,83712.0,17
18,Indiana,37913.0,19003.0,18910.0,18
19,Iowa,19440.0,9303.0,10137.0,19
20,Kansas,23024.0,12486.0,10538.0,20
21,Kentucky,17249.0,8910.0,8339.0,21
22,Louisiana,23542.0,14160.0,9382.0,22
23,Maine,3905.0,2254.0,1651.0,23
24,Maryland,111108.0,75284.0,35824.0,24
25,Massachusetts,126184.0,64092.0,62092.0,25
26,Michigan,83529.0,49041.0,34488.0,26
27,Minnesota,66658.0,36585.0,30073.0,27
28,Mississippi,8364.0,4991.0,3373.0,28
29,Missouri,34263.0,17773.0,16490.0,29
30,Montana,2306.0,1111.0,1195.0,30
31,Nebraska,11890.0,5713.0,6177.0,31
32,Nevada,68349.0,40906.0,27443.0,32
33,New Hampshire,10137.0,5355.0,4782.0,33
34,New Jersey,246904.0,152245.0,94659.0,34
35,New Mexico,9090.0,5660.0,3430.0,35
36,New York,487325.0,223491.0,263834.0,36
37,North Carolina,75275.0,45480.0,29795.0,37
38,North Dakota,3004.0,886.0,2118.0,38
39,Ohio,72486.0,38809.0,33677.0,39
40,Oklahoma,21816.0,12312.0,9504.0,40
41,Oregon,50489.0,29627.0,20862.0,41
42,Pennsylvania,120762.0,69733.0,51029.0,42
44,Rhode Island,10099.0,5042.0,5057.0,44
45,South Carolina,20786.0,13258.0,7528.0,45
46,South Dakota,2738.0,1032.0,1706.0,46
47,Tennessee,31545.0,19189.0,12356.0,47
48,Texas,353904.0,215076.0,138828.0,48
49,Utah,18658.0,11303.0,7355.0,49
50,Vermont,2453.0,1170.0,1283.0,50
51,Virginia,147789.0,96029.0,51760.0,51
53,Washington,177106.0,106154.0,70952.0,53
54,West Virginia,4494.0,2371.0,2123.0,54
55,Wisconsin,40049.0,18803.0,21246.0,55
56,Wyoming,1597.0,846.0,751.0,56
72,Puerto Rico,3637.0,1710.0,1927.0,72
