geoid,name,total,native,foreign_born,county,state,tract
23001010100,"Census Tract 101, Androscoggin County, Maine",1716.0,1661.0,55.0,001,23,010100
23001010200,"Census Tract 102, Androscoggin County, Maine",4684.0,4475.0,209.0,001,23,010200
23001010300,"Census Tract 103, Androscoggin County, Maine",2129.0,2035.0,94.0,001,23,010300
23001010400,"Census Tract 104, Androscoggin County, Maine",2408.0,2303.0,105.0,001,23,010400
23001010500,"Census Tract 105, Androscoggin County, Maine",2010.0,1987.0,23.0,001,23,010500
23001010600,"Census Tract 106, Androscoggin County, Maine",2892.0,2859.0,33.0,001,23,010600
23001010700,"Census Tract 107, Androscoggin County, Maine",3140.0,3054.0,86.0,001,23,010700
23001010800,"Census Tract 108, Androscoggin County, Maine",3964.0,3815.0,149.0,001,23,010800
23001020100,"Census Tract 201, Androscoggin County, Maine",1309.0,1205.0,104.0,001,23,020100
23001020200,"Census Tract 202, Androscoggin County, Maine",1192.0,1167.0,25.0,001,23,020200
23001020300,"Census Tract 203, Androscoggin County, Maine",6307.0,5724.0,583.0,001,23,020300
23001020400,"Census Tract 204, Androscoggin County, Maine",2735.0,2443.0,292.0,001,23,020400
23001020500,"Census Tract 205, Androscoggin County, Maine",4116.0,4002.0,114.0,001,23,020500
23001020600,"Census Tract 206, Androscoggin County, Maine",2593.0,2546.0,47.0,001,23,020600
23001020700,"Census Tract 207, Androscoggin County, Maine",5498.0,5389.0,109.0,001,23,020700
23001020800,"Census Tract 208, Androscoggin County, Maine",7764.0,7453.0,311.0,001,23,020800
23001020900,"Census Tract 209, Androscoggin County, Maine",4763.0,4558.0,205.0,001,23,020900
23001030100,"Census Tract 301, Androscoggin County, Maine",4447.0,4399.0,48.0,001,23,030100
23001030200,"Census Tract 302, Androscoggin County, Maine",4426.0,4375.0,51.0,001,23,030200
23001040000,"Census Tract 400, Androscoggin County, Maine",3918.0,3892.0,26.0,001,23,040000
23001041000,"Census Tract 410, Androscoggin County, Maine",5491.0,5480.0,11.0,001,23,041000
23001041500,"Census Tract 415, Androscoggin County, Maine",5592.0,5423.0,169.0,001,23,041500
23001042000,"Census Tract 420, Androscoggin County, Maine",5744.0,5618.0,126.0,001,23,042000
23001043000,"Census Tract 430, Androscoggin County, Maine",2109.0,2099.0,10.0,001,23,043000
23001044000,"Census Tract 440, Androscoggin County, Maine",3126.0,3097.0,29.0,001,23,044000
23001045000,"Census Tract 450, Androscoggin County, Maine",2108.0,2096.0,12.0,001,23,045000
23001046000,"Census Tract 460, Androscoggin County, Maine",4353.0,4291.0,62.0,001,23,046000
23001046500,"Census Tract 465, Androscoggin County, Maine",6842.0,6723.0,119.0,001,23,046500
23003950100,"Census Tract 9501, Aroostook County, Maine",2396.0,2267.0,129.0,003,23,950100
23003950200,"Census Tract 9502, Aroostook County, Maine",2465.0,2213.0,252.0,003,23,950200
23003950300,"Census Tract 9503, Aroostook County, Maine",3889.0,3321.0,568.0,003,23,950300
23003950400,"Census Tract 9504, Aroostook County, Maine",1665.0,1542.0,123.0,003,23,950400
23003950600,"Census Tract 9506, Aroostook County, Maine",3997.0,3735.0,262.0,003,23,950600
23003950700,"Census Tract 9507, Aroostook County, Maine",2704.0,2604.0,100.0,003,23,950700
23003950900,"Census Tract 9509, Aroostook County, Maine",2107.0,2064.0,43.0,003,23,950900
23003951000,"Census Tract 9510, Aroostook County, Maine",3469.0,3363.0,106.0,003,23,951000
23003951100,"Census Tract 9511, Aroostook County, Maine",2849.0,2761.0,88.0,003,23,951100
23003951200,"Census Tract 9512, Aroostook County, Maine",2593.0,2462.0,131.0,003,23,951200
23003951300,"Census Tract 9513, Aroostook County, Maine",3114.0,2899.0,215.0,003,23,951300
23003951400,"Census Tract 9514, Aroostook County, Maine",2195.0,2129.0,66.0,003,23,951400
23003951600,"Census Tract 9516, Aroostook County, Maine",2017.0,1954.0,63.0,003,23,951600
23003951700,"Census Tract 9517, Aroostook County, Maine",4564.0,4271.0,293.0,003,23,951700
23003951800,"Census Tract 9518, Aroostook County, Maine",3864.0,3806.0,58.0,003,23,951800
23003951900,"Census Tract 9519, Aroostook County, Maine",2882.0,2855.0,27.0,003,23,951900
23003952000,"Census Tract 9520, Aroostook County, Maine",2552.0,2445.0,107.0,003,23,952000
23003952100,"Census Tract 9521, Aroostook County, Maine",2787.0,2714.0,73.0,003,23,952100
23003952300,"Census Tract 9523, Aroostook County, Maine",2432.0,2361.0,71.0,003,23,952300
23003952400,"Census Tract 9524, Aroostook County, Maine",3793.0,3722.0,71.0,003,23,952400
23003952500,"Census Tract 9525, Aroostook County, Maine",2158.0,2127.0,31.0,003,23,952500
23003952600,"Census Tract 9526, Aroostook County, Maine",3216.0,3168.0,48.0,003,23,952600
23003952700,"Census Tract 9527, Aroostook County, Maine",2622.0,2589.0,33.0,003,23,952700
23003952900,"Census Tract 9529, Aroostook County, Maine",3075.0,3010.0,65.0,003,23,952900
23005000100,"Census Tract 1, Cumberland County, Maine",2157.0,1945.0,212.0,005,23,000100
23005000200,"Census Tract 2, Cumberland County, Maine",2580.0,2522.0,58.0,005,23,000200
23005000300,"Census Tract 3, Cumberland County, Maine",2562.0,2097.0,465.0,005,23,000300
23005000500,"Census Tract 5, Cumberland County, Maine",2483.0,1649.0,834.0,005,23,000500
23005000600,"Census Tract 6, Cumberland County, Maine",3264.0,2486.0,778.0,005,23,000600
23005001000,"Census Tract 10, Cumberland County, Maine",2781.0,2210.0,571.0,005,23,001000
23005001100,"Census Tract 11, Cumberland County, Maine",2558.0,2310.0,248.0,005,23,001100
23005001200,"Census Tract 12, Cumberland County, Maine",1528.0,1235.0,293.0,005,23,001200
23005001300,"Census Tract 13, Cumberland County, Maine",3388.0,2963.0,425.0,005,23,001300
23005001500,"Census Tract 15, Cumberland County, Maine",3495.0,3229.0,266.0,005,23,001500
23005001700,"Census Tract 17, Cumberland County, Maine",4427.0,4182.0,245.0,005,23,001700
23005001800,"Census Tract 18, Cumberland County, Maine",3501.0,3351.0,150.0,005,23,001800
23005001900,"Census Tract 19, Cumberland County, Maine",4250.0,3956.0,294.0,005,23,001900
23005002001,"Census Tract 20.01, Cumberland County, Maine",3547.0,3064.0,483.0,005,23,002001
23005002002,"Census Tract 20.02, Cumberland County, Maine",2862.0,2351.0,511.0,005,23,002002
23005002101,"Census Tract 21.01, Cumberland County, Maine",6051.0,5309.0,742.0,005,23,002101
23005002102,"Census Tract 21.02, Cumberland County, Maine",5482.0,4304.0,1178.0,005,23,002102
23005002200,"Census Tract 22, Cumberland County, Maine",5210.0,4584.0,626.0,005,23,002200
23005002300,"Census Tract 23, Cumberland County, Maine",3467.0,3006.0,461.0,005,23,002300
23005002400,"Census Tract 24, Cumberland County, Maine",1263.0,1235.0,28.0,005,23,002400
23005002501,"Census Tract 25.01, Cumberland County, Maine",3655.0,3413.0,242.0,005,23,002501
23005002502,"Census Tract 25.02, Cumberland County, Maine",8098.0,7717.0,381.0,005,23,002502
23005002600,"Census Tract 26, Cumberland County, Maine",3801.0,3577.0,224.0,005,23,002600
23005002700,"Census Tract 27, Cumberland County, Maine",4850.0,4303.0,547.0,005,23,002700
23005002800,"Census Tract 28, Cumberland County, Maine",2864.0,2688.0,176.0,005,23,002800
23005002900,"Census Tract 29, Cumberland County, Maine",6454.0,5875.0,579.0,005,23,002900
23005003000,"Census Tract 30, Cumberland County, Maine",6566.0,5893.0,673.0,005,23,003000
23005003100,"Census Tract 31, Cumberland County, Maine",3927.0,3782.0,145.0,005,23,003100
23005003200,"Census Tract 32, Cumberland County, Maine",3184.0,3065.0,119.0,005,23,003200
23005003300,"Census Tract 33, Cumberland County, Maine",3218.0,2958.0,260.0,005,23,003300
23005003400,"Census Tract 34, Cumberland County, Maine",4666.0,4396.0,270.0,005,23,003400
23005003500,"Census Tract 35, Cumberland County, Maine",3836.0,3757.0,79.0,005,23,003500
23005003701,"Census Tract 37.01, Cumberland County, Maine",4271.0,4132.0,139.0,005,23,003701
23005003702,"Census Tract 37.02, Cumberland County, Maine",4959.0,4629.0,330.0,005,23,003702
23005004001,"Census Tract 40.01, Cumberland County, Maine",3198.0,3135.0,63.0,005,23,004001
23005004002,"Census Tract 40.02, Cumberland County, Maine",7587.0,7411.0,176.0,005,23,004002
23005004100,"Census Tract 41, Cumberland County, Maine",6230.0,6204.0,26.0,005,23,004100
23005004200,"Census Tract 42, Cumberland County, Maine",7983.0,7578.0,405.0,005,23,004200
23005004401,"Census Tract 44.01, Cumberland County, Maine",4945.0,4824.0,121.0,005,23,004401
23005004402,"Census Tract 44.02, Cumberland County, Maine",3557.0,3420.0,137.0,005,23,004402
23005004501,"Census Tract 45.01, Cumberland County, Maine",3077.0,2960.0,117.0,005,23,004501
23005004502,"Census Tract 45.02, Cumberland County, Maine",5165.0,4831.0,334.0,005,23,004502
23005004600,"Census Tract 46, Cumberland County, Maine",3700.0,3588.0,112.0,005,23,004600
23005004701,"Census Tract 47.01, Cumberland County, Maine",2023.0,1942.0,81.0,005,23,004701
23005004702,"Census Tract 47.02, Cumberland County, Maine",5965.0,5778.0,187.0,005,23,004702
23005004801,"Census Tract 48.01, Cumberland County, Maine",6376.0,6288.0,88.0,005,23,004801
23005004802,"Census Tract 48.02, Cumberland County, Maine",5195.0,5123.0,72.0,005,23,004802
23005004803,"Census Tract 48.03, Cumberland County, Maine",6069.0,5939.0,130.0,005,23,004803
23005011100,"Census Tract 111, Cumberland County, Maine",4412.0,4343.0,69.0,005,23,011100
23005011201,"Census Tract 112.01, Cumberland County, Maine",7079.0,6805.0,274.0,005,23,011201
23005011202,"Census Tract 112.02, Cumberland County, Maine",6528.0,6150.0,378.0,005,23,011202
23005011300,"Census Tract 113, Cumberland County, Maine",2478.0,2416.0,62.0,005,23,011300
23005011500,"Census Tract 115, Cumberland County, Maine",7390.0,7131.0,259.0,005,23,011500
23005012000,"Census Tract 120, Cumberland County, Maine",4509.0,4411.0,98.0,005,23,012000
23005013000,"Census Tract 130, Cumberland County, Maine",3846.0,3793.0,53.0,005,23,013000
23005014000,"Census Tract 140, Cumberland County, Maine",3957.0,3905.0,52.0,005,23,014000
23005015000,"Census Tract 150, Cumberland County, Maine",2788.0,2749.0,39.0,005,23,015000
23005016000,"Census Tract 160, Cumberland County, Maine",5347.0,5170.0,177.0,005,23,016000
23005016500,"Census Tract 165, Cumberland County, Maine",3050.0,3009.0,41.0,005,23,016500
23005017001,"Census Tract 170.01, Cumberland County, Maine",6308.0,6261.0,47.0,005,23,017001
23005017002,"Census Tract 170.02, Cumberland County, Maine",3813.0,3781.0,32.0,005,23,017002
23005017101,"Census Tract 171.01, Cumberland County, Maine",1937.0,1868.0,69.0,005,23,017101
23005017102,"Census Tract 171.02, Cumberland County, Maine",2905.0,2853.0,52.0,005,23,017102
23005017301,"Census Tract 173.01, Cumberland County, Maine",8970.0,8146.0,824.0,005,23,017301
23005017303,"Census Tract 173.03, Cumberland County, Maine",4302.0,4107.0,195.0,005,23,017303
23005017304,"Census Tract 173.04, Cumberland County, Maine",6310.0,5962.0,348.0,005,23,017304
23005990000,"Census Tract 9900, Cumberland County, Maine",0.0,0.0,0.0,005,23,990000
23007970101,"Census Tract 9701.01, Franklin County, Maine",1877.0,1824.0,53.0,007,23,970101
23007970102,"Census Tract 9701.02, Franklin County, Maine",561.0,559.0,2.0,007,23,970102
23007970601,"Census Tract 9706.01, Franklin County, Maine",1689.0,1648.0,41.0,007,23,970601
23007970602,"Census Tract 9706.02, Franklin County, Maine",2493.0,2489.0,4.0,007,23,970602
23007971000,"Census Tract 9710, Franklin County, Maine",4324.0,4280.0,44.0,007,23,971000
23007971100,"Census Tract 9711, Franklin County, Maine",2982.0,2962.0,20.0,007,23,971100
23007971200,"Census Tract 9712, Franklin County, Maine",7600.0,7250.0,350.0,007,23,971200
23007971300,"Census Tract 9713, Franklin County, Maine",4024.0,3924.0,100.0,007,23,971300
23007971400,"Census Tract 9714, Franklin County, Maine",4720.0,4650.0,70.0,007,23,971400
23009965100,"Census Tract 9651, Hancock County, Maine",1915.0,1908.0,7.0,009,23,965100
23009965200,"Census Tract 9652, Hancock County, Maine",2506.0,2468.0,38.0,009,23,965200
23009965300,"Census Tract 9653, Hancock County, Maine",4937.0,4925.0,12.0,009,23,965300
23009965400,"Census Tract 9654, Hancock County, Maine",2729.0,2684.0,45.0,009,23,965400
23009965503,"Census Tract 9655.03, Hancock County, Maine",3274.0,3187.0,87.0,009,23,965503
23009965504,"Census Tract 9655.04, Hancock County, Maine",4613.0,4516.0,97.0,009,23,965504
