geoid,name,median,male,female,place,state
0100100,"Abanda CDP, Alabama",32.9,32.4,57.1,00100,01
0100124,"Abbeville city, Alabama",50.4,43.3,53.4,00124,01
0100460,"Adamsville city, Alabama",42.0,37.1,44.2,00460,01
0100484,"Addison town, Alabama",46.2,42.8,51.3,00484,01
0100676,"Akron town, Alabama",43.9,30.4,45.5,00676,01
0100820,"Alabaster city, Alabama",37.2,37.3,37.1,00820,01
0100988,"Albertville city, Alabama",33.4,32.4,35.4,00988,01
0101132,"Alexander City city, Alabama",39.5,39.5,39.4,01132,01
0101180,"Alexandria CDP, Alabama",40.2,40.8,39.0,01180,01
0101228,"Aliceville city, Alabama",32.7,30.7,35.3,01228,01
0101396,"Allgood town, Alabama",30.1,30.1,30.0,01396,01
0101660,"Altoona town, Alabama",43.5,43.3,43.5,01660,01
0101708,"Andalusia city, Alabama",41.4,37.8,45.1,01708,01
0101756,"Anderson town, Alabama",42.8,44.3,42.6,01756,01
0101852,"Anniston city, Alabama",42.2,38.7,45.0,01852,01
0102116,"Arab city, Alabama",40.7,37.4,44.0,02116,01
0102260,"Ardmore town, Alabama",38.4,38.2,38.5,02260,01
0102320,"Argo town, Alabama",43.3,44.6,42.8,02320,01
0102428,"Ariton town, Alabama",39.1,37.9,39.3,02428,01
0102500,"Arley town, Alabama",42.8,45.7,39.0,02500,01
0102836,"Ashford town, Alabama",43.2,42.5,44.6,02836,01
0102860,"Ashland town, Alabama",45.1,43.4,46.9,02860,01
0102908,"Ashville city, Alabama",38.0,39.7,36.8,02908,01
0102956,"Athens city, Alabama",39.4,37.0,41.2,02956,01
0103004,"Atmore city, Alabama",40.1,39.2,41.5,03004,01
0103028,"Attalla city, Alabama",41.5,37.8,46.2,03028,01
0103076,"Auburn city, Alabama",23.9,24.0,23.8,03076,01
0103220,"Autaugaville town, Alabama",40.5,40.3,40.6,03220,01
0103364,"Avon town, Alabama",42.0,42.4,41.7,03364,01
0103508,"Axis CDP, Alabama",43.3,31.8,47.7,03508,01
0103556,"Babbie town, Alabama",41.2,36.8,41.7,03556,01
0103676,"Baileyton town, Alabama",41.4,39.6,51.9,03676,01
0103724,"Bakerhill town, Alabama",55.1,58.3,53.4,03724,01
0103820,"Ballplay CDP, Alabama",38.2,38.0,38.4,03820,01
0103940,"Banks town, Alabama",35.9,40.9,35.2,03940,01
0104660,"Bay Minette city, Alabama",32.4,30.4,36.3,04660,01
0104684,"Bayou La Batre city, Alabama",30.9,31.6,30.0,04684,01
0104852,"Bear Creek town, Alabama",40.5,36.9,46.7,04852,01
0104900,"Beatrice town, Alabama",38.1,30.3,43.7,04900,01
0104948,"Beaverton town, Alabama",38.1,37.7,38.6,04948,01
0105140,"Belgreen CDP, Alabama",55.8,49.4,62.4,05140,01
0105164,"Belk town, Alabama",44.5,36.0,48.2,05164,01
0105188,"Bellamy CDP, Alabama",58.5,50.5,63.3,05188,01
0105212,"Belle Fontaine CDP, Alabama",31.2,31.1,31.4,05212,01
0105692,"Benton town, Alabama",63.0,57.5,67.2,05692,01
0105932,"Berry town, Alabama",41.4,41.5,41.3,05932,01
0105980,"Bessemer city, Alabama",40.1,35.9,43.0,05980,01
0106460,"Billingsley town, Alabama",37.9,33.8,37.9,06460,01
0107000,"Birmingham city, Alabama",35.7,33.9,37.3,07000,01
0107120,"Black town, Alabama",49.6,51.0,49.2,07120,01
0107456,"Blountsville town, Alabama",32.3,28.3,38.7,07456,01
0107588,"Blue Ridge CDP, Alabama",50.6,46.9,53.6,07588,01
0107672,"Blue Springs town, Alabama",50.5,49.5,50.5,07672,01
0107912,"Boaz city, Alabama",35.4,31.2,36.8,07912,01
0108104,"Boligee town, Alabama",27.9,27.5,29.5,08104,01
0108248,"Bon Air town, Alabama",35.5,36.5,32.0,08248,01
0108272,"Bon Secour CDP, Alabama",63.1,63.1,63.1,08272,01
0108680,"Boykin CDP, Alabama",47.1,51.5,38.2,08680,01
0109016,"Brantley town, Alabama",36.4,33.3,39.3,09016,01
0109064,"Brantleyville CDP, Alabama",35.1,38.8,30.5,09064,01
0109136,"Brent city, Alabama",38.4,37.2,42.8,09136,01
0109208,"Brewton city, Alabama",46.6,46.0,46.9,09208,01
0109328,"Bridgeport city, Alabama",37.4,35.8,39.2,09328,01
0109400,"Brighton city, Alabama",41.0,40.7,42.2,09400,01
0109424,"Brilliant town, Alabama",41.2,35.9,44.6,09424,01
0109457,"Bristow Cove CDP, Alabama",38.1,48.2,33.1,09457,01
0109500,"Brook Highland CDP, Alabama",32.9,32.8,33.1,09500,01
0109736,"Brookside town, Alabama",45.8,38.4,48.6,09736,01
0109808,"Brookwood town, Alabama",31.6,30.8,32.9,09808,01
0109880,"Broomtown CDP, Alabama",53.1,53.3,47.4,09880,01
0110240,"Brundidge city, Alabama",38.0,36.4,38.5,10240,01
0110456,"Bucks CDP, Alabama",-666666666.0,-666666666.0,-666666666.0,10456,01
