geoid,name,median,state
01,Alabama,44758.0,01
02,Alaska,74444.0,02
04,Arizona,51340.0,04
05,Arkansas,42336.0,05
06,California,63783.0,06
08,Colorado,62520.0,08
09,Connecticut,71755.0,09
10,Delaware,61017.0,10
11,District of Columbia,72935.0,11
12,Florida,48900.0,12
13,Georgia,51037.0,13
15,Hawaii,71977.0,15
16,Idaho,49174.0,16
17,Illinois,59196.0,17
18,Indiana,50433.0,18
19,Iowa,54570.0,19
20,Kansas,53571.0,20
21,Kentucky,44811.0,21
22,Louisiana,45652.0,22
23,Maine,50826.0,23
24,Maryland,76067.0,24
25,Massachusetts,70954.0,25
26,Michigan,50803.0,26
27,Minnesota,63217.0,27
28,Mississippi,40528.0,28
29,Missouri,49593.0,29
30,Montana,48380.0,30
31,Nebraska,54384.0,31
32,Nevada,53094.0,32
33,New Hampshire,68485.0,33
34,New Jersey,73702.0,34
35,New Mexico,45674.0,35
36,New York,60741.0,36
37,North Carolina,48256.0,37
38,North Dakota,59114.0,38
39,Ohio,50674.0,39
40,Oklahoma,48038.0,40
41,Oregon,53270.0,41
42,Pennsylvania,54895.0,42
44,Rhode Island,58387.0,44
45,South Carolina,46898.0,45
46,South Dakota,52078.0,46
47,Tennessee,46574.0,47
48,Texas,54727.0,48
49,Utah,62518.0,49
50,Vermont,56104.0,50
51,Virginia,66149.0,51
53,Washington,62848.0,53
54,West Virginia,42644.0,54
55,Wisconsin,54610.0,55
56,Wyoming,59143.0,56
72,Puerto Rico,19606.0,72
