geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,place,state
0100100,"Abanda CDP, Alabama",151.0,151.0,0.0,0.0,0.0,0.0,00100,01
0100124,"Abbeville city, Alabama",2627.0,2483.0,111.0,30.0,0.0,3.0,00124,01
0100460,"Adamsville city, Alabama",4382.0,3898.0,433.0,27.0,24.0,0.0,00460,01
0100484,"Addison town, Alabama",757.0,649.0,53.0,46.0,9.0,0.0,00484,01
0100676,"Akron town, Alabama",252.0,242.0,0.0,6.0,4.0,0.0,00676,01
0100820,"Alabaster city, Alabama",31915.0,28916.0,1470.0,771.0,678.0,80.0,00820,01
0100988,"Albertville city, Alabama",21147.0,17583.0,2618.0,644.0,246.0,56.0,00988,01
0101132,"Alexander City city, Alabama",14519.0,12496.0,1369.0,396.0,258.0,0.0,01132,01
0101180,"Alexandria CDP, Alabama",3936.0,3363.0,353.0,204.0,16.0,0.0,01180,01
0101228,"Aliceville city, Alabama",3176.0,2917.0,104.0,82.0,73.0,0.0,01228,01
0101396,"Allgood town, Alabama",662.0,643.0,12.0,4.0,3.0,0.0,01396,01
0101660,"Altoona town, Alabama",761.0,665.0,45.0,47.0,4.0,0.0,01660,01
0101708,"Andalusia city, Alabama",8974.0,7395.0,1122.0,312.0,145.0,0.0,01708,01
0101756,"Anderson town, Alabama",259.0,229.0,24.0,6.0,0.0,0.0,01756,01
0101852,"Anniston city, Alabama",22124.0,17840.0,2981.0,687.0,616.0,0.0,01852,01
0102116,"Arab city, Alabama",8141.0,7009.0,575.0,424.0,123.0,10.0,02116,01
0102260,"Ardmore town, Alabama",1499.0,1397.0,40.0,31.0,31.0,0.0,02260,01
0102320,"Argo town, Alabama",4105.0,3713.0,172.0,220.0,0.0,0.0,02320,01
0102428,"Ariton town, Alabama",772.0,723.0,0.0,29.0,20.0,0.0,02428,01
0102500,"Arley town, Alabama",477.0,401.0,69.0,7.0,0.0,0.0,02500,01
0102836,"Ashford town, Alabama",2191.0,1927.0,182.0,37.0,43.0,2.0,02836,01
0102860,"Ashland town, Alabama",2197.0,1814.0,294.0,67.0,22.0,0.0,02860,01
0102908,"Ashville city, Alabama",2476.0,2116.0,103.0,213.0,28.0,16.0,02908,01
0102956,"Athens city, Alabama",24201.0,21176.0,1293.0,1142.0,590.0,0.0,02956,01
0103004,"Atmore city, Alabama",10049.0,9297.0,259.0,449.0,44.0,0.0,03004,01
0103028,"Attalla city, Alabama",5904.0,4380.0,974.0,508.0,42.0,0.0,03028,01
0103076,"Auburn city, Alabama",59814.0,39747.0,10058.0,5136.0,4004.0,869.0,03076,01
0103220,"Autaugaville town, Alabama",1014.0,900.0,104.0,4.0,6.0,0.0,03220,01
0103364,"Avon town, Alabama",450.0,417.0,24.0,4.0,5.0,0.0,03364,01
0103508,"Axis CDP, Alabama",973.0,747.0,226.0,0.0,0.0,0.0,03508,01
0103556,"Babbie town, Alabama",649.0,595.0,51.0,3.0,0.0,0.0,03556,01
0103676,"Baileyton town, Alabama",759.0,696.0,28.0,30.0,0.0,5.0,03676,01
0103724,"Bakerhill town, Alabama",201.0,185.0,11.0,3.0,0.0,2.0,03724,01
0103820,"Ballplay CDP, Alabama",1721.0,1366.0,140.0,109.0,98.0,8.0,03820,01
0103940,"Banks town, Alabama",113.0,99.0,14.0,0.0,0.0,0.0,03940,01
0104660,"Bay Minette city, Alabama",8914.0,7379.0,1073.0,283.0,179.0,0.0,04660,01
0104684,"Bayou La Batre city, Alabama",2473.0,2261.0,212.0,0.0,0.0,0.0,04684,01
0104852,"Bear Creek town, Alabama",1153.0,857.0,147.0,149.0,0.0,0.0,04852,01
0104900,"Beatrice town, Alabama",278.0,256.0,15.0,0.0,7.0,0.0,04900,01
0104948,"Beaverton town, Alabama",254.0,216.0,14.0,0.0,24.0,0.0,04948,01
0105140,"Belgreen CDP, Alabama",82.0,82.0,0.0,0.0,0.0,0.0,05140,01
0105164,"Belk town, Alabama",233.0,203.0,22.0,3.0,5.0,0.0,05164,01
0105188,"Bellamy CDP, Alabama",681.0,660.0,0.0,21.0,0.0,0.0,05188,01
0105212,"Belle Fontaine CDP, Alabama",649.0,580.0,53.0,0.0,16.0,0.0,05212,01
0105692,"Benton town, Alabama",32.0,32.0,0.0,0.0,0.0,0.0,05692,01
0105932,"Berry town, Alabama",1364.0,1192.0,125.0,28.0,19.0,0.0,05932,01
0105980,"Bessemer city, Alabama",26453.0,21824.0,3486.0,583.0,493.0,67.0,05980,01
0106460,"Billingsley town, Alabama",115.0,111.0,0.0,4.0,0.0,0.0,06460,01
0107000,"Birmingham city, Alabama",209327.0,166387.0,30869.0,6796.0,4282.0,993.0,07000,01
0107120,"Black town, Alabama",166.0,152.0,8.0,0.0,6.0,0.0,07120,01
0107456,"Blountsville town, Alabama",1966.0,1839.0,77.0,24.0,18.0,8.0,07456,01
0107588,"Blue Ridge CDP, Alabama",1414.0,1370.0,27.0,17.0,0.0,0.0,07588,01
0107672,"Blue Springs town, Alabama",101.0,99.0,2.0,0.0,0.0,0.0,07672,01
0107912,"Boaz city, Alabama",9480.0,7961.0,781.0,546.0,184.0,8.0,07912,01
0108104,"Boligee town, Alabama",578.0,566.0,12.0,0.0,0.0,0.0,08104,01
0108248,"Bon Air town, Alabama",104.0,96.0,8.0,0.0,0.0,0.0,08248,01
0108272,"Bon Secour CDP, Alabama",650.0,593.0,0.0,57.0,0.0,0.0,08272,01
0108680,"Boykin CDP, Alabama",247.0,247.0,0.0,0.0,0.0,0.0,08680,01
0109016,"Brantley town, Alabama",892.0,840.0,49.0,3.0,0.0,0.0,09016,01
0109064,"Brantleyville CDP, Alabama",1105.0,1030.0,41.0,23.0,11.0,0.0,09064,01
0109136,"Brent city, Alabama",4902.0,4012.0,201.0,681.0,8.0,0.0,09136,01
0109208,"Brewton city, Alabama",5338.0,5030.0,176.0,96.0,36.0,0.0,09208,01
0109328,"Bridgeport city, Alabama",2490.0,2139.0,111.0,19.0,221.0,0.0,09328,01
0109400,"Brighton city, Alabama",2827.0,2655.0,166.0,6.0,0.0,0.0,09400,01
0109424,"Brilliant town, Alabama",1025.0,863.0,87.0,53.0,22.0,0.0,09424,01
0109457,"Bristow Cove CDP, Alabama",475.0,475.0,0.0,0.0,0.0,0.0,09457,01
0109500,"Brook Highland CDP, Alabama",6489.0,5012.0,376.0,816.0,272.0,13.0,09500,01
0109736,"Brookside town, Alabama",1202.0,1058.0,97.0,23.0,24.0,0.0,09736,01
0109808,"Brookwood town, Alabama",2005.0,1785.0,210.0,8.0,0.0,2.0,09808,01
0109880,"Broomtown CDP, Alabama",122.0,122.0,0.0,0.0,0.0,0.0,09880,01
0110240,"Brundidge city, Alabama",2238.0,1972.0,113.0,102.0,45.0,6.0,10240,01
0110456,"Bucks CDP, Alabama",51.0,51.0,0.0,0.0,0.0,0.0,10456,01
0111032,"Butler town, Alabama",2224.0,1815.0,249.0,80.0,69.0,11.0,11032,01
0111416,"Calera city, Alabama",12552.0,11076.0,682.0,688.0,76.0,30.0,11416,01
0111488,"Calvert CDP, Alabama",711.0,711.0,0.0,0.0,0.0,0.0,11488,01
0111512,"Camden city, Alabama",2531.0,2380.0,26.0,125.0,0.0,0.0,11512,01
0111680,"Camp Hill town, Alabama",956.0,783.0,137.0,36.0,0.0,0.0,11680,01
0112016,"Carbon Hill city, Alabama",1739.0,1450.0,180.0,89.0,20.0,0.0,12016,01
0112040,"Cardiff town, Alabama",49.0,22.0,27.0,0.0,0.0,0.0,12040,01
0112070,"Carlisle-Rockledge CDP, Alabama",2611.0,2396.0,175.0,0.0,32.0,8.0,12070,01
0112112,"Carlton CDP, Alabama",24.0,24.0,0.0,0.0,0.0,0.0,12112,01
0112160,"Carolina town, Alabama",293.0,272.0,12.0,0.0,9.0,0.0,12160,01
0112304,"Carrollton town, Alabama",1055.0,885.0,95.0,55.0,13.0,7.0,12304,01
0112496,"Castleberry town, Alabama",494.0,459.0,28.0,7.0,0.0,0.0,12496,01
0112544,"Catherine CDP, Alabama",17.0,17.0,0.0,0.0,0.0,0.0,12544,01
0112760,"Cedar Bluff town, Alabama",1957.0,1695.0,133.0,93.0,24.0,12.0,12760,01
0113264,"Center Point city, Alabama",16424.0,12438.0,3605.0,337.0,35.0,9.0,13264,01
0113648,"Centre city, Alabama",3555.0,2945.0,387.0,120.0,70.0,33.0,13648,01
0113672,"Centreville city, Alabama",2710.0,2219.0,238.0,253.0,0.0,0.0,13672,01
0114008,"Chatom town, Alabama",988.0,876.0,92.0,9.0,11.0,0.0,14008,01
0114104,"Chelsea city, Alabama",11556.0,10209.0,830.0,189.0,312.0,16.0,14104,01
0114152,"Cherokee town, Alabama",842.0,759.0,41.0,6.0,33.0,3.0,14152,01
0114392,"Chickasaw city, Alabama",5842.0,4774.0,665.0,145.0,258.0,0.0,14392,01
0114464,"Childersburg city, Alabama",5047.0,3854.0,732.0,461.0,0.0,0.0,14464,01
0114728,"Choccolocco CDP, Alabama",2663.0,2480.0,151.0,32.0,0.0,0.0,14728,01
0114968,"Chunchula CDP, Alabama",192.0,175.0,0.0,17.0,0.0,0.0,14968,01
0115064,"Citronelle city, Alabama",3800.0,3388.0,379.0,7.0,26.0,0.0,15064,01
0115136,"Clanton city, Alabama",8633.0,6723.0,1287.0,341.0,282.0,0.0,15136,01
0115256,"Clay city, Alabama",9586.0,8940.0,462.0,92.0,83.0,9.0,15256,01
0115304,"Clayhatchee town, Alabama",481.0,379.0,8.0,68.0,26.0,0.0,15304,01
0115376,"Clayton town, Alabama",2928.0,2242.0,124.0,509.0,53.0,0.0,15376,01
0115472,"Cleveland town, Alabama",1150.0,1093.0,36.0,21.0,0.0,0.0,15472,01
0115640,"Clio city, Alabama",1006.0,857.0,124.0,12.0,13.0,0.0,15640,01
0116000,"Coaling town, Alabama",1615.0,1495.0,99.0,12.0,9.0,0.0,16000,01
0116080,"Coats Bend CDP, Alabama",1811.0,1690.0,68.0,0.0,53.0,0.0,16080,01
0116240,"Coffee Springs town, Alabama",262.0,210.0,23.0,18.0,11.0,0.0,16240,01
0116264,"Coffeeville town, Alabama",396.0,381.0,13.0,2.0,0.0,0.0,16264,01
0116312,"Coker town, Alabama",811.0,748.0,41.0,2.0,20.0,0.0,16312,01
0116600,"Collinsville town, Alabama",1937.0,1805.0,108.0,24.0,0.0,0.0,16600,01
0116684,"Colony town, Alabama",334.0,309.0,14.0,8.0,3.0,0.0,16684,01
0116744,"Columbia town, Alabama",520.0,456.0,52.0,0.0,12.0,0.0,16744,01
0116768,"Columbiana city, Alabama",4265.0,3042.0,539.0,667.0,17.0,0.0,16768,01
0116936,"Concord CDP, Alabama",1825.0,1764.0,61.0,0.0,0.0,0.0,16936,01
0117176,"Coosada town, Alabama",1169.0,1049.0,81.0,26.0,10.0,3.0,17176,01
0117368,"Cordova city, Alabama",2007.0,1655.0,278.0,63.0,11.0,0.0,17368,01
0117704,"Cottondale CDP, Alabama",3494.0,3074.0,354.0,37.0,29.0,0.0,17704,01
0117824,"Cottonwood town, Alabama",1288.0,1204.0,54.0,15.0,15.0,0.0,17824,01
0117968,"County Line town, Alabama",316.0,313.0,0.0,2.0,0.0,1.0,17968,01
0118040,"Courtland town, Alabama",734.0,607.0,117.0,3.0,4.0,3.0,18040,01
0118088,"Cowarts town, Alabama",2007.0,1773.0,84.0,50.0,98.0,2.0,18088,01
0118304,"Creola city, Alabama",1690.0,1531.0,84.0,0.0,71.0,4.0,18304,01
0118856,"Crossville town, Alabama",2109.0,1786.0,160.0,163.0,0.0,0.0,18856,01
0118952,"Cuba town, Alabama",496.0,481.0,5.0,7.0,3.0,0.0,18952,01
0118976,"Cullman city, Alabama",15025.0,12926.0,1519.0,405.0,140.0,35.0,18976,01
0119024,"Cullomburg CDP, Alabama",116.0,98.0,18.0,0.0,0.0,0.0,19024,01
0119216,"Cusseta town, Alabama",125.0,115.0,7.0,3.0,0.0,0.0,19216,01
0119336,"Dadeville city, Alabama",3089.0,2681.0,326.0,67.0,15.0,0.0,19336,01
0119360,"Daleville city, Alabama",5137.0,4031.0,429.0,247.0,430.0,0.0,19360,01
0119648,"Daphne city, Alabama",24059.0,20278.0,1781.0,804.0,1085.0,111.0,19648,01
0119744,"Dauphin Island town, Alabama",1156.0,1019.0,60.0,42.0,35.0,0.0,19744,01
0119816,"Daviston town, Alabama",228.0,208.0,11.0,3.0,4.0,2.0,19816,01
0119912,"Dayton town, Alabama",30.0,30.0,0.0,0.0,0.0,0.0,19912,01
0120008,"Deatsville town, Alabama",1061.0,984.0,35.0,13.0,29.0,0.0,20008,01
0120104,"Decatur city, Alabama",54853.0,45154.0,6365.0,2351.0,950.0,33.0,20104,01
0120152,"Deer Park CDP, Alabama",187.0,176.0,0.0,11.0,0.0,0.0,20152,01
