geoid,name,universe,male_total,male_private_for_profit_wage_and_salary,male_employee_of_private_company,male_selfemployed_in_own_incorporated_business,male_private_not_for_profit_wage_and_salary,male_local_government,male_state_government,male_federal_government,male_selfemployed_in_own_not_incorporated_business,male_unpaid_family_workers,female_total,female_private_for_profit_wage_and_salary,female_employee_of_private_company,female_selfemployed_in_own_incorporated_business,female_private_not_for_profit_wage_and_salary,female_local_government,female_state_government,female_federal_government,female_selfemployed_in_own_not_incorporated_business,female_unpaid_family_workers,county,state,total_private_for_profit_wage_and_salary,total_employee_of_private_company,total_selfemployed_in_own_incorporated_business,total_private_not_for_profit_wage_and_salary,total_local_government,total_state_government,total_federal_government,total_selfemployed_in_own_not_incorporated_business,total_unpaid_family_workers,total_government,male_government,female_government
72047,"Corozal Municipio, Puerto Rico",8027.0,4233.0,2642.0,2525.0,117.0,62.0,266.0,447.0,39.0,708.0,69.0,3794.0,2368.0,2344.0,24.0,55.0,115.0,944.0,25.0,263.0,24.0,047,72,5010.0,4869.0,141.0,117.0,381.0,1391.0,64.0,971.0,93.0,1836.0,752.0,1084.0
72095,"Maunabo Municipio, Puerto Rico",2256.0,1122.0,614.0,614.0,0.0,41.0,146.0,248.0,13.0,60.0,0.0,1134.0,499.0,499.0,0.0,72.0,172.0,244.0,100.0,47.0,0.0,095,72,1113.0,1113.0,0.0,113.0,318.0,492.0,113.0,107.0,0.0,923.0,407.0,516.0
72111,"Peñuelas Municipio, Puerto Rico",5281.0,2797.0,1524.0,1484.0,40.0,83.0,336.0,550.0,64.0,240.0,0.0,2484.0,1386.0,1359.0,27.0,170.0,233.0,501.0,69.0,125.0,0.0,111,72,2910.0,2843.0,67.0,253.0,569.0,1051.0,133.0,365.0,0.0,1753.0,950.0,803.0
72113,"Ponce Municipio, Puerto Rico",38844.0,20222.0,13928.0,13261.0,667.0,890.0,1103.0,1850.0,306.0,2115.0,30.0,18622.0,11676.0,11414.0,262.0,1717.0,930.0,2689.0,450.0,1105.0,55.0,113,72,25604.0,24675.0,929.0,2607.0,2033.0,4539.0,756.0,3220.0,85.0,7328.0,3259.0,4069.0
72131,"San Sebastián Municipio, Puerto Rico",8522.0,4846.0,3021.0,2817.0,204.0,165.0,216.0,864.0,30.0,536.0,14.0,3676.0,2175.0,2133.0,42.0,192.0,226.0,707.0,123.0,241.0,12.0,131,72,5196.0,4950.0,246.0,357.0,442.0,1571.0,153.0,777.0,26.0,2166.0,1110.0,1056.0
72135,"Toa Alta Municipio, Puerto Rico",26619.0,13076.0,9259.0,8845.0,414.0,264.0,687.0,1183.0,218.0,1435.0,30.0,13543.0,8567.0,8371.0,196.0,852.0,681.0,2482.0,202.0,697.0,62.0,135,72,17826.0,17216.0,610.0,1116.0,1368.0,3665.0,420.0,2132.0,92.0,5453.0,2088.0,3365.0
72137,"Toa Baja Municipio, Puerto Rico",28598.0,14394.0,9834.0,9550.0,284.0,305.0,729.0,1594.0,370.0,1562.0,0.0,14204.0,9037.0,8940.0,97.0,774.0,939.0,2507.0,322.0,608.0,17.0,137,72,18871.0,18490.0,381.0,1079.0,1668.0,4101.0,692.0,2170.0,17.0,6461.0,2693.0,3768.0
72147,"Vieques Municipio, Puerto Rico",2927.0,1911.0,569.0,544.0,25.0,15.0,350.0,498.0,0.0,479.0,0.0,1016.0,578.0,385.0,193.0,30.0,158.0,190.0,0.0,60.0,0.0,147,72,1147.0,929.0,218.0,45.0,508.0,688.0,0.0,539.0,0.0,1196.0,848.0,348.0
72151,"Yabucoa Municipio, Puerto Rico",7878.0,4080.0,2401.0,2245.0,156.0,114.0,317.0,797.0,17.0,434.0,0.0,3798.0,2225.0,2215.0,10.0,203.0,190.0,1016.0,98.0,66.0,0.0,151,72,4626.0,4460.0,166.0,317.0,507.0,1813.0,115.0,500.0,0.0,2435.0,1131.0,1304.0
72003,"Aguada Municipio, Puerto Rico",11901.0,6802.0,4050.0,3828.0,222.0,137.0,425.0,486.0,152.0,1552.0,0.0,5099.0,3325.0,3167.0,158.0,101.0,220.0,988.0,55.0,410.0,0.0,003,72,7375.0,6995.0,380.0,238.0,645.0,1474.0,207.0,1962.0,0.0,2326.0,1063.0,1263.0
