geoid,name,total,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,county,state,tract,total_no_schooling,total_nursery_to_4th_grade,total_5th_and_6th_grade,total_7th_and_8th_grade,total_9th_grade,total_10th_grade,total_11th_grade,total_12th_grade_no_diploma,total_high_school_graduate,total_less_than_1_year_college,total_1_or_more_years_college,total_associates_degree,total_bachelors_degree,total_masters_degree,total_professional_school_degree,total_doctorate_degree,total_less_than_high_scool,male_less_than_high_scool,female_less_than_high_scool,total_some_college,male_some_college,female_some_college,total_masters_or_higher,male_masters_or_higher,female_masters_or_higher,total_bachelors_or_higher,male_bachelors_or_higher,female_bachelors_or_higher
56009956600,"Census Tract 9566, Converse County, Wyoming",2288.0,1171.0,0.0,0.0,0.0,11.0,27.0,14.0,58.0,34.0,451.0,62.0,197.0,116.0,140.0,34.0,3.0,24.0,1117.0,0.0,0.0,0.0,51.0,21.0,2.0,60.0,21.0,360.0,44.0,129.0,159.0,198.0,35.0,25.0,12.0,009,56,956600,0.0,0.0,0.0,62.0,48.0,16.0,118.0,55.0,811.0,106.0,326.0,275.0,338.0,69.0,28.0,36.0,299.0,144.0,155.0,432.0,259.0,173.0,133.0,61.0,72.0,471.0,201.0,270.0
56027957200,"Census Tract 9572, Niobrara County, Wyoming",1766.0,788.0,0.0,0.0,0.0,9.0,2.0,19.0,57.0,0.0,260.0,64.0,146.0,94.0,96.0,18.0,15.0,8.0,978.0,0.0,15.0,8.0,22.0,12.0,9.0,24.0,9.0,242.0,72.0,246.0,132.0,155.0,32.0,0.0,0.0,027,56,957200,0.0,15.0,8.0,31.0,14.0,28.0,81.0,9.0,502.0,136.0,392.0,226.0,251.0,50.0,15.0,8.0,186.0,87.0,99.0,528.0,210.0,318.0,73.0,41.0,32.0,324.0,137.0,187.0
56037970800,"Census Tract 9708, Sweetwater County, Wyoming",2692.0,1355.0,10.0,0.0,0.0,18.0,0.0,55.0,0.0,63.0,597.0,261.0,116.0,40.0,104.0,25.0,0.0,66.0,1337.0,1.0,0.0,0.0,61.0,30.0,134.0,36.0,69.0,401.0,109.0,173.0,130.0,138.0,48.0,0.0,7.0,037,56,970800,11.0,0.0,0.0,79.0,30.0,189.0,36.0,132.0,998.0,370.0,289.0,170.0,242.0,73.0,0.0,73.0,477.0,146.0,331.0,659.0,377.0,282.0,146.0,91.0,55.0,388.0,195.0,193.0
56037970601,"Census Tract 9706.01, Sweetwater County, Wyoming",2796.0,1332.0,0.0,36.0,4.0,30.0,0.0,26.0,25.0,8.0,445.0,247.0,157.0,109.0,181.0,64.0,0.0,0.0,1464.0,16.0,0.0,0.0,0.0,0.0,55.0,69.0,42.0,484.0,192.0,208.0,168.0,161.0,57.0,12.0,0.0,037,56,970601,16.0,36.0,4.0,30.0,0.0,81.0,94.0,50.0,929.0,439.0,365.0,277.0,342.0,121.0,12.0,0.0,311.0,129.0,182.0,804.0,404.0,400.0,133.0,64.0,69.0,475.0,245.0,230.0
56037970901,"Census Tract 9709.01, Sweetwater County, Wyoming",4595.0,2457.0,0.0,0.0,0.0,0.0,15.0,65.0,145.0,51.0,892.0,147.0,292.0,193.0,506.0,59.0,60.0,32.0,2138.0,0.0,25.0,0.0,0.0,0.0,32.0,0.0,12.0,612.0,144.0,455.0,235.0,445.0,128.0,30.0,20.0,037,56,970901,0.0,25.0,0.0,0.0,15.0,97.0,145.0,63.0,1504.0,291.0,747.0,428.0,951.0,187.0,90.0,52.0,345.0,276.0,69.0,1038.0,439.0,599.0,329.0,151.0,178.0,1280.0,657.0,623.0
56037971100,"Census Tract 9711, Sweetwater County, Wyoming",2553.0,1383.0,0.0,0.0,97.0,0.0,37.0,25.0,0.0,78.0,426.0,110.0,205.0,87.0,171.0,124.0,15.0,8.0,1170.0,1.0,0.0,0.0,0.0,1.0,47.0,2.0,1.0,307.0,134.0,215.0,130.0,210.0,111.0,11.0,0.0,037,56,971100,1.0,0.0,97.0,0.0,38.0,72.0,2.0,79.0,733.0,244.0,420.0,217.0,381.0,235.0,26.0,8.0,289.0,237.0,52.0,664.0,315.0,349.0,269.0,147.0,122.0,650.0,318.0,332.0
56037970500,"Census Tract 9705, Sweetwater County, Wyoming",2021.0,1072.0,48.0,2.0,0.0,0.0,2.0,0.0,30.0,37.0,418.0,107.0,194.0,55.0,82.0,72.0,0.0,25.0,949.0,0.0,10.0,0.0,2.0,0.0,10.0,0.0,11.0,359.0,121.0,75.0,31.0,257.0,57.0,10.0,6.0,037,56,970500,48.0,12.0,0.0,2.0,2.0,10.0,30.0,48.0,777.0,228.0,269.0,86.0,339.0,129.0,10.0,31.0,152.0,119.0,33.0,497.0,301.0,196.0,170.0,97.0,73.0,509.0,179.0,330.0
56037970602,"Census Tract 9706.02, Sweetwater County, Wyoming",2306.0,1127.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,380.0,162.0,230.0,143.0,139.0,44.0,0.0,12.0,1179.0,5.0,0.0,0.0,0.0,0.0,47.0,34.0,0.0,342.0,135.0,234.0,63.0,260.0,49.0,10.0,0.0,037,56,970602,14.0,0.0,0.0,8.0,0.0,47.0,34.0,0.0,722.0,297.0,464.0,206.0,399.0,93.0,10.0,12.0,103.0,17.0,86.0,761.0,392.0,369.0,115.0,56.0,59.0,514.0,195.0,319.0
56037970902,"Census Tract 9709.02, Sweetwater County, Wyoming",2954.0,1461.0,0.0,0.0,0.0,20.0,47.0,11.0,36.0,28.0,419.0,130.0,220.0,176.0,256.0,86.0,12.0,20.0,1493.0,0.0,0.0,0.0,0.0,23.0,22.0,7.0,30.0,382.0,91.0,259.0,188.0,370.0,111.0,0.0,10.0,037,56,970902,0.0,0.0,0.0,20.0,70.0,33.0,43.0,58.0,801.0,221.0,479.0,364.0,626.0,197.0,12.0,30.0,224.0,142.0,82.0,700.0,350.0,350.0,239.0,118.0,121.0,865.0,374.0,491.0
56037970700,"Census Tract 9707, Sweetwater County, Wyoming",2711.0,1390.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,36.0,494.0,146.0,314.0,108.0,224.0,11.0,20.0,22.0,1321.0,0.0,0.0,0.0,6.0,32.0,4.0,19.0,10.0,351.0,201.0,285.0,146.0,170.0,82.0,0.0,15.0,037,56,970700,0.0,0.0,0.0,10.0,43.0,4.0,19.0,46.0,845.0,347.0,599.0,254.0,394.0,93.0,20.0,37.0,122.0,51.0,71.0,946.0,460.0,486.0,150.0,53.0,97.0,544.0,277.0,267.0
