geoid,name,universe,native,foreign_born,zip code tabulation area
84306,ZCTA5 84306,345.0,345.0,0.0,84306
84775,ZCTA5 84775,421.0,412.0,9.0,84775
84762,ZCTA5 84762,211.0,211.0,0.0,84762
84772,ZCTA5 84772,203.0,203.0,0.0,84772
84781,ZCTA5 84781,224.0,224.0,0.0,84781
84511,ZCTA5 84511,4510.0,4481.0,29.0,84511
84513,ZCTA5 84513,1649.0,1629.0,20.0,84513
84516,ZCTA5 84516,199.0,197.0,2.0,84516
84522,ZCTA5 84522,364.0,356.0,8.0,84522
84532,ZCTA5 84532,9968.0,9473.0,495.0,84532
84601,ZCTA5 84601,34199.0,28763.0,5436.0,84601
84620,ZCTA5 84620,1024.0,1007.0,17.0,84620
84628,ZCTA5 84628,519.0,514.0,5.0,84628
84629,ZCTA5 84629,2664.0,2601.0,63.0,84629
84630,ZCTA5 84630,495.0,411.0,84.0,84630
84634,ZCTA5 84634,3323.0,3090.0,233.0,84634
84647,ZCTA5 84647,4299.0,4155.0,144.0,84647
84663,ZCTA5 84663,32989.0,30322.0,2667.0,84663
84710,ZCTA5 84710,143.0,135.0,8.0,84710
84004,ZCTA5 84004,10256.0,9915.0,341.0,84004
84529,ZCTA5 84529,245.0,245.0,0.0,84529
84531,ZCTA5 84531,998.0,998.0,0.0,84531
84536,ZCTA5 84536,1821.0,1821.0,0.0,84536
93249,ZCTA5 93249,2264.0,1099.0,1165.0,93249
93252,ZCTA5 93252,3188.0,1801.0,1387.0,93252
93270,ZCTA5 93270,5605.0,3913.0,1692.0,93270
93291,ZCTA5 93291,56627.0,45675.0,10952.0,93291
93304,ZCTA5 93304,50787.0,39725.0,11062.0,93304
93306,ZCTA5 93306,70208.0,57828.0,12380.0,93306
93307,ZCTA5 93307,84948.0,59306.0,25642.0,93307
93420,ZCTA5 93420,29940.0,27569.0,2371.0,93420
93454,ZCTA5 93454,40333.0,28466.0,11867.0,93454
93458,ZCTA5 93458,56702.0,33055.0,23647.0,93458
93461,ZCTA5 93461,1545.0,1273.0,272.0,93461
93536,ZCTA5 93536,71303.0,63568.0,7735.0,93536
93546,ZCTA5 93546,9346.0,7165.0,2181.0,93546
93591,ZCTA5 93591,6809.0,5533.0,1276.0,93591
93609,ZCTA5 93609,5668.0,3895.0,1773.0,93609
93616,ZCTA5 93616,2726.0,1908.0,818.0,93616
93618,ZCTA5 93618,30754.0,21530.0,9224.0,93618
93626,ZCTA5 93626,1995.0,1618.0,377.0,93626
93501,ZCTA5 93501,5063.0,4582.0,481.0,93501
90029,ZCTA5 90029,38843.0,18248.0,20595.0,90029
90010,ZCTA5 90010,3759.0,1344.0,2415.0,90010
90024,ZCTA5 90024,49718.0,35871.0,13847.0,90024
90025,ZCTA5 90025,47453.0,30812.0,16641.0,90025
90201,ZCTA5 90201,102878.0,58340.0,44538.0,90201
90031,ZCTA5 90031,39103.0,21106.0,17997.0,90031
90035,ZCTA5 90035,29920.0,21776.0,8144.0,90035
90063,ZCTA5 90063,53556.0,31850.0,21706.0,90063
90242,ZCTA5 90242,42922.0,28890.0,14032.0,90242
90620,ZCTA5 90620,46038.0,30724.0,15314.0,90620
90623,ZCTA5 90623,15882.0,10558.0,5324.0,90623
90630,ZCTA5 90630,49249.0,34751.0,14498.0,90630
90713,ZCTA5 90713,28927.0,24919.0,4008.0,90713
90715,ZCTA5 90715,20313.0,12949.0,7364.0,90715
90716,ZCTA5 90716,14409.0,8782.0,5627.0,90716
