geoid,name,gini_index,gini_index_annotation,gini_index_moe,gini_index_moe_annotation,zip code tabulation area
00601,ZCTA5 00601,0.5706,,0.0329,,00601
00602,ZCTA5 00602,0.4973,,0.0191,,00602
00603,ZCTA5 00603,0.5613,,0.0297,,00603
00606,ZCTA5 00606,0.4785,,0.0361,,00606
00610,ZCTA5 00610,0.4527,,0.0227,,00610
00612,ZCTA5 00612,0.5253,,0.0197,,00612
00616,ZCTA5 00616,0.5583,,0.0442,,00616
00617,ZCTA5 00617,0.4998,,0.0294,,00617
00622,ZCTA5 00622,0.609,,0.0902,,00622
00623,ZCTA5 00623,0.5212,,0.0195,,00623
00624,ZCTA5 00624,0.4668,,0.0207,,00624
00627,ZCTA5 00627,0.513,,0.0312,,00627
00631,ZCTA5 00631,0.5896,,0.0572,,00631
00637,ZCTA5 00637,0.5162,,0.0273,,00637
00638,ZCTA5 00638,0.5313,,0.05,,00638
00641,ZCTA5 00641,0.4989,,0.0181,,00641
00646,ZCTA5 00646,0.5384,,0.0261,,00646
00647,ZCTA5 00647,0.4291,,0.0414,,00647
00650,ZCTA5 00650,0.4615,,0.0306,,00650
00652,ZCTA5 00652,0.4628,,0.0591,,00652
00653,ZCTA5 00653,0.5605,,0.0511,,00653
00656,ZCTA5 00656,0.4942,,0.0218,,00656
00659,ZCTA5 00659,0.5074,,0.0172,,00659
00660,ZCTA5 00660,0.4797,,0.0345,,00660
00662,ZCTA5 00662,0.4983,,0.0226,,00662
00664,ZCTA5 00664,0.4687,,0.0347,,00664
00667,ZCTA5 00667,0.5291,,0.0302,,00667
00669,ZCTA5 00669,0.5644,,0.0402,,00669
00670,ZCTA5 00670,0.5161,,0.0427,,00670
00674,ZCTA5 00674,0.5222,,0.017,,00674
00676,ZCTA5 00676,0.5282,,0.0205,,00676
00677,ZCTA5 00677,0.4915,,0.0346,,00677
00678,ZCTA5 00678,0.5183,,0.0486,,00678
00680,ZCTA5 00680,0.5876,,0.0354,,00680
00682,ZCTA5 00682,0.6325,,0.0261,,00682
00683,ZCTA5 00683,0.5335,,0.028,,00683
00685,ZCTA5 00685,0.5128,,0.0229,,00685
00687,ZCTA5 00687,0.475,,0.0229,,00687
00688,ZCTA5 00688,0.4981,,0.0284,,00688
00690,ZCTA5 00690,0.5009,,0.0457,,00690
00692,ZCTA5 00692,0.5567,,0.0336,,00692
00693,ZCTA5 00693,0.5195,,0.0189,,00693
00694,ZCTA5 00694,0.104,,0.0623,,00694
00698,ZCTA5 00698,0.5271,,0.0177,,00698
00703,ZCTA5 00703,0.5576,,0.0637,,00703
00704,ZCTA5 00704,0.489,,0.0396,,00704
00705,ZCTA5 00705,0.4948,,0.0495,,00705
00707,ZCTA5 00707,0.4744,,0.0699,,00707
00714,ZCTA5 00714,0.451,,0.0246,,00714
00715,ZCTA5 00715,0.5598,,0.1005,,00715
00716,ZCTA5 00716,0.6098,,0.0297,,00716
00717,ZCTA5 00717,0.6321,,0.0449,,00717
00718,ZCTA5 00718,0.5275,,0.0896,,00718
00719,ZCTA5 00719,0.4851,,0.0234,,00719
00720,ZCTA5 00720,0.5009,,0.0299,,00720
00723,ZCTA5 00723,0.524,,0.0402,,00723
00725,ZCTA5 00725,0.5257,,0.0152,,00725
00727,ZCTA5 00727,0.4787,,0.0173,,00727
00728,ZCTA5 00728,0.4816,,0.0193,,00728
00729,ZCTA5 00729,0.5143,,0.0273,,00729
00730,ZCTA5 00730,0.6103,,0.0459,,00730
00731,ZCTA5 00731,0.5915,,0.0744,,00731
00735,ZCTA5 00735,0.5494,,0.082,,00735
00736,ZCTA5 00736,0.5338,,0.0437,,00736
00738,ZCTA5 00738,0.4974,,0.0306,,00738
00739,ZCTA5 00739,0.5019,,0.0175,,00739
00740,ZCTA5 00740,0.5244,,0.073,,00740
00741,ZCTA5 00741,0.3937,,0.0395,,00741
