geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,state,tract
11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",935.0,202.0,113.0,56.0,89.0,35.0,43.0,23.0,44.0,41.0,37.0,78.0,69.0,43.0,9.0,32.0,21.0,001,11,007503
11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",2095.0,335.0,97.0,133.0,158.0,232.0,95.0,105.0,110.0,43.0,73.0,206.0,166.0,118.0,89.0,126.0,9.0,001,11,007601
11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",1092.0,209.0,78.0,107.0,41.0,94.0,22.0,57.0,57.0,27.0,109.0,88.0,49.0,56.0,27.0,65.0,6.0,001,11,007709
11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",1597.0,147.0,105.0,99.0,133.0,43.0,96.0,19.0,59.0,42.0,145.0,164.0,164.0,184.0,86.0,63.0,48.0,001,11,009508
11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",1072.0,261.0,77.0,80.0,73.0,22.0,79.0,36.0,30.0,46.0,46.0,54.0,84.0,83.0,27.0,41.0,33.0,001,11,009904
11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",1461.0,171.0,99.0,51.0,167.0,129.0,47.0,59.0,31.0,64.0,48.0,108.0,242.0,79.0,126.0,30.0,10.0,001,11,008903
11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",1341.0,321.0,166.0,102.0,64.0,68.0,19.0,44.0,36.0,13.0,156.0,161.0,103.0,15.0,14.0,30.0,29.0,001,11,009204
11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",1105.0,131.0,35.0,90.0,20.0,51.0,20.0,14.0,120.0,57.0,114.0,72.0,150.0,97.0,38.0,64.0,32.0,001,11,009902
11001000100,"Census Tract 1, District of Columbia, District of Columbia",2471.0,70.0,14.0,83.0,22.0,13.0,11.0,13.0,16.0,36.0,84.0,102.0,162.0,206.0,239.0,356.0,1044.0,001,11,000100
11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",2737.0,137.0,27.0,122.0,30.0,37.0,31.0,64.0,55.0,43.0,40.0,76.0,410.0,227.0,80.0,345.0,1013.0,001,11,000801
