geoid,name,total,only_english,total_spanish,spanish_limited_english,spanish_not_limited_english,total_other_indo_european,other_indo_european_limited_english,other_indo_european_not_limited_english,total_asian_and_pacific_islander,asian_and_pacific_islander_limited_english,asian_and_pacific_islander_not_limited_english,total_other,other_limited_english,other_not_limited_english,zip code tabulation area,total_not_limited_english,total_limited_english
84306,ZCTA5 84306,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84306,132.0,0.0
84775,ZCTA5 84775,187.0,163.0,8.0,0.0,8.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,84775,187.0,0.0
84762,ZCTA5 84762,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84762,63.0,0.0
84772,ZCTA5 84772,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84772,89.0,0.0
84781,ZCTA5 84781,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84781,74.0,0.0
84511,ZCTA5 84511,1287.0,1030.0,24.0,4.0,20.0,47.0,0.0,47.0,26.0,0.0,26.0,160.0,40.0,120.0,84511,1243.0,44.0
84513,ZCTA5 84513,524.0,475.0,33.0,8.0,25.0,6.0,0.0,6.0,10.0,0.0,10.0,0.0,0.0,0.0,84513,516.0,8.0
84516,ZCTA5 84516,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84516,72.0,0.0
84522,ZCTA5 84522,131.0,116.0,12.0,0.0,12.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,84522,131.0,0.0
84532,ZCTA5 84532,4016.0,3685.0,193.0,63.0,130.0,41.0,0.0,41.0,12.0,0.0,12.0,85.0,5.0,80.0,84532,3948.0,68.0
84601,ZCTA5 84601,10722.0,7387.0,2601.0,670.0,1931.0,348.0,5.0,343.0,351.0,22.0,329.0,35.0,0.0,35.0,84601,10025.0,697.0
84620,ZCTA5 84620,348.0,334.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,84620,348.0,0.0
84628,ZCTA5 84628,226.0,219.0,2.0,0.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,84628,226.0,0.0
84629,ZCTA5 84629,862.0,804.0,44.0,0.0,44.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,84629,862.0,0.0
84630,ZCTA5 84630,131.0,89.0,42.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84630,131.0,0.0
84634,ZCTA5 84634,360.0,305.0,46.0,19.0,27.0,7.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,84634,339.0,21.0
84647,ZCTA5 84647,1483.0,1424.0,31.0,6.0,25.0,24.0,0.0,24.0,4.0,0.0,4.0,0.0,0.0,0.0,84647,1477.0,6.0
84663,ZCTA5 84663,9181.0,7442.0,1307.0,196.0,1111.0,237.0,0.0,237.0,184.0,4.0,180.0,11.0,0.0,11.0,84663,8981.0,200.0
84710,ZCTA5 84710,43.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,84710,43.0,0.0
84004,ZCTA5 84004,2653.0,2213.0,175.0,0.0,175.0,181.0,0.0,181.0,75.0,5.0,70.0,9.0,0.0,9.0,84004,2648.0,5.0
84529,ZCTA5 84529,143.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84529,143.0,0.0
84531,ZCTA5 84531,196.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,11.0,182.0,84531,185.0,11.0
84536,ZCTA5 84536,397.0,20.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,22.0,350.0,84536,375.0,22.0
93249,ZCTA5 93249,532.0,28.0,504.0,264.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93249,268.0,264.0
93252,ZCTA5 93252,558.0,430.0,118.0,49.0,69.0,4.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,93252,503.0,55.0
93270,ZCTA5 93270,1445.0,474.0,969.0,434.0,535.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,93270,1011.0,434.0
93291,ZCTA5 93291,16366.0,8726.0,6335.0,1788.0,4547.0,402.0,83.0,319.0,745.0,234.0,511.0,158.0,5.0,153.0,93291,14256.0,2110.0
93304,ZCTA5 93304,15223.0,7280.0,7325.0,1622.0,5703.0,325.0,96.0,229.0,246.0,106.0,140.0,47.0,0.0,47.0,93304,13399.0,1824.0
93306,ZCTA5 93306,21743.0,11903.0,8936.0,1155.0,7781.0,324.0,16.0,308.0,513.0,77.0,436.0,67.0,0.0,67.0,93306,20495.0,1248.0
93307,ZCTA5 93307,21942.0,6534.0,14758.0,3277.0,11481.0,354.0,52.0,302.0,203.0,27.0,176.0,93.0,0.0,93.0,93307,18586.0,3356.0
93420,ZCTA5 93420,11817.0,9831.0,1171.0,153.0,1018.0,479.0,32.0,447.0,317.0,25.0,292.0,19.0,19.0,0.0,93420,11588.0,229.0
93454,ZCTA5 93454,11725.0,5905.0,5070.0,1332.0,3738.0,74.0,0.0,74.0,544.0,152.0,392.0,132.0,81.0,51.0,93454,10160.0,1565.0
93458,ZCTA5 93458,13234.0,3275.0,9249.0,2785.0,6464.0,43.0,12.0,31.0,516.0,90.0,426.0,151.0,64.0,87.0,93458,10283.0,2951.0
93461,ZCTA5 93461,546.0,387.0,159.0,32.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93461,514.0,32.0
93536,ZCTA5 93536,21380.0,17086.0,2895.0,368.0,2527.0,446.0,51.0,395.0,807.0,202.0,605.0,146.0,21.0,125.0,93536,20738.0,642.0
93546,ZCTA5 93546,3222.0,2576.0,524.0,154.0,370.0,111.0,0.0,111.0,11.0,0.0,11.0,0.0,0.0,0.0,93546,3068.0,154.0
93591,ZCTA5 93591,1860.0,1142.0,667.0,250.0,417.0,29.0,10.0,19.0,11.0,0.0,11.0,11.0,0.0,11.0,93591,1600.0,260.0
