geoid,name,universe,only_english,total_spanish,spanish_and_english_very_well,spanish_and_english_less_than_very_well,total_french_haitan_or_cajun,french_haitan_or_cajun_and_english_very_well,french_haitan_or_cajun_and_english_less_than_very_well,total_german_or_other_west_germanic,german_or_other_west_germanic_and_english_very_well,german_or_other_west_germanic_and_english_less_than_very_well,total_russian_polish_or_other_slavic,russian_polish_or_other_slavic_and_english_very_well,russian_polish_or_other_slavic_and_english_less_than_very_well,total_other_indo_european,other_indo_european_and_english_very_well,other_indo_european_and_english_less_than_very_well,total_korean,korean_and_english_very_well,korean_and_english_less_than_very_well,total_chinese,chinese_and_english_very_well,chinese_and_english_less_than_very_well,total_vietnamese,vietnamese_and_english_very_well,vietnamese_and_english_less_than_very_well,total_tagalog,tagalog_and_english_very_well,tagalog_and_english_less_than_very_well,total_other_asian,other_asian_and_english_very_well,other_asian_and_english_less_than_very_well,total_arabic,arabic_and_english_very_well,arabic_and_english_less_than_very_well,total_other,other_and_english_very_well,other_and_english_less_than_very_well,state,state legislative district (upper chamber)
01001,"State Senate District 1 (2016), Alabama",132697.0,127363.0,3384.0,2026.0,1358.0,213.0,196.0,17.0,355.0,313.0,42.0,158.0,99.0,59.0,342.0,292.0,50.0,69.0,35.0,34.0,74.0,53.0,21.0,65.0,31.0,34.0,64.0,41.0,23.0,308.0,244.0,64.0,17.0,17.0,0.0,285.0,224.0,61.0,01,001
01002,"State Senate District 2 (2016), Alabama",138908.0,128914.0,3901.0,2615.0,1286.0,493.0,366.0,127.0,596.0,486.0,110.0,372.0,234.0,138.0,1016.0,827.0,189.0,689.0,370.0,319.0,645.0,259.0,386.0,800.0,565.0,235.0,335.0,256.0,79.0,661.0,540.0,121.0,97.0,97.0,0.0,389.0,362.0,27.0,01,002
01003,"State Senate District 3 (2016), Alabama",135503.0,124844.0,8546.0,4124.0,4422.0,225.0,110.0,115.0,133.0,133.0,0.0,129.0,92.0,37.0,454.0,379.0,75.0,257.0,124.0,133.0,192.0,85.0,107.0,33.0,0.0,33.0,80.0,73.0,7.0,241.0,135.0,106.0,99.0,99.0,0.0,270.0,135.0,135.0,01,003
01004,"State Senate District 4 (2016), Alabama",126658.0,121989.0,3907.0,2208.0,1699.0,54.0,37.0,17.0,178.0,178.0,0.0,19.0,10.0,9.0,89.0,70.0,19.0,17.0,15.0,2.0,45.0,18.0,27.0,75.0,38.0,37.0,34.0,31.0,3.0,177.0,62.0,115.0,31.0,31.0,0.0,43.0,43.0,0.0,01,004
01005,"State Senate District 5 (2016), Alabama",124533.0,122045.0,1890.0,1052.0,838.0,31.0,26.0,5.0,126.0,126.0,0.0,0.0,0.0,0.0,49.0,31.0,18.0,8.0,0.0,8.0,135.0,56.0,79.0,118.0,86.0,32.0,6.0,4.0,2.0,62.0,15.0,47.0,0.0,0.0,0.0,63.0,39.0,24.0,01,005
01006,"State Senate District 6 (2016), Alabama",128643.0,120745.0,6474.0,2958.0,3516.0,65.0,65.0,0.0,118.0,118.0,0.0,111.0,67.0,44.0,195.0,97.0,98.0,23.0,7.0,16.0,82.0,60.0,22.0,16.0,0.0,16.0,97.0,97.0,0.0,257.0,114.0,143.0,341.0,247.0,94.0,119.0,42.0,77.0,01,006
01007,"State Senate District 7 (2016), Alabama",132968.0,125076.0,5596.0,2345.0,3251.0,375.0,307.0,68.0,321.0,252.0,69.0,93.0,89.0,4.0,480.0,365.0,115.0,56.0,18.0,38.0,188.0,91.0,97.0,60.0,35.0,25.0,165.0,120.0,45.0,330.0,202.0,128.0,0.0,0.0,0.0,228.0,150.0,78.0,01,007
01008,"State Senate District 8 (2016), Alabama",132836.0,125585.0,5528.0,3373.0,2155.0,34.0,34.0,0.0,152.0,144.0,8.0,78.0,62.0,16.0,280.0,228.0,52.0,245.0,72.0,173.0,87.0,53.0,34.0,75.0,0.0,75.0,91.0,57.0,34.0,423.0,241.0,182.0,17.0,14.0,3.0,241.0,214.0,27.0,01,008
01009,"State Senate District 9 (2016), Alabama",130897.0,116887.0,11897.0,5026.0,6871.0,335.0,95.0,240.0,158.0,125.0,33.0,48.0,45.0,3.0,553.0,377.0,176.0,241.0,130.0,111.0,242.0,98.0,144.0,83.0,35.0,48.0,96.0,79.0,17.0,52.0,49.0,3.0,18.0,4.0,14.0,287.0,132.0,155.0,01,009
01010,"State Senate District 10 (2016), Alabama",128840.0,122597.0,4976.0,2371.0,2605.0,159.0,117.0,42.0,91.0,91.0,0.0,77.0,28.0,49.0,197.0,122.0,75.0,22.0,22.0,0.0,206.0,20.0,186.0,45.0,5.0,40.0,59.0,54.0,5.0,25.0,25.0,0.0,114.0,65.0,49.0,272.0,223.0,49.0,01,010
