geoid,name,median,combined statistical area
118,"Appleton-Oshkosh-Neenah, WI CSA",59802.0,118
104,"Albany-Schenectady, NY CSA",62414.0,104
106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",50800.0,106
108,"Amarillo-Borger, TX CSA",53401.0,108
120,"Asheville-Brevard, NC CSA",47858.0,120
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",60223.0,122
145,"Bloomington-Pontiac, IL CSA",61726.0,145
140,"Bend-Redmond-Prineville, OR CSA",56959.0,140
142,"Birmingham-Hoover-Talladega, AL CSA",50184.0,142
144,"Bloomington-Bedford, IN CSA",47263.0,144
146,"Bloomsburg-Berwick-Sunbury, PA CSA",49453.0,146
160,"Buffalo-Cheektowaga, NY CSA",52908.0,160
162,"Cape Coral-Fort Myers-Naples, FL CSA",55185.0,162
164,"Cape Girardeau-Sikeston, MO-IL CSA",44838.0,164
168,"Cedar Rapids-Iowa City, IA CSA",61371.0,168
176,"Chicago-Naperville, IL-IN-WI CSA",65162.0,176
147,"Boise City-Mountain Home-Ontario, ID-OR CSA",52864.0,147
148,"Boston-Worcester-Providence, MA-RI-NH-CT CSA",74472.0,148
150,"Bowling Green-Glasgow, KY CSA",44609.0,150
154,"Brownsville-Harlingen-Raymondville, TX CSA",35779.0,154
170,"Charleston-Huntington-Ashland, WV-OH-KY CSA",43583.0,170
172,"Charlotte-Concord, NC-SC CSA",56579.0,172
174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",46475.0,174
178,"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA",59085.0,178
194,"Columbus-Auburn-Opelika, GA-AL CSA",44600.0,194
184,"Cleveland-Akron-Canton, OH CSA",51905.0,184
185,"Cleveland-Indianola, MS CSA",28502.0,185
188,"Clovis-Portales, NM CSA",40419.0,188
190,"Columbia-Moberly-Mexico, MO CSA",50542.0,190
192,"Columbia-Orangeburg-Newberry, SC CSA",50508.0,192
198,"Columbus-Marion-Zanesville, OH CSA",57316.0,198
209,"Davenport-Moline, IA-IL CSA",54373.0,209
200,"Columbus-West Point, MS CSA",41291.0,200
204,"Corpus Christi-Kingsville-Alice, TX CSA",51564.0,204
206,"Dallas-Fort Worth, TX-OK CSA",62796.0,206
212,"Dayton-Springfield-Sidney, OH CSA",50973.0,212
216,"Denver-Aurora, CO CSA",71751.0,216
217,"DeRidder-Fort Polk South, LA CSA",46825.0,217
218,"Des Moines-Ames-West Des Moines, IA CSA",63764.0,218
238,"El Paso-Las Cruces, TX-NM CSA",42299.0,238
232,"Eau Claire-Menomonie, WI CSA",53472.0,232
233,"Edwards-Glenwood Springs, CO CSA",74161.0,233
236,"Elmira-Corning, NY CSA",50700.0,236
221,"Dixon-Sterling, IL CSA",54053.0,221
222,"Dothan-Enterprise-Ozark, AL CSA",44304.0,222
220,"Detroit-Warren-Ann Arbor, MI CSA",55755.0,220
260,"Fresno-Madera, CA CSA",48665.0,260
264,"Gainesville-Lake City, FL CSA",44841.0,264
266,"Grand Rapids-Wyoming-Muskegon, MI CSA",55749.0,266
267,"Green Bay-Shawano, WI CSA",55966.0,267
268,"Greensboro--Winston-Salem--High Point, NC CSA",46400.0,268
273,"Greenville-Spartanburg-Anderson, SC CSA",46941.0,273
274,"Greenville-Washington, NC CSA",43035.0,274
276,"Harrisburg-York-Lebanon, PA CSA",61091.0,276
277,"Harrisonburg-Staunton-Waynesboro, VA CSA",53299.0,277
278,"Hartford-West Hartford, CT CSA",72442.0,278
280,"Hickory-Lenoir, NC CSA",43430.0,280
284,"Hot Springs-Malvern, AR CSA",41362.0,284
288,"Houston-The Woodlands, TX CSA",62325.0,288
294,"Indianapolis-Carmel-Muncie, IN CSA",55001.0,294
258,"Fort Wayne-Huntington-Auburn, IN CSA",51496.0,258
240,"Erie-Meadville, PA CSA",47932.0,240
244,"Fargo-Wahpeton, ND-MN CSA",58937.0,244
246,"Fayetteville-Lumberton-Laurinburg, NC CSA",41179.0,246
248,"Findlay-Tiffin, OH CSA",51519.0,248
290,"Huntsville-Decatur-Albertville, AL CSA",51872.0,290
292,"Idaho Falls-Rexburg-Blackfoot, ID CSA",51086.0,292
296,"Ithaca-Cortland, NY CSA",54754.0,296
297,"Jackson-Brownsville, TN CSA",42231.0,297
298,"Jackson-Vicksburg-Brookhaven, MS CSA",47563.0,298
308,"Jonesboro-Paragould, AR CSA",44149.0,308
300,"Jacksonville-St. Marys-Palatka, FL-GA CSA",54926.0,300
304,"Johnson City-Kingsport-Bristol, TN-VA CSA",41127.0,304
306,"Johnstown-Somerset, PA CSA",45368.0,306
309,"Joplin-Miami, MO-OK CSA",44752.0,309
310,"Kalamazoo-Battle Creek-Portage, MI CSA",49639.0,310
312,"Kansas City-Overland Park-Kansas City, MO-KS CSA",60061.0,312
314,"Knoxville-Morristown-Sevierville, TN CSA",47935.0,314
316,"Kokomo-Peru, IN CSA",47518.0,316
318,"Lafayette-Opelousas-Morgan City, LA CSA",46026.0,318
338,"Lima-Van Wert-Celina, OH CSA",52460.0,338
330,"Lansing-East Lansing-Owosso, MI CSA",53274.0,330
332,"Las Vegas-Henderson, NV-AZ CSA",52912.0,332
336,"Lexington-Fayette--Richmond--Frankfort, KY CSA",51868.0,336
339,"Lincoln-Beatrice, NE CSA",55733.0,339
320,"Lafayette-West Lafayette-Frankfort, IN CSA",50888.0,320
