geoid,name,median,state,state legislative district (upper chamber)
01001,"State Senate District 1 (2016), Alabama",39940.0,01,001
01002,"State Senate District 2 (2016), Alabama",45401.0,01,002
01003,"State Senate District 3 (2016), Alabama",30162.0,01,003
01004,"State Senate District 4 (2016), Alabama",27000.0,01,004
01005,"State Senate District 5 (2016), Alabama",30619.0,01,005
01006,"State Senate District 6 (2016), Alabama",29265.0,01,006
01007,"State Senate District 7 (2016), Alabama",30037.0,01,007
01008,"State Senate District 8 (2016), Alabama",48920.0,01,008
01009,"State Senate District 9 (2016), Alabama",32500.0,01,009
01010,"State Senate District 10 (2016), Alabama",27439.0,01,010
01011,"State Senate District 11 (2016), Alabama",33690.0,01,011
01012,"State Senate District 12 (2016), Alabama",29720.0,01,012
01013,"State Senate District 13 (2016), Alabama",34661.0,01,013
01014,"State Senate District 14 (2016), Alabama",57457.0,01,014
01015,"State Senate District 15 (2016), Alabama",38509.0,01,015
01016,"State Senate District 16 (2016), Alabama",50027.0,01,016
01017,"State Senate District 17 (2016), Alabama",48678.0,01,017
01018,"State Senate District 18 (2016), Alabama",26877.0,01,018
01019,"State Senate District 19 (2016), Alabama",37054.0,01,019
01020,"State Senate District 20 (2016), Alabama",36575.0,01,020
01021,"State Senate District 21 (2016), Alabama",38040.0,01,021
01022,"State Senate District 22 (2016), Alabama",22738.0,01,022
01023,"State Senate District 23 (2016), Alabama",22064.0,01,023
01024,"State Senate District 24 (2016), Alabama",25202.0,01,024
01025,"State Senate District 25 (2016), Alabama",47255.0,01,025
01026,"State Senate District 26 (2016), Alabama",32152.0,01,026
01027,"State Senate District 27 (2016), Alabama",26747.0,01,027
01028,"State Senate District 28 (2016), Alabama",27361.0,01,028
01029,"State Senate District 29 (2016), Alabama",31301.0,01,029
01030,"State Senate District 30 (2016), Alabama",29043.0,01,030
01031,"State Senate District 31 (2016), Alabama",26779.0,01,031
01032,"State Senate District 32 (2016), Alabama",29402.0,01,032
01033,"State Senate District 33 (2016), Alabama",25667.0,01,033
01034,"State Senate District 34 (2016), Alabama",42449.0,01,034
01035,"State Senate District 35 (2016), Alabama",33115.0,01,035
0200H,"State Senate District H (2016), Alaska",64531.0,02,00H
0200I,"State Senate District I (2016), Alaska",31520.0,02,00I
0200J,"State Senate District J (2016), Alaska",54917.0,02,00J
0200K,"State Senate District K (2016), Alaska",67368.0,02,00K
0200L,"State Senate District L (2016), Alaska",51402.0,02,00L
0200M,"State Senate District M (2016), Alaska",110115.0,02,00M
0200N,"State Senate District N (2016), Alaska",55482.0,02,00N
0200O,"State Senate District O (2016), Alaska",-666666666.0,02,00O
0200P,"State Senate District P (2016), Alaska",-666666666.0,02,00P
