geoid,name,median,public use microdata area,state
00200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",61193.0,00200,01
00400,"DeKalb & Jackson Counties PUMA, Alabama",40035.0,00400,01
02500,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA; Alabama",49232.0,02500,01
01500,"Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA, Alabama",66201.0,01500,01
01700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA; Alabama",50249.0,01700,01
01000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",42340.0,01000,01
00500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",50305.0,00500,01
01400,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA; Alabama",39924.0,01400,01
01800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA; Alabama",47398.0,01800,01
02200,"Southwest Alabama PUMA, Alabama",42430.0,02200,01
00800,"St. Clair & Blount Counties PUMA, Alabama",52575.0,00800,01
00100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",44935.0,00100,01
02400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA; Alabama",45130.0,02400,01
02300,"Coffee, Covington, Butler & Crenshaw Counties PUMA; Alabama",48546.0,02300,01
02703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA; Alabama",57786.0,02703,01
02701,"Mobile City (East) PUMA, Alabama",49621.0,02701,01
02702,"Mobile City (West) PUMA, Alabama",56278.0,02702,01
00700,"Cullman & Winston Counties PUMA, Alabama",40665.0,00700,01
01900,"Lee County--Auburn City PUMA, Alabama",54053.0,01900,01
02100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA; Alabama",61242.0,02100,01
02000,"Montgomery City & Pike Road Town (North) PUMA, Alabama",65288.0,02000,01
00600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",49930.0,00600,01
01100,"Calhoun County PUMA, Alabama",49415.0,01100,01
00900,"Etowah County PUMA, Alabama",45577.0,00900,01
01600,"Tuscaloosa & Northport (Southeast) Cities PUMA, Alabama",50645.0,01600,01
01200,"Shelby County PUMA, Alabama",76624.0,01200,01
00301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",80961.0,00301,01
