geoid,name,universe,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,state,state legislative district (upper chamber)
01001,"State Senate District 1 (2016), Alabama",1171.0,902.0,34.0,207.0,6.0,22.0,01,001
01002,"State Senate District 2 (2016), Alabama",4737.0,3969.0,280.0,93.0,191.0,204.0,01,002
01003,"State Senate District 3 (2016), Alabama",1765.0,1211.0,246.0,206.0,102.0,0.0,01,003
01004,"State Senate District 4 (2016), Alabama",612.0,585.0,27.0,0.0,0.0,0.0,01,004
01005,"State Senate District 5 (2016), Alabama",609.0,540.0,57.0,4.0,8.0,0.0,01,005
01006,"State Senate District 6 (2016), Alabama",532.0,400.0,126.0,6.0,0.0,0.0,01,006
01007,"State Senate District 7 (2016), Alabama",2077.0,1426.0,329.0,61.0,105.0,156.0,01,007
01008,"State Senate District 8 (2016), Alabama",1320.0,1180.0,103.0,2.0,0.0,35.0,01,008
01009,"State Senate District 9 (2016), Alabama",1385.0,1216.0,26.0,13.0,118.0,12.0,01,009
01010,"State Senate District 10 (2016), Alabama",743.0,560.0,49.0,129.0,5.0,0.0,01,010
01011,"State Senate District 11 (2016), Alabama",999.0,936.0,19.0,44.0,0.0,0.0,01,011
01012,"State Senate District 12 (2016), Alabama",1314.0,1074.0,41.0,90.0,102.0,7.0,01,012
01013,"State Senate District 13 (2016), Alabama",1152.0,1086.0,27.0,6.0,20.0,13.0,01,013
01014,"State Senate District 14 (2016), Alabama",1546.0,1506.0,0.0,5.0,35.0,0.0,01,014
01015,"State Senate District 15 (2016), Alabama",2110.0,1792.0,140.0,106.0,15.0,57.0,01,015
01016,"State Senate District 16 (2016), Alabama",5836.0,4853.0,342.0,82.0,461.0,98.0,01,016
01017,"State Senate District 17 (2016), Alabama",1128.0,757.0,166.0,183.0,0.0,22.0,01,017
01018,"State Senate District 18 (2016), Alabama",2487.0,1467.0,242.0,139.0,266.0,373.0,01,018
01019,"State Senate District 19 (2016), Alabama",429.0,347.0,66.0,0.0,0.0,16.0,01,019
01020,"State Senate District 20 (2016), Alabama",717.0,676.0,13.0,4.0,8.0,16.0,01,020
01021,"State Senate District 21 (2016), Alabama",2409.0,1708.0,421.0,32.0,103.0,145.0,01,021
01022,"State Senate District 22 (2016), Alabama",614.0,581.0,0.0,32.0,0.0,1.0,01,022
01023,"State Senate District 23 (2016), Alabama",464.0,337.0,0.0,23.0,10.0,94.0,01,023
01024,"State Senate District 24 (2016), Alabama",1019.0,910.0,23.0,0.0,23.0,63.0,01,024
01025,"State Senate District 25 (2016), Alabama",4168.0,3005.0,636.0,172.0,132.0,223.0,01,025
01026,"State Senate District 26 (2016), Alabama",1791.0,1227.0,190.0,19.0,85.0,270.0,01,026
01027,"State Senate District 27 (2016), Alabama",5018.0,3334.0,712.0,332.0,124.0,516.0,01,027
01028,"State Senate District 28 (2016), Alabama",972.0,724.0,64.0,0.0,49.0,135.0,01,028
01029,"State Senate District 29 (2016), Alabama",1295.0,1146.0,31.0,38.0,42.0,38.0,01,029
01030,"State Senate District 30 (2016), Alabama",698.0,515.0,0.0,83.0,59.0,41.0,01,030
01031,"State Senate District 31 (2016), Alabama",1665.0,1191.0,175.0,97.0,168.0,34.0,01,031
01032,"State Senate District 32 (2016), Alabama",1249.0,1155.0,21.0,21.0,32.0,20.0,01,032
01033,"State Senate District 33 (2016), Alabama",921.0,769.0,48.0,57.0,23.0,24.0,01,033
01034,"State Senate District 34 (2016), Alabama",1930.0,1329.0,299.0,26.0,131.0,145.0,01,034
01035,"State Senate District 35 (2016), Alabama",5174.0,4858.0,229.0,13.0,0.0,74.0,01,035
0200H,"State Senate District H (2016), Alaska",3712.0,3125.0,296.0,11.0,214.0,66.0,02,00H
0200I,"State Senate District I (2016), Alaska",4508.0,3847.0,433.0,35.0,94.0,99.0,02,00I
0200J,"State Senate District J (2016), Alaska",3067.0,2304.0,643.0,34.0,42.0,44.0,02,00J
0200K,"State Senate District K (2016), Alaska",3841.0,3272.0,397.0,0.0,55.0,117.0,02,00K
0200L,"State Senate District L (2016), Alaska",4584.0,3648.0,568.0,14.0,107.0,247.0,02,00L
0200M,"State Senate District M (2016), Alaska",4122.0,3738.0,195.0,12.0,82.0,95.0,02,00M
0200N,"State Senate District N (2016), Alaska",2066.0,1661.0,359.0,19.0,27.0,0.0,02,00N
0200O,"State Senate District O (2016), Alaska",632.0,497.0,46.0,0.0,6.0,83.0,02,00O
0200P,"State Senate District P (2016), Alaska",3305.0,2879.0,226.0,117.0,25.0,58.0,02,00P
0200Q,"State Senate District Q (2016), Alaska",2523.0,1875.0,286.0,27.0,229.0,106.0,02,00Q
0200R,"State Senate District R (2016), Alaska",2139.0,1809.0,170.0,34.0,54.0,72.0,02,00R
0200S,"State Senate District S (2016), Alaska",3371.0,2726.0,241.0,77.0,141.0,186.0,02,00S
0200T,"State Senate District T (2016), Alaska",822.0,700.0,43.0,13.0,60.0,6.0,02,00T
0200A,"State Senate District A (2016), Alaska",1617.0,1003.0,197.0,6.0,172.0,239.0,02,00A
0200B,"State Senate District B (2016), Alaska",478.0,381.0,1.0,39.0,0.0,57.0,02,00B
0200C,"State Senate District C (2016), Alaska",1167.0,825.0,172.0,18.0,109.0,43.0,02,00C
0200D,"State Senate District D (2016), Alaska",640.0,562.0,0.0,61.0,7.0,10.0,02,00D
0200E,"State Senate District E (2016), Alaska",579.0,403.0,34.0,84.0,14.0,44.0,02,00E
0200F,"State Senate District F (2016), Alaska",450.0,395.0,22.0,23.0,8.0,2.0,02,00F
0200G,"State Senate District G (2016), Alaska",1432.0,866.0,307.0,105.0,73.0,81.0,02,00G
04001,"State Senate District 1 (2016), Arizona",3400.0,2731.0,297.0,111.0,210.0,51.0,04,001
04002,"State Senate District 2 (2016), Arizona",2515.0,2236.0,78.0,80.0,92.0,29.0,04,002
04003,"State Senate District 3 (2016), Arizona",5634.0,3600.0,1025.0,251.0,313.0,445.0,04,003
04004,"State Senate District 4 (2016), Arizona",2592.0,2056.0,149.0,0.0,326.0,61.0,04,004
04005,"State Senate District 5 (2016), Arizona",2656.0,2171.0,102.0,47.0,278.0,58.0,04,005
04006,"State Senate District 6 (2016), Arizona",2966.0,1845.0,452.0,201.0,290.0,178.0,04,006
04007,"State Senate District 7 (2016), Arizona",1144.0,1025.0,19.0,31.0,25.0,44.0,04,007
04008,"State Senate District 8 (2016), Arizona",3400.0,2416.0,211.0,569.0,84.0,120.0,04,008
04009,"State Senate District 9 (2016), Arizona",8053.0,6085.0,1109.0,100.0,457.0,302.0,04,009
04010,"State Senate District 10 (2016), Arizona",7288.0,5899.0,986.0,56.0,147.0,200.0,04,010
04011,"State Senate District 11 (2016), Arizona",6204.0,5172.0,302.0,324.0,115.0,291.0,04,011
04012,"State Senate District 12 (2016), Arizona",12834.0,11074.0,1169.0,7.0,184.0,400.0,04,012
04013,"State Senate District 13 (2016), Arizona",6492.0,5468.0,493.0,109.0,215.0,207.0,04,013
04014,"State Senate District 14 (2016), Arizona",3495.0,2740.0,237.0,109.0,293.0,116.0,04,014
04015,"State Senate District 15 (2016), Arizona",16819.0,12950.0,1558.0,27.0,980.0,1304.0,04,015
04016,"State Senate District 16 (2016), Arizona",4230.0,3195.0,473.0,167.0,148.0,247.0,04,016
04017,"State Senate District 17 (2016), Arizona",19626.0,16100.0,1972.0,80.0,897.0,577.0,04,017
04018,"State Senate District 18 (2016), Arizona",15713.0,12394.0,1803.0,30.0,841.0,645.0,04,018
04019,"State Senate District 19 (2016), Arizona",5656.0,4623.0,679.0,83.0,167.0,104.0,04,019
04020,"State Senate District 20 (2016), Arizona",8567.0,6955.0,770.0,50.0,450.0,342.0,04,020
04021,"State Senate District 21 (2016), Arizona",5108.0,4531.0,273.0,31.0,231.0,42.0,04,021
04022,"State Senate District 22 (2016), Arizona",8608.0,7153.0,812.0,34.0,392.0,217.0,04,022
04023,"State Senate District 23 (2016), Arizona",9838.0,7635.0,1049.0,101.0,796.0,257.0,04,023
04024,"State Senate District 24 (2016), Arizona",5044.0,3661.0,780.0,114.0,334.0,155.0,04,024
04025,"State Senate District 25 (2016), Arizona",4017.0,3106.0,586.0,0.0,162.0,163.0,04,025
04026,"State Senate District 26 (2016), Arizona",11331.0,6290.0,2683.0,48.0,766.0,1544.0,04,026
04027,"State Senate District 27 (2016), Arizona",6562.0,5643.0,682.0,79.0,64.0,94.0,04,027
04028,"State Senate District 28 (2016), Arizona",7319.0,6137.0,704.0,40.0,189.0,249.0,04,028
04029,"State Senate District 29 (2016), Arizona",5476.0,4597.0,678.0,21.0,100.0,80.0,04,029
04030,"State Senate District 30 (2016), Arizona",8738.0,7712.0,691.0,27.0,198.0,110.0,04,030
05013,"State Senate District 13 (2016), Arkansas",417.0,268.0,24.0,69.0,56.0,0.0,05,013
05014,"State Senate District 14 (2016), Arkansas",247.0,189.0,29.0,5.0,24.0,0.0,05,014
05015,"State Senate District 15 (2016), Arkansas",670.0,609.0,5.0,56.0,0.0,0.0,05,015
05016,"State Senate District 16 (2016), Arkansas",693.0,577.0,7.0,12.0,48.0,49.0,05,016
05017,"State Senate District 17 (2016), Arkansas",328.0,282.0,0.0,19.0,0.0,27.0,05,017
05018,"State Senate District 18 (2016), Arkansas",434.0,424.0,0.0,10.0,0.0,0.0,05,018
05019,"State Senate District 19 (2016), Arkansas",358.0,225.0,32.0,30.0,51.0,20.0,05,019
05020,"State Senate District 20 (2016), Arkansas",135.0,123.0,0.0,0.0,0.0,12.0,05,020
05021,"State Senate District 21 (2016), Arkansas",1173.0,741.0,199.0,2.0,10.0,221.0,05,021
05022,"State Senate District 22 (2016), Arkansas",260.0,192.0,45.0,7.0,16.0,0.0,05,022
05023,"State Senate District 23 (2016), Arkansas",192.0,167.0,2.0,23.0,0.0,0.0,05,023
05024,"State Senate District 24 (2016), Arkansas",449.0,417.0,0.0,11.0,0.0,21.0,05,024
05025,"State Senate District 25 (2016), Arkansas",435.0,390.0,21.0,17.0,7.0,0.0,05,025
05026,"State Senate District 26 (2016), Arkansas",94.0,81.0,4.0,0.0,9.0,0.0,05,026
05027,"State Senate District 27 (2016), Arkansas",361.0,221.0,21.0,85.0,18.0,16.0,05,027
05028,"State Senate District 28 (2016), Arkansas",458.0,270.0,58.0,29.0,27.0,74.0,05,028
05029,"State Senate District 29 (2016), Arkansas",656.0,521.0,114.0,21.0,0.0,0.0,05,029
05030,"State Senate District 30 (2016), Arkansas",634.0,542.0,46.0,0.0,46.0,0.0,05,030
05031,"State Senate District 31 (2016), Arkansas",1185.0,1083.0,52.0,8.0,21.0,21.0,05,031
05032,"State Senate District 32 (2016), Arkansas",3964.0,3248.0,405.0,94.0,153.0,64.0,05,032
05033,"State Senate District 33 (2016), Arkansas",1892.0,1603.0,32.0,89.0,159.0,9.0,05,033
05034,"State Senate District 34 (2016), Arkansas",1134.0,1050.0,22.0,19.0,19.0,24.0,05,034
05035,"State Senate District 35 (2016), Arkansas",1475.0,1003.0,214.0,105.0,75.0,78.0,05,035
05001,"State Senate District 1 (2016), Arkansas",6621.0,4632.0,680.0,131.0,569.0,609.0,05,001
05002,"State Senate District 2 (2016), Arkansas",1684.0,1495.0,105.0,33.0,30.0,21.0,05,002
05003,"State Senate District 3 (2016), Arkansas",1390.0,1137.0,103.0,11.0,0.0,139.0,05,003
05004,"State Senate District 4 (2016), Arkansas",2752.0,2202.0,137.0,59.0,180.0,174.0,05,004
05005,"State Senate District 5 (2016), Arkansas",473.0,415.0,5.0,0.0,0.0,53.0,05,005
05006,"State Senate District 6 (2016), Arkansas",1101.0,998.0,20.0,0.0,0.0,83.0,05,006
05007,"State Senate District 7 (2016), Arkansas",1984.0,1830.0,114.0,6.0,34.0,0.0,05,007
05008,"State Senate District 8 (2016), Arkansas",3397.0,2430.0,500.0,179.0,188.0,100.0,05,008
05009,"State Senate District 9 (2016), Arkansas",3475.0,3156.0,154.0,155.0,0.0,10.0,05,009
05010,"State Senate District 10 (2016), Arkansas",398.0,337.0,0.0,0.0,58.0,3.0,05,010
