geoid,name,universe,owner_occupied,renter_occupied,congressional district,state
0101,"Congressional District 1 (115th Congress), Alabama",3159.0,2072.0,1087.0,01,01
0102,"Congressional District 2 (115th Congress), Alabama",2496.0,975.0,1521.0,02,01
0103,"Congressional District 3 (115th Congress), Alabama",4052.0,1986.0,2066.0,03,01
0104,"Congressional District 4 (115th Congress), Alabama",1163.0,787.0,376.0,04,01
0105,"Congressional District 5 (115th Congress), Alabama",3900.0,2257.0,1643.0,05,01
0106,"Congressional District 6 (115th Congress), Alabama",3817.0,2231.0,1586.0,06,01
0107,"Congressional District 7 (115th Congress), Alabama",1785.0,658.0,1127.0,07,01
0200,"Congressional District (at Large) (115th Congress), Alaska",11143.0,6248.0,4895.0,00,02
0401,"Congressional District 1 (115th Congress), Arizona",3479.0,2234.0,1245.0,01,04
0402,"Congressional District 2 (115th Congress), Arizona",8240.0,4558.0,3682.0,02,04
0403,"Congressional District 3 (115th Congress), Arizona",4328.0,2323.0,2005.0,03,04
0404,"Congressional District 4 (115th Congress), Arizona",2951.0,2217.0,734.0,04,04
0405,"Congressional District 5 (115th Congress), Arizona",10545.0,8710.0,1835.0,05,04
0406,"Congressional District 6 (115th Congress), Arizona",12102.0,6364.0,5738.0,06,04
0407,"Congressional District 7 (115th Congress), Arizona",5986.0,3465.0,2521.0,07,04
0408,"Congressional District 8 (115th Congress), Arizona",8426.0,6134.0,2292.0,08,04
0634,"Congressional District 34 (115th Congress), California",59306.0,13331.0,45975.0,34,06
0501,"Congressional District 1 (115th Congress), Arkansas",1042.0,586.0,456.0,01,05
0502,"Congressional District 2 (115th Congress), Arkansas",3691.0,2053.0,1638.0,02,05
0503,"Congressional District 3 (115th Congress), Arkansas",7189.0,3384.0,3805.0,03,05
0504,"Congressional District 4 (115th Congress), Arkansas",1048.0,533.0,515.0,04,05
0632,"Congressional District 32 (115th Congress), California",37276.0,25619.0,11657.0,32,06
0633,"Congressional District 33 (115th Congress), California",36738.0,19277.0,17461.0,33,06
0409,"Congressional District 9 (115th Congress), Arizona",14118.0,6327.0,7791.0,09,04
0635,"Congressional District 35 (115th Congress), California",14887.0,10125.0,4762.0,35,06
0636,"Congressional District 36 (115th Congress), California",7077.0,4721.0,2356.0,36,06
0637,"Congressional District 37 (115th Congress), California",30591.0,10735.0,19856.0,37,06
0638,"Congressional District 38 (115th Congress), California",33667.0,22710.0,10957.0,38,06
0639,"Congressional District 39 (115th Congress), California",68120.0,49527.0,18593.0,39,06
0640,"Congressional District 40 (115th Congress), California",5438.0,3260.0,2178.0,40,06
0641,"Congressional District 41 (115th Congress), California",10693.0,6958.0,3735.0,41,06
0642,"Congressional District 42 (115th Congress), California",19927.0,15730.0,4197.0,42,06
0643,"Congressional District 43 (115th Congress), California",33548.0,19041.0,14507.0,43,06
0644,"Congressional District 44 (115th Congress), California",11702.0,7159.0,4543.0,44,06
0645,"Congressional District 45 (115th Congress), California",60722.0,39077.0,21645.0,45,06
0646,"Congressional District 46 (115th Congress), California",27845.0,13948.0,13897.0,46,06
0647,"Congressional District 47 (115th Congress), California",48167.0,23272.0,24895.0,47,06
0648,"Congressional District 48 (115th Congress), California",41321.0,25829.0,15492.0,48,06
0649,"Congressional District 49 (115th Congress), California",15802.0,11066.0,4736.0,49,06
0650,"Congressional District 50 (115th Congress), California",11777.0,8177.0,3600.0,50,06
0651,"Congressional District 51 (115th Congress), California",16326.0,7538.0,8788.0,51,06
0652,"Congressional District 52 (115th Congress), California",48263.0,26606.0,21657.0,52,06
0653,"Congressional District 53 (115th Congress), California",30068.0,17417.0,12651.0,53,06
0604,"Congressional District 4 (115th Congress), California",10409.0,8093.0,2316.0,04,06
0601,"Congressional District 1 (115th Congress), California",5268.0,2553.0,2715.0,01,06
0602,"Congressional District 2 (115th Congress), California",9047.0,5558.0,3489.0,02,06
0603,"Congressional District 3 (115th Congress), California",22741.0,12966.0,9775.0,03,06
0605,"Congressional District 5 (115th Congress), California",23545.0,16321.0,7224.0,05,06
0606,"Congressional District 6 (115th Congress), California",36767.0,19414.0,17353.0,06,06
0611,"Congressional District 11 (115th Congress), California",34711.0,23815.0,10896.0,11,06
0608,"Congressional District 8 (115th Congress), California",7275.0,4835.0,2440.0,08,06
0609,"Congressional District 9 (115th Congress), California",28728.0,18040.0,10688.0,09,06
0610,"Congressional District 10 (115th Congress), California",14210.0,9355.0,4855.0,10,06
0612,"Congressional District 12 (115th Congress), California",92484.0,41005.0,51479.0,12,06
0613,"Congressional District 13 (115th Congress), California",54299.0,25190.0,29109.0,13,06
0614,"Congressional District 14 (115th Congress), California",77127.0,50821.0,26306.0,14,06
0615,"Congressional District 15 (115th Congress), California",72799.0,52721.0,20078.0,15,06
0616,"Congressional District 16 (115th Congress), California",15180.0,6884.0,8296.0,16,06
0617,"Congressional District 17 (115th Congress), California",130213.0,72640.0,57573.0,17,06
0618,"Congressional District 18 (115th Congress), California",56737.0,36132.0,20605.0,18,06
0619,"Congressional District 19 (115th Congress), California",60311.0,39334.0,20977.0,19,06
0620,"Congressional District 20 (115th Congress), California",11740.0,6903.0,4837.0,20,06
0621,"Congressional District 21 (115th Congress), California",6181.0,3791.0,2390.0,21,06
0622,"Congressional District 22 (115th Congress), California",16834.0,10712.0,6122.0,22,06
0623,"Congressional District 23 (115th Congress), California",10484.0,7118.0,3366.0,23,06
0624,"Congressional District 24 (115th Congress), California",9560.0,4869.0,4691.0,24,06
0625,"Congressional District 25 (115th Congress), California",17375.0,13613.0,3762.0,25,06
0626,"Congressional District 26 (115th Congress), California",15536.0,11140.0,4396.0,26,06
0627,"Congressional District 27 (115th Congress), California",88701.0,51366.0,37335.0,27,06
0628,"Congressional District 28 (115th Congress), California",35383.0,14841.0,20542.0,28,06
0629,"Congressional District 29 (115th Congress), California",17207.0,9536.0,7671.0,29,06
0630,"Congressional District 30 (115th Congress), California",31142.0,17846.0,13296.0,30,06
0631,"Congressional District 31 (115th Congress), California",17104.0,10548.0,6556.0,31,06
0607,"Congressional District 7 (115th Congress), California",33399.0,23409.0,9990.0,07,06
0806,"Congressional District 6 (115th Congress), Colorado",14190.0,9074.0,5116.0,06,08
0807,"Congressional District 7 (115th Congress), Colorado",7787.0,5229.0,2558.0,07,08
0903,"Congressional District 3 (115th Congress), Connecticut",10215.0,5447.0,4768.0,03,09
0801,"Congressional District 1 (115th Congress), Colorado",9833.0,4729.0,5104.0,01,08
0802,"Congressional District 2 (115th Congress), Colorado",7831.0,4877.0,2954.0,02,08
0804,"Congressional District 4 (115th Congress), Colorado",4823.0,3062.0,1761.0,04,08
0803,"Congressional District 3 (115th Congress), Colorado",2048.0,1053.0,995.0,03,08
0805,"Congressional District 5 (115th Congress), Colorado",5773.0,3727.0,2046.0,05,08
0901,"Congressional District 1 (115th Congress), Connecticut",12265.0,6131.0,6134.0,01,09
0902,"Congressional District 2 (115th Congress), Connecticut",7518.0,4290.0,3228.0,02,09
0904,"Congressional District 4 (115th Congress), Connecticut",12367.0,7707.0,4660.0,04,09
0905,"Congressional District 5 (115th Congress), Connecticut",8185.0,5387.0,2798.0,05,09
1198,"Delegate District (at Large) (115th Congress), District of Columbia",10817.0,4078.0,6739.0,98,11
1207,"Congressional District 7 (115th Congress), Florida",10222.0,6568.0,3654.0,07,12
1000,"Congressional District (at Large) (115th Congress), Delaware",12178.0,7372.0,4806.0,00,10
1201,"Congressional District 1 (115th Congress), Florida",5881.0,3804.0,2077.0,01,12
1202,"Congressional District 2 (115th Congress), Florida",3634.0,2547.0,1087.0,02,12
1203,"Congressional District 3 (115th Congress), Florida",7496.0,4268.0,3228.0,03,12
1204,"Congressional District 4 (115th Congress), Florida",11191.0,7697.0,3494.0,04,12
1205,"Congressional District 5 (115th Congress), Florida",5890.0,3625.0,2265.0,05,12
1206,"Congressional District 6 (115th Congress), Florida",4137.0,3109.0,1028.0,06,12
1208,"Congressional District 8 (115th Congress), Florida",4789.0,3516.0,1273.0,08,12
1209,"Congressional District 9 (115th Congress), Florida",6858.0,5289.0,1569.0,09,12
1210,"Congressional District 10 (115th Congress), Florida",12096.0,8603.0,3493.0,10,12
1211,"Congressional District 11 (115th Congress), Florida",3019.0,2449.0,570.0,11,12
1212,"Congressional District 12 (115th Congress), Florida",5471.0,4254.0,1217.0,12,12
1213,"Congressional District 13 (115th Congress), Florida",7506.0,4977.0,2529.0,13,12
1214,"Congressional District 14 (115th Congress), Florida",11373.0,6641.0,4732.0,14,12
