geoid,name,universe,owner_occupied,renter_occupied,public use microdata area,state
00200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",10914.0,7770.0,3144.0,00200,01
00400,"DeKalb & Jackson Counties PUMA, Alabama",923.0,460.0,463.0,00400,01
02500,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA; Alabama",16589.0,7451.0,9138.0,02500,01
01500,"Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA, Alabama",7278.0,5148.0,2130.0,01500,01
01700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA; Alabama",28046.0,16345.0,11701.0,01700,01
01000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",12854.0,7760.0,5094.0,01000,01
00500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",1043.0,436.0,607.0,00500,01
01400,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA; Alabama",3523.0,1861.0,1662.0,01400,01
01800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA; Alabama",12363.0,6793.0,5570.0,01800,01
02200,"Southwest Alabama PUMA, Alabama",19950.0,12063.0,7887.0,02200,01
00800,"St. Clair & Blount Counties PUMA, Alabama",2966.0,1745.0,1221.0,00800,01
00100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",8191.0,4126.0,4065.0,00100,01
02400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA; Alabama",27526.0,14675.0,12851.0,02400,01
02300,"Coffee, Covington, Butler & Crenshaw Counties PUMA; Alabama",9508.0,4964.0,4544.0,02300,01
02703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA; Alabama",10976.0,7108.0,3868.0,02703,01
02701,"Mobile City (East) PUMA, Alabama",25513.0,11947.0,13566.0,02701,01
02702,"Mobile City (West) PUMA, Alabama",15587.0,7073.0,8514.0,02702,01
00700,"Cullman & Winston Counties PUMA, Alabama",281.0,156.0,125.0,00700,01
01900,"Lee County--Auburn City PUMA, Alabama",14284.0,6563.0,7721.0,01900,01
02100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA; Alabama",17940.0,11323.0,6617.0,02100,01
02000,"Montgomery City & Pike Road Town (North) PUMA, Alabama",44246.0,19528.0,24718.0,02000,01
00600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",7258.0,3623.0,3635.0,00600,01
01100,"Calhoun County PUMA, Alabama",9641.0,4572.0,5069.0,01100,01
00900,"Etowah County PUMA, Alabama",6052.0,3138.0,2914.0,00900,01
01600,"Tuscaloosa & Northport (Southeast) Cities PUMA, Alabama",17201.0,6586.0,10615.0,01600,01
01200,"Shelby County PUMA, Alabama",8728.0,5513.0,3215.0,01200,01
00301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",18727.0,8894.0,9833.0,00301,01
00302,"Huntsville City (Central & South) PUMA, Alabama",7374.0,1182.0,6192.0,00302,01
02600,"Baldwin County PUMA, Alabama",6231.0,2893.0,3338.0,02600,01
01302,"Birmingham City (East) PUMA, Alabama",23396.0,9098.0,14298.0,01302,01
01301,"Birmingham City (West) PUMA, Alabama",36815.0,18928.0,17887.0,01301,01
01303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",11015.0,2276.0,8739.0,01303,01
01304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama",21880.0,12638.0,9242.0,01304,01
01305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA; Alabama",16695.0,10511.0,6184.0,01305,01
00102,"Anchorage Municipality (South) PUMA, Alaska",2257.0,988.0,1269.0,00102,02
00400,"Subsistence Alaska PUMA, Alaska",201.0,30.0,171.0,00400,02
00200,"Matanuska-Susitna & Kenai Peninsula Boroughs PUMA, Alaska",365.0,262.0,103.0,00200,02
00300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA; Alaska",1674.0,387.0,1287.0,00300,02
00101,"Anchorage Municipality (North) PUMA, Alaska",3360.0,931.0,2429.0,00101,02
00134,"Maricopa County (West) & Gila River Indian Community (Northwest) PUMA, Arizona",1774.0,890.0,884.0,00134,04
00202,"Tucson (West) & Marana Cities PUMA, Arizona",1080.0,573.0,507.0,00202,04
00800,"Gila, Graham, Greenlee & Pinal (East) Counties PUMA; Arizona",358.0,38.0,320.0,00800,04
