geoid,name,universe,owner_occupied,renter_occupied,congressional district,state
0101,"Congressional District 1 (115th Congress), Alabama",5998.0,2570.0,3428.0,01,01
0102,"Congressional District 2 (115th Congress), Alabama",6161.0,2711.0,3450.0,02,01
0103,"Congressional District 3 (115th Congress), Alabama",6115.0,2854.0,3261.0,03,01
0104,"Congressional District 4 (115th Congress), Alabama",8964.0,4612.0,4352.0,04,01
0105,"Congressional District 5 (115th Congress), Alabama",9518.0,4585.0,4933.0,05,01
0106,"Congressional District 6 (115th Congress), Alabama",8362.0,4195.0,4167.0,06,01
0107,"Congressional District 7 (115th Congress), Alabama",4659.0,1951.0,2708.0,07,01
0200,"Congressional District (at Large) (115th Congress), Alaska",13461.0,5896.0,7565.0,00,02
0401,"Congressional District 1 (115th Congress), Arizona",42638.0,25173.0,17465.0,01,04
0402,"Congressional District 2 (115th Congress), Arizona",62891.0,32308.0,30583.0,02,04
0403,"Congressional District 3 (115th Congress), Arizona",130704.0,78373.0,52331.0,03,04
0404,"Congressional District 4 (115th Congress), Arizona",36493.0,22023.0,14470.0,04,04
0405,"Congressional District 5 (115th Congress), Arizona",36019.0,20846.0,15173.0,05,04
0406,"Congressional District 6 (115th Congress), Arizona",35724.0,15998.0,19726.0,06,04
0407,"Congressional District 7 (115th Congress), Arizona",122704.0,53194.0,69510.0,07,04
0408,"Congressional District 8 (115th Congress), Arizona",36222.0,21923.0,14299.0,08,04
0634,"Congressional District 34 (115th Congress), California",127956.0,25050.0,102906.0,34,06
0501,"Congressional District 1 (115th Congress), Arkansas",5842.0,2580.0,3262.0,01,05
0502,"Congressional District 2 (115th Congress), Arkansas",10156.0,4560.0,5596.0,02,05
0503,"Congressional District 3 (115th Congress), Arkansas",28402.0,13940.0,14462.0,03,05
0504,"Congressional District 4 (115th Congress), Arkansas",10539.0,5992.0,4547.0,04,05
0632,"Congressional District 32 (115th Congress), California",103337.0,54488.0,48849.0,32,06
0633,"Congressional District 33 (115th Congress), California",28988.0,9905.0,19083.0,33,06
0409,"Congressional District 9 (115th Congress), Arizona",60290.0,20161.0,40129.0,09,04
0635,"Congressional District 35 (115th Congress), California",117230.0,63788.0,53442.0,35,06
0636,"Congressional District 36 (115th Congress), California",94211.0,50788.0,43423.0,36,06
0637,"Congressional District 37 (115th Congress), California",75078.0,22086.0,52992.0,37,06
0638,"Congressional District 38 (115th Congress), California",113720.0,63806.0,49914.0,38,06
0639,"Congressional District 39 (115th Congress), California",59616.0,31071.0,28545.0,39,06
0640,"Congressional District 40 (115th Congress), California",146905.0,46032.0,100873.0,40,06
0641,"Congressional District 41 (115th Congress), California",94363.0,53033.0,41330.0,41,06
0642,"Congressional District 42 (115th Congress), California",66155.0,41898.0,24257.0,42,06
0643,"Congressional District 43 (115th Congress), California",84454.0,29483.0,54971.0,43,06
0644,"Congressional District 44 (115th Congress), California",113076.0,49261.0,63815.0,44,06
0645,"Congressional District 45 (115th Congress), California",35976.0,16628.0,19348.0,45,06
0646,"Congressional District 46 (115th Congress), California",101256.0,34534.0,66722.0,46,06
0647,"Congressional District 47 (115th Congress), California",64724.0,20238.0,44486.0,47,06
0648,"Congressional District 48 (115th Congress), California",39426.0,14553.0,24873.0,48,06
0649,"Congressional District 49 (115th Congress), California",45781.0,19017.0,26764.0,49,06
0650,"Congressional District 50 (115th Congress), California",55139.0,23787.0,31352.0,50,06
0651,"Congressional District 51 (115th Congress), California",125034.0,49136.0,75898.0,51,06
0652,"Congressional District 52 (115th Congress), California",30196.0,11250.0,18946.0,52,06
0653,"Congressional District 53 (115th Congress), California",69120.0,29783.0,39337.0,53,06
0604,"Congressional District 4 (115th Congress), California",24249.0,13767.0,10482.0,04,06
0601,"Congressional District 1 (115th Congress), California",24559.0,11659.0,12900.0,01,06
0602,"Congressional District 2 (115th Congress), California",31231.0,11431.0,19800.0,02,06
0603,"Congressional District 3 (115th Congress), California",55709.0,25962.0,29747.0,03,06
0605,"Congressional District 5 (115th Congress), California",50367.0,22090.0,28277.0,05,06
0606,"Congressional District 6 (115th Congress), California",56958.0,22293.0,34665.0,06,06
0611,"Congressional District 11 (115th Congress), California",50863.0,22510.0,28353.0,11,06
0608,"Congressional District 8 (115th Congress), California",68807.0,37433.0,31374.0,08,06
0609,"Congressional District 9 (115th Congress), California",71217.0,33402.0,37815.0,09,06
0610,"Congressional District 10 (115th Congress), California",77747.0,37807.0,39940.0,10,06
0612,"Congressional District 12 (115th Congress), California",37062.0,8396.0,28666.0,12,06
0613,"Congressional District 13 (115th Congress), California",42724.0,13414.0,29310.0,13,06
0614,"Congressional District 14 (115th Congress), California",45504.0,17797.0,27707.0,14,06
0615,"Congressional District 15 (115th Congress), California",43333.0,19771.0,23562.0,15,06
0616,"Congressional District 16 (115th Congress), California",107911.0,45825.0,62086.0,16,06
0617,"Congressional District 17 (115th Congress), California",30495.0,13045.0,17450.0,17,06
0618,"Congressional District 18 (115th Congress), California",32197.0,10181.0,22016.0,18,06
0619,"Congressional District 19 (115th Congress), California",70856.0,31271.0,39585.0,19,06
0620,"Congressional District 20 (115th Congress), California",86603.0,34708.0,51895.0,20,06
0621,"Congressional District 21 (115th Congress), California",124641.0,56568.0,68073.0,21,06
0622,"Congressional District 22 (115th Congress), California",91983.0,44881.0,47102.0,22,06
0623,"Congressional District 23 (115th Congress), California",70787.0,38172.0,32615.0,23,06
0624,"Congressional District 24 (115th Congress), California",64375.0,23774.0,40601.0,24,06
0625,"Congressional District 25 (115th Congress), California",64455.0,38321.0,26134.0,25,06
0626,"Congressional District 26 (115th Congress), California",73552.0,35762.0,37790.0,26,06
0627,"Congressional District 27 (115th Congress), California",55198.0,22709.0,32489.0,27,06
0628,"Congressional District 28 (115th Congress), California",59146.0,12165.0,46981.0,28,06
0629,"Congressional District 29 (115th Congress), California",118089.0,45542.0,72547.0,29,06
0630,"Congressional District 30 (115th Congress), California",57790.0,20922.0,36868.0,30,06
0631,"Congressional District 31 (115th Congress), California",93709.0,47764.0,45945.0,31,06
0607,"Congressional District 7 (115th Congress), California",33551.0,17986.0,15565.0,07,06
0806,"Congressional District 6 (115th Congress), Colorado",40381.0,18210.0,22171.0,06,08
0807,"Congressional District 7 (115th Congress), Colorado",63487.0,31061.0,32426.0,07,08
0903,"Congressional District 3 (115th Congress), Connecticut",31604.0,11496.0,20108.0,03,09
0801,"Congressional District 1 (115th Congress), Colorado",66071.0,27394.0,38677.0,01,08
0802,"Congressional District 2 (115th Congress), Colorado",22852.0,11977.0,10875.0,02,08
0804,"Congressional District 4 (115th Congress), Colorado",47057.0,25672.0,21385.0,04,08
0803,"Congressional District 3 (115th Congress), Colorado",57221.0,30713.0,26508.0,03,08
0805,"Congressional District 5 (115th Congress), Colorado",33112.0,15940.0,17172.0,05,08
0901,"Congressional District 1 (115th Congress), Connecticut",37415.0,12287.0,25128.0,01,09
0902,"Congressional District 2 (115th Congress), Connecticut",16325.0,5814.0,10511.0,02,09
0904,"Congressional District 4 (115th Congress), Connecticut",40384.0,14114.0,26270.0,04,09
0905,"Congressional District 5 (115th Congress), Connecticut",38732.0,11939.0,26793.0,05,09
1198,"Delegate District (at Large) (115th Congress), District of Columbia",23729.0,7630.0,16099.0,98,11
1207,"Congressional District 7 (115th Congress), Florida",56339.0,25226.0,31113.0,07,12
1000,"Congressional District (at Large) (115th Congress), Delaware",22436.0,10622.0,11814.0,00,10
1201,"Congressional District 1 (115th Congress), Florida",13428.0,6289.0,7139.0,01,12
1202,"Congressional District 2 (115th Congress), Florida",11573.0,5698.0,5875.0,02,12
1203,"Congressional District 3 (115th Congress), Florida",19166.0,8717.0,10449.0,03,12
1204,"Congressional District 4 (115th Congress), Florida",18385.0,9222.0,9163.0,04,12
1205,"Congressional District 5 (115th Congress), Florida",16062.0,6503.0,9559.0,05,12
1206,"Congressional District 6 (115th Congress), Florida",24955.0,13930.0,11025.0,06,12
1208,"Congressional District 8 (115th Congress), Florida",21038.0,12638.0,8400.0,08,12
1209,"Congressional District 9 (115th Congress), Florida",86635.0,44379.0,42256.0,09,12
1210,"Congressional District 10 (115th Congress), Florida",62524.0,26898.0,35626.0,10,12
1211,"Congressional District 11 (115th Congress), Florida",22122.0,15224.0,6898.0,11,12
1212,"Congressional District 12 (115th Congress), Florida",26936.0,16109.0,10827.0,12,12
1213,"Congressional District 13 (115th Congress), Florida",21208.0,9045.0,12163.0,13,12
1214,"Congressional District 14 (115th Congress), Florida",75516.0,34740.0,40776.0,14,12
1215,"Congressional District 15 (115th Congress), Florida",45511.0,21495.0,24016.0,15,12
1216,"Congressional District 16 (115th Congress), Florida",33306.0,17372.0,15934.0,16,12
