geoid,name,universe,owner_occupied,renter_occupied,state
72,Puerto Rico,1209493.0,829295.0,380198.0,72
01,Alabama,49777.0,23478.0,26299.0,01
02,Alaska,13461.0,5896.0,7565.0,02
04,Arizona,563685.0,289999.0,273686.0,04
05,Arkansas,54939.0,27072.0,27867.0,05
06,California,3707409.0,1596943.0,2110466.0,06
08,Colorado,330181.0,160967.0,169214.0,08
09,Connecticut,164460.0,55650.0,108810.0,09
11,District of Columbia,23729.0,7630.0,16099.0,11
10,Delaware,22436.0,10622.0,11814.0,10
12,Florida,1489132.0,760096.0,729036.0,12
13,Georgia,238699.0,108465.0,130234.0,13
15,Hawaii,32913.0,12663.0,20250.0,15
16,Idaho,51003.0,26660.0,24343.0,16
17,Illinois,552916.0,288543.0,264373.0,17
18,Indiana,116177.0,61374.0,54803.0,18
19,Iowa,46623.0,23668.0,22955.0,19
20,Kansas,89960.0,46330.0,43630.0,20
21,Kentucky,38994.0,13849.0,25145.0,21
23,Maine,5928.0,2910.0,3018.0,23
22,Louisiana,68399.0,30920.0,37479.0,22
25,Massachusetts,227245.0,57705.0,169540.0,25
24,Maryland,140242.0,68223.0,72019.0,24
26,Michigan,129773.0,72845.0,56928.0,26
27,Minnesota,69096.0,30913.0,38183.0,27
28,Mississippi,21657.0,9936.0,11721.0,28
29,Missouri,66289.0,33045.0,33244.0,29
30,Montana,9921.0,4965.0,4956.0,30
31,Nebraska,51993.0,24540.0,27453.0,31
33,New Hampshire,12051.0,4580.0,7471.0,33
32,Nevada,217818.0,95858.0,121960.0,32
34,New Jersey,504177.0,181119.0,323058.0,34
35,New Mexico,320392.0,209868.0,110524.0,35
36,New York,1102903.0,276318.0,826585.0,36
37,North Carolina,233479.0,103446.0,130033.0,37
38,North Dakota,7455.0,2749.0,4706.0,38
39,Ohio,119047.0,52834.0,66213.0,39
40,Oklahoma,98201.0,50357.0,47844.0,40
41,Oregon,129029.0,52675.0,76354.0,41
42,Pennsylvania,244245.0,99192.0,145053.0,42
44,Rhode Island,45599.0,12645.0,32954.0,44
45,South Carolina,70209.0,32341.0,37868.0,45
46,South Dakota,7381.0,2995.0,4386.0,46
47,Tennessee,86360.0,34265.0,52095.0,47
48,Texas,2916268.0,1658282.0,1257986.0,48
49,Utah,99584.0,50267.0,49317.0,49
50,Vermont,3323.0,1601.0,1722.0,50
51,Virginia,191051.0,90324.0,100727.0,51
54,West Virginia,7280.0,3855.0,3425.0,54
53,Washington,226587.0,97176.0,129411.0,53
56,Wyoming,17088.0,9677.0,7411.0,56
55,Wisconsin,101584.0,40325.0,61259.0,55
