geoid,name,universe,built_2014_or_later,built_2010_to_2013,built_2000_to_2009,built_1990_to_1999,built_1980_to_1989,built_1970_to_1979,built_1960_to_1969,built_1950_to_1959,built_1940_to_1949,built_1929_or_earlier,metropolitan statistical area/micropolitan statistical area
10100,"Aberdeen, SD Micro Area",19789.0,305.0,982.0,2105.0,1981.0,1469.0,3130.0,2205.0,1880.0,1330.0,4402.0,10100
10140,"Aberdeen, WA Micro Area",35850.0,74.0,470.0,5224.0,4174.0,3780.0,6135.0,3342.0,2546.0,1588.0,8517.0,10140
10180,"Abilene, TX Metro Area",70907.0,645.0,2304.0,7429.0,6800.0,10321.0,10958.0,8185.0,12991.0,5312.0,5962.0,10180
10220,"Ada, OK Micro Area",16785.0,156.0,829.0,2290.0,1674.0,2342.0,3465.0,2008.0,1556.0,1108.0,1357.0,10220
10260,"Adjuntas, PR Micro Area",7705.0,72.0,26.0,996.0,1351.0,1597.0,1891.0,700.0,665.0,137.0,270.0,10260
10300,"Adrian, MI Micro Area",43690.0,163.0,289.0,4931.0,6516.0,2877.0,5915.0,3887.0,5431.0,3058.0,10623.0,10300
10380,"Aguadilla-Isabela, PR Metro Area",146064.0,73.0,1306.0,21287.0,23817.0,27245.0,33931.0,20893.0,10269.0,5008.0,2235.0,10380
10420,"Akron, OH Metro Area",314354.0,922.0,3347.0,29424.0,40303.0,26401.0,43832.0,40675.0,48997.0,21145.0,59308.0,10420
10460,"Alamogordo, NM Micro Area",31561.0,167.0,831.0,3750.0,5211.0,6156.0,6302.0,3750.0,3689.0,840.0,865.0,10460
10500,"Albany, GA Metro Area",66842.0,178.0,1273.0,9804.0,11607.0,10147.0,12445.0,8702.0,6436.0,2925.0,3325.0,10500
10540,"Albany, OR Metro Area",49688.0,276.0,842.0,6979.0,7462.0,3756.0,11142.0,5059.0,4575.0,4285.0,5312.0,10540
10580,"Albany-Schenectady-Troy, NY Metro Area",403044.0,2641.0,8504.0,34941.0,39429.0,45060.0,48800.0,36656.0,43941.0,23948.0,119124.0,10580
10620,"Albemarle, NC Micro Area",27495.0,69.0,783.0,3161.0,4553.0,3187.0,3661.0,3686.0,3732.0,1836.0,2827.0,10620
10660,"Albert Lea, MN Micro Area",14291.0,31.0,131.0,896.0,824.0,1053.0,1975.0,1641.0,2665.0,1133.0,3942.0,10660
10700,"Albertville, AL Micro Area",40590.0,83.0,889.0,4718.0,8291.0,6622.0,7935.0,5899.0,3368.0,1365.0,1420.0,10700
10740,"Albuquerque, NM Metro Area",385146.0,2804.0,7350.0,70973.0,70197.0,64592.0,69221.0,37158.0,35850.0,14820.0,12181.0,10740
10760,"Alexander City, AL Micro Area",22258.0,405.0,164.0,3324.0,4147.0,3904.0,3561.0,2274.0,1999.0,1124.0,1356.0,10760
10780,"Alexandria, LA Metro Area",66716.0,642.0,2280.0,8805.0,8464.0,9435.0,12498.0,8710.0,8417.0,4707.0,2758.0,10780
10820,"Alexandria, MN Micro Area",20769.0,186.0,820.0,4225.0,2883.0,2960.0,3153.0,1500.0,1425.0,778.0,2839.0,10820
10860,"Alice, TX Micro Area",16316.0,180.0,597.0,1992.0,1350.0,2486.0,3879.0,2453.0,1645.0,989.0,745.0,10860
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",347649.0,1709.0,4773.0,40509.0,36370.0,37493.0,44637.0,33560.0,40326.0,18752.0,89520.0,10900
10940,"Alma, MI Micro Area",16296.0,10.0,112.0,1292.0,2206.0,1357.0,2096.0,1811.0,1940.0,1410.0,4062.0,10940
10980,"Alpena, MI Micro Area",16031.0,21.0,74.0,1215.0,1406.0,1628.0,3209.0,2391.0,2319.0,1439.0,2329.0,10980
11020,"Altoona, PA Metro Area",56646.0,59.0,696.0,3653.0,4265.0,4233.0,8288.0,5292.0,7469.0,4059.0,18632.0,11020
11060,"Altus, OK Micro Area",12139.0,133.0,129.0,842.0,1180.0,1496.0,2754.0,1620.0,1910.0,916.0,1159.0,11060
11100,"Amarillo, TX Metro Area",107799.0,963.0,3963.0,13608.0,9941.0,13343.0,16511.0,17069.0,17302.0,7883.0,7216.0,11100
11140,"Americus, GA Micro Area",16084.0,0.0,251.0,2046.0,3308.0,3068.0,2658.0,1613.0,1152.0,586.0,1402.0,11140
11180,"Ames, IA Metro Area",38783.0,507.0,1323.0,6364.0,6771.0,3457.0,6648.0,4313.0,2731.0,1389.0,5280.0,11180
11220,"Amsterdam, NY Micro Area",23480.0,50.0,197.0,1114.0,1604.0,1606.0,1817.0,1305.0,2705.0,2137.0,10945.0,11220
11260,"Anchorage, AK Metro Area",157452.0,858.0,4188.0,27998.0,20424.0,40755.0,39271.0,13952.0,7573.0,1810.0,623.0,11260
11380,"Andrews, TX Micro Area",6164.0,101.0,363.0,428.0,792.0,1043.0,970.0,713.0,1530.0,174.0,50.0,11380
11420,"Angola, IN Micro Area",19779.0,154.0,390.0,2659.0,3783.0,2659.0,2318.0,1196.0,1257.0,1017.0,4346.0,11420
11460,"Ann Arbor, MI Metro Area",149651.0,1048.0,2188.0,20182.0,25898.0,16679.0,24469.0,18379.0,16312.0,6692.0,17804.0,11460
11500,"Anniston-Oxford-Jacksonville, AL Metro Area",53655.0,287.0,1035.0,6128.0,8270.0,8496.0,10031.0,6289.0,5590.0,4182.0,3347.0,11500
11540,"Appleton, WI Metro Area",96192.0,924.0,2766.0,14811.0,16449.0,11578.0,13594.0,8914.0,8436.0,4324.0,14396.0,11540
11580,"Arcadia, FL Micro Area",14999.0,88.0,419.0,3157.0,3539.0,3285.0,2066.0,1251.0,566.0,250.0,378.0,11580
11620,"Ardmore, OK Micro Area",21583.0,185.0,770.0,2912.0,2570.0,3148.0,3286.0,2029.0,3197.0,1802.0,1684.0,11620
11640,"Arecibo, PR Metro Area",82746.0,41.0,921.0,13691.0,14313.0,15652.0,17517.0,11254.0,5392.0,2240.0,1725.0,11640
11660,"Arkadelphia, AR Micro Area",10494.0,120.0,227.0,1177.0,1683.0,2289.0,1900.0,1037.0,885.0,379.0,797.0,11660
11680,"Arkansas City-Winfield, KS Micro Area",16115.0,24.0,84.0,1122.0,1222.0,1642.0,2258.0,1488.0,2398.0,1334.0,4543.0,11680
11700,"Asheville, NC Metro Area",221965.0,2235.0,6240.0,42666.0,40360.0,35054.0,28960.0,20455.0,16015.0,9344.0,20636.0,11700
11740,"Ashland, OH Micro Area",22235.0,39.0,370.0,2743.0,2903.0,1780.0,2949.0,2131.0,2499.0,1173.0,5648.0,11740
11780,"Ashtabula, OH Micro Area",46118.0,192.0,252.0,3974.0,4696.0,3261.0,6271.0,4356.0,6631.0,3289.0,13196.0,11780
11820,"Astoria, OR Micro Area",22174.0,239.0,299.0,2660.0,3374.0,1973.0,3319.0,1383.0,2082.0,1930.0,4915.0,11820
11860,"Atchison, KS Micro Area",6960.0,18.0,44.0,534.0,445.0,591.0,1067.0,586.0,490.0,254.0,2931.0,11860
11900,"Athens, OH Micro Area",26597.0,176.0,586.0,3296.0,4405.0,3396.0,3744.0,2528.0,1548.0,910.0,6008.0,11900
11940,"Athens, TN Micro Area",23388.0,109.0,596.0,2382.0,4952.0,3318.0,4913.0,2238.0,1802.0,1500.0,1578.0,11940
11980,"Athens, TX Micro Area",40655.0,630.0,1571.0,7244.0,6712.0,8542.0,8575.0,3883.0,1689.0,711.0,1098.0,11980
12380,"Austin, MN Micro Area",17058.0,38.0,157.0,1439.0,1036.0,1112.0,1720.0,1305.0,3946.0,1965.0,4340.0,12380
12220,"Auburn-Opelika, AL Metro Area",67087.0,1192.0,5260.0,16316.0,15926.0,9607.0,8574.0,4424.0,2988.0,1138.0,1662.0,12220
12260,"Augusta-Richmond County, GA-SC Metro Area",252852.0,4093.0,11350.0,42253.0,45364.0,44485.0,38058.0,26910.0,20516.0,8037.0,11786.0,12260
12300,"Augusta-Waterville, ME Micro Area",62225.0,227.0,1108.0,8027.0,6737.0,8367.0,9819.0,5550.0,4767.0,3460.0,14163.0,12300
12420,"Austin-Round Rock, TX Metro Area",786584.0,25850.0,52319.0,215713.0,152591.0,138205.0,98519.0,40726.0,28357.0,15521.0,18783.0,12420
12460,"Bainbridge, GA Micro Area",12200.0,178.0,253.0,1446.0,2887.0,1873.0,2186.0,1087.0,781.0,446.0,1063.0,12460
12540,"Bakersfield, CA Metro Area",293548.0,2525.0,6050.0,56451.0,42815.0,47020.0,48520.0,31508.0,30102.0,15389.0,13168.0,12540
12580,"Baltimore-Columbia-Towson, MD Metro Area",1151299.0,8636.0,24960.0,113071.0,159299.0,158410.0,151258.0,115662.0,153392.0,71572.0,195039.0,12580
12620,"Bangor, ME Metro Area",75217.0,504.0,1779.0,10091.0,8551.0,10594.0,11012.0,5973.0,6328.0,3667.0,16718.0,12620
12660,"Baraboo, WI Micro Area",30171.0,166.0,583.0,5416.0,6208.0,3141.0,4089.0,1861.0,1547.0,1068.0,6092.0,12660
12680,"Bardstown, KY Micro Area",18735.0,175.0,475.0,4096.0,4419.0,2293.0,2868.0,1302.0,1183.0,565.0,1359.0,12680
12700,"Barnstable Town, MA Metro Area",162629.0,605.0,1389.0,13082.0,16145.0,33085.0,31618.0,21756.0,18237.0,6558.0,20154.0,12700
12740,"Barre, VT Micro Area",30510.0,159.0,594.0,3013.0,2524.0,3682.0,5613.0,3093.0,1859.0,913.0,9060.0,12740
12780,"Bartlesville, OK Micro Area",23652.0,119.0,681.0,2088.0,1833.0,3339.0,4374.0,3608.0,3746.0,1341.0,2523.0,12780
12820,"Bastrop, LA Micro Area",12563.0,167.0,267.0,1131.0,1596.0,1977.0,2521.0,2167.0,1826.0,459.0,452.0,12820
12860,"Batavia, NY Micro Area",25712.0,78.0,160.0,1210.0,2547.0,2160.0,3416.0,2156.0,2534.0,1358.0,10093.0,12860
12900,"Batesville, AR Micro Area",16393.0,271.0,622.0,2807.0,2370.0,2905.0,3522.0,1485.0,871.0,627.0,913.0,12900
12940,"Baton Rouge, LA Metro Area",346909.0,5636.0,14849.0,75827.0,51529.0,52989.0,60516.0,37294.0,25338.0,10208.0,12723.0,12940
12980,"Battle Creek, MI Metro Area",60924.0,80.0,308.0,4255.0,6174.0,4435.0,8366.0,7256.0,10342.0,4332.0,15376.0,12980
12020,"Athens-Clarke County, GA Metro Area",84325.0,503.0,1905.0,16187.0,17401.0,14268.0,14631.0,8330.0,4964.0,1906.0,4230.0,12020
