B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
1512.0,728.0,5.0,0.0,0.0,27.0,9.0,31.0,8.0,13.0,305.0,49.0,106.0,78.0,68.0,26.0,1.0,2.0,784.0,0.0,0.0,0.0,20.0,11.0,12.0,24.0,7.0,279.0,76.0,73.0,93.0,136.0,46.0,7.0,0.0,"Census Tract 9526, Allen County, Kansas",001,20,952600
1542.0,749.0,5.0,0.0,0.0,56.0,10.0,42.0,56.0,15.0,366.0,26.0,90.0,34.0,42.0,3.0,0.0,4.0,793.0,0.0,0.0,0.0,8.0,25.0,49.0,8.0,6.0,283.0,76.0,204.0,56.0,51.0,27.0,0.0,0.0,"Census Tract 9527, Allen County, Kansas",001,20,952700
2293.0,1002.0,0.0,0.0,0.0,30.0,0.0,24.0,0.0,46.0,261.0,147.0,137.0,102.0,213.0,24.0,18.0,0.0,1291.0,0.0,0.0,0.0,65.0,24.0,15.0,9.0,7.0,397.0,125.0,238.0,211.0,115.0,61.0,24.0,0.0,"Census Tract 9528, Allen County, Kansas",001,20,952800
1791.0,886.0,0.0,0.0,0.0,16.0,47.0,38.0,28.0,18.0,313.0,38.0,123.0,84.0,123.0,29.0,29.0,0.0,905.0,0.0,0.0,0.0,15.0,16.0,53.0,24.0,17.0,293.0,50.0,135.0,113.0,132.0,34.0,23.0,0.0,"Census Tract 9529, Allen County, Kansas",001,20,952900
1920.0,927.0,0.0,0.0,8.0,23.0,0.0,6.0,23.0,4.0,328.0,151.0,118.0,134.0,104.0,14.0,6.0,8.0,993.0,0.0,0.0,0.0,0.0,9.0,21.0,13.0,8.0,362.0,116.0,199.0,162.0,78.0,19.0,6.0,0.0,"Census Tract 9530, Allen County, Kansas",001,20,953000
3339.0,1620.0,13.0,0.0,15.0,91.0,11.0,57.0,22.0,0.0,657.0,151.0,215.0,91.0,241.0,40.0,16.0,0.0,1719.0,22.0,0.0,2.0,38.0,19.0,32.0,35.0,11.0,732.0,229.0,229.0,74.0,185.0,93.0,18.0,0.0,"Census Tract 9536, Anderson County, Kansas",003,20,953600
1958.0,932.0,0.0,0.0,7.0,37.0,23.0,20.0,39.0,10.0,439.0,97.0,77.0,63.0,106.0,11.0,3.0,0.0,1026.0,0.0,0.0,0.0,40.0,9.0,43.0,12.0,2.0,443.0,102.0,176.0,99.0,75.0,25.0,0.0,0.0,"Census Tract 9537, Anderson County, Kansas",003,20,953700
2907.0,1438.0,0.0,0.0,12.0,67.0,13.0,31.0,35.0,47.0,739.0,57.0,145.0,72.0,152.0,65.0,0.0,3.0,1469.0,11.0,0.0,0.0,17.0,7.0,18.0,16.0,39.0,722.0,101.0,193.0,74.0,238.0,17.0,5.0,11.0,"Census Tract 9816, Atchison County, Kansas",005,20,981600
3587.0,1684.0,27.0,0.0,14.0,10.0,0.0,14.0,33.0,0.0,714.0,132.0,256.0,34.0,277.0,75.0,21.0,77.0,1903.0,0.0,0.0,0.0,53.0,37.0,96.0,47.0,0.0,613.0,93.0,300.0,131.0,394.0,103.0,36.0,0.0,"Census Tract 9817, Atchison County, Kansas",005,20,981700
1839.0,806.0,21.0,0.0,13.0,13.0,12.0,20.0,33.0,0.0,431.0,25.0,99.0,56.0,59.0,24.0,0.0,0.0,1033.0,0.0,0.0,12.0,26.0,0.0,12.0,41.0,0.0,419.0,107.0,108.0,57.0,118.0,121.0,12.0,0.0,"Census Tract 9818, Atchison County, Kansas",005,20,981800
1964.0,888.0,0.0,0.0,0.0,12.0,0.0,0.0,39.0,23.0,376.0,69.0,72.0,0.0,199.0,76.0,13.0,9.0,1076.0,0.0,33.0,0.0,132.0,22.0,10.0,55.0,30.0,401.0,54.0,98.0,46.0,114.0,81.0,0.0,0.0,"Census Tract 9819, Atchison County, Kansas",005,20,981900
1931.0,911.0,8.0,0.0,0.0,6.0,4.0,5.0,15.0,15.0,290.0,93.0,243.0,60.0,111.0,50.0,7.0,4.0,1020.0,7.0,0.0,0.0,13.0,8.0,16.0,13.0,20.0,270.0,221.0,199.0,73.0,113.0,67.0,0.0,0.0,"Census Tract 9681, Barber County, Kansas",007,20,968100
1424.0,728.0,0.0,0.0,13.0,11.0,16.0,27.0,16.0,5.0,228.0,59.0,119.0,54.0,120.0,42.0,11.0,7.0,696.0,0.0,0.0,0.0,22.0,8.0,15.0,18.0,8.0,226.0,53.0,139.0,42.0,129.0,34.0,2.0,0.0,"Census Tract 9682, Barber County, Kansas",007,20,968200
2643.0,1219.0,0.0,0.0,5.0,35.0,16.0,2.0,23.0,24.0,388.0,89.0,251.0,76.0,193.0,105.0,12.0,0.0,1424.0,0.0,0.0,4.0,57.0,17.0,15.0,0.0,10.0,442.0,177.0,196.0,217.0,174.0,109.0,6.0,0.0,"Census Tract 9711, Barton County, Kansas",009,20,971100
1344.0,708.0,0.0,3.0,2.0,2.0,5.0,15.0,61.0,15.0,283.0,99.0,87.0,51.0,56.0,17.0,12.0,0.0,636.0,0.0,3.0,0.0,15.0,16.0,32.0,11.0,3.0,259.0,61.0,108.0,21.0,61.0,34.0,12.0,0.0,"Census Tract 9712, Barton County, Kansas",009,20,971200
2135.0,935.0,9.0,0.0,26.0,9.0,13.0,32.0,24.0,7.0,348.0,103.0,79.0,84.0,100.0,81.0,20.0,0.0,1200.0,0.0,0.0,25.0,15.0,0.0,10.0,0.0,16.0,529.0,128.0,159.0,141.0,97.0,80.0,0.0,0.0,"Census Tract 9713, Barton County, Kansas",009,20,971300
1737.0,848.0,27.0,0.0,9.0,26.0,32.0,10.0,30.0,6.0,357.0,57.0,127.0,79.0,81.0,0.0,0.0,7.0,889.0,0.0,0.0,0.0,39.0,27.0,0.0,51.0,28.0,365.0,42.0,80.0,108.0,136.0,13.0,0.0,0.0,"Census Tract 9714, Barton County, Kansas",009,20,971400
2406.0,1125.0,0.0,0.0,0.0,26.0,10.0,0.0,90.0,9.0,275.0,154.0,136.0,122.0,236.0,24.0,32.0,11.0,1281.0,0.0,0.0,0.0,29.0,0.0,28.0,18.0,0.0,427.0,146.0,253.0,108.0,206.0,66.0,0.0,0.0,"Census Tract 9715, Barton County, Kansas",009,20,971500
3138.0,1419.0,0.0,0.0,43.0,92.0,55.0,53.0,6.0,21.0,479.0,52.0,134.0,125.0,253.0,44.0,62.0,0.0,1719.0,0.0,0.0,11.0,117.0,32.0,21.0,32.0,19.0,399.0,204.0,321.0,169.0,215.0,114.0,54.0,11.0,"Census Tract 9716, Barton County, Kansas",009,20,971600
1673.0,846.0,0.0,0.0,9.0,83.0,90.0,29.0,17.0,0.0,261.0,35.0,77.0,95.0,72.0,34.0,44.0,0.0,827.0,0.0,0.0,0.0,0.0,29.0,73.0,0.0,9.0,212.0,37.0,152.0,83.0,171.0,51.0,10.0,0.0,"Census Tract 9717, Barton County, Kansas",009,20,971700
3137.0,1553.0,28.0,64.0,72.0,60.0,61.0,22.0,70.0,37.0,423.0,154.0,178.0,84.0,207.0,93.0,0.0,0.0,1584.0,69.0,82.0,0.0,68.0,28.0,94.0,0.0,12.0,324.0,264.0,262.0,81.0,239.0,47.0,14.0,0.0,"Census Tract 9718, Barton County, Kansas",009,20,971800
1784.0,869.0,0.0,0.0,9.0,88.0,1.0,61.0,12.0,7.0,286.0,85.0,71.0,91.0,116.0,42.0,0.0,0.0,915.0,0.0,0.0,0.0,27.0,21.0,51.0,13.0,8.0,306.0,91.0,153.0,44.0,139.0,62.0,0.0,0.0,"Census Tract 9556, Bourbon County, Kansas",011,20,955600
1634.0,833.0,0.0,0.0,0.0,24.0,15.0,9.0,4.0,7.0,287.0,61.0,183.0,87.0,105.0,42.0,9.0,0.0,801.0,0.0,0.0,0.0,3.0,8.0,21.0,3.0,9.0,199.0,50.0,164.0,198.0,118.0,21.0,7.0,0.0,"Census Tract 9557, Bourbon County, Kansas",011,20,955700
2438.0,1094.0,0.0,0.0,25.0,38.0,90.0,8.0,0.0,0.0,286.0,66.0,130.0,193.0,123.0,115.0,20.0,0.0,1344.0,0.0,0.0,26.0,77.0,53.0,0.0,5.0,8.0,400.0,112.0,118.0,135.0,235.0,126.0,49.0,0.0,"Census Tract 9558, Bourbon County, Kansas",011,20,955800
2233.0,1095.0,0.0,0.0,51.0,40.0,0.0,51.0,35.0,5.0,402.0,88.0,235.0,49.0,78.0,23.0,0.0,38.0,1138.0,0.0,12.0,28.0,24.0,5.0,28.0,19.0,0.0,350.0,178.0,143.0,160.0,143.0,37.0,11.0,0.0,"Census Tract 9559, Bourbon County, Kansas",011,20,955900
1773.0,797.0,12.0,0.0,12.0,12.0,11.0,56.0,24.0,0.0,190.0,81.0,65.0,78.0,138.0,30.0,76.0,12.0,976.0,0.0,18.0,0.0,41.0,24.0,16.0,17.0,12.0,185.0,127.0,172.0,165.0,163.0,24.0,12.0,0.0,"Census Tract 9560, Bourbon County, Kansas",011,20,956000
1860.0,930.0,0.0,0.0,0.0,17.0,16.0,22.0,8.0,2.0,478.0,92.0,98.0,70.0,74.0,53.0,0.0,0.0,930.0,0.0,0.0,0.0,16.0,5.0,38.0,26.0,8.0,338.0,71.0,192.0,63.0,131.0,30.0,0.0,12.0,"Census Tract 9806, Brown County, Kansas",013,20,980600
2441.0,1142.0,0.0,0.0,0.0,47.0,0.0,19.0,0.0,5.0,543.0,102.0,142.0,76.0,154.0,17.0,23.0,14.0,1299.0,21.0,0.0,0.0,40.0,17.0,40.0,38.0,23.0,444.0,190.0,241.0,51.0,143.0,51.0,0.0,0.0,"Census Tract 9807, Brown County, Kansas",013,20,980700
2421.0,1106.0,7.0,0.0,22.0,48.0,44.0,18.0,40.0,15.0,463.0,61.0,145.0,66.0,117.0,57.0,3.0,0.0,1315.0,4.0,25.0,0.0,58.0,13.0,41.0,40.0,21.0,558.0,120.0,149.0,73.0,151.0,55.0,0.0,7.0,"Census Tract 9808, Brown County, Kansas",013,20,980800
