B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
1482.0,764.0,0.0,0.0,9.0,0.0,91.0,60.0,39.0,21.0,405.0,0.0,92.0,12.0,25.0,10.0,0.0,0.0,718.0,0.0,0.0,30.0,111.0,19.0,8.0,9.0,19.0,336.0,29.0,69.0,0.0,70.0,18.0,0.0,0.0,"Census Tract 101, Androscoggin County, Maine",001,23,010100
3410.0,1612.0,20.0,16.0,16.0,30.0,75.0,77.0,15.0,68.0,469.0,48.0,137.0,182.0,282.0,92.0,29.0,56.0,1798.0,52.0,31.0,40.0,53.0,53.0,17.0,28.0,20.0,688.0,99.0,142.0,213.0,272.0,71.0,0.0,19.0,"Census Tract 102, Androscoggin County, Maine",001,23,010200
1476.0,676.0,0.0,0.0,0.0,75.0,0.0,8.0,58.0,0.0,227.0,32.0,99.0,36.0,95.0,30.0,16.0,0.0,800.0,0.0,0.0,0.0,65.0,32.0,13.0,0.0,7.0,294.0,28.0,166.0,75.0,76.0,28.0,0.0,16.0,"Census Tract 103, Androscoggin County, Maine",001,23,010300
1409.0,678.0,0.0,0.0,0.0,1.0,26.0,15.0,14.0,0.0,303.0,54.0,56.0,78.0,54.0,48.0,15.0,14.0,731.0,0.0,0.0,0.0,0.0,35.0,31.0,1.0,14.0,183.0,86.0,92.0,75.0,166.0,18.0,29.0,1.0,"Census Tract 104, Androscoggin County, Maine",001,23,010400
1231.0,504.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,0.0,253.0,42.0,65.0,29.0,57.0,18.0,0.0,0.0,727.0,0.0,0.0,13.0,12.0,18.0,9.0,34.0,0.0,276.0,37.0,131.0,117.0,80.0,0.0,0.0,0.0,"Census Tract 105, Androscoggin County, Maine",001,23,010500
2189.0,1095.0,0.0,0.0,10.0,34.0,0.0,7.0,0.0,15.0,431.0,61.0,221.0,148.0,101.0,44.0,13.0,10.0,1094.0,13.0,0.0,15.0,51.0,13.0,0.0,29.0,0.0,378.0,104.0,163.0,108.0,159.0,61.0,0.0,0.0,"Census Tract 106, Androscoggin County, Maine",001,23,010600
2134.0,1135.0,0.0,0.0,0.0,57.0,11.0,54.0,16.0,33.0,309.0,53.0,114.0,125.0,278.0,72.0,13.0,0.0,999.0,0.0,0.0,0.0,39.0,0.0,15.0,22.0,21.0,312.0,65.0,155.0,49.0,200.0,109.0,12.0,0.0,"Census Tract 107, Androscoggin County, Maine",001,23,010700
2977.0,1358.0,11.0,0.0,8.0,0.0,67.0,17.0,0.0,0.0,320.0,58.0,179.0,125.0,310.0,162.0,41.0,60.0,1619.0,0.0,0.0,0.0,30.0,13.0,20.0,19.0,22.0,433.0,31.0,169.0,166.0,552.0,148.0,0.0,16.0,"Census Tract 108, Androscoggin County, Maine",001,23,010800
789.0,430.0,25.0,0.0,25.0,9.0,46.0,10.0,0.0,0.0,216.0,39.0,40.0,20.0,0.0,0.0,0.0,0.0,359.0,21.0,0.0,38.0,43.0,35.0,26.0,0.0,24.0,132.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 201, Androscoggin County, Maine",001,23,020100
716.0,296.0,0.0,0.0,0.0,58.0,7.0,6.0,0.0,0.0,99.0,40.0,52.0,0.0,14.0,10.0,10.0,0.0,420.0,0.0,22.0,0.0,43.0,9.0,0.0,23.0,0.0,148.0,32.0,69.0,18.0,40.0,16.0,0.0,0.0,"Census Tract 202, Androscoggin County, Maine",001,23,020200
