B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,state,tract
985.0,43.0,173.0,61.0,63.0,32.0,80.0,57.0,63.0,49.0,104.0,80.0,124.0,8.0,41.0,7.0,0.0,"Census Tract 9501, Appling County, Georgia",001,13,950100
1566.0,211.0,221.0,180.0,73.0,211.0,89.0,102.0,103.0,41.0,58.0,44.0,109.0,70.0,45.0,9.0,0.0,"Census Tract 9502, Appling County, Georgia",001,13,950200
2153.0,317.0,299.0,107.0,163.0,150.0,181.0,10.0,123.0,101.0,131.0,25.0,352.0,122.0,10.0,54.0,8.0,"Census Tract 9503, Appling County, Georgia",001,13,950300
703.0,26.0,27.0,42.0,107.0,18.0,62.0,27.0,37.0,13.0,114.0,136.0,78.0,12.0,4.0,0.0,0.0,"Census Tract 9504, Appling County, Georgia",001,13,950400
1399.0,54.0,42.0,209.0,66.0,126.0,135.0,91.0,86.0,73.0,129.0,92.0,115.0,117.0,47.0,0.0,17.0,"Census Tract 9505, Appling County, Georgia",001,13,950500
781.0,125.0,62.0,97.0,28.0,32.0,62.0,19.0,34.0,35.0,60.0,148.0,31.0,23.0,5.0,0.0,20.0,"Census Tract 9601, Atkinson County, Georgia",003,13,960100
1520.0,233.0,148.0,133.0,65.0,81.0,144.0,54.0,135.0,83.0,175.0,122.0,59.0,41.0,0.0,15.0,32.0,"Census Tract 9602, Atkinson County, Georgia",003,13,960200
327.0,10.0,23.0,18.0,16.0,55.0,43.0,12.0,19.0,20.0,29.0,36.0,11.0,0.0,0.0,10.0,25.0,"Census Tract 9603, Atkinson County, Georgia",003,13,960300
907.0,91.0,53.0,7.0,125.0,18.0,46.0,21.0,25.0,68.0,43.0,71.0,204.0,69.0,54.0,12.0,0.0,"Census Tract 9701, Bacon County, Georgia",005,13,970100
2671.0,337.0,392.0,225.0,274.0,172.0,177.0,120.0,207.0,110.0,193.0,78.0,163.0,181.0,23.0,9.0,10.0,"Census Tract 9702, Bacon County, Georgia",005,13,970200
814.0,136.0,84.0,46.0,18.0,64.0,28.0,40.0,35.0,77.0,77.0,63.0,82.0,13.0,21.0,6.0,24.0,"Census Tract 9601, Baker County, Georgia",007,13,960100
450.0,107.0,42.0,0.0,103.0,27.0,44.0,14.0,0.0,0.0,67.0,28.0,0.0,18.0,0.0,0.0,0.0,"Census Tract 9602, Baker County, Georgia",007,13,960200
1957.0,189.0,158.0,120.0,119.0,88.0,99.0,143.0,44.0,87.0,177.0,215.0,253.0,189.0,29.0,9.0,38.0,"Census Tract 9701, Baldwin County, Georgia",009,13,970100
2860.0,221.0,153.0,322.0,155.0,135.0,175.0,177.0,153.0,87.0,244.0,484.0,219.0,115.0,103.0,85.0,32.0,"Census Tract 9702, Baldwin County, Georgia",009,13,970200
2061.0,254.0,79.0,206.0,0.0,133.0,63.0,208.0,134.0,86.0,153.0,145.0,266.0,100.0,106.0,101.0,27.0,"Census Tract 9703, Baldwin County, Georgia",009,13,970300
1910.0,351.0,150.0,240.0,111.0,65.0,146.0,47.0,135.0,61.0,133.0,177.0,130.0,53.0,20.0,39.0,52.0,"Census Tract 9704, Baldwin County, Georgia",009,13,970400
1204.0,343.0,188.0,84.0,38.0,31.0,47.0,58.0,27.0,20.0,73.0,71.0,109.0,90.0,10.0,15.0,0.0,"Census Tract 9705, Baldwin County, Georgia",009,13,970500
1604.0,261.0,19.0,278.0,66.0,93.0,102.0,144.0,99.0,22.0,100.0,136.0,179.0,78.0,0.0,27.0,0.0,"Census Tract 9706, Baldwin County, Georgia",009,13,970600
803.0,164.0,80.0,62.0,29.0,38.0,41.0,138.0,30.0,65.0,38.0,59.0,0.0,42.0,0.0,0.0,17.0,"Census Tract 9707.01, Baldwin County, Georgia",009,13,970701
751.0,22.0,71.0,72.0,63.0,45.0,53.0,83.0,12.0,155.0,49.0,29.0,37.0,0.0,40.0,20.0,0.0,"Census Tract 9707.02, Baldwin County, Georgia",009,13,970702
2170.0,114.0,274.0,198.0,157.0,69.0,155.0,122.0,152.0,195.0,127.0,228.0,250.0,52.0,24.0,34.0,19.0,"Census Tract 9708, Baldwin County, Georgia",009,13,970800
1731.0,127.0,148.0,142.0,150.0,146.0,103.0,104.0,144.0,69.0,109.0,116.0,130.0,112.0,51.0,30.0,50.0,"Census Tract 9801, Banks County, Georgia",011,13,980100
1665.0,114.0,126.0,116.0,66.0,77.0,144.0,113.0,107.0,127.0,119.0,198.0,236.0,54.0,0.0,54.0,14.0,"Census Tract 9802, Banks County, Georgia",011,13,980200
1423.0,139.0,187.0,107.0,55.0,70.0,22.0,76.0,174.0,46.0,118.0,183.0,87.0,103.0,50.0,6.0,0.0,"Census Tract 9803, Banks County, Georgia",011,13,980300
994.0,133.0,17.0,104.0,47.0,66.0,35.0,54.0,11.0,122.0,60.0,96.0,136.0,49.0,26.0,20.0,18.0,"Census Tract 9804, Banks County, Georgia",011,13,980400
4735.0,158.0,211.0,107.0,380.0,297.0,349.0,258.0,205.0,444.0,428.0,509.0,646.0,251.0,53.0,332.0,107.0,"Census Tract 1801.01, Barrow County, Georgia",013,13,180101
1994.0,107.0,92.0,99.0,25.0,87.0,187.0,122.0,104.0,91.0,143.0,309.0,424.0,148.0,20.0,21.0,15.0,"Census Tract 1801.02, Barrow County, Georgia",013,13,180102
2916.0,395.0,191.0,246.0,146.0,173.0,114.0,83.0,179.0,192.0,288.0,250.0,394.0,126.0,62.0,0.0,77.0,"Census Tract 1802.01, Barrow County, Georgia",013,13,180201
2047.0,391.0,276.0,111.0,234.0,66.0,76.0,94.0,152.0,64.0,92.0,206.0,194.0,51.0,13.0,0.0,27.0,"Census Tract 1802.02, Barrow County, Georgia",013,13,180202
3973.0,173.0,194.0,171.0,139.0,155.0,321.0,207.0,101.0,250.0,381.0,570.0,708.0,258.0,156.0,98.0,91.0,"Census Tract 1803, Barrow County, Georgia",013,13,180300
2860.0,239.0,203.0,168.0,118.0,228.0,127.0,234.0,196.0,64.0,385.0,253.0,285.0,112.0,157.0,46.0,45.0,"Census Tract 1804, Barrow County, Georgia",013,13,180400
4186.0,273.0,296.0,146.0,70.0,275.0,229.0,223.0,253.0,289.0,392.0,688.0,684.0,197.0,69.0,12.0,90.0,"Census Tract 1805, Barrow County, Georgia",013,13,180500
3673.0,143.0,263.0,118.0,103.0,239.0,220.0,143.0,167.0,278.0,322.0,457.0,602.0,229.0,117.0,183.0,89.0,"Census Tract 9601, Bartow County, Georgia",015,13,960100
3235.0,287.0,289.0,127.0,162.0,235.0,185.0,244.0,175.0,68.0,206.0,571.0,325.0,105.0,83.0,161.0,12.0,"Census Tract 9602, Bartow County, Georgia",015,13,960200
2192.0,144.0,158.0,155.0,107.0,90.0,94.0,90.0,60.0,66.0,189.0,259.0,252.0,167.0,174.0,131.0,56.0,"Census Tract 9603, Bartow County, Georgia",015,13,960300
5591.0,447.0,361.0,355.0,254.0,384.0,469.0,298.0,361.0,335.0,671.0,457.0,546.0,312.0,159.0,138.0,44.0,"Census Tract 9604, Bartow County, Georgia",015,13,960400
2341.0,163.0,306.0,61.0,116.0,164.0,212.0,117.0,147.0,66.0,174.0,252.0,328.0,126.0,50.0,33.0,26.0,"Census Tract 9605, Bartow County, Georgia",015,13,960500
3361.0,310.0,128.0,222.0,117.0,45.0,261.0,118.0,187.0,80.0,287.0,269.0,352.0,412.0,243.0,188.0,142.0,"Census Tract 9606, Bartow County, Georgia",015,13,960600
2938.0,398.0,169.0,210.0,136.0,212.0,148.0,168.0,42.0,175.0,431.0,245.0,274.0,134.0,28.0,46.0,122.0,"Census Tract 9607, Bartow County, Georgia",015,13,960700
1123.0,67.0,95.0,63.0,54.0,39.0,76.0,10.0,55.0,22.0,106.0,233.0,108.0,119.0,41.0,28.0,7.0,"Census Tract 9608.01, Bartow County, Georgia",015,13,960801
1031.0,112.0,83.0,40.0,33.0,201.0,27.0,75.0,56.0,28.0,104.0,127.0,106.0,14.0,20.0,0.0,5.0,"Census Tract 9608.02, Bartow County, Georgia",015,13,960802
