B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,state,tract
2104.0,381.0,342.0,134.0,253.0,126.0,217.0,150.0,44.0,53.0,154.0,13.0,96.0,83.0,12.0,0.0,46.0,"Census Tract 1, Ada County, Idaho",001,16,000100
3445.0,128.0,142.0,79.0,150.0,124.0,250.0,60.0,69.0,35.0,249.0,247.0,342.0,412.0,340.0,316.0,502.0,"Census Tract 2, Ada County, Idaho",001,16,000200
3878.0,94.0,105.0,159.0,198.0,215.0,185.0,219.0,232.0,214.0,554.0,244.0,603.0,409.0,113.0,200.0,134.0,"Census Tract 3.01, Ada County, Idaho",001,16,000301
1337.0,210.0,107.0,54.0,64.0,40.0,56.0,65.0,115.0,90.0,115.0,162.0,63.0,92.0,61.0,13.0,30.0,"Census Tract 3.02, Ada County, Idaho",001,16,000302
2742.0,196.0,256.0,215.0,139.0,164.0,243.0,214.0,247.0,227.0,131.0,202.0,218.0,129.0,80.0,12.0,69.0,"Census Tract 4, Ada County, Idaho",001,16,000400
2608.0,157.0,166.0,109.0,147.0,152.0,131.0,170.0,122.0,63.0,144.0,333.0,421.0,255.0,99.0,64.0,75.0,"Census Tract 5, Ada County, Idaho",001,16,000500
2726.0,282.0,263.0,136.0,105.0,142.0,115.0,101.0,253.0,156.0,234.0,266.0,263.0,146.0,66.0,93.0,105.0,"Census Tract 6, Ada County, Idaho",001,16,000600
3312.0,101.0,256.0,160.0,184.0,109.0,174.0,110.0,137.0,78.0,315.0,248.0,374.0,309.0,282.0,161.0,314.0,"Census Tract 7, Ada County, Idaho",001,16,000700
4616.0,227.0,190.0,246.0,348.0,270.0,180.0,239.0,160.0,386.0,381.0,454.0,641.0,212.0,106.0,309.0,267.0,"Census Tract 8.01, Ada County, Idaho",001,16,000801
2312.0,116.0,103.0,126.0,73.0,307.0,109.0,151.0,97.0,96.0,169.0,220.0,280.0,200.0,154.0,85.0,26.0,"Census Tract 8.02, Ada County, Idaho",001,16,000802
1843.0,28.0,24.0,27.0,54.0,94.0,77.0,156.0,76.0,81.0,237.0,259.0,311.0,210.0,115.0,73.0,21.0,"Census Tract 8.03, Ada County, Idaho",001,16,000803
2164.0,309.0,170.0,220.0,139.0,143.0,129.0,117.0,128.0,135.0,162.0,172.0,251.0,64.0,16.0,9.0,0.0,"Census Tract 9, Ada County, Idaho",001,16,000900
2808.0,380.0,243.0,180.0,228.0,140.0,366.0,199.0,123.0,94.0,186.0,195.0,254.0,150.0,33.0,23.0,14.0,"Census Tract 10, Ada County, Idaho",001,16,001000
1858.0,194.0,349.0,173.0,167.0,184.0,139.0,165.0,125.0,35.0,167.0,105.0,0.0,30.0,12.0,0.0,13.0,"Census Tract 11, Ada County, Idaho",001,16,001100
