B19001D_001E,B19001D_002E,B19001D_003E,B19001D_004E,B19001D_005E,B19001D_006E,B19001D_007E,B19001D_008E,B19001D_009E,B19001D_010E,B19001D_011E,B19001D_012E,B19001D_013E,B19001D_014E,B19001D_015E,B19001D_016E,B19001D_017E,name,congressional district,state
8243.0,197.0,284.0,280.0,318.0,464.0,346.0,411.0,345.0,448.0,576.0,1264.0,1227.0,930.0,407.0,465.0,281.0,"Congressional District (at Large), Alaska (111th Congress)",00,02
2772.0,443.0,110.0,152.0,223.0,68.0,165.0,202.0,144.0,77.0,222.0,240.0,419.0,76.0,93.0,79.0,59.0,"Congressional District 1, Alabama (111th Congress)",01,01
1319.0,85.0,19.0,119.0,46.0,114.0,37.0,44.0,32.0,112.0,100.0,177.0,166.0,99.0,52.0,75.0,42.0,"Congressional District 2, Alabama (111th Congress)",02,01
2363.0,168.0,161.0,84.0,356.0,110.0,52.0,122.0,40.0,111.0,133.0,221.0,198.0,356.0,75.0,89.0,87.0,"Congressional District 3, Alabama (111th Congress)",03,01
572.0,73.0,18.0,40.0,15.0,18.0,18.0,26.0,31.0,27.0,18.0,75.0,88.0,38.0,52.0,17.0,18.0,"Congressional District 4, Alabama (111th Congress)",04,01
2681.0,236.0,42.0,102.0,134.0,115.0,62.0,75.0,79.0,209.0,119.0,269.0,338.0,364.0,160.0,223.0,154.0,"Congressional District 5, Alabama (111th Congress)",05,01
3548.0,114.0,42.0,81.0,294.0,167.0,154.0,199.0,244.0,79.0,195.0,256.0,544.0,375.0,261.0,338.0,205.0,"Congressional District 6, Alabama (111th Congress)",06,01
1689.0,299.0,69.0,77.0,279.0,37.0,170.0,115.0,121.0,25.0,113.0,76.0,200.0,72.0,14.0,11.0,11.0,"Congressional District 7, Alabama (111th Congress)",07,01
1020.0,69.0,40.0,101.0,80.0,38.0,69.0,62.0,129.0,42.0,48.0,59.0,151.0,54.0,46.0,22.0,10.0,"Congressional District 1, Arkansas (111th Congress)",01,05
2976.0,206.0,125.0,94.0,185.0,121.0,143.0,128.0,236.0,162.0,131.0,360.0,425.0,149.0,134.0,233.0,144.0,"Congressional District 2, Arkansas (111th Congress)",02,05
