B19001B_001E,B19001B_002E,B19001B_003E,B19001B_004E,B19001B_005E,B19001B_006E,B19001B_007E,B19001B_008E,B19001B_009E,B19001B_010E,B19001B_011E,B19001B_012E,B19001B_013E,B19001B_014E,B19001B_015E,B19001B_016E,B19001B_017E,name,county,state
4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Aleutians East Borough, Alaska",013,02
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Aleutians West Census Area, Alaska",016,02
6183.0,230.0,454.0,354.0,317.0,430.0,368.0,314.0,326.0,197.0,568.0,641.0,944.0,467.0,300.0,221.0,52.0,"Anchorage Municipality, Alaska",020,02
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"Bethel Census Area, Alaska",050,02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bristol Bay Borough, Alaska",060,02
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"Denali Borough, Alaska",068,02
7.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Dillingham Census Area, Alaska",070,02
1468.0,114.0,74.0,36.0,39.0,46.0,46.0,109.0,78.0,131.0,147.0,243.0,194.0,100.0,37.0,38.0,36.0,"Fairbanks North Star Borough, Alaska",090,02
10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Haines Borough, Alaska",100,02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hoonah-Angoon Census Area, Alaska",105,02
81.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,62.0,0.0,6.0,0.0,0.0,0.0,0.0,"Juneau City and Borough, Alaska",110,02
76.0,9.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,37.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,"Kenai Peninsula Borough, Alaska",122,02
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,"Ketchikan Gateway Borough, Alaska",130,02
79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,46.0,0.0,0.0,"Kodiak Island Borough, Alaska",150,02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lake and Peninsula Borough, Alaska",164,02
241.0,3.0,13.0,2.0,15.0,0.0,13.0,5.0,18.0,15.0,73.0,23.0,28.0,16.0,0.0,0.0,17.0,"Matanuska-Susitna Borough, Alaska",170,02
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,"Nome Census Area, Alaska",180,02
55.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,"North Slope Borough, Alaska",185,02
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,"Northwest Arctic Borough, Alaska",188,02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Petersburg Census Area, Alaska",195,02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Prince of Wales-Hyder Census Area, Alaska",198,02
56.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sitka City and Borough, Alaska",220,02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skagway Municipality, Alaska",230,02
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,10.0,0.0,10.0,0.0,"Southeast Fairbanks Census Area, Alaska",240,02
17.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Valdez-Cordova Census Area, Alaska",261,02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wade Hampton Census Area, Alaska",270,02
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wrangell City and Borough, Alaska",275,02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yakutat City and Borough, Alaska",282,02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yukon-Koyukuk Census Area, Alaska",290,02
3004.0,518.0,328.0,291.0,187.0,294.0,131.0,163.0,123.0,60.0,238.0,273.0,167.0,130.0,84.0,17.0,0.0,"Autauga County, Alabama",001,01
6083.0,994.0,520.0,551.0,581.0,402.0,322.0,393.0,768.0,167.0,317.0,385.0,314.0,253.0,104.0,0.0,12.0,"Baldwin County, Alabama",003,01
4874.0,1566.0,543.0,444.0,301.0,285.0,316.0,319.0,164.0,116.0,368.0,187.0,147.0,71.0,11.0,11.0,25.0,"Barbour County, Alabama",005,01
1468.0,321.0,175.0,70.0,86.0,168.0,42.0,67.0,47.0,7.0,170.0,120.0,40.0,49.0,85.0,21.0,0.0,"Bibb County, Alabama",007,01
259.0,42.0,33.0,0.0,57.0,13.0,0.0,5.0,0.0,36.0,47.0,9.0,17.0,0.0,0.0,0.0,0.0,"Blount County, Alabama",009,01
2822.0,887.0,194.0,374.0,252.0,228.0,198.0,80.0,61.0,82.0,191.0,74.0,166.0,31.0,0.0,4.0,0.0,"Bullock County, Alabama",011,01
3033.0,625.0,423.0,352.0,279.0,253.0,289.0,154.0,99.0,77.0,157.0,244.0,81.0,0.0,0.0,0.0,0.0,"Butler County, Alabama",013,01
9096.0,2192.0,888.0,869.0,764.0,559.0,669.0,431.0,397.0,241.0,474.0,670.0,441.0,215.0,108.0,135.0,43.0,"Calhoun County, Alabama",015,01
4834.0,841.0,600.0,588.0,488.0,361.0,252.0,445.0,245.0,135.0,337.0,266.0,160.0,77.0,24.0,0.0,15.0,"Chambers County, Alabama",017,01
699.0,196.0,97.0,38.0,30.0,0.0,97.0,0.0,0.0,0.0,197.0,12.0,16.0,4.0,0.0,12.0,0.0,"Cherokee County, Alabama",019,01
1781.0,347.0,297.0,144.0,104.0,105.0,166.0,161.0,55.0,55.0,94.0,90.0,99.0,36.0,13.0,15.0,0.0,"Chilton County, Alabama",021,01
2477.0,554.0,274.0,394.0,151.0,235.0,133.0,120.0,110.0,79.0,156.0,183.0,43.0,12.0,17.0,14.0,2.0,"Choctaw County, Alabama",023,01
3706.0,1304.0,425.0,434.0,455.0,258.0,123.0,112.0,65.0,79.0,127.0,144.0,158.0,7.0,15.0,0.0,0.0,"Clarke County, Alabama",025,01
1008.0,206.0,133.0,52.0,102.0,64.0,79.0,9.0,85.0,55.0,13.0,127.0,69.0,14.0,0.0,0.0,0.0,"Clay County, Alabama",027,01
216.0,37.0,14.0,0.0,44.0,44.0,0.0,49.0,0.0,0.0,8.0,0.0,12.0,8.0,0.0,0.0,0.0,"Cleburne County, Alabama",029,01
3224.0,687.0,462.0,300.0,252.0,171.0,301.0,215.0,115.0,82.0,176.0,226.0,129.0,47.0,36.0,14.0,11.0,"Coffee County, Alabama",031,01
3534.0,542.0,357.0,360.0,147.0,225.0,246.0,308.0,173.0,102.0,214.0,177.0,331.0,175.0,131.0,38.0,8.0,"Colbert County, Alabama",033,01
2298.0,499.0,412.0,339.0,163.0,204.0,253.0,19.0,77.0,120.0,93.0,87.0,11.0,21.0,0.0,0.0,0.0,"Conecuh County, Alabama",035,01
1409.0,166.0,325.0,79.0,92.0,225.0,74.0,51.0,73.0,51.0,37.0,141.0,82.0,13.0,0.0,0.0,0.0,"Coosa County, Alabama",037,01
1762.0,392.0,259.0,200.0,168.0,235.0,66.0,93.0,62.0,97.0,98.0,46.0,46.0,0.0,0.0,0.0,0.0,"Covington County, Alabama",039,01
1497.0,535.0,235.0,97.0,138.0,64.0,140.0,31.0,70.0,42.0,87.0,46.0,12.0,0.0,0.0,0.0,0.0,"Crenshaw County, Alabama",041,01
387.0,104.0,29.0,16.0,19.0,48.0,23.0,9.0,20.0,5.0,18.0,44.0,16.0,34.0,2.0,0.0,0.0,"Cullman County, Alabama",043,01
3772.0,656.0,401.0,382.0,227.0,311.0,217.0,263.0,188.0,238.0,163.0,265.0,316.0,89.0,26.0,30.0,0.0,"Dale County, Alabama",045,01
10764.0,3020.0,1399.0,1234.0,731.0,749.0,605.0,535.0,260.0,235.0,430.0,697.0,422.0,246.0,128.0,38.0,35.0,"Dallas County, Alabama",047,01
398.0,101.0,76.0,46.0,6.0,58.0,23.0,39.0,9.0,0.0,7.0,17.0,0.0,0.0,16.0,0.0,0.0,"DeKalb County, Alabama",049,01
4399.0,642.0,334.0,327.0,336.0,251.0,407.0,213.0,409.0,142.0,324.0,458.0,184.0,240.0,85.0,47.0,0.0,"Elmore County, Alabama",051,01
4078.0,1062.0,544.0,285.0,330.0,204.0,386.0,199.0,135.0,207.0,168.0,252.0,244.0,43.0,11.0,8.0,0.0,"Escambia County, Alabama",053,01
6123.0,1066.0,826.0,728.0,650.0,509.0,353.0,497.0,320.0,158.0,117.0,279.0,298.0,221.0,49.0,41.0,11.0,"Etowah County, Alabama",055,01
826.0,165.0,187.0,75.0,57.0,64.0,42.0,41.0,41.0,16.0,30.0,16.0,62.0,30.0,0.0,0.0,0.0,"Fayette County, Alabama",057,01
565.0,100.0,83.0,62.0,84.0,16.0,96.0,73.0,9.0,24.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,"Franklin County, Alabama",059,01
1215.0,399.0,195.0,94.0,99.0,78.0,155.0,57.0,62.0,16.0,41.0,15.0,4.0,0.0,0.0,0.0,0.0,"Geneva County, Alabama",061,01
2800.0,740.0,262.0,386.0,262.0,66.0,106.0,203.0,100.0,61.0,299.0,129.0,74.0,74.0,16.0,22.0,0.0,"Greene County, Alabama",063,01
3464.0,932.0,472.0,277.0,254.0,271.0,143.0,292.0,197.0,49.0,150.0,262.0,137.0,4.0,24.0,0.0,0.0,"Hale County, Alabama",065,01
1909.0,297.0,295.0,286.0,89.0,195.0,187.0,147.0,64.0,21.0,66.0,78.0,110.0,60.0,14.0,0.0,0.0,"Henry County, Alabama",067,01
8710.0,1852.0,1065.0,933.0,857.0,632.0,523.0,423.0,262.0,249.0,511.0,557.0,482.0,210.0,82.0,41.0,31.0,"Houston County, Alabama",069,01
774.0,152.0,52.0,68.0,82.0,76.0,74.0,108.0,29.0,35.0,32.0,19.0,47.0,0.0,0.0,0.0,0.0,"Jackson County, Alabama",071,01
