B01002_001E,B01002_002E,B01002_003E,name,place,state
39.5,37.0,40.0,"Adak city, Alaska",00065,02
29.6,25.2,43.3,"Akhiok city, Alaska",00650,02
26.3,28.8,24.5,"Akiachak CDP, Alaska",00760,02
26.9,27.7,26.0,"Akiak city, Alaska",00870,02
37.6,37.4,38.6,"Akutan city, Alaska",01090,02
26.5,24.9,29.8,"Alakanuk city, Alaska",01200,02
22.7,,14.0,"Alatna CDP, Alaska",01305,02
59.1,,,"Alcan Border CDP, Alaska",01390,02
24.6,24.2,26.5,"Aleknagik city, Alaska",01420,02
,,,"Aleneva CDP, Alaska",01560,02
38.0,30.8,39.9,"Allakaket city, Alaska",01860,02
,,,"Alpine CDP, Alaska",01882,02
23.7,26.4,22.9,"Ambler city, Alaska",01970,02
25.7,27.1,25.1,"Anaktuvuk Pass city, Alaska",02080,02
32.2,31.0,33.1,"Anchorage municipality, Alaska",03000,02
44.4,44.1,44.7,"Anchor Point CDP, Alaska",03110,02
45.0,46.4,39.4,"Anderson city, Alaska",03220,02
41.5,45.2,34.2,"Angoon city, Alaska",03440,02
33.4,30.8,38.8,"Aniak city, Alaska",03550,02
36.5,42.3,35.4,"Anvik city, Alaska",03880,02
26.3,28.0,22.0,"Arctic Village CDP, Alaska",03990,02
33.8,33.3,43.8,"Atka city, Alaska",04210,02
24.8,28.3,24.5,"Atmautluak CDP, Alaska",04430,02
24.0,21.5,25.5,"Atqasuk city, Alaska",04500,02
27.0,27.0,,"Attu Station CDP, Alaska",04670,02
28.2,28.3,28.2,"Barrow city, Alaska",05200,02
41.7,42.1,41.4,"Bear Creek CDP, Alaska",05585,02
31.7,44.3,25.3,"Beaver CDP, Alaska",05750,02
,,,"Beluga CDP, Alaska",06245,02
27.3,28.0,27.1,"Bethel city, Alaska",06520,02
53.6,29.8,57.0,"Bettles city, Alaska",06630,02
38.1,20.0,45.1,"Big Delta CDP, Alaska",06850,02
40.0,39.9,40.2,"Big Lake CDP, Alaska",07070,02
49.0,53.5,47.0,"Birch Creek CDP, Alaska",07620,02
21.3,20.3,23.6,"Brevig Mission city, Alaska",08740,02
17.5,17.3,17.8,"Buckland city, Alaska",09600,02
48.1,49.4,42.4,"Buffalo Soapstone CDP, Alaska",09657,02
39.9,40.9,39.1,"Butte CDP, Alaska",09710,02
48.1,50.3,46.5,"Cantwell CDP, Alaska",10150,02
55.3,54.4,55.6,"Central CDP, Alaska",11690,02
40.4,47.7,38.9,"Chalkyitsik CDP, Alaska",11800,02
,,,"Chase CDP, Alaska",12350,02
22.3,24.0,20.0,"Chefornak city, Alaska",12680,02
29.6,28.1,30.7,"Chenega CDP, Alaska",12970,02
19.1,20.1,17.3,"Chevak city, Alaska",13230,02
43.3,48.2,42.8,"Chickaloon CDP, Alaska",13340,02
,,,"Chicken CDP, Alaska",13450,02
50.8,50.2,51.8,"Chignik city, Alaska",13550,02
34.9,40.8,34.6,"Chignik Lagoon CDP, Alaska",13670,02
22.7,15.9,22.8,"Chignik Lake CDP, Alaska",13780,02
55.3,57.6,52.7,"Chiniak CDP, Alaska",13860,02
,,,"Chisana CDP, Alaska",13890,02
42.8,43.6,42.3,"Chistochina CDP, Alaska",14000,02
43.9,39.0,43.9,"Chitina CDP, Alaska",14110,02
24.2,24.6,20.6,"Chuathbaluk city, Alaska",14330,02
46.5,47.8,35.8,"Circle CDP, Alaska",14880,02
48.3,47.6,53.5,"Clam Gulch CDP, Alaska",15320,02
28.9,36.5,19.8,"Clark's Point city, Alaska",15430,02
56.2,58.5,31.8,"Coffman Cove city, Alaska",16360,02
48.8,49.4,48.1,"Cohoe CDP, Alaska",16420,02
24.6,13.5,24.8,"Cold Bay city, Alaska",16530,02
,,,"Coldfoot CDP, Alaska",16630,02
28.1,27.5,29.3,"College CDP, Alaska",16750,02
46.0,42.0,47.6,"Cooper Landing CDP, Alaska",17190,02
34.5,33.8,35.3,"Copper Center CDP, Alaska",17300,02
47.5,42.8,49.6,"Copperville CDP, Alaska",17380,02
41.6,39.7,45.1,"Cordova city, Alaska",17410,02
51.8,65.3,51.6,"Covenant Life CDP, Alaska",17670,02
32.0,31.3,32.7,"Craig city, Alaska",17740,02
21.4,21.0,21.6,"Crooked Creek CDP, Alaska",17850,02
,,,"Crown Point CDP, Alaska",17960,02
,,,"Cube Cove CDP, Alaska",18030,02
39.0,38.5,39.7,"Deering city, Alaska",18510,02
35.2,38.8,30.9,"Delta Junction city, Alaska",18620,02
30.5,30.6,30.4,"Deltana CDP, Alaska",18675,02
48.5,47.8,49.5,"Diamond Ridge CDP, Alaska",18925,02
33.7,31.5,36.0,"Dillingham city, Alaska",18950,02
15.6,15.0,15.6,"Diomede city, Alaska",19060,02
,,,"Dot Lake CDP, Alaska",19720,02
38.5,43.6,36.5,"Dot Lake Village CDP, Alaska",19750,02
,,,"Dry Creek CDP, Alaska",20020,02
59.0,60.5,57.4,"Eagle city, Alaska",20380,02
42.5,58.1,35.6,"Eagle Village CDP, Alaska",20600,02
,,,"Edna Bay CDP, Alaska",20970,02
42.8,32.5,44.4,"Eek city, Alaska",21040,02
36.4,15.2,47.3,"Egegik city, Alaska",21150,02
20.6,18.9,22.0,"Eielson AFB CDP, Alaska",21370,02
37.0,39.5,35.3,"Ekwok city, Alaska",21810,02
41.8,54.6,35.4,"Elfin Cove CDP, Alaska",22140,02
24.9,23.6,28.6,"Elim city, Alaska",22250,02
23.2,23.5,22.9,"Emmonak city, Alaska",22910,02
32.0,35.7,29.5,"Ester CDP, Alaska",23460,02
49.6,,53.2,"Evansville CDP, Alaska",23790,02
,,,"Excursion Inlet CDP, Alaska",23900,02
27.1,26.1,28.8,"Fairbanks city, Alaska",24230,02
33.4,28.5,33.4,"False Pass city, Alaska",24660,02
31.7,30.0,31.8,"Farm Loop CDP, Alaska",25000,02
,,,"Ferry CDP, Alaska",25220,02
33.4,34.1,32.0,"Fishhook CDP, Alaska",25550,02
,,,"Flat CDP, Alaska",25880,02
25.8,33.1,23.3,"Fort Greely CDP, Alaska",26100,02
36.8,34.8,37.1,"Fort Yukon city, Alaska",26760,02
57.5,57.5,65.5,"Four Mile Road CDP, Alaska",26835,02
38.5,38.6,38.5,"Fox CDP, Alaska",26870,02
18.2,19.2,15.9,"Fox River CDP, Alaska",26910,02
32.3,37.8,28.9,"Fritz Creek CDP, Alaska",27090,02
57.5,60.7,53.8,"Funny River CDP, Alaska",27145,02
41.6,37.4,42.9,"Gakona CDP, Alaska",27420,02
33.1,31.7,34.8,"Galena city, Alaska",27530,02
23.6,25.3,22.5,"Gambell city, Alaska",27640,02
36.4,37.9,13.7,"Game Creek CDP, Alaska",27700,02
29.6,27.5,31.5,"Gateway CDP, Alaska",28200,02
56.8,57.3,51.4,"Glacier View CDP, Alaska",28590,02
37.3,40.0,36.4,"Glennallen CDP, Alaska",28740,02
23.5,20.7,26.4,"Golovin city, Alaska",29180,02
28.8,32.6,25.8,"Goodnews Bay city, Alaska",29290,02
23.0,24.8,22.2,"Grayling city, Alaska",30060,02
13.8,15.8,12.5,"Gulkana CDP, Alaska",30500,02
45.5,46.1,41.6,"Gustavus city, Alaska",30940,02
47.6,47.2,47.8,"Haines CDP, Alaska",31050,02
,,,"Halibut Cove CDP, Alaska",31270,02
48.5,51.2,38.1,"Happy Valley CDP, Alaska",31710,02
35.7,44.3,32.6,"Harding-Birch Lakes CDP, Alaska",31765,02
37.9,40.5,37.4,"Healy CDP, Alaska",32150,02
49.3,46.8,,"Healy Lake CDP, Alaska",32310,02
,,,"Hobart Bay CDP, Alaska",32550,02
46.0,46.2,45.5,"Hollis CDP, Alaska",32810,02
24.0,34.1,23.2,"Holy Cross city, Alaska",33030,02
39.8,37.8,41.3,"Homer city, Alaska",33140,02
41.6,42.0,40.7,"Hoonah city, Alaska",33360,02
21.8,25.6,20.5,"Hooper Bay city, Alaska",33470,02
42.1,29.7,42.6,"Hope CDP, Alaska",33580,02
30.9,31.5,30.2,"Houston city, Alaska",33800,02
31.7,29.6,45.5,"Hughes city, Alaska",33910,02
32.3,32.2,32.4,"Huslia city, Alaska",34350,02
32.0,34.3,30.5,"Hydaburg city, Alaska",34460,02
48.6,52.2,48.3,"Hyder CDP, Alaska",34570,02
10.2,41.5,8.3,"Igiugig CDP, Alaska",34790,02
30.9,22.5,39.8,"Iliamna CDP, Alaska",35120,02
,,,"Ivanof Bay CDP, Alaska",35890,02
37.6,36.6,38.5,"Juneau city and borough, Alaska",36400,02
48.3,50.5,44.6,"Kachemak city, Alaska",36550,02
43.3,43.8,42.9,"Kake city, Alaska",36770,02
25.9,36.0,19.6,"Kaktovik city, Alaska",36990,02
37.2,37.1,37.4,"Kalifornsky CDP, Alaska",37250,02
39.3,35.5,55.5,"Kaltag city, Alaska",37430,02
38.8,52.2,38.7,"Karluk CDP, Alaska",37540,02
29.6,34.5,29.3,"Kasaan city, Alaska",37650,02
