B19013H_001E,name,congressional district,state
71223.0,"Congressional District (at Large), Alaska (111th Congress)",00,02
49459.0,"Congressional District 1, Alabama (111th Congress)",01,01
47738.0,"Congressional District 2, Alabama (111th Congress)",02,01
43482.0,"Congressional District 3, Alabama (111th Congress)",03,01
39072.0,"Congressional District 4, Alabama (111th Congress)",04,01
49663.0,"Congressional District 5, Alabama (111th Congress)",05,01
60285.0,"Congressional District 6, Alabama (111th Congress)",06,01
42518.0,"Congressional District 7, Alabama (111th Congress)",07,01
37336.0,"Congressional District 1, Arkansas (111th Congress)",01,05
48572.0,"Congressional District 2, Arkansas (111th Congress)",02,05
42652.0,"Congressional District 3, Arkansas (111th Congress)",03,05
39793.0,"Congressional District 4, Arkansas (111th Congress)",04,05
45771.0,"Congressional District 1, Arizona (111th Congress)",01,04
54318.0,"Congressional District 2, Arizona (111th Congress)",02,04
62419.0,"Congressional District 3, Arizona (111th Congress)",03,04
45710.0,"Congressional District 4, Arizona (111th Congress)",04,04
65478.0,"Congressional District 5, Arizona (111th Congress)",05,04
62548.0,"Congressional District 6, Arizona (111th Congress)",06,04
46393.0,"Congressional District 7, Arizona (111th Congress)",07,04
53756.0,"Congressional District 8, Arizona (111th Congress)",08,04
53306.0,"Congressional District 1, California (111th Congress)",01,06
45463.0,"Congressional District 2, California (111th Congress)",02,06
66857.0,"Congressional District 3, California (111th Congress)",03,06
65681.0,"Congressional District 4, California (111th Congress)",04,06
52209.0,"Congressional District 5, California (111th Congress)",05,06
75349.0,"Congressional District 6, California (111th Congress)",06,06
71468.0,"Congressional District 7, California (111th Congress)",07,06
86205.0,"Congressional District 8, California (111th Congress)",08,06
76902.0,"Congressional District 9, California (111th Congress)",09,06
87689.0,"Congressional District 10, California (111th Congress)",10,06
85461.0,"Congressional District 11, California (111th Congress)",11,06
89732.0,"Congressional District 12, California (111th Congress)",12,06
72894.0,"Congressional District 13, California (111th Congress)",13,06
102485.0,"Congressional District 14, California (111th Congress)",14,06
89296.0,"Congressional District 15, California (111th Congress)",15,06
89240.0,"Congressional District 16, California (111th Congress)",16,06
70362.0,"Congressional District 17, California (111th Congress)",17,06
48701.0,"Congressional District 18, California (111th Congress)",18,06
58274.0,"Congressional District 19, California (111th Congress)",19,06
46711.0,"Congressional District 20, California (111th Congress)",20,06
59158.0,"Congressional District 21, California (111th Congress)",21,06
59830.0,"Congressional District 22, California (111th Congress)",22,06
61082.0,"Congressional District 23, California (111th Congress)",23,06
84331.0,"Congressional District 24, California (111th Congress)",24,06
70205.0,"Congressional District 25, California (111th Congress)",25,06
80440.0,"Congressional District 26, California (111th Congress)",26,06
64204.0,"Congressional District 27, California (111th Congress)",27,06
64308.0,"Congressional District 28, California (111th Congress)",28,06
63897.0,"Congressional District 29, California (111th Congress)",29,06
83887.0,"Congressional District 30, California (111th Congress)",30,06
49399.0,"Congressional District 31, California (111th Congress)",31,06
56022.0,"Congressional District 32, California (111th Congress)",32,06
60093.0,"Congressional District 33, California (111th Congress)",33,06
49117.0,"Congressional District 34, California (111th Congress)",34,06
69473.0,"Congressional District 35, California (111th Congress)",35,06
80970.0,"Congressional District 36, California (111th Congress)",36,06
55133.0,"Congressional District 37, California (111th Congress)",37,06
54940.0,"Congressional District 38, California (111th Congress)",38,06
66079.0,"Congressional District 39, California (111th Congress)",39,06
76875.0,"Congressional District 40, California (111th Congress)",40,06
52637.0,"Congressional District 41, California (111th Congress)",41,06
94605.0,"Congressional District 42, California (111th Congress)",42,06
55595.0,"Congressional District 43, California (111th Congress)",43,06
80992.0,"Congressional District 44, California (111th Congress)",44,06
60333.0,"Congressional District 45, California (111th Congress)",45,06
80333.0,"Congressional District 46, California (111th Congress)",46,06
56539.0,"Congressional District 47, California (111th Congress)",47,06
90982.0,"Congressional District 48, California (111th Congress)",48,06
68183.0,"Congressional District 49, California (111th Congress)",49,06
84876.0,"Congressional District 50, California (111th Congress)",50,06
62791.0,"Congressional District 51, California (111th Congress)",51,06
73476.0,"Congressional District 52, California (111th Congress)",52,06
58922.0,"Congressional District 53, California (111th Congress)",53,06
53517.0,"Congressional District 1, Colorado (111th Congress)",01,08
68550.0,"Congressional District 2, Colorado (111th Congress)",02,08
50901.0,"Congressional District 3, Colorado (111th Congress)",03,08
54960.0,"Congressional District 4, Colorado (111th Congress)",04,08
57524.0,"Congressional District 5, Colorado (111th Congress)",05,08
87662.0,"Congressional District 6, Colorado (111th Congress)",06,08
57799.0,"Congressional District 7, Colorado (111th Congress)",07,08
70598.0,"Congressional District 1, Connecticut (111th Congress)",01,09
72147.0,"Congressional District 2, Connecticut (111th Congress)",02,09
67365.0,"Congressional District 3, Connecticut (111th Congress)",03,09
102129.0,"Congressional District 4, Connecticut (111th Congress)",04,09
72378.0,"Congressional District 5, Connecticut (111th Congress)",05,09
102343.0,"Delegate District (at Large), District of Columbia (111th Congress)",98,11
62352.0,"Congressional District (at Large), Delaware (111th Congress)",00,10
49901.0,"Congressional District 1, Florida (111th Congress)",01,12
49502.0,"Congressional District 2, Florida (111th Congress)",02,12
41510.0,"Congressional District 3, Florida (111th Congress)",03,12
57868.0,"Congressional District 4, Florida (111th Congress)",04,12
44968.0,"Congressional District 5, Florida (111th Congress)",05,12
47922.0,"Congressional District 6, Florida (111th Congress)",06,12
53067.0,"Congressional District 7, Florida (111th Congress)",07,12
55132.0,"Congressional District 8, Florida (111th Congress)",08,12
52121.0,"Congressional District 9, Florida (111th Congress)",09,12
46251.0,"Congressional District 10, Florida (111th Congress)",10,12
49756.0,"Congressional District 11, Florida (111th Congress)",11,12
49278.0,"Congressional District 12, Florida (111th Congress)",12,12
50376.0,"Congressional District 13, Florida (111th Congress)",13,12
55609.0,"Congressional District 14, Florida (111th Congress)",14,12
50628.0,"Congressional District 15, Florida (111th Congress)",15,12
49600.0,"Congressional District 16, Florida (111th Congress)",16,12
43970.0,"Congressional District 17, Florida (111th Congress)",17,12
63431.0,"Congressional District 18, Florida (111th Congress)",18,12
51083.0,"Congressional District 19, Florida (111th Congress)",19,12
58937.0,"Congressional District 20, Florida (111th Congress)",20,12
73420.0,"Congressional District 21, Florida (111th Congress)",21,12
65709.0,"Congressional District 22, Florida (111th Congress)",22,12
45221.0,"Congressional District 23, Florida (111th Congress)",23,12
55555.0,"Congressional District 24, Florida (111th Congress)",24,12
65585.0,"Congressional District 25, Florida (111th Congress)",25,12
47694.0,"Congressional District 1, Georgia (111th Congress)",01,13
45454.0,"Congressional District 2, Georgia (111th Congress)",02,13
61079.0,"Congressional District 3, Georgia (111th Congress)",03,13
63181.0,"Congressional District 4, Georgia (111th Congress)",04,13
79432.0,"Congressional District 5, Georgia (111th Congress)",05,13
87801.0,"Congressional District 6, Georgia (111th Congress)",06,13
73130.0,"Congressional District 7, Georgia (111th Congress)",07,13
51246.0,"Congressional District 8, Georgia (111th Congress)",08,13
49966.0,"Congressional District 9, Georgia (111th Congress)",09,13
47373.0,"Congressional District 10, Georgia (111th Congress)",10,13
55998.0,"Congressional District 11, Georgia (111th Congress)",11,13
44456.0,"Congressional District 12, Georgia (111th Congress)",12,13
56095.0,"Congressional District 13, Georgia (111th Congress)",13,13
70185.0,"Congressional District 1, Hawaii (111th Congress)",01,15
64805.0,"Congressional District 2, Hawaii (111th Congress)",02,15
48214.0,"Congressional District 1, Iowa (111th Congress)",01,19
48472.0,"Congressional District 2, Iowa (111th Congress)",02,19
54752.0,"Congressional District 3, Iowa (111th Congress)",03,19
48278.0,"Congressional District 4, Iowa (111th Congress)",04,19
45948.0,"Congressional District 5, Iowa (111th Congress)",05,19
48820.0,"Congressional District 1, Idaho (111th Congress)",01,16
46449.0,"Congressional District 2, Idaho (111th Congress)",02,16
61881.0,"Congressional District 1, Illinois (111th Congress)",01,17
52447.0,"Congressional District 2, Illinois (111th Congress)",02,17
59699.0,"Congressional District 3, Illinois (111th Congress)",03,17
58215.0,"Congressional District 4, Illinois (111th Congress)",04,17
63355.0,"Congressional District 5, Illinois (111th Congress)",05,17
74729.0,"Congressional District 6, Illinois (111th Congress)",06,17
85033.0,"Congressional District 7, Illinois (111th Congress)",07,17
77595.0,"Congressional District 8, Illinois (111th Congress)",08,17
61916.0,"Congressional District 9, Illinois (111th Congress)",09,17
93181.0,"Congressional District 10, Illinois (111th Congress)",10,17
61349.0,"Congressional District 11, Illinois (111th Congress)",11,17
45614.0,"Congressional District 12, Illinois (111th Congress)",12,17
84282.0,"Congressional District 13, Illinois (111th Congress)",13,17
72015.0,"Congressional District 14, Illinois (111th Congress)",14,17
47161.0,"Congressional District 15, Illinois (111th Congress)",15,17
58891.0,"Congressional District 16, Illinois (111th Congress)",16,17
42391.0,"Congressional District 17, Illinois (111th Congress)",17,17
52241.0,"Congressional District 18, Illinois (111th Congress)",18,17
48190.0,"Congressional District 19, Illinois (111th Congress)",19,17
57108.0,"Congressional District 1, Indiana (111th Congress)",01,18
46803.0,"Congressional District 2, Indiana (111th Congress)",02,18
51208.0,"Congressional District 3, Indiana (111th Congress)",03,18
54966.0,"Congressional District 4, Indiana (111th Congress)",04,18
61871.0,"Congressional District 5, Indiana (111th Congress)",05,18
44515.0,"Congressional District 6, Indiana (111th Congress)",06,18
44085.0,"Congressional District 7, Indiana (111th Congress)",07,18
44472.0,"Congressional District 8, Indiana (111th Congress)",08,18
45632.0,"Congressional District 9, Indiana (111th Congress)",09,18
43358.0,"Congressional District 1, Kansas (111th Congress)",01,20
47112.0,"Congressional District 2, Kansas (111th Congress)",02,20
67275.0,"Congressional District 3, Kansas (111th Congress)",03,20
49801.0,"Congressional District 4, Kansas (111th Congress)",04,20
37717.0,"Congressional District 1, Kentucky (111th Congress)",01,21
44572.0,"Congressional District 2, Kentucky (111th Congress)",02,21
51124.0,"Congressional District 3, Kentucky (111th Congress)",03,21
50009.0,"Congressional District 4, Kentucky (111th Congress)",04,21
27998.0,"Congressional District 5, Kentucky (111th Congress)",05,21
47036.0,"Congressional District 6, Kentucky (111th Congress)",06,21
57175.0,"Congressional District 1, Louisiana (111th Congress)",01,22
52978.0,"Congressional District 2, Louisiana (111th Congress)",02,22
51047.0,"Congressional District 3, Louisiana (111th Congress)",03,22
47990.0,"Congressional District 4, Louisiana (111th Congress)",04,22
43396.0,"Congressional District 5, Louisiana (111th Congress)",05,22
58177.0,"Congressional District 6, Louisiana (111th Congress)",06,22
48194.0,"Congressional District 7, Louisiana (111th Congress)",07,22
56689.0,"Congressional District 1, Massachusetts (111th Congress)",01,25
62598.0,"Congressional District 2, Massachusetts (111th Congress)",02,25
67407.0,"Congressional District 3, Massachusetts (111th Congress)",03,25
70964.0,"Congressional District 4, Massachusetts (111th Congress)",04,25
77935.0,"Congressional District 5, Massachusetts (111th Congress)",05,25
74995.0,"Congressional District 6, Massachusetts (111th Congress)",06,25
73163.0,"Congressional District 7, Massachusetts (111th Congress)",07,25
65895.0,"Congressional District 8, Massachusetts (111th Congress)",08,25
76022.0,"Congressional District 9, Massachusetts (111th Congress)",09,25
69034.0,"Congressional District 10, Massachusetts (111th Congress)",10,25
72789.0,"Congressional District 1, Maryland (111th Congress)",01,24
60275.0,"Congressional District 2, Maryland (111th Congress)",02,24
76872.0,"Congressional District 3, Maryland (111th Congress)",03,24
98161.0,"Congressional District 4, Maryland (111th Congress)",04,24
86665.0,"Congressional District 5, Maryland (111th Congress)",05,24
68450.0,"Congressional District 6, Maryland (111th Congress)",06,24
82624.0,"Congressional District 7, Maryland (111th Congress)",07,24
106073.0,"Congressional District 8, Maryland (111th Congress)",08,24
53340.0,"Congressional District 1, Maine (111th Congress)",01,23
41187.0,"Congressional District 2, Maine (111th Congress)",02,23
40108.0,"Congressional District 1, Michigan (111th Congress)",01,26
48882.0,"Congressional District 2, Michigan (111th Congress)",02,26
53761.0,"Congressional District 3, Michigan (111th Congress)",03,26
43753.0,"Congressional District 4, Michigan (111th Congress)",04,26
46439.0,"Congressional District 5, Michigan (111th Congress)",05,26
47416.0,"Congressional District 6, Michigan (111th Congress)",06,26
51496.0,"Congressional District 7, Michigan (111th Congress)",07,26
61939.0,"Congressional District 8, Michigan (111th Congress)",08,26
73541.0,"Congressional District 9, Michigan (111th Congress)",09,26
57892.0,"Congressional District 10, Michigan (111th Congress)",10,26
66580.0,"Congressional District 11, Michigan (111th Congress)",11,26
49242.0,"Congressional District 12, Michigan (111th Congress)",12,26
45030.0,"Congressional District 13, Michigan (111th Congress)",13,26
43561.0,"Congressional District 14, Michigan (111th Congress)",14,26
56479.0,"Congressional District 15, Michigan (111th Congress)",15,26
51416.0,"Congressional District 1, Minnesota (111th Congress)",01,27
75213.0,"Congressional District 2, Minnesota (111th Congress)",02,27
77367.0,"Congressional District 3, Minnesota (111th Congress)",03,27
59256.0,"Congressional District 4, Minnesota (111th Congress)",04,27
56214.0,"Congressional District 5, Minnesota (111th Congress)",05,27
69794.0,"Congressional District 6, Minnesota (111th Congress)",06,27
46495.0,"Congressional District 7, Minnesota (111th Congress)",07,27
47140.0,"Congressional District 8, Minnesota (111th Congress)",08,27
53399.0,"Congressional District 1, Missouri (111th Congress)",01,29
73830.0,"Congressional District 2, Missouri (111th Congress)",02,29
53327.0,"Congressional District 3, Missouri (111th Congress)",03,29
42657.0,"Congressional District 4, Missouri (111th Congress)",04,29
52498.0,"Congressional District 5, Missouri (111th Congress)",05,29
51763.0,"Congressional District 6, Missouri (111th Congress)",06,29
41283.0,"Congressional District 7, Missouri (111th Congress)",07,29
35188.0,"Congressional District 8, Missouri (111th Congress)",08,29
45215.0,"Congressional District 9, Missouri (111th Congress)",09,29
44655.0,"Congressional District 1, Mississippi (111th Congress)",01,28
47723.0,"Congressional District 2, Mississippi (111th Congress)",02,28
48048.0,"Congressional District 3, Mississippi (111th Congress)",03,28
46399.0,"Congressional District 4, Mississippi (111th Congress)",04,28
44385.0,"Congressional District (at Large), Montana (111th Congress)",00,30
43574.0,"Congressional District 1, North Carolina (111th Congress)",01,37
50313.0,"Congressional District 2, North Carolina (111th Congress)",02,37
49957.0,"Congressional District 3, North Carolina (111th Congress)",03,37
76072.0,"Congressional District 4, North Carolina (111th Congress)",04,37
45757.0,"Congressional District 5, North Carolina (111th Congress)",05,37
51794.0,"Congressional District 6, North Carolina (111th Congress)",06,37
47443.0,"Congressional District 7, North Carolina (111th Congress)",07,37
49102.0,"Congressional District 8, North Carolina (111th Congress)",08,37
67619.0,"Congressional District 9, North Carolina (111th Congress)",09,37
43611.0,"Congressional District 10, North Carolina (111th Congress)",10,37
41709.0,"Congressional District 11, North Carolina (111th Congress)",11,37
49318.0,"Congressional District 12, North Carolina (111th Congress)",12,37
54650.0,"Congressional District 13, North Carolina (111th Congress)",13,37
46406.0,"Congressional District (at Large), North Dakota (111th Congress)",00,38
50936.0,"Congressional District 1, Nebraska (111th Congress)",01,31
57438.0,"Congressional District 2, Nebraska (111th Congress)",02,31
43220.0,"Congressional District 3, Nebraska (111th Congress)",03,31
64956.0,"Congressional District 1, New Hampshire (111th Congress)",01,33
61478.0,"Congressional District 2, New Hampshire (111th Congress)",02,33
66521.0,"Congressional District 1, New Jersey (111th Congress)",01,34
63363.0,"Congressional District 2, New Jersey (111th Congress)",02,34
71815.0,"Congressional District 3, New Jersey (111th Congress)",03,34
71415.0,"Congressional District 4, New Jersey (111th Congress)",04,34
90488.0,"Congressional District 5, New Jersey (111th Congress)",05,34
73836.0,"Congressional District 6, New Jersey (111th Congress)",06,34
96085.0,"Congressional District 7, New Jersey (111th Congress)",07,34
75656.0,"Congressional District 8, New Jersey (111th Congress)",08,34
67556.0,"Congressional District 9, New Jersey (111th Congress)",09,34
63051.0,"Congressional District 10, New Jersey (111th Congress)",10,34
100772.0,"Congressional District 11, New Jersey (111th Congress)",11,34
91411.0,"Congressional District 12, New Jersey (111th Congress)",12,34
67306.0,"Congressional District 13, New Jersey (111th Congress)",13,34
55276.0,"Congressional District 1, New Mexico (111th Congress)",01,35
43840.0,"Congressional District 2, New Mexico (111th Congress)",02,35
56882.0,"Congressional District 3, New Mexico (111th Congress)",03,35
56587.0,"Congressional District 1, Nevada (111th Congress)",01,32
57443.0,"Congressional District 2, Nevada (111th Congress)",02,32
64917.0,"Congressional District 3, Nevada (111th Congress)",03,32
84763.0,"Congressional District 1, New York (111th Congress)",01,36
95668.0,"Congressional District 2, New York (111th Congress)",02,36
92320.0,"Congressional District 3, New York (111th Congress)",03,36
89965.0,"Congressional District 4, New York (111th Congress)",04,36
78548.0,"Congressional District 5, New York (111th Congress)",05,36
54043.0,"Congressional District 6, New York (111th Congress)",06,36
51813.0,"Congressional District 7, New York (111th Congress)",07,36
75292.0,"Congressional District 8, New York (111th Congress)",08,36
56818.0,"Congressional District 9, New York (111th Congress)",09,36
46578.0,"Congressional District 10, New York (111th Congress)",10,36
73592.0,"Congressional District 11, New York (111th Congress)",11,36
60591.0,"Congressional District 12, New York (111th Congress)",12,36
68661.0,"Congressional District 13, New York (111th Congress)",13,36
90490.0,"Congressional District 14, New York (111th Congress)",14,36
76332.0,"Congressional District 15, New York (111th Congress)",15,36
21277.0,"Congressional District 16, New York (111th Congress)",16,36
67460.0,"Congressional District 17, New York (111th Congress)",17,36
102140.0,"Congressional District 18, New York (111th Congress)",18,36
83920.0,"Congressional District 19, New York (111th Congress)",19,36
57196.0,"Congressional District 20, New York (111th Congress)",20,36
54812.0,"Congressional District 21, New York (111th Congress)",21,36
52272.0,"Congressional District 22, New York (111th Congress)",22,36
45046.0,"Congressional District 23, New York (111th Congress)",23,36
46630.0,"Congressional District 24, New York (111th Congress)",24,36
55351.0,"Congressional District 25, New York (111th Congress)",25,36
55551.0,"Congressional District 26, New York (111th Congress)",26,36
47313.0,"Congressional District 27, New York (111th Congress)",27,36
45733.0,"Congressional District 28, New York (111th Congress)",28,36
50215.0,"Congressional District 29, New York (111th Congress)",29,36
52368.0,"Congressional District 1, Ohio (111th Congress)",01,39
56890.0,"Congressional District 2, Ohio (111th Congress)",02,39
52262.0,"Congressional District 3, Ohio (111th Congress)",03,39
46754.0,"Congressional District 4, Ohio (111th Congress)",04,39
48632.0,"Congressional District 5, Ohio (111th Congress)",05,39
39688.0,"Congressional District 6, Ohio (111th Congress)",06,39
51028.0,"Congressional District 7, Ohio (111th Congress)",07,39
50819.0,"Congressional District 8, Ohio (111th Congress)",08,39
49967.0,"Congressional District 9, Ohio (111th Congress)",09,39
48700.0,"Congressional District 10, Ohio (111th Congress)",10,39
48616.0,"Congressional District 11, Ohio (111th Congress)",11,39
65758.0,"Congressional District 12, Ohio (111th Congress)",12,39
55513.0,"Congressional District 13, Ohio (111th Congress)",13,39
58954.0,"Congressional District 14, Ohio (111th Congress)",14,39
53721.0,"Congressional District 15, Ohio (111th Congress)",15,39
50056.0,"Congressional District 16, Ohio (111th Congress)",16,39
43764.0,"Congressional District 17, Ohio (111th Congress)",17,39
40816.0,"Congressional District 18, Ohio (111th Congress)",18,39
51989.0,"Congressional District 1, Oklahoma (111th Congress)",01,40
37312.0,"Congressional District 2, Oklahoma (111th Congress)",02,40
43642.0,"Congressional District 3, Oklahoma (111th Congress)",03,40
47551.0,"Congressional District 4, Oklahoma (111th Congress)",04,40
46499.0,"Congressional District 5, Oklahoma (111th Congress)",05,40
59822.0,"Congressional District 1, Oregon (111th Congress)",01,41
46146.0,"Congressional District 2, Oregon (111th Congress)",02,41
52763.0,"Congressional District 3, Oregon (111th Congress)",03,41
42588.0,"Congressional District 4, Oregon (111th Congress)",04,41
54483.0,"Congressional District 5, Oregon (111th Congress)",05,41
44468.0,"Congressional District 1, Pennsylvania (111th Congress)",01,42
55703.0,"Congressional District 2, Pennsylvania (111th Congress)",02,42
44099.0,"Congressional District 3, Pennsylvania (111th Congress)",03,42
55572.0,"Congressional District 4, Pennsylvania (111th Congress)",04,42
40452.0,"Congressional District 5, Pennsylvania (111th Congress)",05,42
73027.0,"Congressional District 6, Pennsylvania (111th Congress)",06,42
73227.0,"Congressional District 7, Pennsylvania (111th Congress)",07,42
74858.0,"Congressional District 8, Pennsylvania (111th Congress)",08,42
43971.0,"Congressional District 9, Pennsylvania (111th Congress)",09,42
44466.0,"Congressional District 10, Pennsylvania (111th Congress)",10,42
43741.0,"Congressional District 11, Pennsylvania (111th Congress)",11,42
39099.0,"Congressional District 12, Pennsylvania (111th Congress)",12,42
62699.0,"Congressional District 13, Pennsylvania (111th Congress)",13,42
40938.0,"Congressional District 14, Pennsylvania (111th Congress)",14,42
60291.0,"Congressional District 15, Pennsylvania (111th Congress)",15,42
60249.0,"Congressional District 16, Pennsylvania (111th Congress)",16,42
52143.0,"Congressional District 17, Pennsylvania (111th Congress)",17,42
55654.0,"Congressional District 18, Pennsylvania (111th Congress)",18,42
58346.0,"Congressional District 19, Pennsylvania (111th Congress)",19,42
29745.0,"Resident Commissioner District (at Large), Puerto Rico (111th Congress)",98,72
57509.0,"Congressional District 1, Rhode Island (111th Congress)",01,44
62725.0,"Congressional District 2, Rhode Island (111th Congress)",02,44
54396.0,"Congressional District 1, South Carolina (111th Congress)",01,45
59331.0,"Congressional District 2, South Carolina (111th Congress)",02,45
46049.0,"Congressional District 3, South Carolina (111th Congress)",03,45
50350.0,"Congressional District 4, South Carolina (111th Congress)",04,45
48641.0,"Congressional District 5, South Carolina (111th Congress)",05,45
46462.0,"Congressional District 6, South Carolina (111th Congress)",06,45
46552.0,"Congressional District (at Large), South Dakota (111th Congress)",00,46
37355.0,"Congressional District 1, Tennessee (111th Congress)",01,47
47124.0,"Congressional District 2, Tennessee (111th Congress)",02,47
43636.0,"Congressional District 3, Tennessee (111th Congress)",03,47
38130.0,"Congressional District 4, Tennessee (111th Congress)",04,47
52425.0,"Congressional District 5, Tennessee (111th Congress)",05,47
48457.0,"Congressional District 6, Tennessee (111th Congress)",06,47
64084.0,"Congressional District 7, Tennessee (111th Congress)",07,47
42286.0,"Congressional District 8, Tennessee (111th Congress)",08,47
51566.0,"Congressional District 9, Tennessee (111th Congress)",09,47
46143.0,"Congressional District 1, Texas (111th Congress)",01,48
68080.0,"Congressional District 2, Texas (111th Congress)",02,48
82156.0,"Congressional District 3, Texas (111th Congress)",03,48
54638.0,"Congressional District 4, Texas (111th Congress)",04,48
52146.0,"Congressional District 5, Texas (111th Congress)",05,48
61277.0,"Congressional District 6, Texas (111th Congress)",06,48
82649.0,"Congressional District 7, Texas (111th Congress)",07,48
55852.0,"Congressional District 8, Texas (111th Congress)",08,48
52996.0,"Congressional District 9, Texas (111th Congress)",09,48
71977.0,"Congressional District 10, Texas (111th Congress)",10,48
48806.0,"Congressional District 11, Texas (111th Congress)",11,48
59785.0,"Congressional District 12, Texas (111th Congress)",12,48
46942.0,"Congressional District 13, Texas (111th Congress)",13,48
62957.0,"Congressional District 14, Texas (111th Congress)",14,48
46332.0,"Congressional District 15, Texas (111th Congress)",15,48
56290.0,"Congressional District 16, Texas (111th Congress)",16,48
48021.0,"Congressional District 17, Texas (111th Congress)",17,48
57822.0,"Congressional District 18, Texas (111th Congress)",18,48
44883.0,"Congressional District 19, Texas (111th Congress)",19,48
44785.0,"Congressional District 20, Texas (111th Congress)",20,48
68250.0,"Congressional District 21, Texas (111th Congress)",21,48
79671.0,"Congressional District 22, Texas (111th Congress)",22,48
64579.0,"Congressional District 23, Texas (111th Congress)",23,48
70886.0,"Congressional District 24, Texas (111th Congress)",24,48
56829.0,"Congressional District 25, Texas (111th Congress)",25,48
74097.0,"Congressional District 26, Texas (111th Congress)",26,48
52025.0,"Congressional District 27, Texas (111th Congress)",27,48
57050.0,"Congressional District 28, Texas (111th Congress)",28,48
42233.0,"Congressional District 29, Texas (111th Congress)",29,48
53271.0,"Congressional District 30, Texas (111th Congress)",30,48
59859.0,"Congressional District 31, Texas (111th Congress)",31,48
70164.0,"Congressional District 32, Texas (111th Congress)",32,48
57874.0,"Congressional District 1, Utah (111th Congress)",01,49
57082.0,"Congressional District 2, Utah (111th Congress)",02,49
59115.0,"Congressional District 3, Utah (111th Congress)",03,49
70746.0,"Congressional District 1, Virginia (111th Congress)",01,51
64273.0,"Congressional District 2, Virginia (111th Congress)",02,51
52005.0,"Congressional District 3, Virginia (111th Congress)",03,51
67914.0,"Congressional District 4, Virginia (111th Congress)",04,51
47335.0,"Congressional District 5, Virginia (111th Congress)",05,51
48794.0,"Congressional District 6, Virginia (111th Congress)",06,51
69747.0,"Congressional District 7, Virginia (111th Congress)",07,51
101869.0,"Congressional District 8, Virginia (111th Congress)",08,51
36644.0,"Congressional District 9, Virginia (111th Congress)",09,51
100145.0,"Congressional District 10, Virginia (111th Congress)",10,51
116194.0,"Congressional District 11, Virginia (111th Congress)",11,51
51553.0,"Congressional District (at Large), Vermont (111th Congress)",00,50
73984.0,"Congressional District 1, Washington (111th Congress)",01,53
56630.0,"Congressional District 2, Washington (111th Congress)",02,53
55043.0,"Congressional District 3, Washington (111th Congress)",03,53
