B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,state
2959.0,295.0,291.0,508.0,1405.0,10.0,4.0,165.0,281.0,"Aleutians East Borough, Alaska",013,02
5505.0,1862.0,560.0,369.0,1527.0,132.0,0.0,171.0,884.0,"Aleutians West Census Area, Alaska",016,02
280389.0,184109.0,15976.0,15116.0,17702.0,3137.0,325.0,21301.0,22723.0,"Anchorage Municipality, Alaska",020,02
17151.0,2077.0,32.0,13787.0,159.0,59.0,0.0,980.0,57.0,"Bethel Census Area, Alaska",050,02
682.0,369.0,0.0,157.0,0.0,1.0,0.0,141.0,14.0,"Bristol Bay Borough, Alaska",060,02
1529.0,1383.0,34.0,29.0,6.0,0.0,15.0,53.0,9.0,"Denali Borough, Alaska",068,02
4946.0,1017.0,11.0,3233.0,39.0,18.0,0.0,471.0,157.0,"Dillingham Census Area, Alaska",070,02
96843.0,71482.0,5416.0,6315.0,2281.0,313.0,154.0,4696.0,6186.0,"Fairbanks North Star Borough, Alaska",090,02
2424.0,2029.0,10.0,153.0,0.0,0.0,0.0,154.0,78.0,"Haines Borough, Alaska",100,02
2042.0,851.0,0.0,843.0,11.0,11.0,0.0,242.0,84.0,"Hoonah-Angoon Census Area, Alaska",105,02
30777.0,21480.0,197.0,3333.0,1717.0,102.0,41.0,2428.0,1479.0,"Juneau City and Borough, Alaska",110,02
53052.0,44582.0,295.0,3487.0,728.0,142.0,29.0,2219.0,1570.0,"Kenai Peninsula Borough, Alaska",122,02
13132.0,9103.0,16.0,1723.0,774.0,0.0,40.0,987.0,489.0,"Ketchikan Gateway Borough, Alaska",130,02
13147.0,7159.0,100.0,1931.0,2548.0,12.0,0.0,309.0,1088.0,"Kodiak Island Borough, Alaska",150,02
1399.0,433.0,9.0,791.0,18.0,0.0,0.0,124.0,24.0,"Lake and Peninsula Borough, Alaska",164,02
82099.0,69095.0,767.0,3168.0,797.0,30.0,53.0,5248.0,2941.0,"Matanuska-Susitna Borough, Alaska",170,02
9339.0,1635.0,200.0,6643.0,28.0,0.0,15.0,661.0,157.0,"Nome Census Area, Alaska",180,02
6716.0,864.0,73.0,4531.0,558.0,30.0,0.0,506.0,154.0,"North Slope Borough, Alaska",185,02
7430.0,895.0,8.0,5959.0,74.0,3.0,5.0,432.0,54.0,"Northwest Arctic Borough, Alaska",188,02
3862.0,2754.0,0.0,513.0,133.0,0.0,0.0,459.0,3.0,"Petersburg Census Area, Alaska",195,02
5572.0,2863.0,0.0,2120.0,38.0,0.0,0.0,392.0,159.0,"Prince of Wales-Hyder Census Area, Alaska",198,02
8811.0,5658.0,94.0,1986.0,119.0,0.0,0.0,523.0,431.0,"Sitka City and Borough, Alaska",220,02
1071.0,906.0,20.0,34.0,16.0,0.0,0.0,59.0,36.0,"Skagway Municipality, Alaska",230,02
6760.0,5223.0,168.0,628.0,24.0,10.0,0.0,420.0,287.0,"Southeast Fairbanks Census Area, Alaska",240,02
9529.0,6747.0,40.0,1560.0,479.0,43.0,85.0,472.0,103.0,"Valdez-Cordova Census Area, Alaska",261,02
7577.0,436.0,0.0,6762.0,49.0,0.0,0.0,305.0,25.0,"Wade Hampton Census Area, Alaska",270,02
2168.0,1423.0,30.0,411.0,0.0,27.0,0.0,227.0,50.0,"Wrangell City and Borough, Alaska",275,02
418.0,174.0,0.0,179.0,7.0,4.0,0.0,47.0,7.0,"Yakutat City and Borough, Alaska",282,02
5813.0,1425.0,0.0,3778.0,16.0,16.0,0.0,447.0,131.0,"Yukon-Koyukuk Census Area, Alaska",290,02
49584.0,38636.0,8827.0,183.0,309.0,0.0,56.0,561.0,1012.0,"Autauga County, Alabama",001,01
171997.0,146381.0,16851.0,968.0,980.0,3.0,128.0,1697.0,4989.0,"Baldwin County, Alabama",003,01
29663.0,14251.0,13724.0,135.0,27.0,5.0,27.0,232.0,1262.0,"Barbour County, Alabama",005,01
21464.0,16182.0,4953.0,21.0,51.0,0.0,0.0,67.0,190.0,"Bibb County, Alabama",007,01
56804.0,50787.0,473.0,404.0,247.0,0.0,27.0,732.0,4134.0,"Blount County, Alabama",009,01
10917.0,2427.0,8182.0,13.0,29.0,0.0,0.0,14.0,252.0,"Bullock County, Alabama",011,01
20189.0,11451.0,8328.0,31.0,118.0,0.0,0.0,187.0,74.0,"Butler County, Alabama",013,01
112969.0,85467.0,21946.0,600.0,850.0,74.0,51.0,1256.0,2725.0,"Calhoun County, Alabama",015,01
