B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
2157.0,879.0,0.0,0.0,15.0,11.0,0.0,0.0,21.0,28.0,144.0,30.0,77.0,38.0,284.0,132.0,70.0,29.0,1278.0,20.0,0.0,5.0,42.0,12.0,60.0,11.0,0.0,346.0,19.0,118.0,64.0,266.0,223.0,27.0,65.0,"Census Tract 4174, Hartford County, Connecticut",003,09,417400
3544.0,1656.0,65.0,13.0,0.0,72.0,32.0,95.0,5.0,40.0,432.0,95.0,289.0,113.0,246.0,103.0,21.0,35.0,1888.0,4.0,14.0,16.0,140.0,22.0,59.0,65.0,47.0,622.0,74.0,287.0,288.0,180.0,34.0,24.0,12.0,"Census Tract 4175, Hartford County, Connecticut",003,09,417500
2005.0,961.0,0.0,0.0,9.0,8.0,0.0,32.0,0.0,12.0,476.0,71.0,96.0,57.0,157.0,30.0,13.0,0.0,1044.0,0.0,11.0,20.0,39.0,0.0,37.0,8.0,10.0,394.0,49.0,141.0,75.0,172.0,78.0,10.0,0.0,"Census Tract 4204, Hartford County, Connecticut",003,09,420400
3752.0,1781.0,0.0,14.0,0.0,17.0,70.0,63.0,35.0,24.0,529.0,141.0,247.0,182.0,417.0,26.0,16.0,0.0,1971.0,0.0,0.0,26.0,15.0,28.0,72.0,0.0,0.0,731.0,123.0,298.0,272.0,273.0,91.0,42.0,0.0,"Census Tract 4205, Hartford County, Connecticut",003,09,420500
4217.0,1952.0,15.0,0.0,44.0,60.0,11.0,47.0,19.0,11.0,972.0,111.0,205.0,165.0,224.0,68.0,0.0,0.0,2265.0,32.0,19.0,42.0,51.0,20.0,58.0,0.0,46.0,994.0,159.0,292.0,270.0,201.0,81.0,0.0,0.0,"Census Tract 4206, Hartford County, Connecticut",003,09,420600
2490.0,1263.0,19.0,0.0,11.0,24.0,19.0,28.0,7.0,21.0,548.0,168.0,117.0,95.0,169.0,28.0,0.0,9.0,1227.0,8.0,9.0,0.0,25.0,0.0,55.0,38.0,7.0,431.0,85.0,155.0,151.0,179.0,84.0,0.0,0.0,"Census Tract 4207, Hartford County, Connecticut",003,09,420700
2653.0,1220.0,0.0,0.0,0.0,19.0,0.0,0.0,28.0,22.0,438.0,115.0,242.0,117.0,132.0,97.0,10.0,0.0,1433.0,10.0,11.0,21.0,13.0,0.0,71.0,60.0,0.0,421.0,136.0,179.0,173.0,182.0,132.0,24.0,0.0,"Census Tract 4301, Hartford County, Connecticut",003,09,430100
2358.0,1194.0,0.0,11.0,0.0,12.0,42.0,12.0,11.0,16.0,281.0,49.0,265.0,62.0,263.0,101.0,48.0,21.0,1164.0,0.0,0.0,17.0,32.0,17.0,19.0,0.0,23.0,268.0,50.0,221.0,143.0,200.0,117.0,39.0,18.0,"Census Tract 4302.01, Hartford County, Connecticut",003,09,430201
3397.0,1599.0,14.0,0.0,8.0,40.0,9.0,12.0,34.0,9.0,402.0,97.0,143.0,83.0,545.0,164.0,39.0,0.0,1798.0,18.0,12.0,11.0,19.0,0.0,9.0,20.0,0.0,480.0,164.0,101.0,187.0,456.0,233.0,77.0,11.0,"Census Tract 4302.02, Hartford County, Connecticut",003,09,430202
3264.0,1472.0,0.0,0.0,0.0,32.0,19.0,19.0,11.0,31.0,488.0,68.0,213.0,135.0,252.0,179.0,17.0,8.0,1792.0,13.0,0.0,18.0,23.0,34.0,14.0,20.0,60.0,666.0,101.0,193.0,146.0,288.0,148.0,58.0,10.0,"Census Tract 4302.03, Hartford County, Connecticut",003,09,430203
2309.0,1093.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,8.0,261.0,69.0,151.0,34.0,328.0,138.0,35.0,41.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,340.0,79.0,108.0,161.0,254.0,184.0,52.0,18.0,"Census Tract 4303.01, Hartford County, Connecticut",003,09,430301
1942.0,911.0,0.0,0.0,0.0,11.0,10.0,18.0,9.0,9.0,224.0,130.0,142.0,71.0,211.0,76.0,0.0,0.0,1031.0,9.0,0.0,0.0,11.0,15.0,18.0,0.0,9.0,425.0,51.0,124.0,85.0,139.0,137.0,8.0,0.0,"Census Tract 4303.02, Hartford County, Connecticut",003,09,430302
3366.0,1679.0,0.0,0.0,13.0,0.0,30.0,53.0,9.0,0.0,593.0,122.0,265.0,128.0,358.0,50.0,33.0,25.0,1687.0,13.0,10.0,0.0,26.0,0.0,35.0,32.0,32.0,439.0,124.0,303.0,226.0,347.0,84.0,16.0,0.0,"Census Tract 4304, Hartford County, Connecticut",003,09,430400
4958.0,2304.0,7.0,0.0,21.0,7.0,31.0,23.0,25.0,16.0,737.0,261.0,337.0,153.0,453.0,224.0,0.0,9.0,2654.0,0.0,7.0,8.0,49.0,8.0,7.0,15.0,12.0,822.0,258.0,223.0,322.0,477.0,416.0,22.0,8.0,"Census Tract 4305, Hartford County, Connecticut",003,09,430500
3584.0,1574.0,11.0,0.0,0.0,79.0,31.0,11.0,27.0,39.0,553.0,75.0,189.0,89.0,303.0,101.0,49.0,17.0,2010.0,15.0,0.0,0.0,81.0,57.0,57.0,123.0,36.0,661.0,126.0,194.0,128.0,367.0,129.0,36.0,0.0,"Census Tract 4306.01, Hartford County, Connecticut",003,09,430601
2425.0,1183.0,38.0,0.0,39.0,23.0,5.0,31.0,17.0,0.0,300.0,96.0,108.0,165.0,199.0,135.0,18.0,9.0,1242.0,0.0,28.0,10.0,11.0,5.0,24.0,23.0,24.0,442.0,22.0,134.0,100.0,243.0,143.0,20.0,13.0,"Census Tract 4306.02, Hartford County, Connecticut",003,09,430602
2326.0,1054.0,0.0,0.0,11.0,0.0,11.0,14.0,14.0,0.0,232.0,13.0,77.0,35.0,383.0,151.0,75.0,38.0,1272.0,0.0,0.0,0.0,10.0,7.0,0.0,10.0,55.0,249.0,37.0,171.0,66.0,282.0,249.0,89.0,47.0,"Census Tract 4601, Hartford County, Connecticut",003,09,460100
3007.0,1426.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,15.0,209.0,113.0,109.0,68.0,367.0,232.0,223.0,64.0,1581.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,24.0,246.0,25.0,158.0,188.0,481.0,256.0,140.0,37.0,"Census Tract 4602.02, Hartford County, Connecticut",003,09,460202
2175.0,949.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,10.0,66.0,28.0,30.0,43.0,383.0,197.0,77.0,95.0,1226.0,0.0,0.0,7.0,13.0,0.0,0.0,11.0,0.0,249.0,34.0,76.0,76.0,405.0,306.0,35.0,14.0,"Census Tract 4602.03, Hartford County, Connecticut",003,09,460203
4020.0,1862.0,15.0,0.0,13.0,0.0,12.0,0.0,13.0,24.0,416.0,116.0,240.0,116.0,355.0,368.0,106.0,68.0,2158.0,33.0,0.0,0.0,14.0,0.0,44.0,17.0,17.0,529.0,116.0,234.0,151.0,589.0,291.0,79.0,44.0,"Census Tract 4602.04, Hartford County, Connecticut",003,09,460204
3463.0,1700.0,9.0,7.0,0.0,12.0,0.0,20.0,0.0,0.0,350.0,49.0,202.0,59.0,507.0,286.0,139.0,60.0,1763.0,18.0,0.0,12.0,20.0,0.0,0.0,31.0,0.0,304.0,99.0,247.0,217.0,522.0,240.0,44.0,9.0,"Census Tract 4603.01, Hartford County, Connecticut",003,09,460301
2650.0,1143.0,0.0,0.0,0.0,18.0,0.0,24.0,0.0,31.0,329.0,92.0,72.0,78.0,267.0,195.0,28.0,9.0,1507.0,0.0,0.0,0.0,19.0,10.0,30.0,0.0,37.0,347.0,64.0,209.0,145.0,306.0,285.0,55.0,0.0,"Census Tract 4603.02, Hartford County, Connecticut",003,09,460302
3981.0,1857.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,80.0,147.0,46.0,234.0,110.0,528.0,441.0,214.0,42.0,2124.0,0.0,0.0,29.0,0.0,12.0,0.0,0.0,93.0,332.0,21.0,298.0,187.0,738.0,307.0,93.0,14.0,"Census Tract 4621.01, Hartford County, Connecticut",003,09,462101
2394.0,1198.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,110.0,47.0,18.0,372.0,283.0,179.0,61.0,1196.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,8.0,130.0,40.0,85.0,80.0,403.0,348.0,73.0,12.0,"Census Tract 4621.02, Hartford County, Connecticut",003,09,462102
3792.0,1650.0,0.0,0.0,14.0,53.0,0.0,0.0,12.0,13.0,231.0,11.0,201.0,127.0,400.0,338.0,172.0,78.0,2142.0,0.0,0.0,7.0,56.0,0.0,18.0,42.0,45.0,457.0,104.0,157.0,176.0,640.0,339.0,72.0,29.0,"Census Tract 4622.01, Hartford County, Connecticut",003,09,462201
1905.0,943.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,116.0,18.0,31.0,39.0,264.0,200.0,174.0,91.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,60.0,91.0,73.0,291.0,168.0,94.0,47.0,"Census Tract 4622.02, Hartford County, Connecticut",003,09,462202
3622.0,1803.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,10.0,286.0,118.0,169.0,83.0,625.0,336.0,95.0,52.0,1819.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,10.0,344.0,79.0,261.0,189.0,546.0,290.0,64.0,17.0,"Census Tract 4641.01, Hartford County, Connecticut",003,09,464101
3307.0,1488.0,0.0,0.0,0.0,0.0,17.0,11.0,25.0,36.0,241.0,56.0,197.0,151.0,499.0,175.0,63.0,17.0,1819.0,0.0,6.0,17.0,27.0,13.0,0.0,0.0,69.0,381.0,126.0,198.0,146.0,527.0,294.0,15.0,0.0,"Census Tract 4641.02, Hartford County, Connecticut",003,09,464102
2973.0,1465.0,29.0,0.0,0.0,23.0,8.0,17.0,0.0,19.0,197.0,74.0,162.0,42.0,530.0,236.0,102.0,26.0,1508.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,197.0,35.0,223.0,136.0,483.0,325.0,42.0,36.0,"Census Tract 4661.01, Hartford County, Connecticut",003,09,466101
3201.0,1518.0,23.0,6.0,0.0,12.0,0.0,7.0,0.0,0.0,104.0,19.0,129.0,75.0,608.0,276.0,183.0,76.0,1683.0,0.0,0.0,19.0,13.0,30.0,0.0,13.0,0.0,188.0,83.0,130.0,170.0,687.0,226.0,88.0,36.0,"Census Tract 4661.02, Hartford County, Connecticut",003,09,466102
1475.0,678.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,57.0,49.0,105.0,21.0,170.0,137.0,90.0,27.0,797.0,0.0,0.0,11.0,30.0,0.0,6.0,0.0,0.0,128.0,52.0,46.0,101.0,285.0,130.0,8.0,0.0,"Census Tract 4662.01, Hartford County, Connecticut",003,09,466201
2975.0,1446.0,10.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,79.0,41.0,61.0,20.0,518.0,442.0,202.0,53.0,1529.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,131.0,51.0,147.0,139.0,560.0,396.0,59.0,26.0,"Census Tract 4662.02, Hartford County, Connecticut",003,09,466202
3433.0,1563.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,35.0,169.0,26.0,122.0,142.0,530.0,387.0,114.0,29.0,1870.0,8.0,0.0,0.0,24.0,13.0,7.0,20.0,7.0,233.0,127.0,264.0,112.0,555.0,341.0,113.0,46.0,"Census Tract 4663, Hartford County, Connecticut",003,09,466300
1673.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,33.0,47.0,95.0,79.0,219.0,132.0,38.0,40.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.0,197.0,90.0,110.0,124.0,307.0,88.0,12.0,14.0,"Census Tract 4664, Hartford County, Connecticut",003,09,466400
4965.0,2488.0,0.0,0.0,0.0,10.0,26.0,0.0,16.0,28.0,528.0,147.0,237.0,145.0,979.0,224.0,137.0,11.0,2477.0,0.0,0.0,0.0,0.0,0.0,16.0,36.0,0.0,467.0,161.0,112.0,321.0,612.0,601.0,84.0,67.0,"Census Tract 4681.01, Hartford County, Connecticut",003,09,468101
2645.0,1125.0,0.0,0.0,7.0,0.0,10.0,31.0,53.0,9.0,173.0,48.0,143.0,38.0,341.0,188.0,59.0,25.0,1520.0,0.0,52.0,0.0,6.0,0.0,0.0,9.0,0.0,379.0,79.0,178.0,157.0,313.0,284.0,44.0,19.0,"Census Tract 4681.02, Hartford County, Connecticut",003,09,468102
3742.0,1875.0,12.0,14.0,8.0,8.0,51.0,27.0,0.0,32.0,515.0,83.0,249.0,129.0,488.0,216.0,23.0,20.0,1867.0,0.0,0.0,49.0,0.0,0.0,32.0,14.0,0.0,453.0,96.0,267.0,193.0,501.0,215.0,47.0,0.0,"Census Tract 4701, Hartford County, Connecticut",003,09,470100
2585.0,1049.0,9.0,0.0,0.0,80.0,10.0,41.0,66.0,64.0,397.0,33.0,174.0,17.0,117.0,27.0,14.0,0.0,1536.0,0.0,10.0,34.0,11.0,0.0,65.0,12.0,129.0,526.0,101.0,306.0,106.0,170.0,48.0,11.0,7.0,"Census Tract 4711, Hartford County, Connecticut",003,09,471100
2227.0,866.0,0.0,7.0,3.0,61.0,70.0,0.0,82.0,10.0,306.0,22.0,80.0,77.0,103.0,38.0,7.0,0.0,1361.0,6.0,12.0,19.0,59.0,47.0,36.0,12.0,76.0,340.0,13.0,303.0,102.0,247.0,46.0,43.0,0.0,"Census Tract 4712, Hartford County, Connecticut",003,09,471200
3317.0,1344.0,11.0,0.0,20.0,22.0,0.0,10.0,37.0,19.0,359.0,56.0,199.0,84.0,261.0,149.0,94.0,23.0,1973.0,31.0,23.0,0.0,48.0,12.0,28.0,53.0,35.0,360.0,62.0,371.0,171.0,397.0,351.0,9.0,22.0,"Census Tract 4713, Hartford County, Connecticut",003,09,471300
4494.0,1898.0,35.0,15.0,0.0,15.0,0.0,30.0,0.0,9.0,307.0,49.0,208.0,26.0,570.0,274.0,184.0,176.0,2596.0,0.0,0.0,0.0,16.0,0.0,15.0,63.0,45.0,245.0,213.0,251.0,223.0,760.0,555.0,128.0,82.0,"Census Tract 4714, Hartford County, Connecticut",003,09,471400
2435.0,923.0,0.0,0.0,12.0,36.0,0.0,17.0,0.0,22.0,209.0,59.0,161.0,10.0,203.0,127.0,47.0,20.0,1512.0,0.0,0.0,0.0,17.0,11.0,14.0,6.0,46.0,496.0,27.0,306.0,104.0,231.0,212.0,42.0,0.0,"Census Tract 4715, Hartford County, Connecticut",003,09,471500
4289.0,1922.0,7.0,7.0,21.0,17.0,43.0,13.0,39.0,47.0,697.0,74.0,330.0,135.0,350.0,114.0,28.0,0.0,2367.0,31.0,17.0,15.0,26.0,34.0,17.0,68.0,7.0,742.0,166.0,457.0,158.0,349.0,251.0,29.0,0.0,"Census Tract 4731, Hartford County, Connecticut",003,09,473100
1308.0,666.0,0.0,15.0,0.0,40.0,13.0,11.0,13.0,0.0,163.0,55.0,139.0,80.0,84.0,38.0,15.0,0.0,642.0,0.0,0.0,0.0,0.0,11.0,10.0,14.0,32.0,131.0,22.0,104.0,60.0,199.0,59.0,0.0,0.0,"Census Tract 4734, Hartford County, Connecticut",003,09,473400
3108.0,1581.0,7.0,0.0,0.0,11.0,0.0,0.0,12.0,0.0,289.0,76.0,128.0,184.0,447.0,328.0,75.0,24.0,1527.0,0.0,11.0,0.0,13.0,0.0,18.0,0.0,11.0,338.0,127.0,107.0,177.0,427.0,275.0,23.0,0.0,"Census Tract 4735.01, Hartford County, Connecticut",003,09,473501
2308.0,1047.0,0.0,0.0,0.0,7.0,10.0,11.0,0.0,12.0,411.0,35.0,99.0,70.0,255.0,116.0,11.0,10.0,1261.0,8.0,0.0,0.0,0.0,0.0,15.0,10.0,14.0,376.0,75.0,259.0,129.0,166.0,170.0,28.0,11.0,"Census Tract 4735.02, Hartford County, Connecticut",003,09,473502
2291.0,1046.0,12.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,253.0,83.0,194.0,33.0,257.0,167.0,18.0,9.0,1245.0,0.0,0.0,14.0,15.0,0.0,10.0,0.0,0.0,335.0,61.0,159.0,79.0,279.0,238.0,34.0,21.0,"Census Tract 4736.01, Hartford County, Connecticut",003,09,473601
1541.0,794.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,296.0,10.0,229.0,0.0,157.0,82.0,0.0,0.0,747.0,22.0,7.0,28.0,12.0,0.0,0.0,6.0,11.0,201.0,27.0,60.0,31.0,249.0,93.0,0.0,0.0,"Census Tract 4736.02, Hartford County, Connecticut",003,09,473602
3915.0,2011.0,0.0,0.0,20.0,53.0,15.0,48.0,11.0,7.0,690.0,42.0,273.0,174.0,412.0,204.0,19.0,43.0,1904.0,0.0,0.0,0.0,26.0,0.0,0.0,17.0,0.0,385.0,99.0,315.0,302.0,463.0,278.0,0.0,19.0,"Census Tract 4737, Hartford County, Connecticut",003,09,473700
1215.0,510.0,8.0,0.0,23.0,7.0,0.0,12.0,17.0,20.0,108.0,39.0,48.0,85.0,59.0,84.0,0.0,0.0,705.0,7.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,220.0,50.0,128.0,111.0,152.0,17.0,0.0,0.0,"Census Tract 4738, Hartford County, Connecticut",003,09,473800
3321.0,1430.0,0.0,0.0,10.0,7.0,9.0,19.0,20.0,54.0,509.0,99.0,180.0,128.0,309.0,29.0,57.0,0.0,1891.0,25.0,0.0,0.0,61.0,29.0,42.0,63.0,20.0,709.0,82.0,290.0,178.0,220.0,151.0,11.0,10.0,"Census Tract 4761, Hartford County, Connecticut",003,09,476100
2004.0,942.0,0.0,8.0,43.0,4.0,12.0,21.0,19.0,20.0,379.0,86.0,47.0,85.0,162.0,38.0,18.0,0.0,1062.0,0.0,0.0,0.0,22.0,0.0,24.0,23.0,19.0,362.0,106.0,217.0,89.0,128.0,72.0,0.0,0.0,"Census Tract 4762, Hartford County, Connecticut",003,09,476200
3531.0,1683.0,0.0,0.0,0.0,37.0,0.0,58.0,17.0,59.0,687.0,129.0,194.0,184.0,184.0,100.0,34.0,0.0,1848.0,0.0,0.0,0.0,44.0,0.0,7.0,33.0,14.0,811.0,96.0,258.0,243.0,186.0,87.0,69.0,0.0,"Census Tract 4763, Hartford County, Connecticut",003,09,476300
2802.0,1371.0,0.0,0.0,0.0,0.0,29.0,8.0,9.0,18.0,217.0,53.0,162.0,92.0,512.0,172.0,70.0,29.0,1431.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,9.0,268.0,109.0,164.0,157.0,374.0,199.0,123.0,11.0,"Census Tract 4771.01, Hartford County, Connecticut",003,09,477101
6116.0,3710.0,18.0,14.0,16.0,156.0,92.0,217.0,277.0,67.0,1167.0,256.0,415.0,215.0,432.0,280.0,47.0,41.0,2406.0,20.0,0.0,27.0,37.0,15.0,0.0,61.0,0.0,552.0,256.0,306.0,261.0,546.0,257.0,33.0,35.0,"Census Tract 4771.02, Hartford County, Connecticut",003,09,477102
2160.0,1030.0,0.0,0.0,0.0,33.0,0.0,8.0,0.0,0.0,243.0,48.0,187.0,139.0,245.0,83.0,19.0,25.0,1130.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,84.0,66.0,168.0,224.0,148.0,9.0,0.0,"Census Tract 4772, Hartford County, Connecticut",003,09,477200
1427.0,669.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,12.0,367.0,116.0,67.0,23.0,40.0,0.0,10.0,25.0,758.0,0.0,0.0,0.0,20.0,0.0,17.0,10.0,57.0,303.0,88.0,84.0,70.0,74.0,24.0,11.0,0.0,"Census Tract 4803, Hartford County, Connecticut",003,09,480300
2721.0,1288.0,0.0,8.0,0.0,15.0,17.0,20.0,11.0,6.0,462.0,208.0,110.0,127.0,237.0,37.0,20.0,10.0,1433.0,0.0,9.0,0.0,63.0,26.0,31.0,16.0,10.0,523.0,98.0,201.0,101.0,259.0,78.0,18.0,0.0,"Census Tract 4804, Hartford County, Connecticut",003,09,480400
