B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
2752.0,1356.0,2.0,0.0,0.0,11.0,3.0,13.0,22.0,0.0,477.0,132.0,193.0,107.0,225.0,84.0,51.0,36.0,1396.0,0.0,0.0,0.0,16.0,17.0,19.0,7.0,14.0,422.0,102.0,279.0,140.0,287.0,60.0,16.0,17.0,"Census Tract 9654, Adams County, Nebraska",001,31,965400
2608.0,1275.0,0.0,0.0,0.0,3.0,30.0,0.0,42.0,18.0,415.0,34.0,214.0,151.0,184.0,94.0,58.0,32.0,1333.0,0.0,0.0,0.0,14.0,10.0,47.0,13.0,24.0,407.0,104.0,279.0,160.0,146.0,76.0,0.0,53.0,"Census Tract 9655, Adams County, Nebraska",001,31,965500
3142.0,1549.0,10.0,0.0,17.0,0.0,0.0,22.0,0.0,10.0,470.0,168.0,245.0,254.0,251.0,0.0,76.0,26.0,1593.0,0.0,11.0,0.0,0.0,0.0,15.0,19.0,0.0,341.0,138.0,407.0,153.0,328.0,133.0,33.0,15.0,"Census Tract 9656, Adams County, Nebraska",001,31,965600
678.0,370.0,0.0,0.0,0.0,0.0,18.0,33.0,0.0,0.0,54.0,47.0,42.0,50.0,75.0,28.0,23.0,0.0,308.0,0.0,0.0,0.0,27.0,3.0,17.0,7.0,3.0,98.0,7.0,68.0,44.0,34.0,0.0,0.0,0.0,"Census Tract 9657, Adams County, Nebraska",001,31,965700
1664.0,802.0,9.0,17.0,45.0,36.0,8.0,41.0,43.0,28.0,270.0,41.0,99.0,72.0,74.0,19.0,0.0,0.0,862.0,0.0,0.0,25.0,50.0,21.0,0.0,29.0,36.0,283.0,75.0,48.0,155.0,79.0,39.0,22.0,0.0,"Census Tract 9658, Adams County, Nebraska",001,31,965800
3086.0,1442.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,18.0,432.0,269.0,255.0,104.0,160.0,98.0,60.0,7.0,1644.0,0.0,0.0,0.0,9.0,24.0,19.0,16.0,18.0,558.0,137.0,219.0,163.0,322.0,134.0,25.0,0.0,"Census Tract 9659, Adams County, Nebraska",001,31,965900
2817.0,1380.0,29.0,0.0,142.0,0.0,37.0,59.0,24.0,20.0,430.0,127.0,185.0,108.0,126.0,61.0,20.0,12.0,1437.0,31.0,13.0,19.0,51.0,12.0,87.0,24.0,0.0,391.0,210.0,147.0,290.0,121.0,31.0,0.0,10.0,"Census Tract 9660, Adams County, Nebraska",001,31,966000
1655.0,663.0,0.0,16.0,28.0,75.0,24.0,29.0,33.0,75.0,236.0,21.0,45.0,29.0,47.0,0.0,5.0,0.0,992.0,0.0,0.0,39.0,25.0,45.0,36.0,36.0,9.0,534.0,30.0,129.0,43.0,41.0,25.0,0.0,0.0,"Census Tract 9661, Adams County, Nebraska",001,31,966100
1507.0,761.0,0.0,0.0,0.0,35.0,6.0,13.0,6.0,10.0,326.0,105.0,100.0,63.0,74.0,23.0,0.0,0.0,746.0,0.0,0.0,0.0,8.0,0.0,12.0,4.0,0.0,260.0,61.0,96.0,106.0,142.0,57.0,0.0,0.0,"Census Tract 9662, Adams County, Nebraska",001,31,966200
1486.0,782.0,9.0,0.0,0.0,7.0,0.0,3.0,8.0,26.0,391.0,68.0,55.0,89.0,67.0,5.0,46.0,8.0,704.0,6.0,0.0,2.0,24.0,7.0,6.0,18.0,6.0,272.0,65.0,124.0,79.0,72.0,20.0,0.0,3.0,"Census Tract 9796, Antelope County, Nebraska",003,31,979600
1293.0,519.0,0.0,0.0,6.0,30.0,10.0,14.0,4.0,8.0,221.0,14.0,90.0,48.0,50.0,10.0,14.0,0.0,774.0,0.0,0.0,0.0,21.0,9.0,13.0,31.0,7.0,263.0,47.0,170.0,53.0,131.0,14.0,12.0,3.0,"Census Tract 9797, Antelope County, Nebraska",003,31,979700
1920.0,975.0,6.0,0.0,0.0,51.0,9.0,22.0,25.0,9.0,409.0,50.0,145.0,117.0,94.0,31.0,7.0,0.0,945.0,4.0,0.0,0.0,26.0,10.0,24.0,7.0,12.0,345.0,67.0,173.0,90.0,148.0,39.0,0.0,0.0,"Census Tract 9798, Antelope County, Nebraska",003,31,979800
285.0,147.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,39.0,16.0,34.0,21.0,18.0,5.0,2.0,0.0,138.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,34.0,21.0,24.0,25.0,20.0,4.0,0.0,2.0,"Census Tract 9583, Arthur County, Nebraska",005,31,958300
494.0,252.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,106.0,5.0,43.0,32.0,49.0,8.0,0.0,0.0,242.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,10.0,47.0,26.0,45.0,37.0,32.0,29.0,6.0,0.0,"Census Tract 9540, Banner County, Nebraska",007,31,954000
414.0,214.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,124.0,7.0,19.0,38.0,20.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,63.0,26.0,24.0,13.0,49.0,13.0,0.0,0.0,"Census Tract 9724, Blaine County, Nebraska",009,31,972400
2459.0,1228.0,0.0,7.0,0.0,38.0,35.0,16.0,11.0,8.0,593.0,65.0,165.0,164.0,99.0,21.0,6.0,0.0,1231.0,2.0,7.0,0.0,37.0,21.0,23.0,12.0,17.0,441.0,63.0,190.0,161.0,183.0,73.0,1.0,0.0,"Census Tract 9601, Boone County, Nebraska",011,31,960100
1385.0,669.0,6.0,0.0,3.0,14.0,0.0,4.0,19.0,2.0,298.0,65.0,109.0,30.0,59.0,31.0,29.0,0.0,716.0,0.0,0.0,0.0,15.0,0.0,15.0,4.0,0.0,294.0,73.0,148.0,63.0,76.0,20.0,8.0,0.0,"Census Tract 9602, Boone County, Nebraska",011,31,960200
1649.0,803.0,0.0,0.0,0.0,4.0,2.0,6.0,26.0,0.0,401.0,49.0,123.0,37.0,128.0,13.0,14.0,0.0,846.0,3.0,5.0,0.0,4.0,1.0,12.0,31.0,15.0,308.0,62.0,103.0,138.0,138.0,26.0,0.0,0.0,"Census Tract 9511, Box Butte County, Nebraska",013,31,951100
3266.0,1484.0,0.0,11.0,0.0,15.0,0.0,85.0,50.0,55.0,419.0,149.0,225.0,63.0,298.0,101.0,13.0,0.0,1782.0,32.0,0.0,0.0,37.0,14.0,32.0,51.0,0.0,707.0,113.0,199.0,227.0,300.0,49.0,0.0,21.0,"Census Tract 9512, Box Butte County, Nebraska",013,31,951200
2679.0,1349.0,26.0,66.0,0.0,17.0,10.0,20.0,24.0,30.0,521.0,80.0,291.0,83.0,171.0,10.0,0.0,0.0,1330.0,28.0,9.0,0.0,37.0,4.0,19.0,31.0,18.0,421.0,146.0,339.0,78.0,160.0,26.0,14.0,0.0,"Census Tract 9513, Box Butte County, Nebraska",013,31,951300
1511.0,786.0,0.0,0.0,0.0,52.0,11.0,13.0,11.0,14.0,357.0,47.0,84.0,77.0,98.0,13.0,0.0,9.0,725.0,0.0,0.0,1.0,19.0,0.0,9.0,23.0,2.0,272.0,71.0,162.0,86.0,68.0,7.0,4.0,1.0,"Census Tract 9758, Boyd County, Nebraska",015,31,975800
2291.0,1050.0,0.0,12.0,0.0,65.0,25.0,15.0,13.0,9.0,432.0,93.0,127.0,67.0,145.0,39.0,8.0,0.0,1241.0,0.0,0.0,0.0,45.0,8.0,19.0,43.0,15.0,520.0,65.0,175.0,158.0,142.0,35.0,7.0,9.0,"Census Tract 9750, Brown County, Nebraska",017,31,975000
2470.0,1214.0,2.0,0.0,15.0,29.0,16.0,10.0,30.0,10.0,474.0,120.0,199.0,106.0,149.0,33.0,15.0,6.0,1256.0,0.0,0.0,6.0,24.0,0.0,10.0,14.0,3.0,416.0,104.0,236.0,151.0,227.0,62.0,0.0,3.0,"Census Tract 9689, Buffalo County, Nebraska",019,31,968900
2759.0,1355.0,0.0,0.0,0.0,16.0,0.0,12.0,48.0,10.0,503.0,104.0,181.0,167.0,191.0,61.0,57.0,5.0,1404.0,0.0,0.0,0.0,8.0,11.0,35.0,28.0,8.0,392.0,101.0,324.0,115.0,303.0,60.0,2.0,17.0,"Census Tract 9690, Buffalo County, Nebraska",019,31,969000
2938.0,1474.0,13.0,26.0,37.0,67.0,20.0,4.0,15.0,13.0,569.0,95.0,183.0,115.0,216.0,84.0,4.0,13.0,1464.0,12.0,4.0,23.0,25.0,26.0,27.0,18.0,2.0,478.0,138.0,255.0,139.0,262.0,42.0,13.0,0.0,"Census Tract 9691, Buffalo County, Nebraska",019,31,969100
1918.0,1033.0,9.0,0.0,34.0,0.0,9.0,0.0,0.0,0.0,200.0,51.0,192.0,38.0,275.0,103.0,50.0,72.0,885.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,194.0,34.0,125.0,36.0,275.0,163.0,10.0,38.0,"Census Tract 9692.02, Buffalo County, Nebraska",019,31,969202
2922.0,1379.0,8.0,10.0,0.0,0.0,0.0,21.0,0.0,0.0,350.0,124.0,178.0,88.0,419.0,127.0,46.0,8.0,1543.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,384.0,109.0,193.0,132.0,522.0,129.0,40.0,8.0,"Census Tract 9692.03, Buffalo County, Nebraska",019,31,969203
2941.0,1375.0,16.0,0.0,0.0,6.0,29.0,0.0,41.0,0.0,193.0,82.0,204.0,102.0,429.0,88.0,57.0,128.0,1566.0,12.0,0.0,0.0,0.0,22.0,13.0,0.0,0.0,390.0,30.0,247.0,185.0,463.0,196.0,8.0,0.0,"Census Tract 9692.04, Buffalo County, Nebraska",019,31,969204
