B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
4992.0,4695.0,297.0,"Census Tract 6101, Bristol County, Massachusetts",005,25,610100
5391.0,5106.0,285.0,"Census Tract 6102.02, Bristol County, Massachusetts",005,25,610202
7065.0,6600.0,465.0,"Census Tract 6102.03, Bristol County, Massachusetts",005,25,610203
5603.0,5062.0,541.0,"Census Tract 6102.04, Bristol County, Massachusetts",005,25,610204
4700.0,4476.0,224.0,"Census Tract 6111.01, Bristol County, Massachusetts",005,25,611101
5025.0,4806.0,219.0,"Census Tract 6111.02, Bristol County, Massachusetts",005,25,611102
3096.0,2957.0,139.0,"Census Tract 6112.01, Bristol County, Massachusetts",005,25,611201
6059.0,5817.0,242.0,"Census Tract 6112.02, Bristol County, Massachusetts",005,25,611202
4113.0,3956.0,157.0,"Census Tract 6121, Bristol County, Massachusetts",005,25,612100
8972.0,8551.0,421.0,"Census Tract 6122, Bristol County, Massachusetts",005,25,612200
6997.0,6272.0,725.0,"Census Tract 6131, Bristol County, Massachusetts",005,25,613100
7433.0,6947.0,486.0,"Census Tract 6133, Bristol County, Massachusetts",005,25,613300
3755.0,3368.0,387.0,"Census Tract 6134, Bristol County, Massachusetts",005,25,613400
3786.0,3274.0,512.0,"Census Tract 6136, Bristol County, Massachusetts",005,25,613600
4285.0,3663.0,622.0,"Census Tract 6137, Bristol County, Massachusetts",005,25,613700
3623.0,3125.0,498.0,"Census Tract 6138, Bristol County, Massachusetts",005,25,613800
2697.0,2273.0,424.0,"Census Tract 6139.01, Bristol County, Massachusetts",005,25,613901
4484.0,3763.0,721.0,"Census Tract 6139.02, Bristol County, Massachusetts",005,25,613902
4218.0,3298.0,920.0,"Census Tract 6140, Bristol County, Massachusetts",005,25,614000
7045.0,6352.0,693.0,"Census Tract 6141.01, Bristol County, Massachusetts",005,25,614101
7631.0,7292.0,339.0,"Census Tract 6141.02, Bristol County, Massachusetts",005,25,614102
6923.0,6503.0,420.0,"Census Tract 6151, Bristol County, Massachusetts",005,25,615100
6306.0,5706.0,600.0,"Census Tract 6161, Bristol County, Massachusetts",005,25,616100
4729.0,4383.0,346.0,"Census Tract 6171.01, Bristol County, Massachusetts",005,25,617101
4067.0,3848.0,219.0,"Census Tract 6171.02, Bristol County, Massachusetts",005,25,617102
2450.0,2232.0,218.0,"Census Tract 6301.01, Bristol County, Massachusetts",005,25,630101
4106.0,3803.0,303.0,"Census Tract 6301.02, Bristol County, Massachusetts",005,25,630102
8174.0,7731.0,443.0,"Census Tract 6302, Bristol County, Massachusetts",005,25,630200
9215.0,8708.0,507.0,"Census Tract 6303, Bristol County, Massachusetts",005,25,630300
4538.0,4410.0,128.0,"Census Tract 6304, Bristol County, Massachusetts",005,25,630400
7744.0,7131.0,613.0,"Census Tract 6311, Bristol County, Massachusetts",005,25,631100
6501.0,5935.0,566.0,"Census Tract 6312, Bristol County, Massachusetts",005,25,631200
5045.0,4628.0,417.0,"Census Tract 6313, Bristol County, Massachusetts",005,25,631300
2627.0,2198.0,429.0,"Census Tract 6314, Bristol County, Massachusetts",005,25,631400
2735.0,2303.0,432.0,"Census Tract 6315, Bristol County, Massachusetts",005,25,631500
4158.0,3487.0,671.0,"Census Tract 6316, Bristol County, Massachusetts",005,25,631600
6785.0,6291.0,494.0,"Census Tract 6317, Bristol County, Massachusetts",005,25,631700
7760.0,6949.0,811.0,"Census Tract 6318, Bristol County, Massachusetts",005,25,631800
6351.0,5953.0,398.0,"Census Tract 6321, Bristol County, Massachusetts",005,25,632100
7335.0,6821.0,514.0,"Census Tract 6322, Bristol County, Massachusetts",005,25,632200
5344.0,5064.0,280.0,"Census Tract 6331, Bristol County, Massachusetts",005,25,633100
6005.0,5653.0,352.0,"Census Tract 6332, Bristol County, Massachusetts",005,25,633200
5227.0,4224.0,1003.0,"Census Tract 6401, Bristol County, Massachusetts",005,25,640100
6392.0,5021.0,1371.0,"Census Tract 6402, Bristol County, Massachusetts",005,25,640200
3979.0,3359.0,620.0,"Census Tract 6403, Bristol County, Massachusetts",005,25,640300
2339.0,2058.0,281.0,"Census Tract 6404, Bristol County, Massachusetts",005,25,640400
5036.0,4234.0,802.0,"Census Tract 6405, Bristol County, Massachusetts",005,25,640500
4324.0,3213.0,1111.0,"Census Tract 6406, Bristol County, Massachusetts",005,25,640600
2825.0,2348.0,477.0,"Census Tract 6407, Bristol County, Massachusetts",005,25,640700
3733.0,2732.0,1001.0,"Census Tract 6408, Bristol County, Massachusetts",005,25,640800
5011.0,3811.0,1200.0,"Census Tract 6409.01, Bristol County, Massachusetts",005,25,640901
2248.0,1545.0,703.0,"Census Tract 6410, Bristol County, Massachusetts",005,25,641000
1432.0,1177.0,255.0,"Census Tract 6411.01, Bristol County, Massachusetts",005,25,641101
3100.0,2063.0,1037.0,"Census Tract 6412, Bristol County, Massachusetts",005,25,641200
5569.0,4455.0,1114.0,"Census Tract 6413, Bristol County, Massachusetts",005,25,641300
2737.0,1902.0,835.0,"Census Tract 6414, Bristol County, Massachusetts",005,25,641400
1936.0,1681.0,255.0,"Census Tract 6415, Bristol County, Massachusetts",005,25,641500
1999.0,1733.0,266.0,"Census Tract 6416, Bristol County, Massachusetts",005,25,641600
5897.0,4831.0,1066.0,"Census Tract 6417, Bristol County, Massachusetts",005,25,641700
2522.0,2233.0,289.0,"Census Tract 6418, Bristol County, Massachusetts",005,25,641800
2432.0,2004.0,428.0,"Census Tract 6419, Bristol County, Massachusetts",005,25,641900
2823.0,2233.0,590.0,"Census Tract 6420, Bristol County, Massachusetts",005,25,642000
4357.0,3937.0,420.0,"Census Tract 6421, Bristol County, Massachusetts",005,25,642100
3560.0,3252.0,308.0,"Census Tract 6422, Bristol County, Massachusetts",005,25,642200
2350.0,2016.0,334.0,"Census Tract 6423, Bristol County, Massachusetts",005,25,642300
2925.0,2523.0,402.0,"Census Tract 6424, Bristol County, Massachusetts",005,25,642400
4729.0,4153.0,576.0,"Census Tract 6425, Bristol County, Massachusetts",005,25,642500
5661.0,5204.0,457.0,"Census Tract 6441.01, Bristol County, Massachusetts",005,25,644101
4956.0,4342.0,614.0,"Census Tract 6441.02, Bristol County, Massachusetts",005,25,644102
7568.0,7095.0,473.0,"Census Tract 6442, Bristol County, Massachusetts",005,25,644200
5099.0,4946.0,153.0,"Census Tract 6451.01, Bristol County, Massachusetts",005,25,645101
4797.0,4355.0,442.0,"Census Tract 6451.02, Bristol County, Massachusetts",005,25,645102
6004.0,5551.0,453.0,"Census Tract 6451.03, Bristol County, Massachusetts",005,25,645103
7136.0,6089.0,1047.0,"Census Tract 6461.01, Bristol County, Massachusetts",005,25,646101
5724.0,5390.0,334.0,"Census Tract 6461.03, Bristol County, Massachusetts",005,25,646103
2438.0,2367.0,71.0,"Census Tract 6461.04, Bristol County, Massachusetts",005,25,646104
5592.0,4696.0,896.0,"Census Tract 6501.01, Bristol County, Massachusetts",005,25,650101
4667.0,3787.0,880.0,"Census Tract 6501.02, Bristol County, Massachusetts",005,25,650102
3025.0,2724.0,301.0,"Census Tract 6502.01, Bristol County, Massachusetts",005,25,650201
1973.0,1640.0,333.0,"Census Tract 6502.02, Bristol County, Massachusetts",005,25,650202
3094.0,2789.0,305.0,"Census Tract 6503, Bristol County, Massachusetts",005,25,650300
3422.0,2458.0,964.0,"Census Tract 6504, Bristol County, Massachusetts",005,25,650400
3430.0,2592.0,838.0,"Census Tract 6505, Bristol County, Massachusetts",005,25,650500
2787.0,2253.0,534.0,"Census Tract 6506, Bristol County, Massachusetts",005,25,650600
2237.0,1552.0,685.0,"Census Tract 6507, Bristol County, Massachusetts",005,25,650700
3305.0,2645.0,660.0,"Census Tract 6508, Bristol County, Massachusetts",005,25,650800
3324.0,2969.0,355.0,"Census Tract 6509, Bristol County, Massachusetts",005,25,650900
