B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
3530.0,3404.0,126.0,"Census Tract 201, Anderson County, Tennessee",001,47,020100
3642.0,3280.0,362.0,"Census Tract 202.01, Anderson County, Tennessee",001,47,020201
4254.0,3830.0,424.0,"Census Tract 202.02, Anderson County, Tennessee",001,47,020202
3985.0,3829.0,156.0,"Census Tract 203, Anderson County, Tennessee",001,47,020300
4476.0,4323.0,153.0,"Census Tract 204, Anderson County, Tennessee",001,47,020400
3218.0,3096.0,122.0,"Census Tract 205, Anderson County, Tennessee",001,47,020500
2582.0,2368.0,214.0,"Census Tract 206, Anderson County, Tennessee",001,47,020600
1714.0,1710.0,4.0,"Census Tract 207, Anderson County, Tennessee",001,47,020700
5043.0,5022.0,21.0,"Census Tract 208, Anderson County, Tennessee",001,47,020800
5495.0,5439.0,56.0,"Census Tract 209.01, Anderson County, Tennessee",001,47,020901
5796.0,5723.0,73.0,"Census Tract 209.02, Anderson County, Tennessee",001,47,020902
5935.0,5925.0,10.0,"Census Tract 210, Anderson County, Tennessee",001,47,021000
3966.0,3810.0,156.0,"Census Tract 211, Anderson County, Tennessee",001,47,021100
5072.0,5014.0,58.0,"Census Tract 212.01, Anderson County, Tennessee",001,47,021201
4912.0,4912.0,0.0,"Census Tract 212.02, Anderson County, Tennessee",001,47,021202
3528.0,3517.0,11.0,"Census Tract 213.01, Anderson County, Tennessee",001,47,021301
7109.0,6992.0,117.0,"Census Tract 213.02, Anderson County, Tennessee",001,47,021302
0.0,0.0,0.0,"Census Tract 9801, Anderson County, Tennessee",001,47,980100
3830.0,3777.0,53.0,"Census Tract 9501, Bedford County, Tennessee",003,47,950100
6968.0,6845.0,123.0,"Census Tract 9502, Bedford County, Tennessee",003,47,950200
3583.0,3569.0,14.0,"Census Tract 9503, Bedford County, Tennessee",003,47,950300
5119.0,4405.0,714.0,"Census Tract 9504.01, Bedford County, Tennessee",003,47,950401
6110.0,5243.0,867.0,"Census Tract 9504.02, Bedford County, Tennessee",003,47,950402
6512.0,5821.0,691.0,"Census Tract 9505, Bedford County, Tennessee",003,47,950500
6677.0,5706.0,971.0,"Census Tract 9506, Bedford County, Tennessee",003,47,950600
2411.0,2386.0,25.0,"Census Tract 9507, Bedford County, Tennessee",003,47,950700
2962.0,2962.0,0.0,"Census Tract 9508, Bedford County, Tennessee",003,47,950800
3650.0,3629.0,21.0,"Census Tract 9630, Benton County, Tennessee",005,47,963000
2982.0,2968.0,14.0,"Census Tract 9631, Benton County, Tennessee",005,47,963100
2155.0,2144.0,11.0,"Census Tract 9632, Benton County, Tennessee",005,47,963200
3683.0,3587.0,96.0,"Census Tract 9633, Benton County, Tennessee",005,47,963300
3986.0,3918.0,68.0,"Census Tract 9634, Benton County, Tennessee",005,47,963400
3149.0,2985.0,164.0,"Census Tract 9530, Bledsoe County, Tennessee",007,47,953000
5230.0,5180.0,50.0,"Census Tract 9531, Bledsoe County, Tennessee",007,47,953100
4567.0,4468.0,99.0,"Census Tract 9532, Bledsoe County, Tennessee",007,47,953200
2868.0,2524.0,344.0,"Census Tract 101, Blount County, Tennessee",009,47,010100
4698.0,4681.0,17.0,"Census Tract 102, Blount County, Tennessee",009,47,010200
5759.0,5424.0,335.0,"Census Tract 103.01, Blount County, Tennessee",009,47,010301
3418.0,3410.0,8.0,"Census Tract 103.02, Blount County, Tennessee",009,47,010302
