B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
5216.0,5129.0,87.0,"Census Tract 9501, Anderson County, Texas",001,48,950100
8089.0,7417.0,672.0,"Census Tract 9504.01, Anderson County, Texas",001,48,950401
3755.0,3652.0,103.0,"Census Tract 9504.02, Anderson County, Texas",001,48,950402
4576.0,3799.0,777.0,"Census Tract 9505, Anderson County, Texas",001,48,950500
6114.0,5545.0,569.0,"Census Tract 9506, Anderson County, Texas",001,48,950600
3266.0,2945.0,321.0,"Census Tract 9507, Anderson County, Texas",001,48,950700
4395.0,4184.0,211.0,"Census Tract 9508, Anderson County, Texas",001,48,950800
5268.0,4875.0,393.0,"Census Tract 9509.01, Anderson County, Texas",001,48,950901
5185.0,4979.0,206.0,"Census Tract 9509.02, Anderson County, Texas",001,48,950902
6839.0,6791.0,48.0,"Census Tract 9510, Anderson County, Texas",001,48,951000
5313.0,5156.0,157.0,"Census Tract 9511, Anderson County, Texas",001,48,951100
1684.0,1526.0,158.0,"Census Tract 9501, Andrews County, Texas",003,48,950100
6289.0,5824.0,465.0,"Census Tract 9502, Andrews County, Texas",003,48,950200
3754.0,3055.0,699.0,"Census Tract 9503, Andrews County, Texas",003,48,950300
2321.0,1979.0,342.0,"Census Tract 9504, Andrews County, Texas",003,48,950400
5992.0,5754.0,238.0,"Census Tract 1.01, Angelina County, Texas",005,48,000101
5153.0,4721.0,432.0,"Census Tract 1.02, Angelina County, Texas",005,48,000102
6751.0,6135.0,616.0,"Census Tract 2, Angelina County, Texas",005,48,000200
5495.0,5121.0,374.0,"Census Tract 3.01, Angelina County, Texas",005,48,000301
4176.0,3962.0,214.0,"Census Tract 3.02, Angelina County, Texas",005,48,000302
5554.0,4764.0,790.0,"Census Tract 4, Angelina County, Texas",005,48,000400
4035.0,3670.0,365.0,"Census Tract 5, Angelina County, Texas",005,48,000500
6536.0,5254.0,1282.0,"Census Tract 6, Angelina County, Texas",005,48,000600
3275.0,2594.0,681.0,"Census Tract 7, Angelina County, Texas",005,48,000700
6021.0,5193.0,828.0,"Census Tract 8, Angelina County, Texas",005,48,000800
6504.0,6405.0,99.0,"Census Tract 9.01, Angelina County, Texas",005,48,000901
3101.0,2862.0,239.0,"Census Tract 9.02, Angelina County, Texas",005,48,000902
5135.0,4473.0,662.0,"Census Tract 10.01, Angelina County, Texas",005,48,001001
3703.0,3462.0,241.0,"Census Tract 10.02, Angelina County, Texas",005,48,001002
5911.0,5795.0,116.0,"Census Tract 11, Angelina County, Texas",005,48,001100
2703.0,2656.0,47.0,"Census Tract 12, Angelina County, Texas",005,48,001200
5209.0,5173.0,36.0,"Census Tract 13, Angelina County, Texas",005,48,001300
5950.0,5706.0,244.0,"Census Tract 9501, Aransas County, Texas",007,48,950100
1356.0,1311.0,45.0,"Census Tract 9502, Aransas County, Texas",007,48,950200
6837.0,6399.0,438.0,"Census Tract 9503, Aransas County, Texas",007,48,950300
3757.0,3456.0,301.0,"Census Tract 9504, Aransas County, Texas",007,48,950400
5347.0,5088.0,259.0,"Census Tract 9505, Aransas County, Texas",007,48,950500
0.0,0.0,0.0,"Census Tract 9900, Aransas County, Texas",007,48,990000
2866.0,2771.0,95.0,"Census Tract 201, Archer County, Texas",009,48,020100
2690.0,2676.0,14.0,"Census Tract 202, Archer County, Texas",009,48,020200
3499.0,3296.0,203.0,"Census Tract 203, Archer County, Texas",009,48,020300
1958.0,1861.0,97.0,"Census Tract 9501, Armstrong County, Texas",011,48,950100
6252.0,6022.0,230.0,"Census Tract 9601, Atascosa County, Texas",013,48,960100
6162.0,5820.0,342.0,"Census Tract 9602.01, Atascosa County, Texas",013,48,960201
10179.0,9240.0,939.0,"Census Tract 9602.02, Atascosa County, Texas",013,48,960202
3582.0,3393.0,189.0,"Census Tract 9603, Atascosa County, Texas",013,48,960300
2183.0,1842.0,341.0,"Census Tract 9604.01, Atascosa County, Texas",013,48,960401
7942.0,7700.0,242.0,"Census Tract 9604.02, Atascosa County, Texas",013,48,960402
1935.0,1779.0,156.0,"Census Tract 9605, Atascosa County, Texas",013,48,960500
