B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,state,tract
1287.0,63.0,0.0,91.0,102.0,77.0,86.0,116.0,44.0,106.0,255.0,119.0,192.0,36.0,0.0,0.0,0.0,"Census Tract 508, Muscatine County, Iowa",139,19,050800
1341.0,172.0,82.0,147.0,138.0,36.0,11.0,26.0,180.0,76.0,116.0,141.0,110.0,73.0,7.0,25.0,1.0,"Census Tract 509, Muscatine County, Iowa",139,19,050900
1301.0,90.0,208.0,121.0,94.0,52.0,161.0,96.0,61.0,39.0,144.0,126.0,72.0,37.0,0.0,0.0,0.0,"Census Tract 510, Muscatine County, Iowa",139,19,051000
1141.0,53.0,89.0,61.0,113.0,59.0,54.0,53.0,94.0,58.0,102.0,121.0,156.0,82.0,28.0,0.0,18.0,"Census Tract 4901, O'Brien County, Iowa",141,19,490100
1404.0,86.0,66.0,129.0,70.0,89.0,63.0,84.0,111.0,42.0,132.0,158.0,185.0,71.0,46.0,52.0,20.0,"Census Tract 4902, O'Brien County, Iowa",141,19,490200
2314.0,164.0,302.0,109.0,150.0,87.0,166.0,138.0,85.0,44.0,227.0,307.0,217.0,122.0,38.0,41.0,117.0,"Census Tract 4903, O'Brien County, Iowa",141,19,490300
1163.0,57.0,85.0,35.0,141.0,96.0,46.0,46.0,105.0,61.0,115.0,113.0,153.0,52.0,8.0,25.0,25.0,"Census Tract 4904, O'Brien County, Iowa",141,19,490400
1507.0,121.0,28.0,182.0,59.0,94.0,100.0,105.0,32.0,137.0,168.0,165.0,131.0,118.0,14.0,47.0,6.0,"Census Tract 4601, Osceola County, Iowa",143,19,460100
1217.0,43.0,86.0,86.0,68.0,105.0,133.0,84.0,60.0,32.0,94.0,174.0,111.0,53.0,52.0,17.0,19.0,"Census Tract 4602, Osceola County, Iowa",143,19,460200
1167.0,58.0,84.0,46.0,57.0,56.0,77.0,84.0,38.0,72.0,120.0,170.0,193.0,78.0,15.0,0.0,19.0,"Census Tract 4901, Page County, Iowa",145,19,490100
1055.0,94.0,122.0,135.0,105.0,82.0,26.0,53.0,99.0,37.0,78.0,93.0,107.0,11.0,0.0,0.0,13.0,"Census Tract 4902, Page County, Iowa",145,19,490200
1343.0,91.0,94.0,142.0,119.0,59.0,112.0,64.0,31.0,115.0,173.0,63.0,82.0,88.0,43.0,52.0,15.0,"Census Tract 4903, Page County, Iowa",145,19,490300
866.0,41.0,90.0,29.0,65.0,43.0,119.0,58.0,31.0,75.0,41.0,81.0,105.0,31.0,11.0,9.0,37.0,"Census Tract 4904, Page County, Iowa",145,19,490400
915.0,100.0,79.0,67.0,86.0,74.0,91.0,18.0,24.0,57.0,37.0,127.0,119.0,25.0,0.0,0.0,11.0,"Census Tract 4905, Page County, Iowa",145,19,490500
1050.0,66.0,42.0,90.0,69.0,50.0,74.0,35.0,83.0,60.0,121.0,139.0,109.0,64.0,28.0,16.0,4.0,"Census Tract 4906, Page County, Iowa",145,19,490600
779.0,30.0,21.0,68.0,64.0,51.0,60.0,53.0,28.0,27.0,85.0,97.0,102.0,39.0,27.0,20.0,7.0,"Census Tract 9601, Palo Alto County, Iowa",147,19,960100
856.0,62.0,47.0,55.0,57.0,97.0,100.0,24.0,54.0,46.0,91.0,89.0,72.0,41.0,6.0,3.0,12.0,"Census Tract 9602, Palo Alto County, Iowa",147,19,960200
1729.0,181.0,155.0,165.0,74.0,119.0,57.0,82.0,64.0,49.0,189.0,150.0,173.0,132.0,69.0,35.0,35.0,"Census Tract 9603, Palo Alto County, Iowa",147,19,960300
615.0,57.0,49.0,25.0,60.0,28.0,32.0,28.0,34.0,44.0,48.0,56.0,94.0,28.0,10.0,5.0,17.0,"Census Tract 9604, Palo Alto County, Iowa",147,19,960400
2650.0,58.0,94.0,227.0,145.0,167.0,155.0,187.0,93.0,133.0,220.0,330.0,397.0,170.0,67.0,148.0,59.0,"Census Tract 9701, Plymouth County, Iowa",149,19,970100
1372.0,48.0,100.0,184.0,68.0,46.0,36.0,51.0,60.0,89.0,158.0,228.0,90.0,127.0,44.0,20.0,23.0,"Census Tract 9702, Plymouth County, Iowa",149,19,970200
1203.0,73.0,61.0,47.0,85.0,29.0,39.0,59.0,75.0,90.0,87.0,189.0,180.0,102.0,12.0,28.0,47.0,"Census Tract 9703, Plymouth County, Iowa",149,19,970300
1338.0,41.0,51.0,68.0,42.0,81.0,83.0,89.0,69.0,29.0,167.0,223.0,233.0,78.0,40.0,26.0,18.0,"Census Tract 9704, Plymouth County, Iowa",149,19,970400
1256.0,58.0,64.0,47.0,68.0,90.0,72.0,42.0,62.0,50.0,146.0,188.0,163.0,95.0,58.0,30.0,23.0,"Census Tract 9705, Plymouth County, Iowa",149,19,970500
1985.0,39.0,38.0,107.0,62.0,81.0,65.0,66.0,81.0,73.0,198.0,213.0,375.0,194.0,170.0,54.0,169.0,"Census Tract 9706, Plymouth County, Iowa",149,19,970600
971.0,66.0,72.0,82.0,61.0,65.0,57.0,59.0,38.0,72.0,87.0,116.0,113.0,41.0,21.0,15.0,6.0,"Census Tract 7801, Pocahontas County, Iowa",151,19,780100
1418.0,128.0,82.0,108.0,101.0,67.0,110.0,119.0,93.0,45.0,129.0,125.0,178.0,79.0,32.0,10.0,12.0,"Census Tract 7802, Pocahontas County, Iowa",151,19,780200
928.0,23.0,46.0,58.0,69.0,73.0,55.0,59.0,60.0,43.0,145.0,95.0,85.0,63.0,31.0,19.0,4.0,"Census Tract 7803, Pocahontas County, Iowa",151,19,780300
1575.0,139.0,136.0,254.0,169.0,78.0,118.0,40.0,107.0,144.0,67.0,124.0,131.0,23.0,39.0,6.0,0.0,"Census Tract 1.01, Polk County, Iowa",153,19,000101
1403.0,77.0,52.0,91.0,48.0,62.0,58.0,71.0,84.0,81.0,153.0,199.0,202.0,159.0,52.0,14.0,0.0,"Census Tract 1.02, Polk County, Iowa",153,19,000102
1021.0,47.0,79.0,50.0,81.0,73.0,14.0,79.0,80.0,11.0,102.0,127.0,147.0,98.0,9.0,19.0,5.0,"Census Tract 1.03, Polk County, Iowa",153,19,000103
1183.0,29.0,72.0,102.0,36.0,94.0,112.0,148.0,126.0,40.0,85.0,114.0,152.0,45.0,12.0,16.0,0.0,"Census Tract 2.01, Polk County, Iowa",153,19,000201
1454.0,49.0,154.0,58.0,108.0,71.0,114.0,94.0,70.0,42.0,170.0,219.0,103.0,163.0,30.0,0.0,9.0,"Census Tract 2.02, Polk County, Iowa",153,19,000202
1604.0,154.0,161.0,143.0,163.0,138.0,80.0,63.0,136.0,65.0,118.0,215.0,94.0,26.0,35.0,0.0,13.0,"Census Tract 3, Polk County, Iowa",153,19,000300
2086.0,244.0,101.0,77.0,143.0,100.0,116.0,86.0,125.0,159.0,176.0,394.0,322.0,43.0,0.0,0.0,0.0,"Census Tract 4, Polk County, Iowa",153,19,000400
1766.0,135.0,66.0,126.0,95.0,78.0,162.0,123.0,68.0,128.0,235.0,257.0,223.0,62.0,8.0,0.0,0.0,"Census Tract 5, Polk County, Iowa",153,19,000500
1786.0,196.0,63.0,146.0,158.0,113.0,108.0,64.0,44.0,116.0,213.0,260.0,268.0,29.0,8.0,0.0,0.0,"Census Tract 6, Polk County, Iowa",153,19,000600
1255.0,161.0,187.0,54.0,75.0,17.0,66.0,137.0,90.0,62.0,120.0,89.0,100.0,45.0,51.0,0.0,1.0,"Census Tract 7.01, Polk County, Iowa",153,19,000701
